,0
0,NIO.OMG
1,0020.HK
2,80020.HK
3,XPEV.K
4,LI.O
5,JDHIY.PK
6,JDHIY.PQ
7,BIDU.O
8,BILI.O
9,TCOM.O
10,NTES.O
11,JD.O
12,000333.SZ
13,600690.SS
14,9888.HK
15,3888.HK
16,9866.HK
17,9626.HK
18,9961.HK
19,9988.HK
20,1024.HK
21,1810.HK
22,9660.HK
23,0772.HK
24,0700.HK
25,0981.HK
26,9868.HK
27,0992.HK
28,2382.HK
29,0268.HK
30,1698.HK
31,6690.HK
32,9999.HK
33,1347.HK
34,0285.HK
35,3690.HK
36,6618.HK
37,0300.HK
38,9618.HK
39,0241.HK
40,0780.HK
41,2015.HK
42,0522.HK
