,Instrument,ISIN
0,URW.PA,FR0013326246
1,MRL.MC,ES0105025003
2,CVO.PA,FR0000064578
3,LEGn.DE,DE000LEG1110
4,COFB.BR,BE0003593044
5,TEGG.DE,DE0008303504
6,VNAn.DE,DE000A1ML7J1
7,AOO.BR,BE0003851681
8,WDPP.BR,BE0003763779
9,WDPP.BR,BE0974349814
10,GFCP.PA,FR0010040865
11,LOIM.PA,FR0000121964
