Date,Global Sustainability Index,US Sustainability Index,GER Sustainability Index,China Sustainability Index
2004-12,-0.2808328318744018,-0.5212362343871074,-0.3926449077635198,0.12049882693244518
2005-01,-0.1864400438053918,-0.4460257812220949,-0.14638840527987185,-0.02308303265274314
2005-02,0.22586400843580812,0.1826377604472611,0.24852382969809472,-0.03536186840909206
2005-03,0.009690031283702716,0.7317739804316474,0.024583161328284975,-0.0744360856124241
2005-04,-0.06125399996320546,-0.08794326166144117,-0.21576142409398524,0.1753974600680317
2005-05,0.014140586807344757,-0.05506460032266691,0.12827869685359028,0.08624390365629031
2005-06,0.0430970641122832,0.24870061364743412,-0.36447671479527977,-0.5078002060145541
2005-07,0.5291259355394311,0.8496089784914649,0.2878003833728062,1.6683799088945714
2005-08,-0.10690726761406466,-0.6117578747052527,0.9696289025849683,0.2600419534096905
2005-09,0.10713268940158582,1.4553779404614287,0.3694460631392229,-0.39029063616640003
2005-10,-0.1451774736394954,-0.3998243422831721,-0.5729423171139427,0.7683804628730695
2005-11,0.14379475853024548,0.2801287642837209,0.6427587821713945,0.24277782286788763
2005-12,-0.17070830444315954,-0.0558348915785678,-0.374583979319295,-0.3161496452792394
2006-01,0.04137069408921179,-0.09301447331417756,-0.3783390653772494,0.4642825574476446
2006-02,0.05958781358280363,0.11328451021979213,0.33088264401052725,-0.1042327987693149
2006-03,-0.16609003331080174,-0.16166436039406884,0.06423593773343628,-0.19265425194184038
2006-04,0.33973534440837083,0.4288831743878825,-0.2750046478720535,0.2965865004289254
2006-05,-0.24246603781735587,-0.3524456129096505,0.41908950440520476,-0.22943642862582425
2006-06,-0.11891298995672428,-0.4061047538629321,-0.10613102197334245,-0.5304437414239589
2006-07,0.43922630405758567,0.9343495776098514,0.15131232961051855,2.8703994737981926
2006-08,-0.19408016001210993,-0.1585639405817143,0.276515765995877,-0.6628551639166715
2006-09,-0.11791261140963705,-0.0286187657354523,0.18571595151140685,-0.20371423342739248
2006-10,0.02985931894686722,-0.18950521441994816,-0.5162716356443431,0.45347110707004834
2006-11,-0.03804604805108891,-0.2475077454922524,0.9791692740887545,0.10843648032281195
2006-12,0.09977916804191,0.7679251834530416,0.03626774284734435,0.18637672928504334
2007-01,-0.11545969714512927,-0.2705093948348224,-0.33833801271351593,-0.3551435521682256
2007-02,0.00971056832222339,-0.2983116017321059,0.3265511813003674,-0.03269959208539641
2007-03,0.11747298625258673,0.5677295369471207,0.6232279974744814,0.6294887533540647
2007-04,0.23699951864370927,1.258706199125243,-0.6233209522944227,0.1070175113065559
2007-05,0.02394671127288861,-0.25586673775641,1.5155525042119815,0.05397634344423752
2007-06,0.022507611994468713,0.3017006899012522,-0.07545345807640247,-0.17667427473608677
2007-07,-0.24783313087893966,-0.26661340012324086,-0.4319986682265081,-0.537156728104893
2007-08,0.34456852346743805,0.501364581830887,0.8031173915013581,0.8686330237382962
2007-09,0.12511691365446964,0.08238648930690817,-0.020568676872871117,-0.2483886547800087
2007-10,-0.2706772012953733,-0.38309490241258815,-0.5093087096531514,1.1445746145313112
2007-11,-0.22555780387955826,-0.09838166180871966,-0.11818265167193553,-0.6110969392901469
2007-12,-0.00910548960480606,-0.18682662984049714,0.0529367516157635,0.1885789651074543
2008-01,0.0872169165015666,0.2597199193182611,-0.03534477881357412,0.5662813517424765
2008-02,-0.049672559273302164,-0.13791647601224433,-0.006232000899266565,-0.21884021980895418
2008-03,-0.26707012277663555,-0.5915299136512044,-0.036252466277299944,-0.4711301688601125
2008-04,0.08876446898352519,0.05150114312227072,-0.21881559893502145,1.1296719908217776
2008-05,0.07946401528343983,0.11206294766976965,0.6960828783708028,-0.25679495380253836
2008-06,0.0560429655426018,0.6966774534755538,0.1529220674394045,-0.2284207214834375
2008-07,-0.1008608169742391,-0.09647337728655081,-0.3053272197538446,0.07331218246557292
2008-08,-0.01652556596036925,-0.2606778374590065,-0.2663320079714737,0.07990677708011518
2008-09,0.06885415586582999,0.7437246826304365,-0.1798763694822597,0.3032833197161333
2008-10,-0.02374425325545204,-0.1844340345668064,0.5988092706781905,-0.5118351015886822
2008-11,0.034033654607978026,-0.047837772113133004,1.1293961757394775,0.8322785067499254
2008-12,-0.20368462451543368,-0.4072197634873671,-0.4499972518953316,-0.364426094273949
2009-01,0.07988344053826113,0.5461302618991917,0.21764608082672243,0.22112619459254512
2009-02,0.1519616013903382,0.23458763019423778,-0.020269129623593396,0.4017568990911857
2009-03,0.2394408564982009,0.6867567856773935,0.07577842053007156,0.20185186178028647
2009-04,0.03215365445913676,-0.14023051690483934,0.18018135874223296,-0.12383356560693759
2009-05,-0.2738635309998416,-0.3651966648216287,-0.3805403585047098,-0.2466345827143236
2009-06,0.11370406730512594,0.47289908679581694,0.18582356745204653,-0.415072947302108
2009-07,-0.1683631993611192,-0.3168281846231099,0.01316921747115063,0.00699540175071367
2009-08,0.10724299662604042,-0.1605541551384998,0.008130086332976516,2.626487451933275
2009-09,-0.05177031719671876,0.045529645574935884,-0.21867648310390264,-0.6182604871306019
