Date,.CESICNY,.CESIEUR,.CESIG10,.CESIGL,.CESIUSD
2014-09,-37.2,-43.0,-11.9,-15.3,17.9
2014-10,-19.8,-32.4,-7.0,-11.1,18.0
2014-11,-10.6,-21.5,-6.3,-4.1,6.1
2014-12,-0.2,10.2,16.2,4.8,34.7
2015-01,13.0,10.0,1.6,-1.0,-4.0
2015-02,-1.5,51.0,-3.8,-5.2,-46.7
2015-03,26.2,58.4,-10.3,-6.1,-58.6
2015-04,-69.1,11.9,-19.3,-17.8,-62.2
2015-05,-106.1,-13.9,-21.0,-20.8,-54.2
2015-06,-93.7,-5.0,-5.1,-12.0,-28.8
2015-07,-24.8,7.1,3.3,-2.6,-15.4
2015-08,-47.2,16.2,6.4,-1.6,-8.2
2015-09,-49.8,33.0,0.8,-9.6,-20.5
2015-10,-32.5,32.7,5.6,-0.8,-12.7
2015-11,-9.1,23.1,-2.4,2.3,-14.4
2015-12,2.3,15.4,-8.0,0.4,-31.8
2016-01,-10.4,-25.1,-31.0,-20.1,-47.1
2016-02,-22.6,-71.1,-31.5,-22.5,-19.4
2016-03,-47.0,-22.3,-8.2,-9.2,-5.2
2016-04,15.6,-13.0,-12.4,-0.8,-31.2
2016-05,3.2,4.8,4.7,3.8,-18.6
2016-06,-36.5,5.0,0.3,-2.7,-19.8
2016-07,-30.9,28.3,25.6,12.8,16.3
2016-08,-13.9,-3.1,9.8,2.7,13.5
2016-09,21.1,2.6,3.0,-2.6,-5.1
2016-10,-17.8,40.8,14.5,3.1,-8.1
2016-11,5.5,56.9,31.4,17.1,17.8
2016-12,28.6,53.1,33.0,27.0,23.3
2017-01,29.2,55.3,36.9,37.0,31.8
2017-02,16.6,71.1,41.9,43.8,34.7
2017-03,3.8,54.1,41.8,38.8,48.0
2017-04,70.8,70.4,26.1,31.5,-4.8
2017-05,23.2,40.6,2.0,4.2,-38.2
2017-06,18.7,30.3,-20.5,-7.3,-72.6
2017-07,34.7,19.1,-11.1,-0.1,-43.1
2017-08,27.1,28.0,3.5,8.6,-23.1
2017-09,-5.3,50.2,19.2,17.5,-7.9
2017-10,-31.2,59.0,39.3,33.0,40.2
2017-11,-21.7,71.3,43.5,26.7,59.4
2017-12,4.4,49.3,51.6,29.6,75.7
2018-01,19.2,35.6,34.4,20.0,38.5
2018-02,2.0,2.4,9.9,9.1,32.9
2018-03,93.1,-56.8,-1.3,11.9,49.8
2018-04,47.5,-77.5,-18.7,-9.9,41.8
2018-05,28.5,-91.4,-32.3,-21.8,11.1
2018-06,-46.4,-61.0,-25.7,-20.1,-4.9
2018-07,-32.0,-25.9,-6.4,-3.8,-2.2
2018-08,-36.5,1.4,-3.3,-4.5,-17.7
2018-09,-19.2,-31.9,-7.8,-7.7,-5.2
2018-10,-16.7,-57.6,-19.4,-15.2,5.4
2018-11,-1.9,-62.9,-28.3,-19.1,-5.3
2018-12,-27.6,-71.8,-33.5,-24.3,-23.8
2019-01,-18.6,-82.6,-22.5,-18.5,4.5
2019-02,-2.0,-58.8,-34.6,-26.4,-29.8
2019-03,-27.8,-61.0,-31.3,-26.2,-35.9
2019-04,53.8,-31.1,-32.4,-23.5,-58.7
2019-05,-12.7,-20.3,-13.6,-18.8,-32.3
2019-06,-27.3,-4.4,-24.8,-27.7,-68.3
2019-07,-13.1,-55.0,-27.5,-25.6,-33.8
2019-08,-0.8,-39.3,-11.6,-14.0,-11.0
2019-09,-1.7,-72.0,2.6,-1.0,43.0
2019-10,-41.2,-43.1,-0.2,-10.9,4.7
2019-11,-34.0,-8.9,-0.8,-11.3,13.1
2019-12,18.5,30.4,-2.6,-7.3,-3.1
2020-01,62.2,21.1,3.5,10.4,7.6
2020-02,43.8,0.4,27.2,22.5,56.2
2020-03,-176.1,-50.2,-6.9,-6.8,-2.9
2020-04,-188.1,-268.5,-138.6,-79.1,-144.6
2020-05,-49.7,-275.6,-92.6,-47.7,-55.1
2020-06,-0.2,-90.2,42.0,15.0,181.2
2020-07,65.0,166.3,159.5,90.5,246.8
2020-08,34.5,132.6,150.8,94.1,210.8
2020-09,54.0,47.8,116.1,89.4,172.9
2020-10,28.7,103.2,95.5,82.5,128.9
2020-11,31.4,123.7,81.7,75.1,77.8
2020-12,36.3,188.5,96.8,85.8,48.2
2021-01,22.6,128.2,85.2,77.2,65.3
2021-02,2.5,157.3,97.8,83.2,86.5
2021-03,-6.2,173.0,68.3,52.6,28.1
2021-04,24.7,164.7,95.6,77.5,42.0
2021-05,-48.6,154.7,83.1,71.4,4.4
2021-06,-79.1,104.8,61.3,66.7,20.1
2021-07,-40.6,40.4,11.9,26.6,-13.8
2021-08,-43.1,-10.8,-27.7,-8.8,-56.3
2021-09,-65.3,-58.6,-41.6,-24.4,-33.2
2021-10,-64.7,-52.8,-29.1,-25.1,-16.1
2021-11,10.8,4.0,7.6,0.8,22.5
2021-12,20.7,29.8,23.7,13.7,19.5
2022-01,46.0,51.4,22.5,26.7,-6.7
2022-02,27.4,67.8,36.7,35.8,40.1
2022-03,75.0,44.8,42.8,41.5,55.4
2022-04,90.5,53.1,45.3,46.6,39.4
2022-05,-52.1,19.6,6.7,11.7,-37.8
2022-06,-24.7,-25.3,-33.9,-9.0,-71.6
2022-07,-14.8,-63.9,-40.0,-13.1,-61.8
2022-08,0.7,-25.4,-11.2,-3.2,-27.6
2022-09,-29.2,0.2,9.8,4.3,17.9
2022-10,32.6,18.2,11.2,9.8,8.1
2022-11,5.4,32.5,17.5,9.4,8.9
2022-12,-44.9,67.9,20.2,3.9,-2.7
2023-01,47.2,97.2,32.1,22.6,-6.1
2023-02,76.1,61.8,45.4,28.2,38.6
2023-03,132.8,50.0,49.2,40.1,57.0
2023-04,148.3,15.2,19.8,26.2,22.0
2023-05,1.7,-62.9,-7.1,0.1,23.7
2023-06,-54.7,-144.9,-15.9,-8.5,54.4
2023-07,-72.8,-116.0,-0.8,-3.4,76.1
2023-08,-47.0,-58.1,5.4,2.0,46.4
2023-09,-6.0,-54.0,6.5,8.6,45.1
2023-10,13.4,-45.5,14.0,18.9,63.4
2023-11,5.5,-30.6,2.5,10.2,29.8
2023-12,-8.5,-41.0,-10.0,-0.2,8.2
2024-01,-9.0,-1.1,10.2,5.4,25.7
2024-02,9.1,37.3,25.8,18.9,40.6
2024-03,21.2,42.8,28.8,25.6,33.5
2024-04,19.7,29.9,12.3,20.9,7.6
2024-05,-3.4,27.5,1.9,7.3,-7.6
2024-06,-4.0,-14.2,-12.7,-3.1,-28.5
2024-07,-24.9,-49.0,-21.9,-14.0,-25.2
2024-08,-38.0,-50.9,-24.6,-19.2,-24.2
2024-09,-41.2,-56.8,-23.7,-16.1,-0.8
2024-10,-3.7,-0.6,10.1,4.1,35.4
2024-11,20.0,-23.9,-3.9,-1.5,27.8
2024-12,22.3,-12.1,-8.2,-5.8,-1.7
2025-01,-0.3,-0.6,3.9,3.7,12.4
2025-02,-8.0,22.9,7.5,6.5,-16.5
2025-03,1.6,18.4,8.0,8.0,-4.4
2025-04,43.9,-15.7,-5.1,4.5,-8.6
