Date,10Y2Y,10Y3M
2017-01,1.0645681818181818,1.2409772727272728
2017-02,1.142875,1.1841249999999999
2017-03,1.1882608695652173,1.353913043478261
2017-04,1.0491944444444443,1.1382222222222222
2017-05,1.0648181818181817,1.289409090909091
2017-06,0.9588409090909091,1.1870227272727272
2017-07,1.1765714285714286,1.305595238095238
2017-08,1.129804347826087,1.145108695652174
2017-09,1.124404761904762,1.156095238095238
2017-10,1.1504545454545454,1.2532272727272726
2017-11,1.0924772727272727,1.2613863636363636
2017-12,1.0532368421052631,1.3756052631578948
2018-01,1.1351136363636365,1.280590909090909
2018-02,1.2590375,1.425725
2018-03,1.1615714285714285,1.3517142857142859
2018-04,1.1127224999999998,1.268675
2018-05,1.1192522727272727,1.147556277056277
2018-06,1.061345238095238,1.0326130952380952
2018-07,0.9939113636363636,0.9875909090909091
2018-08,0.9783652173913043,0.9783478260869566
2018-09,0.9983200000000001,1.042075
2018-10,1.0679304347826086,1.1626739130434782
2018-11,1.0213636363636365,1.1465227272727274
2018-12,0.8604736842105263,1.0745526315789473
2019-01,0.7999772727272727,0.8129318181818181
2019-02,0.69465,0.67405
2019-03,0.6094761904761906,0.6120000000000001
2019-04,0.605025,0.5621250000000001
2019-05,0.5530454545454545,0.4876136363636363
2019-06,0.43144999999999994,0.306575
2019-07,0.4096956521739131,0.24284782608695654
2019-08,0.24770454545454546,0.05049999999999999
2019-09,0.20992857142857146,0.0991428571428572
2019-10,0.2517608695652175,0.17404347826086952
2019-11,0.309047619047619,0.3019761904761905
2019-12,0.3715736842105262,0.4393421052631579
2020-01,0.3328863636363636,0.3211136363636363
2020-02,0.2315000000000001,0.15729999999999994
2020-03,0.2813863636363637,0.16027272727272734
2020-04,0.24440000000000006,0.18530000000000013
2020-05,0.21947499999999998,0.05172500000000013
2020-06,0.2561363636363638,0.15100000000000008
2020-07,0.21926086956521734,0.11202173913043473
2020-08,0.20780952380952378,0.0959523809523809
2020-09,0.21184090909090914,0.10936363636363644
2020-10,0.18029545454545448,0.09152272727272726
2020-11,0.18019047619047612,0.14647619047619043
2020-12,0.1631818181818181,0.1965681818181817
2021-01,0.18455,0.10019999999999996
2021-02,0.3098250000000001,0.23059999999999997
2021-03,0.38236956521739135,0.31219565217391304
2021-04,0.42845,0.37402500000000005
2021-05,0.5049285714285714,0.4732380952380953
2021-06,0.4636818181818182,0.44586363636363635
2021-07,0.35593181818181824,0.312409090909091
2021-08,0.29034090909090915,0.21577272727272723
2021-09,0.40238636363636365,0.36213636363636365
2021-10,0.5218571428571428,0.6166428571428573
2021-11,0.47781818181818175,0.6608863636363635
2021-12,0.38054347826086954,0.5242173913043477
2022-01,0.5457142857142856,0.6075238095238096
2022-02,0.6002750000000001,0.904925
2022-03,0.698804347826087,1.0547391304347826
2022-04,0.7084473684210526,1.4820526315789473
2022-05,0.7143863636363638,1.6087954545454548
2022-06,0.6160454545454548,2.005568181818182
2022-07,0.6851666666666667,1.3700238095238095
2022-08,0.43089130434782597,1.0891521739130434
2022-09,0.3091818181818182,1.2976136363636361
2022-10,0.321047619047619,1.3901904761904762
2022-11,-0.027977272727272684,0.7431363636363639
2022-12,-0.21507142857142858,0.4391666666666665
2023-01,-0.36868181818181833,0.11731818181818188
2023-02,-0.39975000000000005,-0.09319999999999995
2023-03,-0.40600000000000014,-0.23213043478260875
2023-04,-0.4060833333333336,-0.2912777777777782
2023-05,-0.38143181818181837,-0.5220909090909096
2023-06,-0.6747727272727273,-0.7781136363636363
2023-07,-0.7675476190476189,-0.9506666666666663
2023-08,-0.5091304347826084,-0.9890434782608697
2023-09,-0.46888095238095273,-0.9447619047619051
2023-10,-0.30231818181818193,-0.8442500000000002
2023-11,-0.40118181818181853,-1.0679772727272732
2023-12,-0.43092105263157876,-1.533684210526316
2024-01,-0.36901363636363627,-1.5383181818181813
2024-02,-0.3845452380952379,-1.3776904761904762
2024-03,-0.48145250000000006,-1.36015
2024-04,-0.4645333333333328,-1.1944523809523808
2024-05,-0.45629545454545495,-1.0614545454545454
2024-06,-0.4087499999999995,-0.9729999999999994
2024-07,-0.3158043478260866,-0.9167391304347823
2024-08,-0.15388636363636365,-1.0173409090909091
2024-09,-0.029571428571428804,-0.9515000000000002
2024-10,0.070913043478261,-0.6576086956521738
2024-11,0.1908333333333334,-0.41654761904761894
2024-12,0.19767500000000027,-0.2184499999999998
2025-01,0.28954545454545455,-0.019704545454545475
2025-02,0.3562749999999997,0.06009999999999982
2025-03,0.6281666666666665,0.6521666666666666
2025-04,0.7630000000000003,0.5966500000000001
2025-05,0.7542999999999997,0.7295999999999998
