,Default Spread (BofA High Yield OAS)
2010-11,5.67
2010-11,5.89
2010-11,5.89
2010-11,5.8
2010-11,5.81
2010-11,5.9
2010-11,6.04
2010-11,5.93
2010-11,5.93
2010-11,5.94
2010-11,6.03
2010-11,6.22
2010-12,6.02
2010-12,5.93
2010-12,5.92
2010-12,5.95
2010-12,5.69
2010-12,5.62
2010-12,5.6
2010-12,5.54
2010-12,5.58
2010-12,5.42
2010-12,5.4
2010-12,5.45
2010-12,5.54
2010-12,5.52
2010-12,5.5
2010-12,5.45
2010-12,5.37
2010-12,5.37
2010-12,5.4
2010-12,5.28
2010-12,5.4
2010-12,5.32
2010-12,5.41
2011-01,5.32
2011-01,5.27
2011-01,5.11
2011-01,5.13
2011-01,5.23
2011-01,5.28
2011-01,5.22
2011-01,5.17
2011-01,5.18
2011-01,5.12
2011-01,5.12
2011-01,5.1
2011-01,5.11
2011-01,5.03
2011-01,5.05
2011-01,5.03
2011-01,5.06
2011-01,4.98
2011-01,4.99
2011-01,5.03
2011-01,5.08
2011-02,4.99
2011-02,4.89
2011-02,4.83
2011-02,4.68
2011-02,4.64
2011-02,4.53
2011-02,4.6
2011-02,4.55
2011-02,4.59
2011-02,4.58
2011-02,4.57
2011-02,4.54
2011-02,4.56
2011-02,4.53
2011-02,4.52
2011-02,4.66
2011-02,4.66
2011-02,4.73
2011-02,4.72
2011-02,4.78
2011-03,4.76
2011-03,4.72
2011-03,4.6
2011-03,4.69
2011-03,4.69
2011-03,4.64
2011-03,4.71
2011-03,4.85
2011-03,4.88
2011-03,4.93
2011-03,5.09
2011-03,5.16
2011-03,5.1
2011-03,5.02
2011-03,4.93
2011-03,4.91
2011-03,4.91
2011-03,4.84
2011-03,4.79
2011-03,4.76
2011-03,4.73
2011-03,4.76
2011-03,4.77
2011-04,4.72
2011-04,4.72
2011-04,4.65
2011-04,4.57
2011-04,4.56
2011-04,4.53
2011-04,4.53
2011-04,4.63
2011-04,4.65
2011-04,4.6
2011-04,4.68
2011-04,4.74
2011-04,4.75
2011-04,4.66
2011-04,4.65
2011-04,
2011-04,4.69
2011-04,4.71
2011-04,4.67
2011-04,4.73
2011-04,4.71
2011-04,4.76
2011-05,4.74
2011-05,4.76
2011-05,4.76
2011-05,4.8
2011-05,4.81
2011-05,4.82
2011-05,4.76
2011-05,4.79
2011-05,4.77
2011-05,4.8
2011-05,4.79
2011-05,4.82
2011-05,4.79
2011-05,4.8
2011-05,4.82
2011-05,4.87
2011-05,4.89
2011-05,4.92
2011-05,5.01
2011-05,5.01
2011-05,5.01
2011-05,5.09
2011-06,5.15
2011-06,5.15
2011-06,5.24
2011-06,5.25
2011-06,5.28
2011-06,5.38
2011-06,5.38
2011-06,5.43
2011-06,5.47
2011-06,5.37
2011-06,5.52
2011-06,5.65
2011-06,5.64
2011-06,5.67
2011-06,5.65
2011-06,5.62
2011-06,5.75
2011-06,5.8
2011-06,5.78
2011-06,5.65
2011-06,5.53
2011-06,5.42
2011-07,5.34
2011-07,5.34
2011-07,5.37
2011-07,5.41
2011-07,5.27
2011-07,5.39
2011-07,5.56
2011-07,5.6
2011-07,5.57
2011-07,5.49
2011-07,5.51
2011-07,5.54
2011-07,5.54
2011-07,5.46
2011-07,5.36
2011-07,5.35
2011-07,5.33
2011-07,5.35
2011-07,5.32
2011-07,5.37
2011-07,5.51
2011-07,5.58
2011-08,5.63
2011-08,5.8
2011-08,5.87
2011-08,6.16
2011-08,6.24
2011-08,6.84
2011-08,7.19
2011-08,7.3
2011-08,7.39
2011-08,7.3
2011-08,7.1
2011-08,7.11
2011-08,7.08
2011-08,7.23
2011-08,7.3
2011-08,7.32
2011-08,7.46
2011-08,7.45
2011-08,7.43
2011-08,7.5
2011-08,7.39
2011-08,7.39
2011-08,7.3
2011-09,7.26
2011-09,7.33
2011-09,7.34
2011-09,7.54
2011-09,7.41
2011-09,7.42
2011-09,7.51
2011-09,7.64
2011-09,7.62
2011-09,7.55
2011-09,7.49
2011-09,7.46
2011-09,7.61
2011-09,7.59
2011-09,7.61
2011-09,7.95
2011-09,8.01
2011-09,8.0
2011-09,7.92
2011-09,8.03
2011-09,8.16
2011-09,8.41
2011-10,8.72
2011-10,9.1
2011-10,8.98
2011-10,8.72
2011-10,8.55
2011-10,8.56
2011-10,8.34
2011-10,8.07
2011-10,8.05
2011-10,7.89
2011-10,7.88
2011-10,7.87
2011-10,7.7
2011-10,7.64
2011-10,7.46
2011-10,7.31
2011-10,7.29
2011-10,7.2
2011-10,6.83
2011-10,6.85
2011-10,7.07
2011-11,7.42
2011-11,7.35
2011-11,7.25
2011-11,7.26
2011-11,7.29
2011-11,7.23
2011-11,7.48
2011-11,7.46
2011-11,7.46
2011-11,7.44
2011-11,7.49
2011-11,7.54
2011-11,7.62
2011-11,7.61
2011-11,7.79
2011-11,7.9
2011-11,8.03
2011-11,8.03
2011-11,8.0
2011-11,7.95
2011-11,7.95
2011-11,7.79
2011-12,7.69
2011-12,7.65
2011-12,7.56
2011-12,7.5
2011-12,7.54
2011-12,7.56
2011-12,7.53
2011-12,7.6
2011-12,7.6
2011-12,7.63
2011-12,7.62
2011-12,7.65
2011-12,7.65
2011-12,7.54
2011-12,7.49
2011-12,7.45
2011-12,7.37
2011-12,
2011-12,7.37
2011-12,7.4
2011-12,7.36
2011-12,7.38
2011-12,7.23
2012-01,
2012-01,7.06
2012-01,7.0
2012-01,7.0
2012-01,7.0
2012-01,6.99
2012-01,6.92
2012-01,6.98
2012-01,6.93
2012-01,7.02
2012-01,6.98
2012-01,6.99
2012-01,6.93
2012-01,6.77
2012-01,6.69
2012-01,6.62
2012-01,6.62
2012-01,6.63
2012-01,6.58
2012-01,6.57
2012-01,6.65
2012-01,6.61
2012-02,6.54
2012-02,6.55
2012-02,6.42
2012-02,6.44
2012-02,6.36
2012-02,6.29
2012-02,6.26
2012-02,6.35
2012-02,6.27
2012-02,6.27
2012-02,6.27
2012-02,6.26
2012-02,6.2
2012-02,6.2
2012-02,6.14
2012-02,6.15
2012-02,6.11
2012-02,6.01
2012-02,6.05
2012-02,6.01
2012-02,5.98
2012-03,5.94
2012-03,5.97
2012-03,6.01
2012-03,6.25
2012-03,6.18
2012-03,6.11
2012-03,6.09
2012-03,6.06
2012-03,5.97
2012-03,5.83
2012-03,5.87
2012-03,5.86
2012-03,5.79
2012-03,5.8
2012-03,5.85
2012-03,5.91
2012-03,5.93
2012-03,5.91
2012-03,5.93
2012-03,5.93
2012-03,6.02
2012-03,5.95
2012-03,5.99
2012-04,5.99
2012-04,5.91
2012-04,5.99
2012-04,6.05
2012-04,
2012-04,6.24
2012-04,6.32
2012-04,6.3
2012-04,6.24
2012-04,6.26
2012-04,6.23
2012-04,6.16
2012-04,6.16
2012-04,6.17
2012-04,6.14
2012-04,6.2
2012-04,6.14
2012-04,6.05
2012-04,6.06
2012-04,6.02
2012-04,6.04
2012-05,5.96
2012-05,5.96
2012-05,5.92
2012-05,5.94
2012-05,5.95
2012-05,6.0
2012-05,6.04
2012-05,6.0
2012-05,6.02
2012-05,6.11
2012-05,6.15
2012-05,6.22
2012-05,6.44
2012-05,6.52
2012-05,6.63
2012-05,6.55
2012-05,6.66
2012-05,6.62
2012-05,6.63
2012-05,6.63
2012-05,6.59
2012-05,6.71
2012-05,6.96
2012-06,7.16
2012-06,7.17
2012-06,7.23
2012-06,7.06
2012-06,6.95
2012-06,6.95
2012-06,6.9
2012-06,6.9
2012-06,6.91
2012-06,6.85
2012-06,6.84
2012-06,6.81
2012-06,6.65
2012-06,6.54
2012-06,6.52
2012-06,6.52
2012-06,6.6
2012-06,6.57
2012-06,6.52
2012-06,6.52
2012-06,6.36
2012-06,6.44
2012-07,6.45
2012-07,6.39
2012-07,6.38
2012-07,6.4
2012-07,6.44
2012-07,6.44
2012-07,6.4
2012-07,6.37
2012-07,6.41
2012-07,6.41
2012-07,6.39
2012-07,6.36
2012-07,6.33
2012-07,6.25
2012-07,6.28
2012-07,6.38
2012-07,6.4
2012-07,6.4
2012-07,6.35
2012-07,6.22
2012-07,6.2
2012-07,6.16
2012-08,6.1
2012-08,6.13
2012-08,6.01
2012-08,6.0
2012-08,5.91
2012-08,5.89
2012-08,5.91
2012-08,5.98
2012-08,5.96
2012-08,5.92
2012-08,5.88
2012-08,5.89
2012-08,5.89
2012-08,5.86
2012-08,5.83
2012-08,5.88
2012-08,5.89
2012-08,5.87
2012-08,5.87
2012-08,5.88
2012-08,5.84
2012-08,5.86
2012-08,5.98
2012-09,5.98
2012-09,5.94
2012-09,5.91
2012-09,5.8
2012-09,5.74
2012-09,5.68
2012-09,5.64
2012-09,5.51
2012-09,5.5
2012-09,5.3
2012-09,5.32
2012-09,5.33
2012-09,5.34
2012-09,5.38
2012-09,5.42
2012-09,5.5
2012-09,5.56
2012-09,5.8
2012-09,5.73
2012-09,5.72
2012-09,5.74
2012-10,5.71
2012-10,5.72
2012-10,5.68
2012-10,5.62
2012-10,5.55
2012-10,5.54
2012-10,5.56
2012-10,5.61
2012-10,5.57
2012-10,5.56
2012-10,5.48
2012-10,5.4
2012-10,5.27
2012-10,5.24
2012-10,5.31
2012-10,5.28
2012-10,5.41
2012-10,5.39
2012-10,5.33
2012-10,5.41
2012-10,5.46
2012-10,
2012-10,5.63
2012-11,5.57
2012-11,5.54
2012-11,5.57
2012-11,5.49
2012-11,5.63
2012-11,5.67
2012-11,5.77
2012-11,5.77
2012-11,5.82
2012-11,5.84
2012-11,5.94
2012-11,5.98
2012-11,5.85
2012-11,5.79
2012-11,5.72
2012-11,5.72
2012-11,5.71
2012-11,5.68
2012-11,5.65
2012-11,5.66
2012-11,5.58
2012-11,5.65
2012-12,5.6
2012-12,5.58
2012-12,5.51
2012-12,5.48
2012-12,5.42
2012-12,5.41
2012-12,5.35
2012-12,5.29
2012-12,5.27
2012-12,5.28
2012-12,5.31
2012-12,5.19
2012-12,5.19
2012-12,5.19
2012-12,5.26
2012-12,5.24
2012-12,
2012-12,5.24
2012-12,5.28
2012-12,5.3
2012-12,5.34
2013-01,
2013-01,5.16
2013-01,5.06
2013-01,5.04
2013-01,5.02
2013-01,5.02
2013-01,4.99
2013-01,4.94
2013-01,4.93
2013-01,4.91
2013-01,4.96
2013-01,4.95
2013-01,4.88
2013-01,4.89
2013-01,4.88
2013-01,4.88
2013-01,4.85
2013-01,4.82
2013-01,4.73
2013-01,4.72
2013-01,4.78
2013-01,4.84
2013-01,4.95
2013-02,4.94
2013-02,5.01
2013-02,5.01
2013-02,5.04
2013-02,5.08
2013-02,5.08
2013-02,5.06
2013-02,5.04
2013-02,4.97
2013-02,4.97
2013-02,4.96
2013-02,4.95
2013-02,4.92
2013-02,4.92
2013-02,4.99
2013-02,4.97
2013-02,4.97
2013-02,5.02
2013-02,4.98
2013-02,4.98
2013-03,5.0
2013-03,4.98
2013-03,4.92
2013-03,4.88
2013-03,4.81
2013-03,4.76
2013-03,4.75
2013-03,4.76
2013-03,4.75
2013-03,4.71
2013-03,4.72
2013-03,4.77
2013-03,4.78
2013-03,4.76
2013-03,4.76
2013-03,4.78
2013-03,4.75
2013-03,4.78
2013-03,4.81
2013-03,4.8
2013-03,
2013-03,4.86
2013-04,4.87
2013-04,4.84
2013-04,4.87
2013-04,4.89
2013-04,4.95
2013-04,4.9
2013-04,4.87
2013-04,4.78
2013-04,4.73
2013-04,4.75
2013-04,4.79
2013-04,4.78
2013-04,4.8
2013-04,4.8
2013-04,4.78
2013-04,4.75
2013-04,4.71
2013-04,4.66
2013-04,4.61
2013-04,4.6
2013-04,4.53
2013-04,4.55
2013-05,4.5
2013-05,4.45
2013-05,4.33
2013-05,4.3
2013-05,4.24
2013-05,4.24
2013-05,4.23
2013-05,4.23
2013-05,4.35
2013-05,4.35
2013-05,4.36
2013-05,4.42
2013-05,4.37
2013-05,4.34
2013-05,4.35
2013-05,4.27
2013-05,4.42
2013-05,4.45
2013-05,4.44
2013-05,4.35
2013-05,4.55
2013-05,4.54
2013-05,4.62
2013-06,4.76
2013-06,4.79
2013-06,5.03
2013-06,5.08
2013-06,4.89
2013-06,4.86
2013-06,5.08
2013-06,5.02
2013-06,5.11
2013-06,5.04
2013-06,4.97
2013-06,4.96
2013-06,4.85
2013-06,5.12
2013-06,5.09
2013-06,5.34
2013-06,5.34
2013-06,5.29
2013-06,5.23
2013-06,5.16
2013-06,5.21
2013-07,5.17
2013-07,5.15
2013-07,5.15
2013-07,5.15
2013-07,5.04
2013-07,5.11
2013-07,5.04
2013-07,4.98
2013-07,4.9
2013-07,4.8
2013-07,4.77
2013-07,4.72
2013-07,4.68
2013-07,4.57
2013-07,4.56
2013-07,4.53
2013-07,4.5
2013-07,4.55
2013-07,4.65
2013-07,4.71
2013-07,4.69
2013-07,4.66
2013-07,4.71
2013-08,4.63
2013-08,4.74
2013-08,4.74
2013-08,4.76
2013-08,4.81
2013-08,4.8
2013-08,4.8
2013-08,4.78
2013-08,4.72
2013-08,4.69
2013-08,4.74
2013-08,4.7
2013-08,4.71
2013-08,4.8
2013-08,4.77
2013-08,4.73
2013-08,4.75
2013-08,4.75
2013-08,4.82
2013-08,4.77
2013-08,4.76
2013-08,
2013-09,4.78
2013-09,4.69
2013-09,4.64
2013-09,4.59
2013-09,4.63
2013-09,4.66
2013-09,4.6
2013-09,4.63
2013-09,4.61
2013-09,4.6
2013-09,4.54
2013-09,4.59
2013-09,4.67
2013-09,4.51
2013-09,4.54
2013-09,4.6
2013-09,4.65
2013-09,4.7
2013-09,4.69
2013-09,4.75
2013-09,4.83
2013-10,4.78
2013-10,4.78
2013-10,4.75
2013-10,4.7
2013-10,4.69
2013-10,4.68
2013-10,4.67
2013-10,4.61
2013-10,4.62
2013-10,4.6
2013-10,4.54
2013-10,4.55
2013-10,4.53
2013-10,4.46
2013-10,4.41
2013-10,4.44
2013-10,4.44
2013-10,4.4
2013-10,4.42
2013-10,4.44
2013-10,4.45
2013-10,4.43
2013-10,4.36
2013-11,4.31
2013-11,4.33
2013-11,4.33
2013-11,4.35
2013-11,4.34
2013-11,4.38
2013-11,4.38
2013-11,4.35
2013-11,4.42
2013-11,4.41
2013-11,4.38
2013-11,4.35
2013-11,4.31
2013-11,4.29
2013-11,4.32
2013-11,4.3
2013-11,4.27
2013-11,4.27
2013-11,4.24
2013-11,4.24
2013-11,4.23
2013-11,4.27
2013-12,4.19
2013-12,4.22
2013-12,4.19
2013-12,4.16
2013-12,4.13
2013-12,4.11
2013-12,4.15
2013-12,4.11
2013-12,4.11
2013-12,4.12
2013-12,4.09
2013-12,4.15
2013-12,4.14
2013-12,4.07
2013-12,4.04
2013-12,4.0
2013-12,3.96
2013-12,
2013-12,3.96
2013-12,3.96
2013-12,3.97
2013-12,4.0
2014-01,
2014-01,4.0
2014-01,3.98
2014-01,3.96
2014-01,3.92
2014-01,3.87
2014-01,3.88
2014-01,3.95
2014-01,3.97
2014-01,3.92
2014-01,3.87
2014-01,3.88
2014-01,3.88
2014-01,3.88
2014-01,3.86
2014-01,3.82
2014-01,3.92
2014-01,4.08
2014-01,4.09
2014-01,4.08
2014-01,4.15
2014-01,4.12
2014-01,4.21
2014-02,4.28
2014-02,4.31
2014-02,4.28
2014-02,4.21
2014-02,4.2
2014-02,4.16
2014-02,4.08
2014-02,4.01
2014-02,4.07
2014-02,4.03
2014-02,4.03
2014-02,4.01
2014-02,3.95
2014-02,3.92
2014-02,3.9
2014-02,3.85
2014-02,3.84
2014-02,3.84
2014-02,3.83
2014-02,3.81
2014-03,3.87
2014-03,3.79
2014-03,3.78
2014-03,3.78
2014-03,3.79
2014-03,3.82
2014-03,3.82
2014-03,3.87
2014-03,3.92
2014-03,3.96
2014-03,3.9
2014-03,3.87
2014-03,3.74
2014-03,3.79
2014-03,3.76
2014-03,3.75
2014-03,3.73
2014-03,3.75
2014-03,3.77
2014-03,3.73
2014-03,3.77
2014-04,3.73
2014-04,3.66
2014-04,3.64
2014-04,3.68
2014-04,3.72
2014-04,3.73
2014-04,3.74
2014-04,3.77
2014-04,3.82
2014-04,3.76
2014-04,3.75
2014-04,3.73
2014-04,3.68
2014-04,
2014-04,3.67
2014-04,3.65
2014-04,3.68
2014-04,3.66
2014-04,3.69
2014-04,3.68
2014-04,3.66
2014-04,3.71
2014-05,3.75
2014-05,3.73
2014-05,3.74
2014-05,3.72
2014-05,3.74
2014-05,3.75
2014-05,3.74
2014-05,3.7
2014-05,3.7
2014-05,3.73
2014-05,3.78
2014-05,3.77
2014-05,3.76
2014-05,3.77
2014-05,3.77
2014-05,3.78
2014-05,3.78
2014-05,3.78
2014-05,3.76
2014-05,3.8
2014-05,3.78
2014-05,3.75
2014-05,3.67
2014-06,3.61
2014-06,3.59
2014-06,3.59
2014-06,3.59
2014-06,3.53
2014-06,3.5
2014-06,3.46
2014-06,3.46
2014-06,3.5
2014-06,3.47
2014-06,3.43
2014-06,3.39
2014-06,3.41
2014-06,3.39
2014-06,3.36
2014-06,3.35
2014-06,3.37
2014-06,3.43
2014-06,3.47
2014-06,3.48
2014-06,3.53
2014-07,3.5
2014-07,3.46
2014-07,3.44
2014-07,3.44
2014-07,3.44
2014-07,3.48
2014-07,3.51
2014-07,3.62
2014-07,3.61
2014-07,3.57
2014-07,3.6
2014-07,3.63
2014-07,3.74
2014-07,3.78
2014-07,3.8
2014-07,3.79
2014-07,3.77
2014-07,3.72
2014-07,3.75
2014-07,3.74
2014-07,3.8
2014-07,3.79
2014-07,4.04
2014-08,4.25
2014-08,4.24
2014-08,4.17
2014-08,4.21
2014-08,4.2
2014-08,4.2
2014-08,4.12
2014-08,4.07
2014-08,4.03
2014-08,3.97
2014-08,3.97
2014-08,3.89
2014-08,3.85
2014-08,3.79
2014-08,3.81
2014-08,3.79
2014-08,3.77
2014-08,3.78
2014-08,3.81
2014-08,3.82
2014-08,3.8
2014-08,3.84
2014-09,3.84
2014-09,3.8
2014-09,3.83
2014-09,3.85
2014-09,3.93
2014-09,3.92
2014-09,3.93
2014-09,4.01
2014-09,4.05
2014-09,4.03
2014-09,4.06
2014-09,4.1
2014-09,4.05
2014-09,3.98
2014-09,3.97
2014-09,4.02
2014-09,4.13
2014-09,4.18
2014-09,4.33
2014-09,4.4
2014-09,4.51
2014-09,4.4
2014-10,4.45
2014-10,4.42
2014-10,4.29
2014-10,4.26
2014-10,4.37
2014-10,4.48
2014-10,4.52
2014-10,4.66
2014-10,4.66
2014-10,4.83
2014-10,5.08
2014-10,4.98
2014-10,4.68
2014-10,4.68
2014-10,4.5
2014-10,4.44
2014-10,4.38
2014-10,4.38
2014-10,4.41
2014-10,4.39
2014-10,4.32
2014-10,4.35
2014-10,4.3
2014-11,4.29
2014-11,4.35
2014-11,4.32
2014-11,4.3
2014-11,4.36
2014-11,4.32
2014-11,4.32
2014-11,4.33
2014-11,4.37
2014-11,4.43
2014-11,4.46
2014-11,4.53
2014-11,4.57
2014-11,4.61
2014-11,4.54
2014-11,4.54
2014-11,4.54
2014-11,4.56
2014-11,4.56
2014-11,4.64
2014-11,4.67
2014-12,4.82
2014-12,4.82
2014-12,4.81
2014-12,4.83
2014-12,4.77
2014-12,4.87
2014-12,5.06
2014-12,5.21
2014-12,5.25
2014-12,5.47
2014-12,5.52
2014-12,5.71
2014-12,5.48
2014-12,5.15
2014-12,5.09
2014-12,5.03
2014-12,4.94
2014-12,4.93
2014-12,
2014-12,4.93
2014-12,4.96
2014-12,4.98
2014-12,5.04
2015-01,
2015-01,5.08
2015-01,5.21
2015-01,5.37
2015-01,5.31
2015-01,5.17
2015-01,5.2
2015-01,5.27
2015-01,5.28
2015-01,5.39
2015-01,5.42
2015-01,
2015-01,5.39
2015-01,5.39
2015-01,5.36
2015-01,5.27
2015-01,5.3
2015-01,5.26
2015-01,5.29
2015-01,5.31
2015-01,5.28
2015-01,5.37
2015-01,5.26
2015-02,5.26
2015-02,5.11
2015-02,5.05
2015-02,4.99
2015-02,4.78
2015-02,4.8
2015-02,4.75
2015-02,4.76
2015-02,4.74
2015-02,4.71
2015-02,4.69
2015-02,4.57
2015-02,4.62
2015-02,4.58
2015-02,4.53
2015-02,4.56
2015-02,4.58
2015-02,4.54
2015-02,4.43
2015-02,4.43
2015-02,4.46
2015-03,4.38
2015-03,4.38
2015-03,4.44
2015-03,4.46
2015-03,4.42
2015-03,4.51
2015-03,4.66
2015-03,4.61
2015-03,4.62
2015-03,4.68
2015-03,4.72
2015-03,4.79
2015-03,4.91
2015-03,4.79
2015-03,4.81
2015-03,4.82
2015-03,4.81
2015-03,4.76
2015-03,4.74
2015-03,4.76
2015-03,4.73
2015-03,4.82
2015-04,4.86
2015-04,4.82
2015-04,
2015-04,4.8
2015-04,4.72
2015-04,4.67
2015-04,4.62
2015-04,4.6
2015-04,4.6
2015-04,4.62
2015-04,4.58
2015-04,4.61
2015-04,4.66
2015-04,4.6
2015-04,4.57
2015-04,4.53
2015-04,4.55
2015-04,4.56
2015-04,4.55
2015-04,4.52
2015-04,4.53
2015-04,4.59
2015-05,4.53
2015-05,4.51
2015-05,4.48
2015-05,4.5
2015-05,4.55
2015-05,4.53
2015-05,4.45
2015-05,4.56
2015-05,4.51
2015-05,4.52
2015-05,4.55
2015-05,4.49
2015-05,4.46
2015-05,4.49
2015-05,4.51
2015-05,4.47
2015-05,
2015-05,4.51
2015-05,4.48
2015-05,4.5
2015-05,4.52
2015-05,4.58
2015-06,4.52
2015-06,4.49
2015-06,4.46
2015-06,4.56
2015-06,4.56
2015-06,4.61
2015-06,4.66
2015-06,4.6
2015-06,4.62
2015-06,4.63
2015-06,4.71
2015-06,4.77
2015-06,4.76
2015-06,4.71
2015-06,4.73
2015-06,4.62
2015-06,4.62
2015-06,4.66
2015-06,4.67
2015-06,4.65
2015-06,4.91
2015-06,5.0
2015-07,4.88
2015-07,4.91
2015-07,4.91
2015-07,5.07
2015-07,5.13
2015-07,5.21
2015-07,5.11
2015-07,4.97
2015-07,4.93
2015-07,4.94
2015-07,4.93
2015-07,4.91
2015-07,4.95
2015-07,4.96
2015-07,5.06
2015-07,5.16
2015-07,5.21
2015-07,5.32
2015-07,5.49
2015-07,5.44
2015-07,5.33
2015-07,5.26
2015-07,5.36
2015-08,5.45
2015-08,5.41
2015-08,5.29
2015-08,5.4
2015-08,5.52
2015-08,5.51
2015-08,5.67
2015-08,5.79
2015-08,5.66
2015-08,5.52
2015-08,5.58
2015-08,5.56
2015-08,5.68
2015-08,5.75
2015-08,5.86
2015-08,6.14
2015-08,5.9
2015-08,5.91
2015-08,5.8
2015-08,5.72
2015-08,5.7
2015-09,5.78
2015-09,5.73
2015-09,5.7
2015-09,5.74
2015-09,5.74
2015-09,5.64
2015-09,5.59
2015-09,5.58
2015-09,5.62
2015-09,5.62
2015-09,5.54
2015-09,5.59
2015-09,5.71
2015-09,5.8
2015-09,5.77
2015-09,5.98
2015-09,5.98
2015-09,6.14
2015-09,6.15
2015-09,6.48
2015-09,6.6
2015-09,6.62
2015-10,6.67
2015-10,6.83
2015-10,6.62
2015-10,6.52
2015-10,6.32
2015-10,6.26
2015-10,6.13
2015-10,6.13
2015-10,6.24
2015-10,6.31
2015-10,6.26
2015-10,6.18
2015-10,6.16
2015-10,6.06
2015-10,6.07
2015-10,6.1
2015-10,5.97
2015-10,6.0
2015-10,6.07
2015-10,5.97
2015-10,5.89
2015-10,5.88
2015-10,5.9
2015-11,5.84
2015-11,5.77
2015-11,5.73
2015-11,5.8
2015-11,5.82
2015-11,5.94
2015-11,6.02
2015-11,6.02
2015-11,6.13
2015-11,6.24
2015-11,6.28
2015-11,6.19
2015-11,6.2
2015-11,6.28
2015-11,6.32
2015-11,6.35
2015-11,6.41
2015-11,6.37
2015-11,6.37
2015-11,6.38
2015-11,6.4
2015-12,6.4
2015-12,6.34
2015-12,6.32
2015-12,6.37
2015-12,6.51
2015-12,6.65
2015-12,6.72
2015-12,6.71
2015-12,7.1
2015-12,7.33
2015-12,7.09
2015-12,6.98
2015-12,7.01
2015-12,7.2
2015-12,7.25
2015-12,7.15
2015-12,7.05
2015-12,7.05
2015-12,
2015-12,7.07
2015-12,6.96
2015-12,6.95
2015-12,6.95
2016-01,
2016-01,7.1
2016-01,7.03
2016-01,7.11
2016-01,7.24
2016-01,7.23
2016-01,7.31
2016-01,7.38
2016-01,7.5
2016-01,7.57
2016-01,7.89
2016-01,7.9
2016-01,7.88
2016-01,8.27
2016-01,8.13
2016-01,7.87
2016-01,7.85
2016-01,7.83
2016-01,7.78
2016-01,7.75
2016-01,7.74
2016-01,7.77
2016-02,7.79
2016-02,7.98
2016-02,8.03
2016-02,8.03
2016-02,8.1
2016-02,8.51
2016-02,8.62
2016-02,8.53
2016-02,8.87
2016-02,8.64
2016-02,8.59
2016-02,8.45
2016-02,8.21
2016-02,8.17
2016-02,8.23
2016-02,8.09
2016-02,8.1
2016-02,8.17
2016-02,8.08
2016-02,7.8
2016-02,7.75
2016-03,7.46
2016-03,7.31
2016-03,7.28
2016-03,7.08
2016-03,7.03
2016-03,7.14
2016-03,7.15
2016-03,7.04
2016-03,6.82
2016-03,6.74
2016-03,6.84
2016-03,6.94
2016-03,6.82
2016-03,6.71
2016-03,6.65
2016-03,6.69
2016-03,6.79
2016-03,6.93
2016-03,
2016-03,6.99
2016-03,7.14
2016-03,7.03
2016-03,7.05
2016-04,7.05
2016-04,7.03
2016-04,7.13
2016-04,7.04
2016-04,7.11
2016-04,7.03
2016-04,7.0
2016-04,6.87
2016-04,6.71
2016-04,6.6
2016-04,6.62
2016-04,6.62
2016-04,6.46
2016-04,6.31
2016-04,6.29
2016-04,6.29
2016-04,6.32
2016-04,6.26
2016-04,6.25
2016-04,6.19
2016-04,6.24
2016-04,6.21
2016-05,6.16
2016-05,6.31
2016-05,6.39
2016-05,6.42
2016-05,6.48
2016-05,6.53
2016-05,6.46
2016-05,6.4
2016-05,6.36
2016-05,6.41
2016-05,6.3
2016-05,6.26
2016-05,6.16
2016-05,6.29
2016-05,6.22
2016-05,6.21
2016-05,6.13
2016-05,6.04
2016-05,6.08
2016-05,6.08
2016-05,6.08
2016-05,5.97
2016-06,6.01
2016-06,6.0
2016-06,6.09
2016-06,6.0
2016-06,5.92
2016-06,5.82
2016-06,5.86
2016-06,5.98
2016-06,6.07
2016-06,6.19
2016-06,6.18
2016-06,6.32
2016-06,6.21
2016-06,6.0
2016-06,6.0
2016-06,5.96
2016-06,5.83
2016-06,6.33
2016-06,6.57
2016-06,6.48
2016-06,6.26
2016-06,6.21
2016-07,6.12
2016-07,6.12
2016-07,6.16
2016-07,6.14
2016-07,6.02
2016-07,5.88
2016-07,5.66
2016-07,5.46
2016-07,5.58
2016-07,5.44
2016-07,5.42
2016-07,5.44
2016-07,5.45
2016-07,5.4
2016-07,5.41
2016-07,5.39
2016-07,5.39
2016-07,5.45
2016-07,5.51
2016-07,5.54
2016-07,5.61
2016-07,5.69
2016-08,5.69
2016-08,5.73
2016-08,5.72
2016-08,5.65
2016-08,5.46
2016-08,5.42
2016-08,5.36
2016-08,5.38
2016-08,5.31
2016-08,5.34
2016-08,5.23
2016-08,5.17
2016-08,5.19
2016-08,5.2
2016-08,5.15
2016-08,5.18
2016-08,5.14
2016-08,5.13
2016-08,5.14
2016-08,5.04
2016-08,5.1
2016-08,5.07
2016-08,5.1
2016-09,5.12
2016-09,5.09
2016-09,5.09
2016-09,5.09
2016-09,5.07
2016-09,4.99
2016-09,5.1
2016-09,5.18
2016-09,5.24
2016-09,5.26
2016-09,5.26
2016-09,5.27
2016-09,5.25
2016-09,5.24
2016-09,5.22
2016-09,5.09
2016-09,5.1
2016-09,5.16
2016-09,5.18
2016-09,5.14
2016-09,5.09
2016-09,4.97
2016-10,4.93
2016-10,4.85
2016-10,4.78
2016-10,4.75
2016-10,4.76
2016-10,4.76
