Date,Global GPR,China GPR,USA GPR,GER GPR,Saudi GPR
2005-01,-9.007637023925781,0.04290243983268738,-0.12906408309936568,-0.0814313292503357,-0.01300594210624692
2005-02,8.090377807617202,0.1748093068599701,0.16621065139770508,0.2534771263599396,-0.07123228162527089
2005-03,-18.56748199462892,-0.09760057926177979,-0.5001404285430908,-0.25342857837677,0.024493761360645308
2005-04,-3.378082275390625,-0.1648207306861878,-0.1794955730438237,-0.03635688126087189,-0.06673784554004672
2005-05,11.173561096191406,0.0477481484413147,0.3393223285675053,0.1325257271528244,0.013147629797458704
2005-06,-17.0819091796875,-0.024207115173339788,-0.35138261318206765,-0.12082412838935852,0.0457796975970268
2005-07,84.77786254882812,0.3350371718406677,1.5559619665145872,0.15310275554656982,0.05982312560081479
2005-08,-49.67425537109375,-0.3286108076572418,-1.0003581047058105,0.008483916521072388,0.1022302657365799
2005-09,-12.419998168945298,0.1045609712600708,-0.12297892570495605,-0.04077145457267761,-0.1835645437240601
2005-10,-16.74583435058595,-0.25240421295166016,-0.349151611328125,-0.13547536730766296,-0.03917258977890009
2005-11,-3.5817337036132812,0.14331936836242679,-0.24795305728912354,0.011823713779449463,0.010526247322559301
2005-12,11.870155334472656,-0.1771351397037506,0.3634246587753296,0.0761334598064422,0.024275146424770397
2006-01,-0.840232849121108,0.41772371530532837,0.06218266487121582,0.187815010547638,0.007261358201503795
2006-02,1.3481750488281392,-0.15973085165023804,0.03417515754699707,-0.15728974342346197,0.04850298911333081
2006-03,-3.0605697631835938,0.056744515895843506,-0.03336620330810547,-0.09293445944786072,-0.03612880408763891
2006-04,-3.7818222045898438,0.011022031307220459,-0.14906978607177734,0.002641588449478205,-0.022842764854431097
2006-05,-3.8070220947265625,0.029607832431793213,-0.041087627410889116,0.13451063632965082,-0.034581251442432404
2006-06,17.363990783691406,-0.027641654014587402,0.34007310867309615,-0.03228542208671564,0.04601042717695231
2006-07,34.56205749511719,0.20226937532424927,0.6339466571807866,0.0570644736289978,0.1519604027271271
2006-08,9.9462890625,-0.27206930518150335,0.05741548538208008,0.026240289211273138,-0.1344886422157287
2006-09,-35.35685729980469,0.02056330442428589,-0.55363941192627,0.02152231335639959,0.0164191871881485
2006-10,1.4110412597656392,0.5947425663471222,0.11275696754455522,-0.21163144707679749,-0.014784231781959617
2006-11,-24.356376647949233,-0.6583552062511444,-0.6312085390090938,-0.0645256638526917,-0.03678742796182628
2006-12,1.8276367187499858,-0.015268981456756592,0.09954512119293257,0.04341258108615878,0.1108878180384636
