Date, New Orders
2005-01,378937.0
2005-02,381880.0
2005-03,374642.0
2005-04,385450.0
2005-05,395916.0
2005-06,400506.0
2005-07,386590.0
2005-08,401287.0
2005-09,404154.0
2005-10,409487.0
2005-11,421486.0
2005-12,422981.0
2006-01,415824.0
2006-02,421074.0
2006-03,430457.0
2006-04,418625.0
2006-05,423472.0
2006-06,427440.0
2006-07,416849.0
2006-08,418759.0
2006-09,435776.0
2006-10,415798.0
2006-11,426451.0
2006-12,437894.0
2007-01,427905.0
2007-02,430410.0
2007-03,442158.0
2007-04,446596.0
2007-05,445891.0
2007-06,446539.0
2007-07,450464.0
2007-08,452598.0
2007-09,448633.0
2007-10,458907.0
2007-11,464910.0
2007-12,481274.0
2008-01,478676.0
2008-02,473714.0
2008-03,473829.0
2008-04,477888.0
2008-05,477706.0
2008-06,485010.0
2008-07,477725.0
2008-08,463929.0
2008-09,452545.0
2008-10,419715.0
2008-11,386733.0
2008-12,365490.0
2009-01,343559.0
2009-02,343150.0
2009-03,333431.0
2009-04,334449.0
2009-05,339817.0
2009-06,345129.0
2009-07,348909.0
2009-08,355776.0
2009-09,359189.0
2009-10,366143.0
2009-11,369445.0
2009-12,371392.0
2010-01,393694.0
2010-02,394215.0
2010-03,400659.0
2010-04,400842.0
2010-05,404370.0
2010-06,400624.0
2010-07,402326.0
2010-08,408354.0
2010-09,422049.0
2010-10,417830.0
2010-11,426427.0
2010-12,429764.0
2011-01,445734.0
2011-02,438975.0
2011-03,463133.0
2011-04,454441.0
2011-05,458536.0
2011-06,454746.0
2011-07,459477.0
2011-08,468947.0
2011-09,457843.0
2011-10,463126.0
2011-11,471598.0
2011-12,478391.0
2012-01,481515.0
2012-02,486936.0
2012-03,480147.0
2012-04,474178.0
2012-05,473108.0
2012-06,462435.0
2012-07,472663.0
2012-08,455821.0
2012-09,475369.0
2012-10,478507.0
2012-11,475932.0
2012-12,488496.0
2013-01,485261.0
2013-02,501221.0
2013-03,475224.0
2013-04,481657.0
2013-05,494363.0
2013-06,501703.0
2013-07,481319.0
2013-08,484962.0
2013-09,496806.0
2013-10,491978.0
2013-11,503515.0
2013-12,500487.0
2014-01,486935.0
2014-02,496729.0
2014-03,497989.0
2014-04,501596.0
2014-05,495265.0
2014-06,499173.0
2014-07,559295.0
2014-08,495344.0
2014-09,492913.0
2014-10,485343.0
2014-11,475804.0
2014-12,464933.0
2015-01,457925.0
2015-02,452584.0
2015-03,463252.0
2015-04,460289.0
2015-05,450983.0
2015-06,463819.0
2015-07,459623.0
2015-08,450872.0
2015-09,443626.0
2015-10,450910.0
2015-11,443949.0
2015-12,436169.0
2016-01,443032.0
2016-02,431196.0
2016-03,436598.0
2016-04,448453.0
2016-05,442183.0
2016-06,430261.0
2016-07,435507.0
2016-08,438959.0
2016-09,438760.0
2016-10,456552.0
2016-11,437433.0
2016-12,447970.0
2017-01,448947.0
2017-02,452625.0
2017-03,452140.0
2017-04,454258.0
2017-05,450239.0
2017-06,464508.0
2017-07,446837.0
2017-08,453565.0
2017-09,461137.0
2017-10,463860.0
2017-11,470852.0
2017-12,481816.0
2018-01,470594.0
2018-02,479219.0
2018-03,486534.0
2018-04,486161.0
2018-05,490164.0
2018-06,489657.0
2018-07,482617.0
2018-08,494392.0
2018-09,496543.0
2018-10,487659.0
2018-11,477751.0
2018-12,480710.0
2019-01,474710.0
2019-02,471512.0
2019-03,480547.0
2019-04,473631.0
2019-05,464322.0
2019-06,458788.0
2019-07,464634.0
2019-08,464972.0
2019-09,458357.0
2019-10,456077.0
2019-11,447621.0
2019-12,450912.0
2020-01,459296.0
2020-02,461771.0
2020-03,414724.0
2020-04,355712.0
2020-05,376125.0
2020-06,403154.0
2020-07,430698.0
2020-08,437213.0
2020-09,440175.0
2020-10,449054.0
2020-11,454377.0
2020-12,464003.0
2021-01,483223.0
2021-02,487080.0
2021-03,492629.0
2021-04,495617.0
2021-05,502655.0
2021-06,510229.0
2021-07,517777.0
2021-08,526528.0
2021-09,521202.0
2021-10,535260.0
2021-11,544773.0
2021-12,549680.0
2022-01,561562.0
2022-02,562290.0
2022-03,574092.0
2022-04,577383.0
2022-05,583421.0
2022-06,589969.0
2022-07,584463.0
2022-08,582320.0
2022-09,577769.0
2022-10,590415.0
2022-11,577841.0
2022-12,576183.0
2023-01,585407.0
2023-02,575072.0
2023-03,575589.0
2023-04,580722.0
2023-05,577769.0
2023-06,585469.0
2023-07,579559.0
2023-08,585331.0
2023-09,593919.0
2023-10,576365.0
2023-11,597695.0
2023-12,585235.0
2024-01,571657.0
2024-02,579666.0
2024-03,583953.0
2024-04,586114.0
2024-05,583300.0
2024-06,563972.0
2024-07,591644.0
2024-08,587023.0
2024-09,585571.0
2024-10,588231.0
2024-11,583689.0
2024-12,580160.0
2025-01,590391.0
2025-02,593159.0
2025-03,618833.0
