,Defaut Spread (BofA EU High Yield)
2010-11,5.64
2010-11,5.78
2010-11,5.79
2010-11,5.73
2010-11,5.7
2010-11,5.77
2010-11,5.65
2010-11,5.65
2010-11,5.73
2010-11,5.95
2010-11,6.0
2010-11,5.99
2010-11,6.09
2010-11,6.15
2010-11,6.53
2010-12,6.37
2010-12,6.28
2010-12,6.22
2010-12,6.17
2010-12,6.06
2010-12,5.96
2010-12,5.99
2010-12,5.96
2010-12,5.96
2010-12,5.91
2010-12,5.9
2010-12,5.86
2010-12,5.89
2010-12,5.94
2010-12,5.92
2010-12,5.97
2010-12,5.92
2010-12,5.91
2010-12,5.88
2010-12,5.95
2010-12,5.92
2010-12,5.95
2010-12,6.03
2011-01,6.06
2011-01,5.92
2011-01,5.78
2011-01,5.77
2011-01,5.81
2011-01,5.9
2011-01,5.85
2011-01,5.73
2011-01,5.58
2011-01,5.5
2011-01,5.46
2011-01,5.37
2011-01,5.36
2011-01,5.32
2011-01,5.25
2011-01,5.24
2011-01,5.22
2011-01,5.12
2011-01,5.14
2011-01,5.13
2011-01,5.28
2011-02,5.2
2011-02,5.1
2011-02,5.17
2011-02,5.12
2011-02,5.08
2011-02,5.02
2011-02,4.96
2011-02,4.97
2011-02,5.0
2011-02,4.97
2011-02,4.98
2011-02,4.97
2011-02,4.97
2011-02,4.91
2011-02,4.94
2011-02,4.95
2011-02,4.94
2011-02,4.97
2011-02,4.95
2011-02,5.01
2011-03,4.97
2011-03,4.98
2011-03,4.81
2011-03,4.82
2011-03,4.82
2011-03,4.82
2011-03,4.86
2011-03,4.94
2011-03,5.04
2011-03,5.08
2011-03,5.31
2011-03,5.38
2011-03,5.34
2011-03,5.25
2011-03,5.12
2011-03,5.13
2011-03,5.16
2011-03,5.15
2011-03,5.1
2011-03,5.05
2011-03,5.02
2011-03,5.01
2011-03,5.16
2011-04,5.03
2011-04,4.99
2011-04,4.93
2011-04,4.85
2011-04,4.8
2011-04,4.71
2011-04,4.7
2011-04,4.78
2011-04,4.77
2011-04,4.79
2011-04,4.83
2011-04,4.97
2011-04,4.96
2011-04,4.92
2011-04,4.93
2011-04,
2011-04,4.93
2011-04,4.94
2011-04,4.88
2011-04,4.9
2011-04,4.9
2011-04,4.99
2011-05,4.98
2011-05,4.9
2011-05,4.83
2011-05,4.92
2011-05,4.94
2011-05,4.98
2011-05,4.97
2011-05,4.92
2011-05,4.98
2011-05,4.96
2011-05,4.9
2011-05,4.89
2011-05,4.89
2011-05,4.87
2011-05,4.92
2011-05,5.05
2011-05,5.05
2011-05,5.11
2011-05,5.15
2011-05,5.19
2011-05,5.19
2011-05,5.05
2011-06,5.07
2011-06,5.11
2011-06,5.09
2011-06,5.1
2011-06,5.08
2011-06,5.13
2011-06,5.21
2011-06,5.31
2011-06,5.4
2011-06,5.38
2011-06,5.47
2011-06,5.68
2011-06,5.68
2011-06,5.68
2011-06,5.66
2011-06,5.65
2011-06,5.83
2011-06,5.82
2011-06,5.9
2011-06,5.87
2011-06,5.71
2011-06,5.61
2011-07,5.5
2011-07,5.48
2011-07,5.49
2011-07,5.64
2011-07,5.65
2011-07,5.78
2011-07,6.05
2011-07,6.19
2011-07,6.12
2011-07,6.13
2011-07,6.22
2011-07,6.34
2011-07,6.31
2011-07,6.23
2011-07,6.05
2011-07,5.94
2011-07,6.01
2011-07,6.03
2011-07,6.15
2011-07,6.19
2011-07,6.28
2011-07,5.96
2011-08,5.99
2011-08,6.15
2011-08,6.32
2011-08,6.56
2011-08,7.04
2011-08,7.22
2011-08,7.69
2011-08,7.84
2011-08,8.22
2011-08,8.19
2011-08,7.98
2011-08,7.98
2011-08,7.94
2011-08,8.09
2011-08,8.2
2011-08,8.33
2011-08,8.56
2011-08,8.73
2011-08,8.76
2011-08,8.82
2011-08,8.77
2011-08,8.7
2011-08,8.27
2011-09,8.12
2011-09,8.28
2011-09,8.54
2011-09,8.77
2011-09,8.69
2011-09,8.68
2011-09,8.84
2011-09,9.23
2011-09,9.46
2011-09,9.32
2011-09,9.13
2011-09,9.06
2011-09,9.25
2011-09,9.28
2011-09,9.28
2011-09,9.61
2011-09,9.78
2011-09,9.85
2011-09,9.64
2011-09,9.66
2011-09,9.68
2011-09,9.88
2011-10,10.12
2011-10,10.49
2011-10,10.44
2011-10,10.25
2011-10,10.15
2011-10,9.96
2011-10,9.71
2011-10,9.39
2011-10,9.24
2011-10,9.05
2011-10,8.91
2011-10,8.95
2011-10,8.78
2011-10,8.77
2011-10,8.66
2011-10,8.6
2011-10,8.56
2011-10,8.57
2011-10,8.11
2011-10,7.89
2011-10,8.11
2011-11,8.75
2011-11,8.68
2011-11,8.65
2011-11,8.59
2011-11,8.68
2011-11,8.65
2011-11,8.69
2011-11,8.72
2011-11,8.67
2011-11,8.56
2011-11,8.63
2011-11,8.63
2011-11,8.64
2011-11,8.79
2011-11,8.94
2011-11,9.08
2011-11,9.23
2011-11,9.35
2011-11,9.49
2011-11,9.51
2011-11,9.62
2011-11,9.93
2011-12,9.93
2011-12,9.76
2011-12,9.59
2011-12,9.51
2011-12,9.41
2011-12,9.4
2011-12,9.47
2011-12,9.55
2011-12,9.59
2011-12,9.71
2011-12,9.75
2011-12,9.78
2011-12,9.76
2011-12,9.74
2011-12,9.68
2011-12,9.66
2011-12,9.66
2011-12,
2011-12,9.73
2011-12,9.68
2011-12,9.68
2011-12,9.66
2011-12,10.42
2012-01,
2012-01,10.16
2012-01,10.01
2012-01,10.02
2012-01,9.95
2012-01,9.97
2012-01,9.9
2012-01,9.91
2012-01,9.94
2012-01,9.82
2012-01,9.86
2012-01,9.68
2012-01,9.58
2012-01,9.4
2012-01,9.3
2012-01,9.15
2012-01,9.02
2012-01,8.9
2012-01,8.76
2012-01,8.71
2012-01,8.76
2012-01,8.64
2012-02,8.48
2012-02,8.37
2012-02,8.22
2012-02,8.28
2012-02,8.2
2012-02,8.15
2012-02,8.18
2012-02,8.22
2012-02,8.18
2012-02,8.16
2012-02,8.2
2012-02,8.33
2012-02,8.2
2012-02,8.11
2012-02,7.99
2012-02,7.98
2012-02,7.94
2012-02,7.85
2012-02,7.85
2012-02,7.74
2012-02,7.45
2012-03,7.38
2012-03,7.33
2012-03,7.35
2012-03,7.52
2012-03,7.61
2012-03,7.5
2012-03,7.42
2012-03,7.37
2012-03,7.27
2012-03,7.09
2012-03,7.04
2012-03,6.92
2012-03,6.91
2012-03,6.92
2012-03,6.97
2012-03,7.11
2012-03,7.21
2012-03,7.18
2012-03,7.16
2012-03,7.18
2012-03,7.27
2012-03,7.31
2012-03,7.23
2012-04,7.25
2012-04,7.24
2012-04,7.32
2012-04,7.5
2012-04,
2012-04,7.5
2012-04,7.79
2012-04,7.87
2012-04,7.84
2012-04,7.8
2012-04,7.83
2012-04,7.79
2012-04,7.78
2012-04,7.77
2012-04,7.8
2012-04,7.86
2012-04,7.83
2012-04,7.73
2012-04,7.74
2012-04,7.69
2012-04,7.73
2012-05,7.69
2012-05,7.65
2012-05,7.61
2012-05,7.6
2012-05,7.64
2012-05,7.7
2012-05,7.87
2012-05,7.85
2012-05,7.88
2012-05,8.01
2012-05,8.06
2012-05,8.25
2012-05,8.34
2012-05,8.54
2012-05,8.56
2012-05,8.48
2012-05,8.6
2012-05,8.72
2012-05,8.76
2012-05,8.73
2012-05,8.69
2012-05,8.79
2012-05,8.77
2012-06,8.91
2012-06,8.89
2012-06,8.87
2012-06,8.83
2012-06,8.63
2012-06,8.65
2012-06,8.51
2012-06,8.51
2012-06,8.52
2012-06,8.58
2012-06,8.54
2012-06,8.48
2012-06,8.39
2012-06,8.24
2012-06,8.22
2012-06,8.23
2012-06,8.25
2012-06,8.26
2012-06,8.23
2012-06,8.24
2012-06,8.07
2012-06,8.2
2012-07,8.11
2012-07,8.06
2012-07,8.03
2012-07,8.0
2012-07,8.12
2012-07,8.17
2012-07,8.15
2012-07,8.18
2012-07,8.2
2012-07,8.25
2012-07,8.33
2012-07,8.37
2012-07,8.28
2012-07,8.2
2012-07,8.21
2012-07,8.36
2012-07,8.39
2012-07,8.45
2012-07,8.42
2012-07,8.32
2012-07,8.2
2012-07,8.14
2012-08,8.02
2012-08,8.02
2012-08,7.93
2012-08,7.77
2012-08,7.65
2012-08,7.63
2012-08,7.57
2012-08,7.61
2012-08,7.6
2012-08,7.58
2012-08,7.54
2012-08,7.52
2012-08,7.51
2012-08,7.47
2012-08,7.39
2012-08,7.41
2012-08,7.46
2012-08,7.56
2012-08,7.55
2012-08,7.53
2012-08,7.49
2012-08,7.52
2012-08,7.38
2012-09,7.34
2012-09,7.28
2012-09,7.24
2012-09,7.08
2012-09,6.92
2012-09,6.87
2012-09,6.91
2012-09,6.77
2012-09,6.77
2012-09,6.57
2012-09,6.52
2012-09,6.57
2012-09,6.57
2012-09,6.65
2012-09,6.66
2012-09,6.76
2012-09,6.72
2012-09,6.9
2012-09,6.94
2012-09,6.94
2012-09,6.92
2012-10,6.88
2012-10,6.82
2012-10,6.78
2012-10,6.7
2012-10,6.61
2012-10,6.63
2012-10,6.65
2012-10,6.71
2012-10,6.69
2012-10,6.66
2012-10,6.59
2012-10,6.46
2012-10,6.28
2012-10,6.24
2012-10,6.24
2012-10,6.23
2012-10,6.28
2012-10,6.33
2012-10,6.32
2012-10,6.41
2012-10,6.48
2012-10,
2012-10,6.46
2012-11,6.44
2012-11,6.44
2012-11,6.43
2012-11,6.4
2012-11,6.38
2012-11,6.36
2012-11,6.41
2012-11,6.4
2012-11,6.44
2012-11,6.39
2012-11,6.41
2012-11,6.46
2012-11,6.4
2012-11,6.33
2012-11,6.28
2012-11,6.21
2012-11,6.2
2012-11,6.19
2012-11,6.15
2012-11,6.16
2012-11,6.1
2012-11,6.05
2012-12,5.98
2012-12,5.93
2012-12,5.86
2012-12,5.86
2012-12,5.88
2012-12,5.96
2012-12,5.91
2012-12,5.83
2012-12,5.75
2012-12,5.66
2012-12,5.64
2012-12,5.55
2012-12,5.5
2012-12,5.46
2012-12,5.48
2012-12,5.48
2012-12,
2012-12,5.48
2012-12,5.48
2012-12,5.48
2012-12,5.55
2013-01,
2013-01,5.38
2013-01,5.22
2013-01,5.12
2013-01,5.05
2013-01,4.98
2013-01,4.93
2013-01,4.87
2013-01,4.83
2013-01,4.85
2013-01,4.93
2013-01,4.99
2013-01,4.89
2013-01,4.89
2013-01,4.87
2013-01,4.92
2013-01,5.01
2013-01,5.11
2013-01,5.02
2013-01,4.98
2013-01,5.09
2013-01,5.19
2013-01,5.4
2013-02,5.44
2013-02,5.48
2013-02,5.49
2013-02,5.47
2013-02,5.5
2013-02,5.48
2013-02,5.46
2013-02,5.42
2013-02,5.32
2013-02,5.32
2013-02,5.3
2013-02,5.29
2013-02,5.28
2013-02,5.2
2013-02,5.26
2013-02,5.27
2013-02,5.21
2013-02,5.41
2013-02,5.44
2013-02,5.35
2013-03,5.39
2013-03,5.37
2013-03,5.28
2013-03,5.24
2013-03,5.15
2013-03,5.09
2013-03,5.08
2013-03,5.08
2013-03,5.11
2013-03,5.07
2013-03,5.07
2013-03,5.2
2013-03,5.19
2013-03,5.18
2013-03,5.18
2013-03,5.2
2013-03,5.2
2013-03,5.21
2013-03,5.31
2013-03,5.34
2013-03,
2013-03,5.42
2013-04,5.42
2013-04,5.39
2013-04,5.34
2013-04,5.34
2013-04,5.35
2013-04,5.3
2013-04,5.2
2013-04,5.08
2013-04,5.03
2013-04,5.07
2013-04,5.07
2013-04,5.06
2013-04,5.05
2013-04,5.07
2013-04,5.05
2013-04,5.04
2013-04,4.96
2013-04,4.91
2013-04,4.88
2013-04,4.87
2013-04,4.76
2013-04,4.72
2013-05,4.71
2013-05,4.75
2013-05,4.66
2013-05,4.65
2013-05,4.56
2013-05,4.53
2013-05,4.55
2013-05,4.49
2013-05,4.54
2013-05,4.6
2013-05,4.63
2013-05,4.64
2013-05,4.64
2013-05,4.59
2013-05,4.56
2013-05,4.54
2013-05,4.62
2013-05,4.64
2013-05,4.61
2013-05,4.56
2013-05,4.62
2013-05,4.69
2013-05,4.81
2013-06,4.85
2013-06,4.83
2013-06,4.96
2013-06,5.07
2013-06,5.08
2013-06,5.01
2013-06,5.18
2013-06,5.18
2013-06,5.35
2013-06,5.28
2013-06,5.2
2013-06,5.15
2013-06,5.15
2013-06,5.29
2013-06,5.32
2013-06,5.52
2013-06,5.58
2013-06,5.52
2013-06,5.38
2013-06,5.41
2013-06,5.42
2013-07,5.59
2013-07,5.58
2013-07,5.74
2013-07,5.7
2013-07,5.59
2013-07,5.52
2013-07,5.44
2013-07,5.44
2013-07,5.37
2013-07,5.41
2013-07,5.37
2013-07,5.36
2013-07,5.35
2013-07,5.32
2013-07,5.28
2013-07,5.2
2013-07,5.09
2013-07,5.03
2013-07,5.07
2013-07,5.08
2013-07,5.08
2013-07,5.06
2013-07,5.05
2013-08,4.98
2013-08,4.96
2013-08,4.92
2013-08,4.89
2013-08,4.91
2013-08,4.9
2013-08,4.89
2013-08,4.88
2013-08,4.78
2013-08,4.76
2013-08,4.74
2013-08,4.78
2013-08,4.79
2013-08,4.9
2013-08,4.9
2013-08,4.9
2013-08,4.86
2013-08,4.88
2013-08,4.94
2013-08,4.97
2013-08,4.96
2013-08,
2013-09,4.92
2013-09,4.86
2013-09,4.88
2013-09,4.81
2013-09,4.88
2013-09,4.87
2013-09,4.79
2013-09,4.79
2013-09,4.82
2013-09,4.84
2013-09,4.81
2013-09,4.77
2013-09,4.73
2013-09,4.68
2013-09,4.65
2013-09,4.68
2013-09,4.73
2013-09,4.72
2013-09,4.71
2013-09,4.74
2013-09,4.91
2013-10,4.86
2013-10,4.82
2013-10,4.78
2013-10,4.73
2013-10,4.72
2013-10,4.68
2013-10,4.68
2013-10,4.61
2013-10,4.58
2013-10,4.53
2013-10,4.47
2013-10,4.43
2013-10,4.42
2013-10,4.4
2013-10,4.35
2013-10,4.36
2013-10,4.37
2013-10,4.38
2013-10,4.39
2013-10,4.38
2013-10,4.35
2013-10,4.35
2013-10,4.45
2013-11,4.43
2013-11,4.41
2013-11,4.36
2013-11,4.34
2013-11,4.37
2013-11,4.35
2013-11,4.34
2013-11,4.33
2013-11,4.41
2013-11,4.39
2013-11,4.37
2013-11,4.34
2013-11,4.34
2013-11,4.34
2013-11,4.32
2013-11,4.29
2013-11,4.27
2013-11,4.27
2013-11,4.25
2013-11,4.23
2013-11,4.21
2013-11,4.22
2013-12,3.85
2013-12,3.85
2013-12,3.83
2013-12,3.8
2013-12,3.81
2013-12,3.79
2013-12,3.76
2013-12,3.74
2013-12,3.72
2013-12,3.73
2013-12,3.69
2013-12,3.69
2013-12,3.69
2013-12,3.65
2013-12,3.62
2013-12,3.6
2013-12,3.59
2013-12,
2013-12,3.59
2013-12,3.55
2013-12,3.56
2013-12,3.6
2014-01,
2014-01,3.56
2014-01,3.55
2014-01,3.52
2014-01,3.49
2014-01,3.48
2014-01,3.49
2014-01,3.52
2014-01,3.53
2014-01,3.54
2014-01,3.5
2014-01,3.51
2014-01,3.51
2014-01,3.51
2014-01,3.49
2014-01,3.48
2014-01,3.53
2014-01,3.67
2014-01,3.73
2014-01,3.72
2014-01,3.73
2014-01,3.8
2014-01,3.72
2014-02,3.72
2014-02,3.76
2014-02,3.72
2014-02,3.66
2014-02,3.63
2014-02,3.57
2014-02,3.53
2014-02,3.51
2014-02,3.52
2014-02,3.49
2014-02,3.46
2014-02,3.44
2014-02,3.41
2014-02,3.4
2014-02,3.35
2014-02,3.3
2014-02,3.27
2014-02,3.27
2014-02,3.27
2014-02,3.22
2014-03,3.27
2014-03,3.25
2014-03,3.2
2014-03,3.14
2014-03,3.11
2014-03,3.11
2014-03,3.1
2014-03,3.16
2014-03,3.2
2014-03,3.25
2014-03,3.21
2014-03,3.18
2014-03,3.12
2014-03,3.09
2014-03,3.09
2014-03,3.1
2014-03,3.13
2014-03,3.14
2014-03,3.15
2014-03,3.11
2014-03,3.13
2014-04,3.09
2014-04,3.05
2014-04,3.05
2014-04,3.02
2014-04,3.02
2014-04,3.02
2014-04,2.98
2014-04,2.99
2014-04,3.02
2014-04,3.02
2014-04,3.04
2014-04,3.06
2014-04,3.04
2014-04,
2014-04,3.03
2014-04,3.01
2014-04,3.0
2014-04,2.99
2014-04,3.0
2014-04,3.01
2014-04,3.0
2014-04,3.1
2014-05,3.09
2014-05,3.09
2014-05,3.07
2014-05,3.07
2014-05,3.06
2014-05,3.05
2014-05,3.02
2014-05,2.99
2014-05,2.99
2014-05,3.01
2014-05,3.08
2014-05,3.11
2014-05,3.1
2014-05,3.13
2014-05,3.16
2014-05,3.22
2014-05,3.17
2014-05,3.16
2014-05,3.13
2014-05,3.13
2014-05,3.13
2014-05,3.12
2014-05,3.22
2014-06,3.21
2014-06,3.19
2014-06,3.17
2014-06,3.15
2014-06,3.08
2014-06,3.0
2014-06,2.97
2014-06,3.0
2014-06,3.02
2014-06,3.04
2014-06,3.03
2014-06,3.01
2014-06,3.02
2014-06,3.0
2014-06,2.98
2014-06,3.0
2014-06,3.0
2014-06,3.04
2014-06,3.09
2014-06,3.11
2014-06,3.26
2014-07,3.28
2014-07,3.25
2014-07,3.24
2014-07,3.25
2014-07,3.23
2014-07,3.27
2014-07,3.31
2014-07,3.41
2014-07,3.4
2014-07,3.4
2014-07,3.4
2014-07,3.4
2014-07,3.41
2014-07,3.42
2014-07,3.42
2014-07,3.42
2014-07,3.41
2014-07,3.38
2014-07,3.4
2014-07,3.37
2014-07,3.39
2014-07,3.38
2014-07,3.56
2014-08,3.67
2014-08,3.65
2014-08,3.65
2014-08,3.78
2014-08,3.82
2014-08,3.92
2014-08,3.87
2014-08,3.82
2014-08,3.8
2014-08,3.76
2014-08,3.73
2014-08,3.69
2014-08,3.64
2014-08,3.61
2014-08,3.57
2014-08,3.55
2014-08,3.57
2014-08,3.5
2014-08,3.49
2014-08,3.51
2014-08,3.51
2014-08,3.55
2014-09,3.56
2014-09,3.55
2014-09,3.54
2014-09,3.59
2014-09,3.59
2014-09,3.59
2014-09,3.6
2014-09,3.62
2014-09,3.61
2014-09,3.58
2014-09,3.6
2014-09,3.64
2014-09,3.64
2014-09,3.6
2014-09,3.59
2014-09,3.66
2014-09,3.67
2014-09,3.7
2014-09,3.75
2014-09,3.83
2014-09,3.94
2014-09,3.96
2014-10,3.95
2014-10,3.97
2014-10,3.96
2014-10,3.93
2014-10,3.95
2014-10,4.01
2014-10,4.01
2014-10,4.09
2014-10,4.14
2014-10,4.2
2014-10,4.35
2014-10,4.44
2014-10,4.33
2014-10,4.33
2014-10,4.23
2014-10,4.16
2014-10,4.12
2014-10,4.08
2014-10,4.04
2014-10,4.03
2014-10,4.0
2014-10,4.06
2014-10,4.0
2014-11,3.95
2014-11,3.94
2014-11,3.93
2014-11,3.89
2014-11,3.86
2014-11,3.82
2014-11,3.77
2014-11,3.78
2014-11,3.78
2014-11,3.85
2014-11,3.83
2014-11,3.82
2014-11,3.82
2014-11,3.88
2014-11,3.86
2014-11,3.82
2014-11,3.81
2014-11,3.81
2014-11,3.79
2014-11,3.77
2014-11,3.78
2014-12,3.77
2014-12,3.76
2014-12,3.76
2014-12,3.73
2014-12,3.73
2014-12,3.75
2014-12,3.8
2014-12,3.85
2014-12,3.91
2014-12,3.97
2014-12,4.01
2014-12,4.1
2014-12,4.13
2014-12,4.08
2014-12,4.07
2014-12,4.09
2014-12,4.07
2014-12,4.08
2014-12,
2014-12,4.08
2014-12,4.11
2014-12,4.11
2014-12,4.09
2015-01,
2015-01,4.17
2015-01,4.08
2015-01,4.12
2015-01,4.14
2015-01,4.11
2015-01,4.1
2015-01,4.07
2015-01,4.07
2015-01,4.05
2015-01,4.07
2015-01,
2015-01,4.08
2015-01,4.05
2015-01,4.03
2015-01,4.0
2015-01,3.91
2015-01,3.9
2015-01,3.92
2015-01,3.96
2015-01,3.98
2015-01,3.99
2015-01,4.06
2015-02,4.09
2015-02,4.02
2015-02,4.0
2015-02,4.0
2015-02,3.97
2015-02,3.99
2015-02,3.97
2015-02,3.98
2015-02,3.97
2015-02,3.91
2015-02,3.88
2015-02,3.87
2015-02,3.83
2015-02,3.81
2015-02,3.78
2015-02,3.73
2015-02,3.68
2015-02,3.66
2015-02,3.63
2015-02,3.58
2015-02,3.75
2015-03,3.74
2015-03,3.71
2015-03,3.69
2015-03,3.65
2015-03,3.64
2015-03,3.68
2015-03,3.75
2015-03,3.76
2015-03,3.75
2015-03,3.75
2015-03,3.77
2015-03,3.84
2015-03,3.91
2015-03,3.93
2015-03,3.93
2015-03,3.9
2015-03,3.92
2015-03,3.92
2015-03,3.93
2015-03,3.88
2015-03,3.87
2015-03,3.99
2015-04,3.96
2015-04,3.95
2015-04,
2015-04,3.94
2015-04,3.91
2015-04,3.89
2015-04,3.82
2015-04,3.81
2015-04,3.8
2015-04,3.81
2015-04,3.82
2015-04,3.87
2015-04,3.93
2015-04,3.93
2015-04,3.96
2015-04,3.93
2015-04,3.9
2015-04,3.88
2015-04,3.84
2015-04,3.83
2015-04,3.77
2015-04,3.84
2015-05,3.83
2015-05,3.82
2015-05,3.8
2015-05,3.85
2015-05,3.9
2015-05,3.88
2015-05,3.85
2015-05,3.84
2015-05,3.79
2015-05,3.77
2015-05,3.76
2015-05,3.77
2015-05,3.75
2015-05,3.75
2015-05,3.75
2015-05,3.75
2015-05,
2015-05,3.8
2015-05,3.8
2015-05,3.8
2015-05,3.82
2015-05,3.86
2015-06,3.85
2015-06,3.82
2015-06,3.79
2015-06,3.84
2015-06,3.86
2015-06,3.87
2015-06,3.88
2015-06,3.95
2015-06,3.95
2015-06,4.01
2015-06,4.13
2015-06,4.26
2015-06,4.3
2015-06,4.37
2015-06,4.35
2015-06,4.17
2015-06,4.08
2015-06,4.1
2015-06,4.09
2015-06,4.05
2015-06,4.34
2015-06,4.4
2015-07,4.33
2015-07,4.29
2015-07,4.32
2015-07,4.42
2015-07,4.5
2015-07,4.54
2015-07,4.5
2015-07,4.33
2015-07,4.26
2015-07,4.23
2015-07,4.24
2015-07,4.14
2015-07,4.09
2015-07,4.06
2015-07,4.07
2015-07,4.13
2015-07,4.14
2015-07,4.19
2015-07,4.23
2015-07,4.26
2015-07,4.28
2015-07,4.27
2015-07,4.29
2015-08,4.3
2015-08,4.31
2015-08,4.29
2015-08,4.33
2015-08,4.39
2015-08,4.4
2015-08,4.39
2015-08,4.44
2015-08,4.41
2015-08,4.39
2015-08,4.4
2015-08,4.41
2015-08,4.44
2015-08,4.52
2015-08,4.59
2015-08,4.8
2015-08,4.68
2015-08,4.69
2015-08,4.58
2015-08,4.54
2015-08,4.65
2015-09,4.64
2015-09,4.66
2015-09,4.69
2015-09,4.73
2015-09,4.74
2015-09,4.73
2015-09,4.68
2015-09,4.73
2015-09,4.77
2015-09,4.79
2015-09,4.77
2015-09,4.76
2015-09,4.74
2015-09,4.81
2015-09,4.87
2015-09,5.03
2015-09,5.1
2015-09,5.21
2015-09,5.22
2015-09,5.38
2015-09,5.53
2015-09,5.55
2015-10,5.55
2015-10,5.56
2015-10,5.46
2015-10,5.35
2015-10,5.25
2015-10,5.26
2015-10,5.18
2015-10,5.16
2015-10,5.18
2015-10,5.22
2015-10,5.2
2015-10,5.15
2015-10,5.11
2015-10,5.06
2015-10,5.09
2015-10,5.1
2015-10,5.02
2015-10,4.96
2015-10,4.98
2015-10,4.95
2015-10,4.89
2015-10,4.89
2015-10,4.9
2015-11,4.87
2015-11,4.78
2015-11,4.7
2015-11,4.71
2015-11,4.68
2015-11,4.72
2015-11,4.76
2015-11,4.78
2015-11,4.79
2015-11,4.85
2015-11,4.86
2015-11,4.83
2015-11,4.8
2015-11,4.78
2015-11,4.77
2015-11,4.76
2015-11,4.8
2015-11,4.83
2015-11,4.84
2015-11,4.85
2015-11,4.66
2015-12,4.67
2015-12,4.71
2015-12,4.61
2015-12,4.64
2015-12,4.68
2015-12,4.76
2015-12,4.87
2015-12,4.94
2015-12,5.12
2015-12,5.29
2015-12,5.19
2015-12,5.16
2015-12,5.15
2015-12,5.22
2015-12,5.24
2015-12,5.22
2015-12,5.21
2015-12,5.18
2015-12,
2015-12,5.23
2015-12,5.21
2015-12,5.33
2015-12,5.35
2016-01,
2016-01,5.45
2016-01,5.49
2016-01,5.52
2016-01,5.63
2016-01,5.61
2016-01,5.65
2016-01,5.73
2016-01,5.77
2016-01,5.9
2016-01,6.02
2016-01,6.16
2016-01,6.16
2016-01,6.37
2016-01,6.39
2016-01,6.2
2016-01,6.19
2016-01,6.23
2016-01,6.14
2016-01,6.08
2016-01,6.04
2016-01,5.71
2016-02,5.68
2016-02,5.74
2016-02,5.84
2016-02,5.82
2016-02,5.85
2016-02,6.04
2016-02,6.18
2016-02,6.14
2016-02,6.33
2016-02,6.36
2016-02,6.26
2016-02,6.22
2016-02,6.14
2016-02,6.02
2016-02,6.05
2016-02,6.01
2016-02,5.96
2016-02,6.0
2016-02,6.07
2016-02,6.03
2016-02,6.08
2016-03,5.96
2016-03,5.83
2016-03,5.82
2016-03,5.7
2016-03,5.67
2016-03,5.68
2016-03,5.66
2016-03,5.45
2016-03,5.18
2016-03,5.02
2016-03,5.13
2016-03,5.19
2016-03,5.18
2016-03,5.16
2016-03,5.12
2016-03,5.12
2016-03,5.09
2016-03,5.12
2016-03,
2016-03,5.12
2016-03,5.16
2016-03,5.11
2016-03,5.05
2016-04,5.04
2016-04,5.02
2016-04,5.04
2016-04,5.03
2016-04,5.05
2016-04,5.06
2016-04,5.03
2016-04,4.99
2016-04,4.88
2016-04,4.81
2016-04,4.8
2016-04,4.8
2016-04,4.71
2016-04,4.69
2016-04,4.6
2016-04,4.55
2016-04,4.56
2016-04,4.55
2016-04,4.59
2016-04,4.6
2016-04,4.56
2016-04,4.55
2016-05,4.57
2016-05,4.64
2016-05,4.69
2016-05,4.7
2016-05,4.75
2016-05,4.78
2016-05,4.8
2016-05,4.81
2016-05,4.78
2016-05,4.79
2016-05,4.76
2016-05,4.72
2016-05,4.7
2016-05,4.72
2016-05,4.71
2016-05,4.69
2016-05,4.66
2016-05,4.6
2016-05,4.58
2016-05,4.58
2016-05,4.58
2016-05,4.6
2016-06,4.62
2016-06,4.59
2016-06,4.56
2016-06,4.54
2016-06,4.49
2016-06,4.45
2016-06,4.44
2016-06,4.49
2016-06,4.64
2016-06,4.83
2016-06,4.79
2016-06,4.89
2016-06,4.87
2016-06,4.73
2016-06,4.66
2016-06,4.64
2016-06,4.59
2016-06,5.13
2016-06,5.24
2016-06,5.18
2016-06,5.03
2016-06,4.82
2016-07,4.7
2016-07,4.66
2016-07,4.72
2016-07,4.77
2016-07,4.75
2016-07,4.71
2016-07,4.63
2016-07,4.48
2016-07,4.44
2016-07,4.36
2016-07,4.34
2016-07,4.35
2016-07,4.36
2016-07,4.33
2016-07,4.27
2016-07,4.24
2016-07,4.23
2016-07,4.25
2016-07,4.26
2016-07,4.25
2016-07,4.26
2016-07,4.3
2016-08,4.26
2016-08,4.25
2016-08,4.26
2016-08,4.22
2016-08,4.17
2016-08,4.14
2016-08,4.11
2016-08,4.1
2016-08,4.07
2016-08,4.05
2016-08,3.99
2016-08,3.97
2016-08,3.98
2016-08,3.99
2016-08,3.98
2016-08,3.98
2016-08,3.97
2016-08,3.93
2016-08,3.91
2016-08,3.9
2016-08,3.91
2016-08,3.88
2016-08,3.86
2016-09,3.86
2016-09,3.85
2016-09,3.83
2016-09,3.84
2016-09,3.84
2016-09,3.82
2016-09,3.88
2016-09,4.06
2016-09,4.05
2016-09,4.13
2016-09,4.15
2016-09,4.21
2016-09,4.18
2016-09,4.19
2016-09,4.16
2016-09,4.1
2016-09,4.09
2016-09,4.13
2016-09,4.2
2016-09,4.19
2016-09,4.15
2016-09,4.16
2016-10,4.12
2016-10,4.09
2016-10,4.06
