Date,BKK Leading Index,CFNAI,St Louis Stress Index
2011-09,-1.1026315990775852,-0.22,0.8538600000000001
2011-10,-0.8464674438572016,-0.13,0.6762
2011-11,-0.6798219982872968,-0.37,0.946125
2011-12,-0.5359511591984862,0.17,0.6765000000000001
2012-01,-0.4207160204596874,0.22,0.439575
2012-02,-0.3569204285104507,-0.09,0.141
2012-03,-0.3918117323388268,-0.29,-0.03112
2012-04,-0.3640808581562032,0.11,0.072925
2012-05,-0.3030388645562253,-0.45,0.189375
2012-06,-0.3163898223914178,-0.15,0.22964
2012-07,-0.3083687680366312,-0.13,0.040075
2012-08,-0.4218690904046058,-0.87,-0.1488799999999999
2012-09,-0.3831778325356919,0.0,-0.3718
2012-10,-0.4257379291247138,-0.56,-0.47985
2012-11,-0.4605681471398655,0.1,-0.38948
2012-12,-0.4645944575648623,0.02,-0.526925
2013-01,-0.5006103377358017,-0.32,-0.6536
2013-02,-0.371383040359297,0.44,-0.6154999999999999
2013-03,-0.2688057568505629,-0.23,-0.66676
2013-04,-0.1757364072598529,-0.53,-0.628575
2013-05,-0.1459179359204407,-0.3,-0.60834
2013-06,-0.1414194131182304,-0.13,-0.100225
2013-07,-0.2362641930315115,-0.15,-0.386825
2013-08,-0.2647569365536745,0.14,-0.32646
2013-09,-0.3101642998991507,0.14,-0.365675
2013-10,-0.4279702734853591,-0.18,-0.46855
2013-11,-0.4392092098544864,0.6,-0.5871000000000001
2013-12,-0.4661626776878421,0.16,-0.572425
2014-01,-0.4987984014926815,-0.39,-0.5616399999999999
2014-02,-0.4280176016102631,0.14,-0.594375
2014-03,-0.2337148383018391,0.2,-0.631525
2014-04,-0.0841984166797971,-0.32,-0.6419250000000001
2014-05,0.0834586482439707,0.21,-0.71994
2014-06,0.2772123336894103,0.12,-0.8175749999999999
2014-07,0.4115331766778897,0.39,-0.732
2014-08,0.5412045447451127,-0.21,-0.62478
2014-09,0.6297190479585225,0.47,-0.5254
2014-10,0.7248782507226371,0.14,-0.2981
2014-11,0.7710640311022294,0.73,-0.416925
2014-12,0.7792212394314241,-0.05,-0.1992
2015-01,0.7641133480721933,0.13,0.0116
2015-02,0.6936693145097188,-0.11,-0.250075
2015-03,0.6410827872508582,-0.42,-0.20215
2015-04,0.6415869877370699,-0.15,-0.344425
2015-05,0.6560885756488787,-0.17,-0.3177999999999999
2015-06,0.6702176691535008,0.08,-0.243675
2015-07,0.6570941326966676,0.34,-0.1343
2015-08,0.6886133641448371,-0.41,0.137625
2015-09,0.6766611727893567,-0.37,0.242975
2015-10,0.7254020504067302,-0.04,0.16394
2015-11,0.686943599115547,-0.3,0.023725
2015-12,0.7336498973068217,-0.22,0.34805
2016-01,0.6631166771597083,0.28,0.65334
2016-02,0.5351753073996556,-0.29,0.7444
2016-03,0.4550482751029522,-0.44,0.184725
2016-04,0.4636575115270261,0.1,0.15028
2016-05,0.3962433400381988,-0.51,0.1089
2016-06,0.3525934488339269,0.16,0.2547999999999999
2016-07,0.275182246983722,0.27,0.1846
2016-08,0.1290225862566733,-0.55,0.2392999999999999
2016-09,0.007547151593501,-0.14,0.3247799999999999
2016-10,-0.1200696593783396,-0.08,0.131975
2016-11,-0.2398105956131357,-0.27,0.0606499999999999
2016-12,-0.2875612027665629,0.14,-0.13074
2017-01,-0.4498016564890996,-0.05,-0.1341999999999999
2017-02,-0.4685248007915313,0.34,-0.216525
2017-03,-0.4197888658280986,0.08,-0.37912
2017-04,-0.5515610170941883,0.49,-0.379925
2017-05,-0.6517740383985471,-0.26,-0.575425
2017-06,-0.7516689842780827,0.13,-0.6335200000000001
2017-07,-0.9302304373393973,-0.01,-0.659675
2017-08,-1.1076228350359385,-0.31,-0.509275
2017-09,-1.1730494441411252,0.17,-0.61198
2017-10,-1.1993050679475226,0.65,-0.7332
2017-11,-1.2665818558562714,0.15,-0.73925
2017-12,-1.3476265429041134,0.27,-0.66536
2018-01,-1.4172268480590184,0.12,-0.6696249999999999
2018-02,-1.3422423717676355,0.88,-0.259325
2018-03,-1.3236135773281967,0.1,0.06454
2018-04,-1.284032395894865,0.34,0.0841
2018-05,-1.2223197225826294,-0.15,-0.1937249999999999
2018-06,-1.1027481651319069,0.43,-0.20956
2018-07,-0.9821191815219728,0.13,-0.419975
2018-08,-0.7764614753469172,0.18,-0.55174
2018-09,-0.5812883156675296,0.17,-0.737075
2018-10,-0.3417702940731215,0.24,-0.494325
2018-11,-0.078329601041491,0.22,-0.1738
2018-12,0.1794989284210688,0.27,0.39485
2019-01,0.5500753610930074,-0.43,-0.0525499999999999
2019-02,0.792961813921031,-0.29,-0.339975
2019-03,1.0063330147724845,-0.15,-0.51384
2019-04,1.0674000909610704,-0.45,-0.694225
2019-05,1.0542585526299388,-0.05,-0.42596
2019-06,0.9878096063697158,-0.02,-0.34185
2019-07,0.879544136305251,-0.36,-0.47055
2019-08,0.7370066040703179,0.1,-0.0076999999999999
2019-09,0.3662876747409584,-0.45,-0.139925
2019-10,-0.056280967607997,-0.71,0.0416
2019-11,-0.6235763534008991,0.56,-0.11888
2019-12,-1.299164051571271,-0.35,-0.24275
2020-01,-1.958295979562673,-0.25,-0.34192
2020-02,-2.5444597141076577,0.16,-0.22165
2020-03,-3.427760534948677,-4.19,3.901175
2020-04,-4.243476987162463,-16.74,2.4898
2020-05,-1.960737692963495,2.61,0.72516
2020-06,-0.6938721898646353,4.11,0.272
2020-07,-0.0239045192092539,1.18,0.0461599999999999
2020-08,0.4194728001932185,0.79,-0.21325
2020-09,0.5027815498739802,0.27,0.000275
2020-10,0.3473808043576777,0.83,-0.01372
2020-11,0.0280942252907822,0.27,-0.28565
2020-12,-0.2027650363643453,0.52,-0.422725
2021-01,-0.3922237083540863,0.66,-0.4622799999999999
2021-02,-0.616343894112798,-1.09,-0.6197
2021-03,-0.3968651476060686,1.71,-0.530675
2021-04,-0.6458980195646077,0.24,-0.7725
2021-05,-0.7111031082907262,0.29,-0.7775000000000001
2021-06,-0.7435874133563629,0.09,-0.812125
2021-07,-0.7744836477206375,0.53,-0.74562
2021-08,-0.8724917252194487,0.29,-0.73915
2021-09,-0.9720200917217356,-0.13,-0.68185
2021-10,-1.0735317028317464,0.76,-0.75186
2021-11,-1.21483980111809,0.37,-0.6713
2021-12,-1.4305316927174323,-0.15,-0.55718
2022-01,-1.6517267537323237,0.69,-0.504625
2022-02,-1.5701415045253788,0.51,-0.339075
2022-03,-1.4867737832387256,0.44,-0.1435999999999999
2022-04,-1.3120861877955103,0.47,-0.2903799999999999
2022-05,-1.2276835900757408,0.01,0.309975
2022-06,-1.0100655948289652,-0.19,0.01345
2022-07,-0.5839832323862301,0.27,0.10186
2022-08,-0.235571832602384,0.0,-0.385125
2022-09,0.0590890723055761,0.1,-0.0776999999999999
2022-10,0.3653650926621579,-0.05,-0.023575
2022-11,0.6598565707027402,-0.51,-0.30345
2022-12,0.963354304422298,-0.49,-0.0163
2023-01,1.2743190006038725,0.23,-0.377
2023-02,1.503876544091904,-0.19,-0.480275
2023-03,1.621527111135146,-0.19,0.09972
2023-04,1.6967534834287847,0.07,-0.3902249999999999
2023-05,1.6929957075995294,-0.15,-0.41285
2023-06,1.6003324374176422,-0.32,-0.6159399999999999
2023-07,1.4719707319641746,0.12,-0.7368
2023-08,1.3486647437324175,-0.16,-0.67655
2023-09,1.3265753174675723,0.02,-0.6721
2023-10,1.332209888083176,-0.49,-0.418725
2023-11,1.404350632102479,0.03,-0.6711750000000001
2023-12,1.4402577670101715,-0.15,-0.49334
2024-01,1.3954331812879728,-0.3,-0.72705
2024-02,1.3953747115132644,0.05,-0.66905
2024-03,1.3133343767570131,0.15,-0.87454
2024-04,1.3193373817553409,-0.23,-0.72965
2024-05,1.2932695555948448,0.18,-0.8943999999999999
2024-06,1.196716500304749,0.05,-0.84025
2024-07,1.134123074476454,-0.34,-0.733
2024-08,0.9766838174303824,0.12,-0.50322
2024-09,0.7521211482266318,-0.28,-0.3515
2024-10,0.5653408538503026,-0.4,-0.5342
2024-11,0.3453559415019491,-0.12,-0.57756
2024-12,0.146273759147301,0.15,-0.56305
2025-01,-0.1351835221226846,-0.03,-0.8032
2025-02,-0.288261602316025,0.18,-0.7101999999999999
2025-03,-0.2631352721612954,-0.03,-0.467075
