,0
2009-12-11,-0.0294
2009-12-18,-0.1755
2009-12-25,-0.2723
2010-01-01,-0.2426
2010-01-08,-0.4191
2010-01-15,-0.3784
2010-01-22,-0.1069
2010-01-29,0.0229
2010-02-05,-0.0835
2010-02-12,0.0785
2010-02-19,-0.2446
2010-02-26,-0.2532
2010-03-05,-0.2932
2010-03-12,-0.5878
2010-03-19,-0.4569
2010-03-26,-0.4267
2010-04-02,-0.3833
2010-04-09,-0.496
2010-04-16,-0.4733
2010-04-23,-0.4429
2010-04-30,-0.2195
2010-05-07,0.3859
2010-05-14,0.3187
2010-05-21,0.9441
2010-05-28,0.9844
2010-06-04,0.7813
2010-06-11,0.9353
2010-06-18,0.4722
2010-06-25,0.5578
2010-07-02,0.909
2010-07-09,0.5307
2010-07-16,0.3271
2010-07-23,0.4756
2010-07-30,0.1446
2010-08-06,0.1744
2010-08-13,0.387
2010-08-20,0.4111
2010-08-27,0.4265
2010-09-03,0.2423
2010-09-10,0.0248
2010-09-17,-0.0237
2010-09-24,0.0591
2010-10-01,0.0813
2010-10-08,-0.0211
2010-10-15,-0.2256
2010-10-22,-0.0991
2010-10-29,-0.2544
2010-11-05,-0.1628
2010-11-12,-0.2721
2010-11-19,-0.0228
2010-11-26,0.0
2010-12-03,-0.0447
2010-12-10,-0.3153
2010-12-17,-0.2309
2010-12-24,-0.2731
2010-12-31,-0.2673
2011-01-07,-0.3502
2011-01-14,-0.3325
2011-01-21,-0.3489
2011-01-28,-0.2918
2011-02-04,-0.4113
2011-02-11,-0.486
2011-02-18,-0.3338
2011-02-25,-0.1162
2011-03-04,-0.2603
2011-03-11,-0.2646
2011-03-18,0.0554
2011-03-25,-0.3561
2011-04-01,-0.3731
2011-04-08,-0.4454
2011-04-15,-0.4055
2011-04-22,-0.4271
2011-04-29,-0.5388
2011-05-06,-0.3574
2011-05-13,-0.3781
2011-05-20,-0.3398
2011-05-27,-0.3042
2011-06-03,-0.2307
2011-06-10,-0.1676
2011-06-17,-0.1602
2011-06-24,-0.1447
2011-07-01,-0.422
2011-07-08,-0.3832
2011-07-15,-0.0398
2011-07-22,-0.3166
2011-07-29,-0.2919
2011-08-05,0.3197
2011-08-12,1.28
2011-08-19,0.5003
2011-08-26,0.8321
2011-09-02,0.4829
2011-09-09,0.8765
2011-09-16,0.7374
2011-09-23,1.0698
2011-09-30,1.1027
2011-10-07,1.3404
2011-10-14,0.4398
2011-10-21,0.6398
2011-10-28,0.2848
