date,GVZ,SPX,SKEWX,RVOL,VIX,VVIX,MOVE,CESIUSD,OVX,GPR,Year_Week,GEP,Returns,Squared Returns
2008-06-04,22.69,1377.2,114.37,13.42,20.8,81.04,131.9,-1.5,40.77,87.54842376708984,2008-06-01,88.59038345630319,-0.03266965562571208,0.001067306398702621
2008-06-05,22.78,1404.05,114.76,14.64,18.63,79.35,133.8,-0.9,41.37,87.54842376708984,2008-06-01,88.59038345630319,1.9308465022889003,3.7281682154012805
2008-06-06,23.6,1360.68,113.55,17.02,23.56,88.78,139.6,-5.3,52.03,87.54842376708984,2008-06-01,88.59038345630319,-3.1376342715508834,9.844748822010642
2008-06-09,24.47,1361.76,114.98,16.98,23.12,92.23,151.0,-2.6,45.57,87.54842376708984,2008-06-01,88.59038345630319,0.07934059569021865,0.006294930124478741
2008-06-10,25.39,1358.44,114.3,16.86,23.18,91.98,149.6,-3.8,48.13,87.54842376708984,2008-06-01,88.59038345630319,-0.24409981975666356,0.05958472200523564
2008-06-11,25.36,1335.49,113.2,17.4,24.12,93.87,144.6,-2.1,48.4,87.54842376708984,2008-06-01,88.59038345630319,-1.7038716841375152,2.9031787160056126
2008-06-12,25.04,1339.87,113.97,17.45,23.33,92.41,148.9,8.1,50.17,87.54842376708984,2008-06-01,88.59038345630319,0.32743286236224395,0.1072122793547322
2008-06-13,24.94,1360.03,113.77,18.09,21.22,86.91,153.7,6.7,49.19,87.54842376708984,2008-06-01,88.59038345630319,1.4934163997003336,2.2302925428939067
2008-06-16,24.98,1360.14,114.71,17.74,20.95,84.17,143.5,16.7,50.45,87.54842376708984,2008-06-01,88.59038345630319,0.008087729815420748,6.541137356724573e-05
2008-06-17,24.45,1350.93,115.71,17.88,21.13,80.89,142.2,13.9,48.51,87.54842376708984,2008-06-01,88.59038345630319,-0.6794391462156973,0.46163755341031576
2008-06-18,23.93,1337.81,112.74,18.15,22.24,81.56,140.4,14.5,46.15,87.54842376708984,2008-06-01,88.59038345630319,-0.9759295531074037,0.9524384926284167
2008-06-19,24.33,1342.83,113.44,17.93,21.58,77.91,136.8,11.3,46.62,87.54842376708984,2008-06-01,88.59038345630319,0.3745378617285721,0.140278609868211
2008-06-20,26.22,1317.93,113.13,18.0,22.87,78.35,137.8,12.3,47.16,87.54842376708984,2008-06-01,88.59038345630319,-1.8717003354418071,3.5032621456929736
2008-06-23,27.18,1318.0,113.59,17.98,22.64,78.37,136.7,16.4,44.29,87.54842376708984,2008-06-01,88.59038345630319,0.0053112184326833305,2.8209041239675175e-05
2008-06-24,26.79,1314.29,112.2,17.44,22.42,77.41,134.8,8.0,44.49,87.54842376708984,2008-06-01,88.59038345630319,-0.28188402163855825,0.07945860165512718
2008-06-25,26.78,1321.97,110.7,17.41,21.14,76.01,129.8,8.0,43.97,87.54842376708984,2008-06-01,88.59038345630319,0.5826452418515959,0.33947547785230475
2008-06-26,27.33,1283.15,109.67,20.37,23.93,79.87,133.7,8.0,44.68,87.54842376708984,2008-06-01,88.59038345630319,-2.9805055998773238,8.883413630900085
2008-06-27,26.47,1278.38,110.52,20.32,23.44,79.54,132.5,7.5,43.83,87.54842376708984,2008-06-01,88.59038345630319,-0.3724340931871223,0.13870715376811407
2008-06-30,26.92,1280.0,112.0,20.32,23.95,79.66,126.0,9.3,45.11,87.54842376708984,2008-06-01,88.59038345630319,0.12664265797244986,0.016038362818326917
2008-07-01,27.64,1284.91,112.69,20.1,23.65,79.44,128.5,15.0,46.45,89.73957061767578,2008-07-01,94.51749178927092,0.3828599052312572,0.14658170703368723
2008-07-02,27.54,1261.52,110.96,20.99,25.92,79.19,133.1,16.2,46.05,89.73957061767578,2008-07-01,94.51749178927092,-1.837133386864391,3.3750590811318286
2008-07-03,26.85,1262.9,111.72,21.01,24.8,76.44,125.1,9.0,44.39,89.73957061767578,2008-07-01,94.51749178927092,0.10933205547930325,0.011953498355329443
2008-07-07,26.59,1252.31,111.75,20.27,25.78,75.43,123.0,13.3,46.38,89.73957061767578,2008-07-01,94.51749178927092,-0.8420817806985111,0.7091017253843754
2008-07-08,26.12,1273.7,112.21,18.06,23.15,76.03,118.9,16.3,48.41,89.73957061767578,2008-07-01,94.51749178927092,1.6936204750574473,2.8683503135338135
2008-07-09,26.09,1244.69,110.25,19.75,25.23,81.69,116.1,16.8,47.01,89.73957061767578,2008-07-01,94.51749178927092,-2.303954768548839,5.308207575518933
2008-07-10,26.79,1253.39,110.91,19.89,25.59,79.94,118.7,16.3,46.91,89.73957061767578,2008-07-01,94.51749178927092,0.6965377549496208,0.48516484407025795
2008-07-11,33.32,1239.49,110.87,19.39,27.49,77.18,129.2,27.3,47.67,89.73957061767578,2008-07-01,94.51749178927092,-1.1151875786283014,1.243643335526854
2008-07-14,31.09,1228.3,111.11,19.64,28.48,78.83,126.0,24.9,47.24,89.73957061767578,2008-07-01,94.51749178927092,-0.9068905128390176,0.8224504022774163
2008-07-15,30.4,1214.91,110.81,19.35,28.54,73.07,126.0,22.5,50.89,89.73957061767578,2008-07-01,94.51749178927092,-1.0961099588093584,1.2014570418010533
