,0
2005-01-01,-1.1212277967843771
2005-02-01,-1.0531867123371894
2005-03-01,-1.0585830032845052
2005-04-01,-1.0118348064278213
2005-05-01,-0.8876139077669765
2005-06-01,-0.808873523280914
2005-07-01,-0.955821198701783
2005-08-01,-1.1524075199304744
2005-09-01,-1.2317628012291577
2005-10-01,-0.936884108022494
2005-11-01,-0.7231561690872672
2005-12-01,-0.5843040445315971
2006-01-01,-0.5362958093599917
2006-02-01,-0.6115241904873627
2006-03-01,-0.6733913168452643
2006-04-01,-0.7930361946317619
2006-05-01,-0.9131785754631353
2006-06-01,-0.8258643150288015
2006-07-01,-0.7726794641250232
2006-08-01,-0.5889960194868454
2006-09-01,-0.22558929020114826
2006-10-01,-0.08126722710547649
2006-11-01,-0.17906517334899397
2006-12-01,-0.3524555552945208
2007-01-01,-0.4683347324192086
2007-02-01,-0.6415574100714908
2007-03-01,-0.8014265398111321
2007-04-01,-0.8734411239895694
2007-05-01,-0.8829925628863039
2007-06-01,-0.883915553000089
2007-07-01,-0.8735167988571684
2007-08-01,-0.8359643512939109
2007-09-01,-0.8032341582174958
2007-10-01,-0.7455959439971009
2007-11-01,-0.5792396124412756
2007-12-01,-0.30873062826924835
2008-01-01,-0.08995366711446164
2008-02-01,0.14065755803473168
2008-03-01,0.33933691050665477
2008-04-01,0.4599865808838127
2008-05-01,0.5631959618246065
2008-06-01,0.7136146497203921
2008-07-01,0.9441848200320695
2008-08-01,1.3074360778651175
2008-09-01,1.5655605466871216
2008-10-01,1.923855775253922
2008-11-01,2.1189791461509735
2008-12-01,1.8979686968523446
2009-01-01,1.5440179266682768
2009-02-01,1.1839108071679028
2009-03-01,0.8850774077245501
2009-04-01,0.6170428290388148
2009-05-01,0.12038122602937422
2009-06-01,-0.42328549914067165
2009-07-01,-0.7039228333776055
2009-08-01,-0.9630902957749131
2009-09-01,-1.1877666013994186
2009-10-01,-1.3670315787866922
2009-11-01,-1.5144571931410906
2009-12-01,-1.5819696925027174
2010-01-01,-1.5034425478960567
2010-02-01,-1.4693908249197571
2010-03-01,-1.412625041366706
2010-04-01,-1.4197049160370327
2010-05-01,-1.4574540092883022
2010-06-01,-1.5527432765822609
2010-07-01,-1.558937369362188
2010-08-01,-1.4939920311690262
2010-09-01,-1.5997980245495267
2010-10-01,-1.7915381429487562
2010-11-01,-1.9722302864482404
2010-12-01,-2.115088802501735
2011-01-01,-2.263417375751231
2011-02-01,-2.240066671967356
2011-03-01,-2.049145078026281
2011-04-01,-1.8642568542517093
2011-05-01,-1.6782040332872545
2011-06-01,-1.5788963084638648
2011-07-01,-1.4453481827941075
2011-08-01,-1.311113831136006
2011-09-01,-1.1026315990775852
2011-10-01,-0.8464674438572016
2011-11-01,-0.6798219982872968
2011-12-01,-0.5359511591984862
2012-01-01,-0.4207160204596874
2012-02-01,-0.35692042851045075
2012-03-01,-0.3918117323388268
2012-04-01,-0.3640808581562032
2012-05-01,-0.30303886455622536
2012-06-01,-0.3163898223914178
2012-07-01,-0.3083687680366312
2012-08-01,-0.4218690904046058
2012-09-01,-0.3831778325356919
2012-10-01,-0.42573792912471387
2012-11-01,-0.46056814713986555
2012-12-01,-0.46459445756486234
2013-01-01,-0.5006103377358017
2013-02-01,-0.37138304035929703
2013-03-01,-0.26880575685056296
2013-04-01,-0.1757364072598529
2013-05-01,-0.1459179359204407
2013-06-01,-0.14141941311823047
2013-07-01,-0.23626419303151153
2013-08-01,-0.2647569365536745
2013-09-01,-0.31016429989915073
2013-10-01,-0.4279702734853591
2013-11-01,-0.4392092098544864
2013-12-01,-0.46616267768784214
2014-01-01,-0.4987984014926815
2014-02-01,-0.4280176016102631
2014-03-01,-0.23371483830183917
2014-04-01,-0.08419841667979716
2014-05-01,0.08345864824397073
2014-06-01,0.2772123336894103
