"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"m15",12.184529,0.106328,114.593988,0,"Consumer NewOrders"
"theta15",-0.017178,0.004044,-4.247654,0.000022,"Consumer NewOrders"
"w215",1.001005,0.117537,8.516539,0,"Consumer NewOrders"
"alpha16",0.000475,0.000012,40.621594,0,"Consumer DefaultSpread"
"gamma16",0.003722,0.000132,28.227887,0,"Consumer DefaultSpread"
"beta16",0.996664,0.000084,11920.696859,0,"Consumer DefaultSpread"
"m16",11.637339,0.021524,540.676753,0,"Consumer DefaultSpread"
"theta16",0.130589,0.002904,44.97385,0,"Consumer DefaultSpread"
"w216",1.001023,0.074672,13.405606,0,"Consumer DefaultSpread"
"alpha17",0.065516,0.002943,22.263668,0,"Consumer EquityVolMeasure"
"gamma17",-0.015973,0.738645,-0.021625,0.982747,"Consumer EquityVolMeasure"
"beta17",0.00877,0.036051,0.243278,0.80779,"Consumer EquityVolMeasure"
"m17",13.371279,0.435757,30.685191,0,"Consumer EquityVolMeasure"
"theta17",-3.426628,0.233416,-14.680359,0,"Consumer EquityVolMeasure"
"w217",1.371675,0.171154,8.014283,0,"Consumer EquityVolMeasure"
"alpha18",0.07871,0.041954,1.876098,0.060642,"Consumer RecessionSpread"
"gamma18",0.80011,1.228864,0.651097,0.514984,"Consumer RecessionSpread"
"beta18",0.001656,0.527168,0.00314,0.997494,"Consumer RecessionSpread"
"m18",12.160017,0.854196,14.235629,0,"Consumer RecessionSpread"
"theta18",3.401781,0.262829,12.942953,0,"Consumer RecessionSpread"
"w218",1.580631,0.334453,4.726018,0.000002,"Consumer RecessionSpread"
"alpha19",0.082078,0.012744,6.44027,0,"Consumer CitiSurprise"
"gamma19",0.609792,0.072017,8.467352,0,"Consumer CitiSurprise"
"beta19",0.001271,0.143855,0.008837,0.992949,"Consumer CitiSurprise"
"m19",12.145005,0.137791,88.140571,0,"Consumer CitiSurprise"
"theta19",0.001649,0.000555,2.969222,0.002986,"Consumer CitiSurprise"
"w219",1.001001,0.577747,1.732594,0.083168,"Consumer CitiSurprise"
"alpha20",0.001282,0.000087,14.669915,0,"Consumer MOVE"
"gamma20",0.023307,0.001435,16.237648,0,"Consumer MOVE"
"beta20",0.986064,0.000806,1222.844744,0,"Consumer MOVE"
"m20",11.870925,0.090697,130.88588,0,"Consumer MOVE"
"theta20",0.021327,0.000499,42.726493,0,"Consumer MOVE"
"w220",1.591391,0.154509,10.299665,0,"Consumer MOVE"
"alpha21",0.006091,0.00232,2.625016,0.008664,"Healthcare HousingStart"
"gamma21",0.116272,0.046474,2.501872,0.012354,"Healthcare HousingStart"
"beta21",0.909348,0.034382,26.44814,0,"Healthcare HousingStart"
"m21",12.915187,0.316017,40.868699,0,"Healthcare HousingStart"
"theta21",-0.065721,0.002018,-32.569167,0,"Healthcare HousingStart"
"w221",1.001,0.075328,13.288592,0,"Healthcare HousingStart"
"alpha22",0.000235,0.000011,21.372223,0,"Healthcare IndProd"
"gamma22",0.002383,0.000191,12.457226,0,"Healthcare IndProd"
"beta22",0.997574,0.0001,9963.040722,0,"Healthcare IndProd"
"m22",12.453953,0.04018,309.956035,0,"Healthcare IndProd"
"theta22",-0.025805,0.033197,-0.77733,0.436964,"Healthcare IndProd"
"w222",1.001011,16.902461,0.059223,0.952775,"Healthcare IndProd"
"alpha23",0.000235,0.000005,44.289667,0,"Healthcare CoreInflation"
"gamma23",0.002388,0.000042,57.113427,0,"Healthcare CoreInflation"
"beta23",0.997572,0.000037,26970.211713,0,"Healthcare CoreInflation"
"m23",12.45726,0.01131,1101.460009,0,"Healthcare CoreInflation"
"theta23",-0.002207,0.000681,-3.241493,0.001189,"Healthcare CoreInflation"
"w223",1.001002,1.237367,0.808977,0.418528,"Healthcare CoreInflation"
"alpha24",0.000218,0.000007,30.217849,0,"Healthcare PPI"
"gamma24",0.002292,0.000052,43.669433,0,"Healthcare PPI"
"beta24",0.997637,0.000043,22947.906125,0,"Healthcare PPI"
"m24",12.417095,0.020027,620.01978,0,"Healthcare PPI"
"theta24",0.052704,0.010228,5.152754,0,"Healthcare PPI"
"w224",1.001,0.556392,1.799092,0.072004,"Healthcare PPI"
"alpha25",0.000219,0.000015,14.526995,0,"Healthcare GDP"
"gamma25",0.002311,0.00036,6.416983,0,"Healthcare GDP"
"beta25",0.997625,0.000237,4210.216942,0,"Healthcare GDP"
"m25",12.404171,0.088949,139.452498,0,"Healthcare GDP"
"theta25",0.049234,0.019732,2.495147,0.01259,"Healthcare GDP"
"w225",1.30202,5.71848,0.227686,0.81989,"Healthcare GDP"
"alpha26",0.037195,0.00908,4.096407,0.000042,"Healthcare UMich"
"gamma26",0.544221,0.091709,5.934224,0,"Healthcare UMich"
"beta26",0.392575,0.148095,2.650829,0.008029,"Healthcare UMich"
"m26",12.52771,0.082779,151.340123,0,"Healthcare UMich"
"theta26",-0.169665,0.013581,-12.493088,0,"Healthcare UMich"
"w226",1.001,0.084648,11.825473,0,"Healthcare UMich"
"alpha27",0.000282,0.000007,42.739786,0,"Healthcare StLouisStress"
"gamma27",0.002924,0.000096,30.341186,0,"Healthcare StLouisStress"
"beta27",0.997256,0.000063,15819.341371,0,"Healthcare StLouisStress"
"m27",12.453972,0.010654,1168.936222,0,"Healthcare StLouisStress"
"theta27",0.232973,0.006174,37.732969,0,"Healthcare StLouisStress"
"w227",1.001,0.095762,10.453001,0,"Healthcare StLouisStress"
"alpha28",0.000231,0.000005,44.356423,0,"Healthcare GEPU"
"gamma28",0.002368,0.000039,60.607037,0,"Healthcare GEPU"
"beta28",0.997585,0.000036,27901.280547,0,"Healthcare GEPU"
"m28",12.461141,0.012514,995.754363,0,"Healthcare GEPU"
"theta28",0.00731,0.003821,1.912969,0.055752,"Healthcare GEPU"
"w228",4.852724,3.11762,1.556548,0.119578,"Healthcare GEPU"
"alpha29",0.060302,0.018312,3.293027,0.000991,"Healthcare GPR"
"gamma29",0.717792,0.272847,2.630747,0.00852,"Healthcare GPR"
"beta29",0.004168,0.299281,0.013926,0.988889,"Healthcare GPR"
"m29",12.505614,0.057718,216.667363,0,"Healthcare GPR"
"theta29",0.085675,0.00797,10.749612,0,"Healthcare GPR"
"w229",1.050777,0.136851,7.678251,0,"Healthcare GPR"
"alpha30",0.000228,0.000005,42.978703,0,"Healthcare BKK"
"gamma30",0.002352,0.000039,60.689551,0,"Healthcare BKK"
"beta30",0.997596,0.000036,28003.292848,0,"Healthcare BKK"
"m30",12.461473,0.01308,952.711831,0,"Healthcare BKK"
"theta30",0.027775,0.013353,2.080117,0.037515,"Healthcare BKK"
"w230",1.001003,0.051806,19.322291,0,"Healthcare BKK"
"alpha31",0.000228,0.000005,42.978703,0,"Healthcare BKK"
"gamma31",0.002352,0.000039,60.689551,0,"Healthcare BKK"
"beta31",0.997596,0.000036,28003.292848,0,"Healthcare BKK"
"m31",12.461473,0.01308,952.711831,0,"Healthcare BKK"
"theta31",0.027775,0.013353,2.080117,0.037515,"Healthcare BKK"
"w231",1.001003,0.051806,19.322291,0,"Healthcare BKK"
"alpha32",0.00026,0.000006,43.56284,0,"Healthcare CFNAI"
"gamma32",0.002601,0.000087,29.797566,0,"Healthcare CFNAI"
"beta32",0.997439,0.000058,17088.521485,0,"Healthcare CFNAI"
"m32",12.316049,0.012193,1010.070279,0,"Healthcare CFNAI"
"theta32",-0.355884,0.012787,-27.830854,0,"Healthcare CFNAI"
"w232",1.001,0.248395,4.029881,0.000056,"Healthcare CFNAI"
"alpha33",0.000703,0.000057,12.371839,0,"Healthcare VIX"
"gamma33",0.014734,0.001058,13.93162,0,"Healthcare VIX"
"beta33",0.99093,0.000689,1438.230466,0,"Healthcare VIX"
"m33",11.921328,0.051244,232.640193,0,"Healthcare VIX"
"theta33",0.088189,0.003569,24.708077,0,"Healthcare VIX"
"w233",1.001,0.09451,10.59153,0,"Healthcare VIX"
"alpha34",0.000785,0.000071,11.058424,0,"Healthcare VXN"
"gamma34",0.021348,0.001654,12.907486,0,"Healthcare VXN"
"beta34",0.987494,0.0009,1097.233121,0,"Healthcare VXN"
"m34",11.894492,0.077228,154.016879,0,"Healthcare VXN"
"theta34",0.096368,0.003083,31.261826,0,"Healthcare VXN"
"w234",1.001,0.085609,11.692675,0,"Healthcare VXN"
"alpha35",0.000237,0.000005,44.596481,0,"Healthcare TermSpread"
"gamma35",0.002385,0.000049,49.159821,0,"Healthcare TermSpread"
"beta35",0.997571,0.000039,25321.967022,0,"Healthcare TermSpread"
"m35",12.447769,0.011874,1048.337626,0,"Healthcare TermSpread"
"theta35",0.74262,0.120424,6.166702,0,"Healthcare TermSpread"
"w235",1.981611,0.416188,4.761333,0.000002,"Healthcare TermSpread"
"alpha36",0.000232,0.000005,43.353541,0,"Healthcare NewOrders"
"gamma36",0.002372,0.000038,62.547621,0,"Healthcare NewOrders"
"beta36",0.997582,0.000035,28482.008252,0,"Healthcare NewOrders"
"m36",12.454764,0.011248,1107.304626,0,"Healthcare NewOrders"
"theta36",0.003221,0.002259,1.425593,0.153986,"Healthcare NewOrders"
"w236",14.620961,0.011155,1310.697181,0,"Healthcare NewOrders"
"alpha37",0.000317,0.000007,43.492704,0,"Healthcare DefaultSpread"
"gamma37",0.003454,0.000124,27.804255,0,"Healthcare DefaultSpread"
"beta37",0.996956,0.00008,12527.779312,0,"Healthcare DefaultSpread"
"m37",11.829635,0.021716,544.730338,0,"Healthcare DefaultSpread"
"theta37",0.118202,0.00295,40.073567,0,"Healthcare DefaultSpread"
"w237",1.001,0.080937,12.36767,0,"Healthcare DefaultSpread"
"alpha38",0.000317,0.000007,43.492704,0,"Healthcare DefaultSpread"
"gamma38",0.003454,0.000124,27.804255,0,"Healthcare DefaultSpread"
"beta38",0.996956,0.00008,12527.779312,0,"Healthcare DefaultSpread"
"m38",11.829635,0.021716,544.730338,0,"Healthcare DefaultSpread"
"theta38",0.118202,0.00295,40.073567,0,"Healthcare DefaultSpread"
"w238",1.001,0.080937,12.36767,0,"Healthcare DefaultSpread"
"alpha39",0.000233,0.000005,43.410769,0,"Healthcare RecessionSpread"
"gamma39",0.002412,0.000043,56.215578,0,"Healthcare RecessionSpread"
"beta39",0.99756,0.000038,26533.953533,0,"Healthcare RecessionSpread"
"m39",12.430336,0.011793,1054.008247,0,"Healthcare RecessionSpread"
"theta39",0.639534,0.13242,4.829571,0.000001,"Healthcare RecessionSpread"
"w239",23.434145,0.000286,81950.216513,0,"Healthcare RecessionSpread"
"alpha40",0.000237,0.000005,44.687898,0,"Healthcare CitiSurprise"
"gamma40",0.002328,0.00004,58.27804,0,"Healthcare CitiSurprise"
"beta40",0.997599,0.000036,27407.893673,0,"Healthcare CitiSurprise"
"m40",12.441978,0.010814,1150.531014,0,"Healthcare CitiSurprise"
"theta40",-0.00225,0.000408,-5.510281,0,"Healthcare CitiSurprise"
"w240",3.244285,0.062846,51.622851,0,"Healthcare CitiSurprise"
"alpha41",0.00046,0.000036,12.890908,0,"Healthcare MOVE"
"gamma41",0.013633,0.001236,11.029115,0,"Healthcare MOVE"
"beta41",0.991723,0.000634,1564.829021,0,"Healthcare MOVE"
"m41",11.447369,0.072241,158.461446,0,"Healthcare MOVE"
"theta41",0.022768,0.000714,31.890785,0,"Healthcare MOVE"
"w241",1.001006,0.109265,9.161298,0,"Healthcare MOVE"
"alpha42",0.010649,0.003688,2.887343,0.003885,"Materials HousingStart"
"gamma42",0.311458,0.103649,3.004934,0.002656,"Materials HousingStart"
"beta42",0.814004,0.063212,12.877456,0,"Materials HousingStart"
"m42",10.770739,0.121415,88.709898,0,"Materials HousingStart"
"theta42",-0.104923,0.004618,-22.719255,0,"Materials HousingStart"
"w242",1.001,0.087567,11.431188,0,"Materials HousingStart"
"alpha43",0.002254,0.000362,6.2268,0,"Materials IndProd"
"gamma43",0.066729,0.010634,6.27507,0,"Materials IndProd"
"beta43",0.961247,0.005873,163.675418,0,"Materials IndProd"
"m43",11.172093,0.129334,86.381471,0,"Materials IndProd"
"theta43",-0.269436,0.01885,-14.293478,0,"Materials IndProd"
"w243",1.001001,0.160026,6.255237,0,"Materials IndProd"
"alpha44",0.001358,0.000199,6.806256,0,"Materials CoreInflation"
"gamma44",0.0376,0.006534,5.754281,0,"Materials CoreInflation"
"beta44",0.977258,0.003384,288.803827,0,"Materials CoreInflation"
"m44",10.852343,0.187257,57.95416,0,"Materials CoreInflation"
"theta44",-0.029092,0.003955,-7.355936,0,"Materials CoreInflation"
"w244",4.338682,0.814399,5.327465,0,"Materials CoreInflation"
"alpha45",0.001073,0.000343,3.125246,0.001777,"Materials PPI"
"gamma45",0.025844,0.009902,2.609943,0.009056,"Materials PPI"
"beta45",0.983022,0.005592,175.798257,0,"Materials PPI"
"m45",10.406684,0.256989,40.49468,0,"Materials PPI"
"theta45",-0.141363,0.024602,-5.74597,0,"Materials PPI"
"w245",2.429698,0.265569,9.149015,0,"Materials PPI"
"alpha46",0.002539,0.000469,5.414726,0,"Materials GDP"
"gamma46",0.067744,0.012535,5.404449,0,"Materials GDP"
"beta46",0.961476,0.006605,145.562619,0,"Materials GDP"
"m46",12.051078,0.328389,36.697572,0,"Materials GDP"
"theta46",-0.64987,0.108115,-6.010928,0,"Materials GDP"
"w246",1.584185,0.201847,7.848461,0,"Materials GDP"
"alpha47",0.000229,0.000008,28.355018,0,"Materials UMich"
"gamma47",0.003598,0.000115,31.163597,0,"Materials UMich"
"beta47",0.996972,0.000066,15072.312687,0,"Materials UMich"
"m47",9.569874,0.022172,431.625553,0,"Materials UMich"
"theta47",0.171488,0.025889,6.62384,0,"Materials UMich"
"w247",1.51499,0.087103,17.393038,0,"Materials UMich"
"alpha48",0.001897,0.000127,14.966993,0,"Materials StLouisStress"
"gamma48",0.054854,0.003181,17.242106,0,"Materials StLouisStress"
"beta48",0.969676,0.001708,567.806114,0,"Materials StLouisStress"
"m48",11.628173,0.141409,82.230663,0,"Materials StLouisStress"
"theta48",0.57944,0.013023,44.492051,0,"Materials StLouisStress"
"w248",1.001,0.062903,15.913323,0,"Materials StLouisStress"
"alpha49",0.000194,0.000047,4.086691,0.000044,"Materials GEPU"
"gamma49",0.003018,0.000836,3.611378,0.000305,"Materials GEPU"
"beta49",0.997297,0.000431,2312.441942,0,"Materials GEPU"
"m49",9.502075,0.378799,25.084765,0,"Materials GEPU"
"theta49",-0.048478,0.154098,-0.314591,0.753072,"Materials GEPU"
"w249",1.001,5.124054,0.195353,0.845117,"Materials GEPU"
"alpha50",0.041033,0.008658,4.739501,0.000002,"Materials GPR"
"gamma50",0.830358,0.764742,1.085802,0.277567,"Materials GPR"
"beta50",0.001342,0.205565,0.006526,0.994793,"Materials GPR"
"m50",9.828068,0.543146,18.094708,0,"Materials GPR"
"theta50",0.141432,0.013544,10.442454,0,"Materials GPR"
"w250",1.001,0.127474,7.852556,0,"Materials GPR"
"alpha51",0.000171,0.000006,29.986849,0,"Materials BKK"
"gamma51",0.003116,0.000128,24.37384,0,"Materials BKK"
"beta51",0.997271,0.000062,16214.207861,0,"Materials BKK"
"m51",9.683008,0.025493,379.825461,0,"Materials BKK"
"theta51",0.237847,0.03094,7.687404,0,"Materials BKK"
"w251",1.001004,1.027006,0.974681,0.329719,"Materials BKK"
"alpha52",0.00985,0.018973,0.519125,0.603673,"Materials Unemployment"
"gamma52",0.297653,0.644008,0.462189,0.643946,"Materials Unemployment"
"beta52",0.832352,0.320889,2.593895,0.00949,"Materials Unemployment"
"m52",11.492657,6.394547,1.797259,0.072295,"Materials Unemployment"
"theta52",3.924111,0.756617,5.186393,0,"Materials Unemployment"
"w252",1.001,0.264437,3.785407,0.000153,"Materials Unemployment"
"alpha53",0.002265,0.000176,12.852735,0,"Materials CFNAI"
"gamma53",0.066558,0.004826,13.790896,0,"Materials CFNAI"
"beta53",0.963412,0.002525,381.485284,0,"Materials CFNAI"
"m53",11.588356,0.155813,74.373497,0,"Materials CFNAI"
"theta53",-0.900239,0.023199,-38.804554,0,"Materials CFNAI"
"w253",1.001,0.121571,8.233851,0,"Materials CFNAI"
"alpha54",0.001759,0.000293,6.008317,0,"Materials VIX"
"gamma54",0.06004,0.014679,4.090246,0.000043,"Materials VIX"
"beta54",0.967221,0.001712,564.854524,0,"Materials VIX"
"m54",9.469378,4.451897,2.127043,0.033416,"Materials VIX"
"theta54",0.11897,0.089464,1.329802,0.183584,"Materials VIX"
"w254",1.23557,0.374966,3.295155,0.000984,"Materials VIX"
"alpha55",0.001815,0.000162,11.228329,0,"Materials VXN"
"gamma55",0.072191,0.005591,12.912387,0,"Materials VXN"
"beta55",0.96109,0.00282,340.830358,0,"Materials VXN"
"m55",9.315912,0.238533,39.055074,0,"Materials VXN"
"theta55",0.126537,0.003234,39.132153,0,"Materials VXN"
"w255",1.001036,0.07775,12.875061,0,"Materials VXN"
"alpha56",0.000198,0.000005,36.805454,0,"Materials TermSpread"
"gamma56",0.003226,0.000081,39.779246,0,"Materials TermSpread"
"beta56",0.997189,0.000056,17926.453925,0,"Materials TermSpread"
"m56",9.593723,0.017315,554.069281,0,"Materials TermSpread"
"theta56",0.954004,0.081933,11.643766,0,"Materials TermSpread"
"w256",44.858184,0.081174,552.618433,0,"Materials TermSpread"
"alpha57",0.001463,0.000149,9.836044,0,"Materials NewOrders"
"gamma57",0.039434,0.00432,9.127429,0,"Materials NewOrders"
"beta57",0.975991,0.002179,447.809646,0,"Materials NewOrders"
"m57",10.766212,0.143364,75.097201,0,"Materials NewOrders"
"theta57",-0.099745,0.007839,-12.724723,0,"Materials NewOrders"
"w257",1.001002,0.120112,8.333878,0,"Materials NewOrders"
"alpha58",0.001792,0.00013,13.831158,0,"Materials DefaultSpread"
"gamma58",0.050999,0.00362,14.086632,0,"Materials DefaultSpread"
"beta58",0.971708,0.001762,551.329965,0,"Materials DefaultSpread"
"m58",9.937688,0.534325,18.598581,0,"Materials DefaultSpread"
"theta58",0.261789,0.015409,16.989859,0,"Materials DefaultSpread"
"w258",1.167208,0.092818,12.575173,0,"Materials DefaultSpread"
"alpha59",0.025387,0.002415,10.510253,0,"Materials EquityVolMeasure"
"gamma59",0.096522,2.348506,0.041099,0.967217,"Materials EquityVolMeasure"
"beta59",0.001003,0.047535,0.021106,0.983161,"Materials EquityVolMeasure"
"m59",11.410535,1.241116,9.19377,0,"Materials EquityVolMeasure"
"theta59",-4.863615,0.113478,-42.859523,0,"Materials EquityVolMeasure"
"w259",1.023112,0.115798,8.835347,0,"Materials EquityVolMeasure"
"alpha60",0.000184,0.000006,32.022502,0,"Materials RecessionSpread"
"gamma60",0.003443,0.000116,29.679305,0,"Materials RecessionSpread"
"beta60",0.997094,0.000075,13220.757297,0,"Materials RecessionSpread"
"m60",9.398387,0.026052,360.756109,0,"Materials RecessionSpread"
"theta60",5.769393,0.510635,11.298474,0,"Materials RecessionSpread"
"w260",1.198766,0.090547,13.239158,0,"Materials RecessionSpread"
"alpha61",0.000195,0.000005,39.845301,0,"Materials CitiSurprise"
"gamma61",0.003106,0.000078,39.584964,0,"Materials CitiSurprise"
"beta61",0.997252,0.000053,18758.564165,0,"Materials CitiSurprise"
"m61",9.572338,0.01727,554.268127,0,"Materials CitiSurprise"
"theta61",-0.006282,0.000702,-8.95133,0,"Materials CitiSurprise"
"w261",3.625628,0.301557,12.023036,0,"Materials CitiSurprise"
"alpha62",0.000991,0.000071,13.988426,0,"Materials MOVE"
"gamma62",0.043823,0.00217,20.194926,0,"Materials MOVE"
"beta62",0.976098,0.001105,883.52117,0,"Materials MOVE"
"m62",9.081095,0.147518,61.559265,0,"Materials MOVE"
"theta62",0.027039,0.000548,49.306266,0,"Materials MOVE"
"w262",1.001,0.112987,8.859414,0,"Materials MOVE"
"alpha63",0.060289,0.044205,1.36387,0.172609,"MidCap HousingStart"
"gamma63",0.927827,0.991773,0.935524,0.349518,"MidCap HousingStart"
"beta63",0.002186,0.736041,0.002969,0.997631,"MidCap HousingStart"
"m63",13.213122,1.728295,7.645178,0,"MidCap HousingStart"
"theta63",-0.094698,0.003378,-28.036901,0,"MidCap HousingStart"
"w263",1.001,0.195392,5.123041,0,"MidCap HousingStart"
"alpha64",0.001492,0.000253,5.907589,0,"MidCap IndProd"
"gamma64",0.038296,0.006526,5.868191,0,"MidCap IndProd"
"beta64",0.974863,0.00412,236.60885,0,"MidCap IndProd"
"m64",14.369645,0.071811,200.104674,0,"MidCap IndProd"
"theta64",-0.146831,0.011151,-13.167185,0,"MidCap IndProd"
"w264",1.010392,0.159913,6.318376,0,"MidCap IndProd"
"alpha65",0.000198,0.000006,35.222568,0,"MidCap CoreInflation"
"gamma65",0.002886,0.000065,44.509718,0,"MidCap CoreInflation"
"beta65",0.997359,0.000049,20351.61664,0,"MidCap CoreInflation"
"m65",13.46855,0.019505,690.509196,0,"MidCap CoreInflation"
"theta65",-0.008459,0.001792,-4.720176,0.000002,"MidCap CoreInflation"
"w265",1.001,1.43419,0.697955,0.485205,"MidCap CoreInflation"
"alpha66",0.043727,0.007712,5.670304,0,"MidCap PPI"
"gamma66",0.70032,0.05892,11.886013,0,"MidCap PPI"
"beta66",0.002054,0.168009,0.012225,0.990246,"MidCap PPI"
"m66",13.272993,0.054614,243.034395,0,"MidCap PPI"
"theta66",0.054496,0.011384,4.787012,0.000002,"MidCap PPI"
"w266",1.001,0.411966,2.42981,0.015107,"MidCap PPI"
"alpha67",0.000183,0.000012,14.690033,0,"MidCap GDP"
"gamma67",0.002756,0.000052,52.906072,0,"MidCap GDP"
"beta67",0.997439,0.000036,27738.059001,0,"MidCap GDP"
"m67",13.433829,0.041518,323.562736,0,"MidCap GDP"
"theta67",0.027282,0.042074,0.648428,0.516708,"MidCap GDP"
"w267",8.598463,0.01521,565.33098,0,"MidCap GDP"
"alpha68",0.048976,0.043182,1.134171,0.256723,"MidCap UMich"
"gamma68",0.67675,0.668759,1.011949,0.311563,"MidCap UMich"
"beta68",0.001781,0.871969,0.002043,0.99837,"MidCap UMich"
"m68",13.24728,0.087365,151.631375,0,"MidCap UMich"
"theta68",-0.129546,0.016085,-8.053838,0,"MidCap UMich"
"w268",1.001,0.266557,3.755292,0.000173,"MidCap UMich"
"alpha69",0.000286,0.000009,33.471089,0,"MidCap StLouisStress"
"gamma69",0.004404,0.000178,24.801211,0,"MidCap StLouisStress"
"beta69",0.996512,0.000097,10252.40283,0,"MidCap StLouisStress"
"m69",13.527207,0.018578,728.112281,0,"MidCap StLouisStress"
"theta69",0.306269,0.007732,39.60828,0,"MidCap StLouisStress"
"w269",1.001,0.111441,8.982364,0,"MidCap StLouisStress"
"alpha70",0.048151,0.088076,0.546705,0.584581,"MidCap GEPU"
"gamma70",0.791311,1.26788,0.624121,0.532548,"MidCap GEPU"
"beta70",0.002946,1.860618,0.001583,0.998737,"MidCap GEPU"
"m70",13.354793,2.49869,5.344717,0,"MidCap GEPU"
"theta70",-0.009341,0.025893,-0.360743,0.718291,"MidCap GEPU"
"w270",1.001001,0.862986,1.159927,0.246079,"MidCap GEPU"
"alpha71",0.046122,0.006646,6.939958,0,"MidCap GPR"
"gamma71",0.700303,0.098899,7.080983,0,"MidCap GPR"
"beta71",0.001196,0.13793,0.008673,0.99308,"MidCap GPR"
"m71",13.449087,0.069212,194.316911,0,"MidCap GPR"
"theta71",0.11156,0.00903,12.35503,0,"MidCap GPR"
"w271",1.029507,0.078721,13.077931,0,"MidCap GPR"
"alpha72",0.000168,0.000006,30.325446,0,"MidCap BKK"
"gamma72",0.002748,0.000047,58.295046,0,"MidCap BKK"
"beta72",0.997458,0.000039,25590.807668,0,"MidCap BKK"
"m72",13.509738,0.015045,897.950163,0,"MidCap BKK"
"theta72",0.175199,0.01749,10.017088,0,"MidCap BKK"
"w272",1.001,0.199885,5.007885,0.000001,"MidCap BKK"
"alpha73",0.046945,0.358736,0.130863,0.895884,"MidCap Unemployment"
"gamma73",1.037903,7.462219,0.139088,0.889381,"MidCap Unemployment"
"beta73",0.27583,5.533859,0.049844,0.960247,"MidCap Unemployment"
"m73",14.068383,1.482223,9.49141,0,"MidCap Unemployment"
"theta73",3.027895,0.320247,9.454873,0,"MidCap Unemployment"
"w273",1.001,0.306392,3.267054,0.001087,"MidCap Unemployment"
"alpha74",0.00021,0.000006,33.469754,0,"MidCap CFNAI"
"gamma74",0.002827,0.000098,28.791648,0,"MidCap CFNAI"
"beta74",0.997377,0.000064,15509.932426,0,"MidCap CFNAI"
"m74",13.263789,0.000066,200057.484569,0,"MidCap CFNAI"
"theta74",-0.320914,0.016407,-19.559283,0,"MidCap CFNAI"
"w274",38.019809,0.733326,51.845705,0,"MidCap CFNAI"
"alpha75",0.000899,0.000088,10.158659,0,"MidCap VIX"
"gamma75",0.024007,0.002478,9.687721,0,"MidCap VIX"
"beta75",0.986098,0.002069,476.617998,0,"MidCap VIX"
"m75",13.02929,0.284489,45.798908,0,"MidCap VIX"
"theta75",0.096785,0.012732,7.601829,0,"MidCap VIX"
"w275",1.27252,0.163121,7.801103,0,"MidCap VIX"
"alpha76",0.000997,0.00011,9.094135,0,"MidCap VXN"
"gamma76",0.032788,0.002925,11.208159,0,"MidCap VXN"
"beta76",0.981609,0.0016,613.551937,0,"MidCap VXN"
"m76",12.940045,0.12466,103.803123,0,"MidCap VXN"
"theta76",0.106472,0.002901,36.703137,0,"MidCap VXN"
"w276",1.001,0.08155,12.274619,0,"MidCap VXN"
"alpha77",0.000203,0.000006,35.05651,0,"MidCap TermSpread"
"gamma77",0.002924,0.000054,54.063651,0,"MidCap TermSpread"
"beta77",0.997335,0.000042,23585.12188,0,"MidCap TermSpread"
"m77",13.441048,0.011829,1136.276032,0,"MidCap TermSpread"
"theta77",2.455955,0.230565,10.651917,0,"MidCap TermSpread"
"w277",1.445374,0.163909,8.818128,0,"MidCap TermSpread"
"alpha78",0.000198,0.000006,33.014919,0,"MidCap NewOrders"
"gamma78",0.00283,0.000045,63.067498,0,"MidCap NewOrders"
"beta78",0.997387,0.000036,27365.081834,0,"MidCap NewOrders"
"m78",13.450612,0.012141,1107.911574,0,"MidCap NewOrders"
"theta78",-0.016256,0.004032,-4.031768,0.000055,"MidCap NewOrders"
"w278",1.543701,0.164243,9.398859,0,"MidCap NewOrders"
"alpha79",0.000332,0.00001,34.643644,0,"MidCap DefaultSpread"
"gamma79",0.005229,0.00021,24.952155,0,"MidCap DefaultSpread"
"beta79",0.996054,0.000117,8485.52486,0,"MidCap DefaultSpread"
"m79",12.789586,0.023304,548.803947,0,"MidCap DefaultSpread"
"theta79",0.140685,0.00305,46.120939,0,"MidCap DefaultSpread"
"w279",1.001,0.117144,8.545056,0,"MidCap DefaultSpread"
"alpha80",0.038595,0.038017,1.015205,0.310008,"MidCap EquityVolMeasure"
"gamma80",0.589706,1.51084,0.390317,0.696302,"MidCap EquityVolMeasure"
"beta80",0.001021,0.96893,0.001054,0.999159,"MidCap EquityVolMeasure"
"m80",13.841478,0.722041,19.169923,0,"MidCap EquityVolMeasure"
"theta80",-1.286774,0.132289,-9.726995,0,"MidCap EquityVolMeasure"
"w280",44.222425,0.698007,63.355243,0,"MidCap EquityVolMeasure"
"alpha81",0.047503,0,1743321.278551,0,"MidCap RecessionSpread"
"gamma81",0.846189,36.353917,0.023276,0.98143,"MidCap RecessionSpread"
"beta81",0.004319,0.072779,0.059348,0.952675,"MidCap RecessionSpread"
"m81",13.37093,34.172997,0.391272,0.695596,"MidCap RecessionSpread"
"theta81",0.933297,8.434385,0.110654,0.911891,"MidCap RecessionSpread"
"w281",57.197806,130.104496,0.43963,0.660205,"MidCap RecessionSpread"
"alpha82",0.000197,0.000007,29.142291,0,"MidCap CitiSurprise"
"gamma82",0.002742,0.00007,39.20436,0,"MidCap CitiSurprise"
