"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"gamma186",0.787749,0.077598,10.151625,0,"VentureComp EquityVolMeasure"
"beta186",0.530367,0.047187,11.239613,0,"VentureComp EquityVolMeasure"
"m186",15.304242,0.118954,128.657115,0,"VentureComp EquityVolMeasure"
"theta186",0.678281,0.020291,33.428481,0,"VentureComp EquityVolMeasure"
"w2186",1.001021,0.084515,11.84434,0,"VentureComp EquityVolMeasure"
"alpha187",0.097452,0.060811,1.602552,0.109034,"VentureComp CitiSurprise"
"gamma187",1.179416,0.716406,1.646295,0.099703,"VentureComp CitiSurprise"
"beta187",0.296635,0.435076,0.6818,0.495365,"VentureComp CitiSurprise"
"m187",15.675667,0.414491,37.819116,0,"VentureComp CitiSurprise"
"theta187",-0.010213,0.000847,-12.060436,0,"VentureComp CitiSurprise"
"w2187",1.001,0.214115,4.675057,0.000003,"VentureComp CitiSurprise"
"alpha188",0.05519,0.020241,2.726614,0.006399,"VentureComp MOVE"
"gamma188",0.664874,0.242473,2.742047,0.006106,"VentureComp MOVE"
"beta188",0.602809,0.143246,4.208198,0.000026,"VentureComp MOVE"
"m188",15.259942,0.177334,86.05176,0,"VentureComp MOVE"
"theta188",0.003639,0.000507,7.183433,0,"VentureComp MOVE"
"w2188",9.176774,0.052636,174.34246,0,"VentureComp MOVE"
"alpha189",0.000152,0.000008,18.076281,0,"Financial HousingStart"
"gamma189",-0.083464,0.13533,-0.616747,0.537402,"Financial HousingStart"
"beta189",0.9975,0.000247,4033.782079,0,"Financial HousingStart"
"m189",6.849631,1.408049,4.864626,0.000001,"Financial HousingStart"
"theta189",-0.018758,0.004657,-4.027852,0.000056,"Financial HousingStart"
"w2189",1.001001,0.214019,4.67716,0.000003,"Financial HousingStart"
"alpha190",0.000176,0.000007,23.456831,0,"Financial IndProd"
"gamma190",-0.046009,0.02195,-2.096061,0.036077,"Financial IndProd"
"beta190",0.997748,0.000138,7214.704557,0,"Financial IndProd"
"m190",7.176881,0.374011,19.188934,0,"Financial IndProd"
"theta190",-0.059151,0.010826,-5.463957,0,"Financial IndProd"
"w2190",1.001027,0.539593,1.855152,0.063574,"Financial IndProd"
"alpha191",0.000187,0.000008,24.422428,0,"Financial CoreInflation"
"gamma191",-0.056823,0.005275,-10.772719,0,"Financial CoreInflation"
"beta191",0.997569,0.000107,9317.655965,0,"Financial CoreInflation"
"m191",7.053966,0.037114,190.061878,0,"Financial CoreInflation"
"theta191",0.001981,0.001103,1.795594,0.072559,"Financial CoreInflation"
"w2191",1.832915,0.357318,5.129641,0,"Financial CoreInflation"
"alpha192",0.000171,0.000006,27.376155,0,"Financial PPI"
"gamma192",0.000074,0.000098,0.755118,0.450178,"Financial PPI"
"beta192",0.998792,0.000043,23137.581351,0,"Financial PPI"
"m192",9.062624,0.052731,171.86453,0,"Financial PPI"
"theta192",-0.06324,0.006866,-9.210575,0,"Financial PPI"
"w2192",4.215574,0.145628,28.947494,0,"Financial PPI"
"alpha193",0.000187,0.000006,29.051791,0,"Financial GDP"
"gamma193",-0.039753,0.00348,-11.421738,0,"Financial GDP"
"beta193",0.997826,0.000108,9268.526702,0,"Financial GDP"
"m193",7.310233,0.01998,365.879775,0,"Financial GDP"
"theta193",-0.09438,0.035126,-2.686893,0.007212,"Financial GDP"
"w2193",12.617894,0.306952,41.107069,0,"Financial GDP"
"alpha194",0.000253,0.000006,40.217706,0,"Financial UMich"
"gamma194",0.000299,0.000304,0.982109,0.326046,"Financial UMich"
"beta194",0.998598,0.000035,28702.151746,0,"Financial UMich"
"m194",7.589348,0.12347,61.467006,0,"Financial UMich"
"theta194",0.435142,0.026654,16.325817,0,"Financial UMich"
"w2194",1.418877,0.062166,22.823959,0,"Financial UMich"
"alpha195",0.000132,0.000005,29.171684,0,"Financial StLouisStress"
"gamma195",-0.000478,0.000104,-4.58899,0.000004,"Financial StLouisStress"
"beta195",0.999107,0.000045,22448.617491,0,"Financial StLouisStress"
"m195",8.732182,0.061949,140.95756,0,"Financial StLouisStress"
"theta195",0.287445,0.011288,25.464578,0,"Financial StLouisStress"
"w2195",1.001,0.284848,3.514156,0.000441,"Financial StLouisStress"
"alpha196",0.00019,0.000008,22.887793,0,"Financial GEPU"
"gamma196",-0.046581,0.011827,-3.938649,0.000082,"Financial GEPU"
"beta196",0.997746,0.000122,8167.932159,0,"Financial GEPU"
"m196",7.084408,0.166028,42.669882,0,"Financial GEPU"
"theta196",-0.030424,0.006759,-4.5011,0.000007,"Financial GEPU"
"w2196",1.001,0.265087,3.776126,0.000159,"Financial GEPU"
"alpha197",0.02874,0.005172,5.557014,0,"Financial GPR"
"gamma197",-13.194568,0.160504,-82.207019,0,"Financial GPR"
"beta197",0.001188,0.167805,0.007077,0.994353,"Financial GPR"
"m197",7.939466,0.134354,59.093515,0,"Financial GPR"
"theta197",0.100063,0.007695,13.003724,0,"Financial GPR"
"w2197",1.001001,0.085581,11.696512,0,"Financial GPR"
"alpha198",0.00016,0.000008,19.55006,0,"Financial BKK"
"gamma198",-0.059583,0.018132,-3.286013,0.001016,"Financial BKK"
"beta198",0.997531,0.000118,8439.928015,0,"Financial BKK"
"m198",7.136347,0.2496,28.591139,0,"Financial BKK"
"theta198",0.097426,0.013816,7.051712,0,"Financial BKK"
"w2198",1.001,0.258954,3.865559,0.000111,"Financial BKK"
"alpha199",0.040561,0.006795,5.969517,0,"Financial Unemployment"
"gamma199",-9.929571,0.151026,-65.747367,0,"Financial Unemployment"
"beta199",0.001646,0.175937,0.009353,0.992538,"Financial Unemployment"
"m199",7.913849,0.164485,48.112757,0,"Financial Unemployment"
"theta199",1.438388,0.143165,10.047071,0,"Financial Unemployment"
"w2199",1.001003,0.314474,3.183108,0.001457,"Financial Unemployment"
"alpha200",0.045515,0.010898,4.17646,0.00003,"Financial CFNAI"
"gamma200",-6.267289,0.363203,-17.255586,0,"Financial CFNAI"
"beta200",0.001154,0.237993,0.00485,0.99613,"Financial CFNAI"
"m200",7.984502,0.148168,53.888266,0,"Financial CFNAI"
"theta200",-0.571114,0.016842,-33.910322,0,"Financial CFNAI"
"w2200",1.001,0.154958,6.459815,0,"Financial CFNAI"
"alpha201",0.046903,0.007295,6.429556,0,"Financial VIX"
