"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"beta65",0.997568,3.7e-05,27015.84829,0,"Healthcare CoreInflation"
"m65",12.458739,0.011287,1103.82695,0,"Healthcare CoreInflation"
"theta65",-0.002189,0.000661,-3.311767,0.000927,"Healthcare CoreInflation"
"w265",1.017238,1.201176,0.846868,0.397069,"Healthcare CoreInflation"
"alpha66",0.045057,0.040436,1.114295,0.265152,"Healthcare PPI"
"gamma66",0.603908,0.60335,1.000924,0.316863,"Healthcare PPI"
"beta66",0.183829,0.722873,0.254304,0.799261,"Healthcare PPI"
"m66",12.353021,0.111972,110.322159,0,"Healthcare PPI"
"theta66",0.09178,0.012476,7.356394,0,"Healthcare PPI"
"w266",1.001,0.426054,2.349468,0.0188,"Healthcare PPI"
"alpha67",0.000219,8e-05,2.731448,0.006306,"Healthcare GDP"
"gamma67",0.002312,0.004651,0.497017,0.619177,"Healthcare GDP"
"beta67",0.997625,0.005472,182.321901,0,"Healthcare GDP"
"m67",12.404208,0.02981,416.115241,0,"Healthcare GDP"
"theta67",0.049266,0.303578,0.162285,0.871082,"Healthcare GDP"
"w267",1.302679,1906.031453,0.000683,0.999455,"Healthcare GDP"
"alpha68",0.035319,0.019365,1.823911,0.068166,"Healthcare UMich"
"gamma68",0.53077,0.269337,1.970656,0.048763,"Healthcare UMich"
"beta68",0.423236,0.315565,1.3412,0.179855,"Healthcare UMich"
"m68",12.552812,0.094243,133.196298,0,"Healthcare UMich"
"theta68",-0.169554,0.013597,-12.470128,0,"Healthcare UMich"
"w268",1.001001,0.118813,8.425023,0,"Healthcare UMich"
"alpha69",0.000282,7e-06,42.599612,0,"Healthcare StLouisStress"
"gamma69",0.002924,9.5e-05,30.686347,0,"Healthcare StLouisStress"
"beta69",0.997256,6.2e-05,16013.482247,0,"Healthcare StLouisStress"
"m69",12.453969,0.011835,1052.326414,0,"Healthcare StLouisStress"
"theta69",0.232975,0.006326,36.830561,0,"Healthcare StLouisStress"
"w269",1.001,0.194049,5.158499,0,"Healthcare StLouisStress"
"alpha70",0.000231,5e-06,44.35229,0,"Healthcare GEPU"
"gamma70",0.002368,3.8e-05,61.640487,0,"Healthcare GEPU"
"beta70",0.997585,3.6e-05,27826.165723,0,"Healthcare GEPU"
"m70",12.461141,0.011522,1081.473993,0,"Healthcare GEPU"
"theta70",0.00731,0.002651,2.757777,0.00582,"Healthcare GEPU"
"w270",4.852784,0.023858,203.402615,0,"Healthcare GEPU"
"alpha71",0.059581,0.014294,4.168408,3.1e-05,"Healthcare GPR"
"gamma71",0.719617,0.091187,7.891624,0,"Healthcare GPR"
"beta71",0.016056,0.23363,0.068725,0.945209,"Healthcare GPR"
"m71",12.514764,0.129298,96.790101,0,"Healthcare GPR"
"theta71",0.085667,0.007746,11.059638,0,"Healthcare GPR"
"w271",1.05076,0.102066,10.294924,0,"Healthcare GPR"
"alpha72",0.000228,5e-06,42.225025,0,"Healthcare BKK"
"gamma72",0.002352,4.3e-05,55.269412,0,"Healthcare BKK"
"beta72",0.997596,3.6e-05,27736.997032,0,"Healthcare BKK"
"m72",12.461487,0.012626,986.931489,0,"Healthcare BKK"
"theta72",0.027799,0.01019,2.728034,0.006371,"Healthcare BKK"
"w272",1.001036,1.769836,0.56561,0.571659,"Healthcare BKK"
"alpha73",0.00024,5e-06,44.560676,0,"Healthcare Unemployment"
"gamma73",0.002412,0.000116,20.825336,0,"Healthcare Unemployment"
"beta73",0.997554,4.6e-05,21641.619217,0,"Healthcare Unemployment"
"m73",12.439881,0.034973,355.695114,0,"Healthcare Unemployment"
"theta73",0.724601,0.259869,2.788331,0.005298,"Healthcare Unemployment"
"w273",1.120519,3.174655,0.352958,0.72412,"Healthcare Unemployment"
"alpha74",0.00026,6e-06,43.726728,0,"Healthcare CFNAI"
"gamma74",0.002602,7.9e-05,32.834726,0,"Healthcare CFNAI"
"beta74",0.997439,5.3e-05,18652.012363,0,"Healthcare CFNAI"
"m74",12.31642,0.011804,1043.394089,0,"Healthcare CFNAI"
"theta74",-0.355815,0.012437,-28.609729,0,"Healthcare CFNAI"
"w274",1.001005,0.120375,8.315731,0,"Healthcare CFNAI"
"alpha75",0.000701,6e-05,11.629116,0,"Healthcare VIX"
"gamma75",0.014686,0.001135,12.93592,0,"Healthcare VIX"
"beta75",0.990955,0.00074,1338.450709,0,"Healthcare VIX"
"m75",11.916854,0.049921,238.715807,0,"Healthcare VIX"
"theta75",0.08824,0.003557,24.808732,0,"Healthcare VIX"
"w275",1.001139,0.121062,8.269655,0,"Healthcare VIX"
"alpha76",0.000785,7.4e-05,10.612381,0,"Healthcare VXN"
"gamma76",0.021348,0.001709,12.494462,0,"Healthcare VXN"
"beta76",0.987494,0.000932,1059.305383,0,"Healthcare VXN"
"m76",11.894467,0.081847,145.326049,0,"Healthcare VXN"
"theta76",0.096368,0.003123,30.857006,0,"Healthcare VXN"
"w276",1.001,0.098008,10.213487,0,"Healthcare VXN"
"alpha77",0.000237,5e-06,43.822985,0,"Healthcare TermSpread"
"gamma77",0.002385,4.2e-05,56.904745,0,"Healthcare TermSpread"
"beta77",0.99757,3.8e-05,26469.839333,0,"Healthcare TermSpread"
"m77",12.447905,0.010979,1133.821636,0,"Healthcare TermSpread"
"theta77",0.742864,0.135602,5.478258,0,"Healthcare TermSpread"
"w277",1.98132,0.147135,13.466018,0,"Healthcare TermSpread"
"alpha78",0.000232,5e-06,42.40202,0,"Healthcare NewOrders"
"gamma78",0.002367,3.9e-05,61.216341,0,"Healthcare NewOrders"
"beta78",0.997585,3.5e-05,28385.330281,0,"Healthcare NewOrders"
"m78",12.453951,0.011258,1106.265449,0,"Healthcare NewOrders"
"theta78",0.003417,0.003323,1.028463,0.303732,"Healthcare NewOrders"
"w278",2.151429,0.024873,86.497354,0,"Healthcare NewOrders"
"alpha79",0.000317,7e-06,43.523323,0,"Healthcare DefaultSpread"
"gamma79",0.003453,0.000124,27.78957,0,"Healthcare DefaultSpread"
"beta79",0.996956,8e-05,12516.730963,0,"Healthcare DefaultSpread"
"m79",11.829625,0.021077,561.251803,0,"Healthcare DefaultSpread"
"theta79",0.118189,0.00292,40.477756,0,"Healthcare DefaultSpread"
"w279",1.001016,0.080759,12.395095,0,"Healthcare DefaultSpread"
"alpha80",0.052694,0.00158,33.344002,0,"Healthcare EquityVolMeasure"
"gamma80",0.226237,0.057989,3.901389,9.6e-05,"Healthcare EquityVolMeasure"
"beta80",0.00128,0.01376,0.093037,0.925874,"Healthcare EquityVolMeasure"
"m80",13.518413,0.057394,235.537432,0,"Healthcare EquityVolMeasure"
"theta80",-3.102411,0.141221,-21.968451,0,"Healthcare EquityVolMeasure"
"w280",1.160801,0.083236,13.945846,0,"Healthcare EquityVolMeasure"
"alpha81",0.000235,3.1e-05,7.563245,0,"Healthcare RecessionSpread"
"gamma81",0.002671,0.001181,2.262557,0.023663,"Healthcare RecessionSpread"
"beta81",0.997429,0.00071,1404.205036,0,"Healthcare RecessionSpread"
"m81",12.345258,0.023749,519.816392,0,"Healthcare RecessionSpread"
"theta81",3.550542,5.487046,0.647077,0.517582,"Healthcare RecessionSpread"
"w281",1.274721,1.842995,0.691657,0.489152,"Healthcare RecessionSpread"
"alpha82",0.000237,5e-06,43.647026,0,"Healthcare CitiSurprise"
"gamma82",0.002328,8.1e-05,28.78282,0,"Healthcare CitiSurprise"
"beta82",0.997599,5.9e-05,16789.872673,0,"Healthcare CitiSurprise"
"m82",12.441981,0.020884,595.756938,0,"Healthcare CitiSurprise"
"theta82",-0.00225,0.000596,-3.777328,0.000159,"Healthcare CitiSurprise"
"w282",3.243683,1.458488,2.224004,0.026148,"Healthcare CitiSurprise"
"alpha83",0.000185,7e-06,26.948099,0,"Healthcare MOVE"
"gamma83",0.003159,0.000171,18.442566,0,"Healthcare MOVE"
"beta83",0.997235,9.5e-05,10454.16183,0,"Healthcare MOVE"
"m83",10.719199,0.052266,205.091258,0,"Healthcare MOVE"
"theta83",0.018533,0.000525,35.291955,0,"Healthcare MOVE"
"w283",1.001006,0.114792,8.720158,0,"Healthcare MOVE"
"alpha84",0.075842,0.005269,14.395181,0,"VentureComposite HousingStart"
"gamma84",0.955258,0.06564,14.553064,0,"VentureComposite HousingStart"
"beta84",0.429234,0.037854,11.339223,0,"VentureComposite HousingStart"
"m84",15.398062,0.272378,56.53198,0,"VentureComposite HousingStart"
"theta84",-0.037359,0.005247,-7.119716,0,"VentureComposite HousingStart"
"w284",2.648508,0.241496,10.967107,0,"VentureComposite HousingStart"
"alpha85",0.020989,0.057338,0.366055,0.714324,"VentureComposite IndProd"
"gamma85",0.251207,0.722921,0.347489,0.728224,"VentureComposite IndProd"
"beta85",0.84989,0.407641,2.084896,0.037079,"VentureComposite IndProd"
"m85",15.552251,5.872253,2.64843,0.008087,"VentureComposite IndProd"
"theta85",-0.175118,0.059467,-2.944801,0.003232,"VentureComposite IndProd"
"w285",3.621538,2.655805,1.363631,0.172684,"VentureComposite IndProd"
"alpha86",0.079824,0.023442,3.405111,0.000661,"VentureComposite CoreInflation"
"gamma86",0.949627,0.270265,3.51369,0.000442,"VentureComposite CoreInflation"
"beta86",0.4303,0.164091,2.622321,0.008733,"VentureComposite CoreInflation"
"m86",15.492372,0.132917,116.55702,0,"VentureComposite CoreInflation"
"theta86",0.005871,0.00099,5.931237,0,"VentureComposite CoreInflation"
"w286",1.001001,0.423003,2.366415,0.017961,"VentureComposite CoreInflation"
"alpha87",0.146295,0.029546,4.951393,1e-06,"VentureComposite PPI"
"gamma87",1.634376,0.347983,4.696712,3e-06,"VentureComposite PPI"
"beta87",0.001339,0.193969,0.006904,0.994491,"VentureComposite PPI"
"m87",15.127917,1.309148,11.555541,0,"VentureComposite PPI"
"theta87",-0.230232,0.048909,-4.707322,3e-06,"VentureComposite PPI"
"w287",2.966996,1.944513,1.52583,0.127052,"VentureComposite PPI"
"alpha88",0.079313,0.006194,12.804617,0,"VentureComposite GDP"
"gamma88",0.93584,0.063603,14.713706,0,"VentureComposite GDP"
"beta88",0.438952,0.040074,10.953581,0,"VentureComposite GDP"
"m88",15.657155,0.133509,117.273923,0,"VentureComposite GDP"
"theta88",-0.099929,0.005058,-19.756284,0,"VentureComposite GDP"
"w288",8.271155,0.261529,31.626134,0,"VentureComposite GDP"
"alpha89",0.080703,0.034385,2.347041,0.018923,"VentureComposite UMich"
"gamma89",0.976536,0.436226,2.238599,0.025182,"VentureComposite UMich"
"beta89",0.415145,0.248199,1.67263,0.0944,"VentureComposite UMich"
"m89",15.477825,0.800533,19.334404,0,"VentureComposite UMich"
"theta89",-0.137187,0.024157,-5.678969,0,"VentureComposite UMich"
"w289",2.459383,0.55583,4.424705,1e-05,"VentureComposite UMich"
"alpha90",0.133609,0.029975,4.457373,8e-06,"VentureComposite StLouisStress"
"gamma90",1.587539,0.318422,4.985639,1e-06,"VentureComposite StLouisStress"
"beta90",0.001081,0.218574,0.004947,0.996053,"VentureComposite StLouisStress"
"m90",14.487164,0.228661,63.356438,0,"VentureComposite StLouisStress"
"theta90",-0.423439,0.019645,-21.554087,0,"VentureComposite StLouisStress"
"w290",1.001,0.101674,9.845165,0,"VentureComposite StLouisStress"
"alpha91",0.110914,0.01132,9.798013,0,"VentureComposite GEPU"
"gamma91",1.428994,0.128172,11.149005,0,"VentureComposite GEPU"
"beta91",0.151578,0.080901,1.87362,0.060983,"VentureComposite GEPU"
"m91",15.632195,0.177355,88.140741,0,"VentureComposite GEPU"
"theta91",0.158892,0.007197,22.078488,0,"VentureComposite GEPU"
"w291",1.028457,0.046936,21.91178,0,"VentureComposite GEPU"
"alpha92",0.109026,0.025031,4.355669,1.3e-05,"VentureComposite GPR"
"gamma92",1.30463,0.28831,4.525097,6e-06,"VentureComposite GPR"
"beta92",0.220267,0.175855,1.252552,0.210369,"VentureComposite GPR"
"m92",15.410555,0.182182,84.588769,0,"VentureComposite GPR"
"theta92",-0.092291,0.006541,-14.108911,0,"VentureComposite GPR"
"w292",1.580134,0.054401,29.045962,0,"VentureComposite GPR"
"alpha93",0.084707,0.011023,7.684367,0,"VentureComposite BKK"
"gamma93",0.981151,0.120051,8.172816,0,"VentureComposite BKK"
"beta93",0.414184,0.072141,5.741313,0,"VentureComposite BKK"
"m93",15.831972,0.22044,71.819723,0,"VentureComposite BKK"
"theta93",0.35335,0.028002,12.618862,0,"VentureComposite BKK"
"w293",1.001,0.41193,2.430027,0.015098,"VentureComposite BKK"
"alpha94",0.090004,0.011973,7.517075,0,"VentureComposite Unemployment"
"gamma94",1.064936,0.136175,7.820352,0,"VentureComposite Unemployment"
"beta94",0.361856,0.081763,4.425688,1e-05,"VentureComposite Unemployment"
"m94",15.539342,0.241032,64.470089,0,"VentureComposite Unemployment"
"theta94",0.584724,1e-06,538840.928577,0,"VentureComposite Unemployment"
"w294",43.816028,0.897963,48.794917,0,"VentureComposite Unemployment"
"alpha95",0.090004,0.011973,7.517075,0,"VentureComposite Unemployment"
"gamma95",1.064936,0.136175,7.820352,0,"VentureComposite Unemployment"
"beta95",0.361856,0.081763,4.425688,1e-05,"VentureComposite Unemployment"
"m95",15.539342,0.241032,64.470089,0,"VentureComposite Unemployment"
"theta95",0.584724,1e-06,538840.928577,0,"VentureComposite Unemployment"
"w295",43.816028,0.897963,48.794917,0,"VentureComposite Unemployment"
"alpha96",0.135649,0.040395,3.358027,0.000785,"VentureComposite VIX"
"gamma96",1.593328,0.428557,3.717885,0.000201,"VentureComposite VIX"
"beta96",0.001974,0.305319,0.006466,0.994841,"VentureComposite VIX"
"m96",15.361646,0.38191,40.223193,0,"VentureComposite VIX"
"theta96",-0.040145,0.005371,-7.474247,0,"VentureComposite VIX"
"w296",1.001,0.167143,5.988877,0,"VentureComposite VIX"
"alpha97",0.093584,0.033859,2.763894,0.005712,"VentureComposite VXN"
"gamma97",1.116038,0.379902,2.937701,0.003307,"VentureComposite VXN"
"beta97",0.328941,0.238361,1.380016,0.167582,"VentureComposite VXN"
"m97",15.70207,0.575525,27.283044,0,"VentureComposite VXN"
"theta97",-0.012929,0.003805,-3.397965,0.000679,"VentureComposite VXN"
"w297",1.001,0.106227,9.423187,0,"VentureComposite VXN"
"alpha98",0.063589,0.022347,2.845558,0.004433,"VentureComposite TermSpread"
"gamma98",0.764832,0.270983,2.822438,0.004766,"VentureComposite TermSpread"
"beta98",0.542215,0.157636,3.439657,0.000582,"VentureComposite TermSpread"
"m98",15.510447,0.491249,31.573514,0,"VentureComposite TermSpread"
"theta98",-2.774133,0.187077,-14.828804,0,"VentureComposite TermSpread"
"w298",1.903862,0.391405,4.864179,1e-06,"VentureComposite TermSpread"
"alpha99",0.087769,0.034014,2.58037,0.009869,"VentureComposite NewOrders"
"gamma99",1.031068,0.387681,2.659576,0.007824,"VentureComposite NewOrders"
"beta99",0.383171,0.236427,1.62067,0.105088,"VentureComposite NewOrders"
"m99",15.598806,0.510284,30.568879,0,"VentureComposite NewOrders"
"theta99",-0.102644,0.009397,-10.92344,0,"VentureComposite NewOrders"
"w299",3.154647,0.479254,6.582409,0,"VentureComposite NewOrders"
"alpha100",0.418705,0.009912,42.241439,0,"VentureComposite DefaultSpread"
"gamma100",1.157988,0.023552,49.166356,0,"VentureComposite DefaultSpread"
"beta100",0.001301,0.014733,0.088272,0.92966,"VentureComposite DefaultSpread"
"m100",8.353981,1.159334,7.205842,0,"VentureComposite DefaultSpread"
"theta100",0.527606,0.057101,9.239854,0,"VentureComposite DefaultSpread"
"w2100",19.283207,0.056803,339.474215,0,"VentureComposite DefaultSpread"
"alpha101",0.066925,0.010707,6.250704,0,"VentureComposite EquityVolMeasure"
"gamma101",0.789031,0.121218,6.509173,0,"VentureComposite EquityVolMeasure"
"beta101",0.529664,0.072651,7.290528,0,"VentureComposite EquityVolMeasure"
"m101",15.309993,0.079629,192.26723,0,"VentureComposite EquityVolMeasure"
"theta101",0.67832,0.020644,32.85767,0,"VentureComposite EquityVolMeasure"
"w2101",1.001016,0.117698,8.504981,0,"VentureComposite EquityVolMeasure"
"alpha102",0.132263,0.017512,7.552876,0,"VentureComposite RecessionSpread"
"gamma102",1.596182,0.175237,9.108681,0,"VentureComposite RecessionSpread"
"beta102",0.00295,0.130304,0.02264,0.981938,"VentureComposite RecessionSpread"
"m102",14.900895,0.356177,41.83563,0,"VentureComposite RecessionSpread"
"theta102",-6.379183,0.407069,-15.671011,0,"VentureComposite RecessionSpread"
"w2102",1.001,0.247791,4.0397,5.4e-05,"VentureComposite RecessionSpread"
"alpha103",0.097599,0.10035,0.972593,0.330755,"VentureComposite CitiSurprise"
"gamma103",1.181033,1.218157,0.969525,0.332283,"VentureComposite CitiSurprise"
"beta103",0.295578,0.72256,0.409071,0.682488,"VentureComposite CitiSurprise"
"m103",15.670981,0.467761,33.502077,0,"VentureComposite CitiSurprise"
"theta103",-0.010213,0.000832,-12.282227,0,"VentureComposite CitiSurprise"
"w2103",1.001,0.336765,2.972399,0.002955,"VentureComposite CitiSurprise"
"alpha104",0.055134,0.005158,10.689065,0,"VentureComposite MOVE"
"gamma104",0.664182,0.056843,11.684503,0,"VentureComposite MOVE"
"beta104",0.603203,0.034506,17.481214,0,"VentureComposite MOVE"
"m104",15.258281,0.153054,99.692285,0,"VentureComposite MOVE"
"theta104",0.003637,0.000506,7.183227,0,"VentureComposite MOVE"
"w2104",9.300414,0.037686,246.788192,0,"VentureComposite MOVE"
"alpha105",0.096898,0.010091,9.602261,0,"SP100 HousingStart"
"gamma105",0.537076,0.104041,5.162182,0,"SP100 HousingStart"
"beta105",0.00114,0.100468,0.011349,0.990945,"SP100 HousingStart"
"m105",12.308603,0.069252,177.736852,0,"SP100 HousingStart"
"theta105",-0.065925,0.002486,-26.522772,0,"SP100 HousingStart"
"w2105",1.001,0.096151,10.410673,0,"SP100 HousingStart"
"alpha106",0.096989,0.026213,3.699984,0.000216,"SP100 IndProd"
"gamma106",0.779429,0.137131,5.683811,0,"SP100 IndProd"
"beta106",0.001304,0.269292,0.004844,0.996135,"SP100 IndProd"
"m106",12.627503,0.123196,102.498938,0,"SP100 IndProd"
"theta106",-0.147158,0.010953,-13.435677,0,"SP100 IndProd"
"w2106",1.001,0.177223,5.648256,0,"SP100 IndProd"
"alpha107",0.09423,0.025758,3.658303,0.000254,"SP100 CoreInflation"
"gamma107",0.76574,0.107973,7.091936,0,"SP100 CoreInflation"
"beta107",0.001433,0.270839,0.005291,0.995778,"SP100 CoreInflation"
"m107",12.65239,0.155716,81.253143,0,"SP100 CoreInflation"
"theta107",-0.012377,0.001367,-9.054688,0,"SP100 CoreInflation"
"w2107",2.39017,0.179383,13.324402,0,"SP100 CoreInflation"
"alpha108",0.090858,0.062675,1.449669,0.147151,"SP100 PPI"
"gamma108",0.615557,0.255597,2.408313,0.016026,"SP100 PPI"
"beta108",0.001335,0.681528,0.001958,0.998437,"SP100 PPI"
"m108",12.524758,0.153972,81.344596,0,"SP100 PPI"
"theta108",0.014559,0.008242,1.766442,0.077322,"SP100 PPI"
"w2108",1.001,0.131645,7.603809,0,"SP100 PPI"
"alpha109",0.080466,2.222382,0.036207,0.971117,"SP100 GDP"
"gamma109",0.998504,24.293809,0.041101,0.967215,"SP100 GDP"
"beta109",0.274832,20.079012,0.013688,0.989079,"SP100 GDP"
"m109",13.946436,11.60557,1.201702,0.229479,"SP100 GDP"
"theta109",-0.527649,0.136777,-3.857729,0.000114,"SP100 GDP"
"w2109",1.001,0.685181,1.460929,0.144035,"SP100 GDP"
"alpha110",0.091698,0.109001,0.841259,0.400203,"SP100 UMich"
"gamma110",0.544041,4.543957,0.119728,0.904698,"SP100 UMich"
"beta110",0.001281,1.112952,0.001151,0.999081,"SP100 UMich"
"m110",12.464632,3.02031,4.126939,3.7e-05,"SP100 UMich"
"theta110",-0.089567,0.291314,-0.307459,0.758494,"SP100 UMich"
"w2110",1.001,10.08451,0.099261,0.920931,"SP100 UMich"
"alpha111",0.007027,0.001655,4.246827,2.2e-05,"SP100 StLouisStress"
"gamma111",0.105345,0.024685,4.26749,2e-05,"SP100 StLouisStress"
"beta111",0.934466,0.015434,60.546693,0,"SP100 StLouisStress"
"m111",14.111563,0.104676,134.811402,0,"SP100 StLouisStress"
"theta111",0.412868,0.007631,54.106444,0,"SP100 StLouisStress"
"w2111",1.001,0.059022,16.959778,0,"SP100 StLouisStress"
"alpha112",0.091512,0.016022,5.711773,0,"SP100 GEPU"
"gamma112",0.637672,0.110027,5.795581,0,"SP100 GEPU"
"beta112",0.001307,0.174376,0.007494,0.994021,"SP100 GEPU"
"m112",12.538197,0.040518,309.445929,0,"SP100 GEPU"
"theta112",-0.009416,0.006808,-1.383097,0.166635,"SP100 GEPU"
"w2112",1.001015,0.076304,13.118742,0,"SP100 GEPU"
"alpha113",0.086199,0.020999,4.104847,4e-05,"SP100 GPR"
"gamma113",0.524897,0.156148,3.361548,0.000775,"SP100 GPR"
"beta113",0.001147,0.240845,0.004764,0.996199,"SP100 GPR"
"m113",12.642602,0.037236,339.524488,0,"SP100 GPR"
"theta113",0.121313,0.007721,15.712862,0,"SP100 GPR"
"w2113",1.037951,0.070605,14.700805,0,"SP100 GPR"
"alpha114",0.089511,0.011775,7.601911,0,"SP100 BKK"
"gamma114",0.691439,0.05857,11.8053,0,"SP100 BKK"
"beta114",0.001401,0.127074,0.011027,0.991202,"SP100 BKK"
"m114",12.630306,0.108478,116.431442,0,"SP100 BKK"
"theta114",0.100419,0.025003,4.016188,5.9e-05,"SP100 BKK"
"w2114",1.001001,0.222569,4.497481,7e-06,"SP100 BKK"
"alpha115",0.101253,0.024781,4.085923,4.4e-05,"SP100 Unemployment"
"gamma115",0.894466,0.074308,12.037239,0,"SP100 Unemployment"
"beta115",0.001221,0.242666,0.00503,0.995987,"SP100 Unemployment"
"m115",12.646353,0.236956,53.370043,0,"SP100 Unemployment"
"theta115",2.795119,0.154983,18.034978,0,"SP100 Unemployment"
"w2115",1.001,0.156683,6.388703,0,"SP100 Unemployment"
"alpha116",0.011074,0.009079,1.219812,0.222536,"SP100 CFNAI"
"gamma116",0.169988,0.140128,1.213089,0.225096,"SP100 CFNAI"
"beta116",0.892967,0.088551,10.084203,0,"SP100 CFNAI"
"m116",13.857477,0.154141,89.901311,0,"SP100 CFNAI"
"theta116",-0.642667,0.015224,-42.214412,0,"SP100 CFNAI"
"w2116",1.001,0.071439,14.011909,0,"SP100 CFNAI"
"alpha117",0.005497,0.00069,7.965997,0,"SP100 VIX"
"gamma117",0.092776,0.011352,8.172559,0,"SP100 VIX"
"beta117",0.94601,0.006532,144.825587,0,"SP100 VIX"
"m117",12.898049,0.11373,113.409222,0,"SP100 VIX"
"theta117",0.100946,0.002182,46.264497,0,"SP100 VIX"
"w2117",1.034691,0.05886,17.578949,0,"SP100 VIX"
"alpha118",0.012704,0.00581,2.186715,0.028763,"SP100 VXN"
"gamma118",0.231869,0.110696,2.094649,0.036202,"SP100 VXN"
"beta118",0.864246,0.062246,13.884453,0,"SP100 VXN"
"m118",12.556842,0.614893,20.421168,0,"SP100 VXN"
"theta118",0.097059,0.001994,48.680559,0,"SP100 VXN"
"w2118",1.001,0.067026,14.934594,0,"SP100 VXN"
"alpha119",0.094333,0.018671,5.052446,0,"SP100 TermSpread"
"gamma119",0.715402,0.340304,2.102245,0.035532,"SP100 TermSpread"
"beta119",0.003384,0.199385,0.016974,0.986458,"SP100 TermSpread"
"m119",12.579524,0.266386,47.222866,0,"SP100 TermSpread"
"theta119",2.81841,0.648386,4.346808,1.4e-05,"SP100 TermSpread"
"w2119",1.394342,0.104487,13.344683,0,"SP100 TermSpread"
"alpha120",0.095817,0.013538,7.077814,0,"SP100 NewOrders"
"gamma120",0.738317,0.310211,2.380052,0.01731,"SP100 NewOrders"
"beta120",0.001441,0.137537,0.010475,0.991642,"SP100 NewOrders"
"m120",12.61047,0.210902,59.793144,0,"SP100 NewOrders"
"theta120",-0.03719,0.00455,-8.174323,0,"SP100 NewOrders"
"w2120",1.029198,0.172501,5.966339,0,"SP100 NewOrders"
"alpha121",0.005871,0.000984,5.966302,0,"SP100 DefaultSpread"
"gamma121",0.087136,0.014645,5.949992,0,"SP100 DefaultSpread"
"beta121",0.946839,0.008811,107.459162,0,"SP100 DefaultSpread"
"m121",13.141252,0.144058,91.222248,0,"SP100 DefaultSpread"
"theta121",0.19536,0.003878,50.380213,0,"SP100 DefaultSpread"
"w2121",1.180609,0.079196,14.907444,0,"SP100 DefaultSpread"
"alpha122",0.05202,0.003234,16.08429,0,"SP100 EquityVolMeasure"
"gamma122",-0.48214,0.080146,-6.0158,0,"SP100 EquityVolMeasure"
"beta122",0.001017,0.009114,0.111636,0.911112,"SP100 EquityVolMeasure"
"m122",14.04829,0.103721,135.443099,0,"SP100 EquityVolMeasure"
"theta122",-4.298301,0.232542,-18.48399,0,"SP100 EquityVolMeasure"
"w2122",1.223207,0.083309,14.682815,0,"SP100 EquityVolMeasure"
"alpha123",0.088176,0.006293,14.01148,0,"SP100 RecessionSpread"
"gamma123",0.879318,0.460397,1.90991,0.056145,"SP100 RecessionSpread"
"beta123",0.0016,0.062037,0.025792,0.979423,"SP100 RecessionSpread"
"m123",12.537254,0.492528,25.45489,0,"SP100 RecessionSpread"
"theta123",4.966375,0.372886,13.318747,0,"SP100 RecessionSpread"
"w2123",1.481551,0.153317,9.663319,0,"SP100 RecessionSpread"
"alpha124",0.087511,0.009829,8.902877,0,"SP100 CitiSurprise"
"gamma124",0.762246,0.169548,4.495748,7e-06,"SP100 CitiSurprise"
"beta124",0.094151,0.097441,0.966237,0.333925,"SP100 CitiSurprise"
"m124",12.720046,0.138879,91.59062,0,"SP100 CitiSurprise"
"theta124",-0.005529,0.001105,-5.004588,1e-06,"SP100 CitiSurprise"
"w2124",1.42792,0.206952,6.899772,0,"SP100 CitiSurprise"
"alpha125",0.003717,0.000561,6.622416,0,"SP100 MOVE"
"gamma125",0.075768,0.011067,6.846455,0,"SP100 MOVE"
"beta125",0.954782,0.00615,155.240022,0,"SP100 MOVE"
"m125",12.182259,0.351644,34.643764,0,"SP100 MOVE"
"theta125",0.022321,0.000532,41.916868,0,"SP100 MOVE"
"w2125",1.001,0.144058,6.948576,0,"SP100 MOVE"
"alpha126",0.097043,0.48583,0.199748,0.841678,"Consumer HousingStart"
"gamma126",0.714528,2.765094,0.25841,0.796091,"Consumer HousingStart"
"beta126",0.00125,5.009344,0.000249,0.999801,"Consumer HousingStart"
"m126",12.04402,0.747038,16.122366,0,"Consumer HousingStart"
"theta126",-0.075893,0.002531,-29.98169,0,"Consumer HousingStart"
"w2126",1.001,0.247323,4.047341,5.2e-05,"Consumer HousingStart"
"alpha127",0.090708,0.04722,1.920979,0.054734,"Consumer IndProd"
"gamma127",0.738275,0.339824,2.172522,0.029816,"Consumer IndProd"
"beta127",0.00133,0.51842,0.002565,0.997954,"Consumer IndProd"
"m127",12.227978,0.041429,295.153214,0,"Consumer IndProd"
"theta127",-0.122158,0.009533,-12.813849,0,"Consumer IndProd"
"w2127",1.001,0.180819,5.535931,0,"Consumer IndProd"
"alpha128",0.087978,0.325074,0.270642,0.786667,"Consumer CoreInflation"
"gamma128",0.722731,1.504302,0.480443,0.630913,"Consumer CoreInflation"
"beta128",0.001336,3.745999,0.000357,0.999716,"Consumer CoreInflation"
"m128",12.238527,1.073634,11.399166,0,"Consumer CoreInflation"
"theta128",-0.011975,0.005213,-2.297088,0.021614,"Consumer CoreInflation"
"w2128",1.001,5.547048,0.180456,0.856794,"Consumer CoreInflation"
"alpha129",0.076625,0.020468,3.743648,0.000181,"Consumer PPI"
"gamma129",0.502989,0.088095,5.709614,0,"Consumer PPI"
"beta129",0.001259,0.263438,0.004778,0.996188,"Consumer PPI"
