"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"m15",7.242316,1.664758,4.350372,1.4e-05,"Financial NewOrders"
"theta15",-0.030721,0.004407,-6.970324,0,"Financial NewOrders"
"w215",1.511999,1.131618,1.336139,0.181504,"Financial NewOrders"
"alpha16",0.05289,0.015928,3.320597,0.000898,"Financial DefaultSpread"
"gamma16",-2.697942,0.366135,-7.368717,0,"Financial DefaultSpread"
"beta16",0.001067,0.30123,0.003541,0.997175,"Financial DefaultSpread"
"m16",6.967935,0.266567,26.139566,0,"Financial DefaultSpread"
"theta16",0.2541,0.007041,36.088498,0,"Financial DefaultSpread"
"w216",1.001,0.09599,10.428123,0,"Financial DefaultSpread"
"alpha17",1e-04,1.5e-05,6.765941,0,"Financial EquityVolMeasure"
"gamma17",-0.106867,0.024531,-4.356386,1.3e-05,"Financial EquityVolMeasure"
"beta17",0.997413,0.000118,8483.853597,0,"Financial EquityVolMeasure"
"m17",7.441768,0.162813,45.707343,0,"Financial EquityVolMeasure"
"theta17",-1.499607,0.220063,-6.814438,0,"Financial EquityVolMeasure"
"w217",1.001003,1.051893,0.951621,0.341289,"Financial EquityVolMeasure"
"alpha18",0.025396,0.018283,1.389057,0.164815,"Financial RecessionSpread"
"gamma18",-7.180278,0.540486,-13.284856,0,"Financial RecessionSpread"
"beta18",0.001341,0.704515,0.001903,0.998482,"Financial RecessionSpread"
"m18",7.820886,0.478202,16.35478,0,"Financial RecessionSpread"
"theta18",9.332975,0.394098,23.68188,0,"Financial RecessionSpread"
"w218",1.092851,0.07371,14.826435,0,"Financial RecessionSpread"
"alpha19",0.000179,8e-06,22.303825,0,"Financial CitiSurprise"
"gamma19",-0.042808,0.028814,-1.485677,0.137365,"Financial CitiSurprise"
"beta19",0.99776,0.000132,7556.368953,0,"Financial CitiSurprise"
"m19",7.229635,0.563901,12.820752,0,"Financial CitiSurprise"
"theta19",-0.008532,0.000998,-8.55145,0,"Financial CitiSurprise"
"w219",2.388968,0.375173,6.367646,0,"Financial CitiSurprise"
"alpha20",0.003717,0.005872,0.633,0.526733,"Financial MOVE"
"gamma20",-1.386744,0.249515,-5.557763,0,"Financial MOVE"
"beta20",0.881607,0.183791,4.796791,2e-06,"Financial MOVE"
"m20",5.652766,1.207574,4.681092,3e-06,"Financial MOVE"
"theta20",0.021189,0.000565,37.523453,0,"Financial MOVE"
"w220",1.001,0.30303,3.303307,0.000956,"Financial MOVE"
"alpha21",0.060274,0.012099,4.981827,1e-06,"MidCap HousingStart"
"gamma21",0.928441,0.05964,15.567356,0,"MidCap HousingStart"
"beta21",0.002423,0.199227,0.012164,0.990295,"MidCap HousingStart"
"m21",13.214002,0.203072,65.07058,0,"MidCap HousingStart"
"theta21",-0.094698,0.002743,-34.521507,0,"MidCap HousingStart"
"w221",1.001,0.075677,13.227296,0,"MidCap HousingStart"
"alpha22",0.001492,0.000254,5.864095,0,"MidCap IndProd"
"gamma22",0.038296,0.006602,5.800525,0,"MidCap IndProd"
"beta22",0.974863,0.004159,234.382114,0,"MidCap IndProd"
"m22",14.369643,0.073231,196.224307,0,"MidCap IndProd"
"theta22",-0.146831,0.011151,-13.168078,0,"MidCap IndProd"
"w222",1.010391,0.214692,4.706243,3e-06,"MidCap IndProd"
"alpha23",0.001133,0.000216,5.249388,0,"MidCap CoreInflation"
"gamma23",0.028943,0.006505,4.449035,9e-06,"MidCap CoreInflation"
"beta23",0.980269,0.00373,262.832125,0,"MidCap CoreInflation"
"m23",14.251096,0.139542,102.127882,0,"MidCap CoreInflation"
"theta23",-0.013331,0.001334,-9.996257,0,"MidCap CoreInflation"
"w223",2.504339,0.522132,4.796368,2e-06,"MidCap CoreInflation"
"alpha24",0.043728,0.011316,3.864225,0.000111,"MidCap PPI"
"gamma24",0.70034,0.475195,1.473795,0.140537,"MidCap PPI"
"beta24",0.00202,0.242064,0.008345,0.993342,"MidCap PPI"
"m24",13.272989,0.45352,29.266622,0,"MidCap PPI"
"theta24",0.054496,0.022285,2.445408,0.014469,"MidCap PPI"
"w224",1.001,0.752866,1.329587,0.183655,"MidCap PPI"
"alpha25",0.000152,1.3e-05,11.631384,0,"MidCap GDP"
"gamma25",0.002624,4e-05,65.387432,0,"MidCap GDP"
"beta25",0.997536,3.5e-05,28827.609943,0,"MidCap GDP"
"m25",13.334845,0.040683,327.773338,0,"MidCap GDP"
"theta25",0.142313,0.040264,3.53447,0.000409,"MidCap GDP"
"w225",1.579877,0.201877,7.825941,0,"MidCap GDP"
"alpha26",0.048984,0.007249,6.757749,0,"MidCap UMich"
"gamma26",0.677738,0.054284,12.485129,0,"MidCap UMich"
"beta26",0.001599,0.145385,0.011001,0.991223,"MidCap UMich"
"m26",13.247998,0.059521,222.577967,0,"MidCap UMich"
"theta26",-0.129546,0.01796,-7.213064,0,"MidCap UMich"
"w226",1.001,0.221125,4.526861,6e-06,"MidCap UMich"
"alpha27",0.000286,9e-06,33.229577,0,"MidCap StLouisStress"
"gamma27",0.004405,0.000182,24.201001,0,"MidCap StLouisStress"
"beta27",0.996512,9.9e-05,10062.410778,0,"MidCap StLouisStress"
"m27",13.527241,0.019547,692.026567,0,"MidCap StLouisStress"
"theta27",0.30627,0.007766,39.437192,0,"MidCap StLouisStress"
"w227",1.001,0.08679,11.53365,0,"MidCap StLouisStress"
"alpha28",0.000185,5e-06,34.738846,0,"MidCap GEPU"
"gamma28",0.002788,4e-05,70.383565,0,"MidCap GEPU"
"beta28",0.997421,3.4e-05,29432.680557,0,"MidCap GEPU"
"m28",13.473199,0.013209,1019.963569,0,"MidCap GEPU"
"theta28",0.011915,0.002651,4.49464,7e-06,"MidCap GEPU"
"w228",6.614396,0.032791,201.715126,0,"MidCap GEPU"
"alpha29",0.046122,0.006776,6.806835,0,"MidCap GPR"
"gamma29",0.700955,0.193986,3.613423,0.000302,"MidCap GPR"
"beta29",0.001189,0.144044,0.008254,0.993415,"MidCap GPR"
"m29",13.449628,0.0829,162.238923,0,"MidCap GPR"
"theta29",0.111559,0.009173,12.162025,0,"MidCap GPR"
"w229",1.029534,0.085537,12.036064,0,"MidCap GPR"
"alpha30",0.000168,6e-06,27.462028,0,"MidCap BKK"
"gamma30",0.002748,5.2e-05,52.498368,0,"MidCap BKK"
"beta30",0.997458,3.9e-05,25607.533678,0,"MidCap BKK"
"m30",13.509738,0.015408,876.813701,0,"MidCap BKK"
"theta30",0.175199,0.02798,6.261552,0,"MidCap BKK"
"w230",1.001,1.261575,0.793453,0.427514,"MidCap BKK"
"alpha31",0.047157,0.092296,0.510932,0.609399,"MidCap Unemployment"
"gamma31",1.039607,1.69394,0.613721,0.5394,"MidCap Unemployment"
"beta31",0.272537,1.433487,0.190122,0.849214,"MidCap Unemployment"
"m31",14.058947,1.108231,12.685933,0,"MidCap Unemployment"
"theta31",3.027713,0.294518,10.280241,0,"MidCap Unemployment"
"w231",1.001,0.322113,3.107608,0.001886,"MidCap Unemployment"
"alpha32",0.001371,0.000152,9.027642,0,"MidCap CFNAI"
"gamma32",0.033102,0.003644,9.083732,0,"MidCap CFNAI"
"beta32",0.980549,0.002025,484.102841,0,"MidCap CFNAI"
"m32",14.709952,0.101874,144.394167,0,"MidCap CFNAI"
"theta32",-0.693746,0.015574,-44.544264,0,"MidCap CFNAI"
"w232",1.001,0.100413,9.968862,0,"MidCap CFNAI"
"alpha33",0.000899,6.8e-05,13.191801,0,"MidCap VIX"
"gamma33",0.024013,0.001791,13.406114,0,"MidCap VIX"
"beta33",0.986095,0.001549,636.781207,0,"MidCap VIX"
"m33",13.02963,0.283752,45.919035,0,"MidCap VIX"
"theta33",0.096781,0.010572,9.154348,0,"MidCap VIX"
"w233",1.273046,0.133498,9.53607,0,"MidCap VIX"
"alpha34",0.000997,0.000103,9.702534,0,"MidCap VXN"
"gamma34",0.032788,0.00267,12.281219,0,"MidCap VXN"
"beta34",0.981608,0.001491,658.489194,0,"MidCap VXN"
"m34",12.94007,0.084413,153.295294,0,"MidCap VXN"
"theta34",0.106472,0.002879,36.982912,0,"MidCap VXN"
"w234",1.001,0.074478,13.440235,0,"MidCap VXN"
"alpha35",0.000203,6e-06,35.840362,0,"MidCap TermSpread"
"gamma35",0.002924,5.6e-05,52.620766,0,"MidCap TermSpread"
"beta35",0.997335,4.3e-05,23344.702006,0,"MidCap TermSpread"
"m35",13.441048,0.011925,1127.094953,0,"MidCap TermSpread"
"theta35",2.455956,0.215761,11.382779,0,"MidCap TermSpread"
"w235",1.445374,0.115756,12.486376,0,"MidCap TermSpread"
"alpha36",0.000198,6e-06,33.051115,0,"MidCap NewOrders"
"gamma36",0.00283,4.5e-05,62.278734,0,"MidCap NewOrders"
"beta36",0.997387,3.7e-05,27187.267749,0,"MidCap NewOrders"
"m36",13.45061,0.012036,1117.51848,0,"MidCap NewOrders"
"theta36",-0.016256,0.004023,-4.040815,5.3e-05,"MidCap NewOrders"
"w236",1.543685,0.170082,9.076149,0,"MidCap NewOrders"
"alpha37",0.000332,1e-05,34.672009,0,"MidCap DefaultSpread"
"gamma37",0.005226,0.000209,25.00938,0,"MidCap DefaultSpread"
"beta37",0.996055,0.000117,8504.601022,0,"MidCap DefaultSpread"
"m37",12.789609,0.023372,547.22107,0,"MidCap DefaultSpread"
"theta37",0.140639,0.003055,46.031719,0,"MidCap DefaultSpread"
"w237",1.001002,0.117134,8.545756,0,"MidCap DefaultSpread"
