"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha59",0.000211,6e-06,36.995766,0,"MidCap TermSpread",9.88262533099614
"gamma59",0.00323,6.1e-05,53.132177,0,"MidCap TermSpread",0.0924876694761498
"beta59",0.997173,4.5e-05,21984.012797,0,"MidCap TermSpread",0.00914020985169797
"m59",13.507682,0.011273,1198.245046,0,"MidCap TermSpread",65292.700348
"theta59",4.072502,0.193887,21.004528,0,"MidCap TermSpread",65330.633254
"w259",1.243941,0.07089,17.547544,0,"MidCap TermSpread",-32640.3501740083
"alpha60",0.026737,0.009746,2.743257,0.006083,"MidCap EquityVol",127.189205320303
"gamma60",0.398979,0.289964,1.37596,0.168834,"MidCap EquityVol",0.459735585716509
"beta60",0.001057,0.363337,0.002908,0.99768,"MidCap EquityVol",0.584734038047466
"m60",14.743093,0.07452,197.839824,0,"MidCap EquityVol",64828.85101
"theta60",-5.579358,0.15638,-35.678305,0,"MidCap EquityVol",64866.783916
"w260",1.686207,0.066236,25.457564,0,"MidCap EquityVol",-32408.4255048436
"alpha61",0.000299,1e-05,31.073284,0,"MidCap StLouis",19.3442225794124
"gamma61",0.004768,0.000226,21.0632,0,"MidCap StLouis",0.1284602158585
"beta61",0.996317,0.00013,7669.076238,0,"MidCap StLouis",0.0248496300816619
"m61",13.573495,0.02124,639.051977,0,"MidCap StLouis",65165.970462
"theta61",0.325713,0.012681,25.685653,0,"MidCap StLouis",65203.903368
"w261",1.001,0.278472,3.594615,0.000325,"MidCap StLouis",-32576.9852308937
"alpha62",0.000545,7.6e-05,7.19676,0,"MidCap MOVE",37.5926264584459
"gamma62",0.019481,0.002375,8.202318,0,"MidCap MOVE",0.470792740421053
"beta62",0.988714,0.001535,643.974067,0,"MidCap MOVE",0.176983356299967
"m62",12.332283,0.108636,113.519108,0,"MidCap MOVE",64685.492173
"theta62",0.02828,0.000936,30.222322,0,"MidCap MOVE",64723.425079
"w262",1.001,0.173619,5.765505,0,"MidCap MOVE",-32336.7460864121
"alpha63",0.000249,7e-06,35.438645,0,"MidCap CFNAI",15.5804387121228
"gamma63",0.003664,0.000136,26.98588,0,"MidCap CFNAI",0.129817954308733
"beta63",0.996918,8e-05,12502.035807,0,"MidCap CFNAI",0.0202262068084038
"m63",13.333169,0.015616,853.830097,0,"MidCap CFNAI",65198.312289
"theta63",-0.43614,0.019049,-22.895509,0,"MidCap CFNAI",65236.245196
"w263",1.001024,0.15434,6.485853,0,"MidCap CFNAI",-32593.1561446649
"alpha64",1e-04,0.000263,0.381042,0.703172,"RealEstate GPR",25.1902127722919
"gamma64",-0.294923,0.147391,-2.000953,0.045397,"RealEstate GPR",0.102624742635701
"beta64",0.713369,0.087641,8.139632,0,"RealEstate GPR",0.02585139102695
"m64",7.788448,0.284745,27.352368,0,"RealEstate GPR",44553.62916
