"","Estimate","Std..Error","t.value","Pr...t.."
"m3",19.059724,0.080628,236.389973,0
"theta3",-0.012238,0.001207,-10.137129,0
"w23",2.37548,0.19454,12.210752,0
"alpha2",0.003991,0.001997,1.998589,0.045653
"gamma2",0.087025,0.044321,1.96354,0.049583
"beta2",0.939498,0.030443,30.861151,0
"m2",19.248849,0.058648,328.210559,0
"theta2",-0.152847,0.010427,-14.658837,0
"w22",1.001,0.144717,6.91695,0
"alpha1",0.066387,0.007633,8.696906,0
"gamma1",0.83934,0.032962,25.46417,0
"beta1",0.001629,0.1134,0.014364,0.98854
"m1",18.257039,0.121611,150.126372,0
"theta1",-0.075301,0.002382,-31.614322,0
"w21",1.001,0.067153,14.906174,0
