"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma442",0.778259,2.790712,0.278875,0.780341,"SP1500 IndProd",0.153553299362081
"beta442",0.002194,2.488521,0.000882,0.999297,"SP1500 IndProd",0.00733027606435084
"m442",11.324186,0.808383,14.008446,0,"SP1500 IndProd",60129.238705
"theta442",-0.144068,0.015744,-9.150795,0,"SP1500 IndProd",60167.41876
"w2442",1.001,0.677022,1.478535,0.139265,"SP1500 IndProd",-30058.6193525888
"alpha443",0.080191,0.003589,22.343447,0,"SP1500 CoreInflation",2.73158778049334
"gamma443",0.78235,0.057159,13.687137,0,"SP1500 CoreInflation",0.134514909413229
"beta443",0.010065,0.036097,0.278824,0.78038,"SP1500 CoreInflation",0.00367439282847344
"m443",11.369848,0.029709,382.707884,0,"SP1500 CoreInflation",60171.851358
"theta443",-0.01012,0.001145,-8.838032,0,"SP1500 CoreInflation",60210.031413
"w2443",5.513291,0.116929,47.150871,0,"SP1500 CoreInflation",-30079.9256790001
"alpha444",0.079628,0.006428,12.388074,0,"SP1500 PPI",0.462471793652776
"gamma444",0.668205,0.206739,3.232126,0.001229,"SP1500 PPI",0.127962884645096
"beta444",0.002046,0.075825,0.026988,0.978469,"SP1500 PPI",0.000591792247828006
"m444",11.273147,0.134358,83.903759,0,"SP1500 PPI",60186.870734
"theta444",-0.01906,0.013733,-1.387921,0.165161,"SP1500 PPI",60225.050789
"w2444",6.073542,18.581578,0.326858,0.743775,"SP1500 PPI",-30087.4353670433
"alpha445",0.02537,0.025945,0.977839,0.328154,"SP1500 GDP",20.2329018125634
"gamma445",0.394506,0.402574,0.97996,0.327106,"SP1500 GDP",0.179183132059542
"beta445",0.742584,0.264357,2.80902,0.004969,"SP1500 GDP",0.036253947174283
"m445",13.007448,0.15157,85.81797,0,"SP1500 GDP",60138.99535
"theta445",-0.452932,0.049803,-9.094516,0,"SP1500 GDP",60177.175405
"w2445",1.031601,0.192685,5.353828,0,"SP1500 GDP",-30063.4976749648
"alpha446",0.078161,0.011566,6.757532,0,"SP1500 UMich",1.41320250842474
"gamma446",0.539456,0.120522,4.475998,8e-06,"SP1500 UMich",0.131761936493825
"beta446",0.001577,0.146741,0.010747,0.991425,"SP1500 UMich",0.00186206299167974
"m446",11.16032,0.039772,280.606302,0,"SP1500 UMich",60181.711101
"theta446",-0.096259,0.021066,-4.569329,5e-06,"SP1500 UMich",60219.891155
"w2446",1.001,0.371719,2.692898,0.007083,"SP1500 UMich",-30084.8555502571
"alpha447",0.003072,0.000378,8.122926,0,"SP1500 StLouisStress",18.1190229889223
"gamma447",0.051017,0.006279,8.124837,0,"SP1500 StLouisStress",0.224707549881856
"beta447",0.968361,0.003767,257.086749,0,"SP1500 StLouisStress",0.0407148126209376
"m447",12.723727,0.124263,102.393636,0,"SP1500 StLouisStress",59910.754006
"theta447",0.419238,0.007883,53.180206,0,"SP1500 StLouisStress",59948.93406
"w2447",1.001,0.065037,15.391251,0,"SP1500 StLouisStress",-29949.3770027557
"alpha448",0.077886,0.00409,19.044948,0,"SP1500 GEPU",0.0106627973042347
"gamma448",0.635934,0.069609,9.135786,0,"SP1500 GEPU",0.124326347902396
"beta448",0.002196,0.043296,0.050722,0.959547,"SP1500 GEPU",1.32566664725902e-05
"m448",11.248445,0.034319,327.764824,0,"SP1500 GEPU",60190.91115
"theta448",0.001858,0.004842,0.383685,0.701212,"SP1500 GEPU",60229.091205
"w2448",3.235344,0.007588,426.394395,0,"SP1500 GEPU",-30089.4555752184
"alpha449",0.072514,0.090742,0.799125,0.424218,"SP1500 GPR",16.8548693346202
"gamma449",0.517542,1.535493,0.337053,0.736077,"SP1500 GPR",0.148983906058513
"beta449",0.001166,1.249354,0.000933,0.999256,"SP1500 GPR",0.0251110426957756
"m449",11.344236,0.667311,16.999925,0,"SP1500 GPR",60126.556028
"theta449",0.123121,0.007844,15.697134,0,"SP1500 GPR",60164.736083
"w2449",1.001001,0.078532,12.746362,0,"SP1500 GPR",-30057.278014089
"alpha450",0.073824,0.012153,6.074581,0,"SP1500 BKK",2.6980926165548
"gamma450",0.713557,0.155053,4.602019,4e-06,"SP1500 BKK",0.129714465957964
"beta450",0.002481,0.161033,0.015405,0.987709,"SP1500 BKK",0.00349981642861531
"m450",11.365075,0.121728,93.364138,0,"SP1500 BKK",60172.589929
"theta450",0.137456,0.020107,6.836259,0,"SP1500 BKK",60210.769984
"w2450",1.001,0.041116,24.345924,0,"SP1500 BKK",-30080.2949646044
"alpha451",0.089157,0.019191,4.645833,3e-06,"SP1500 Unemployment",18.7612755010029
"gamma451",0.895903,0.292332,3.064671,0.002179,"SP1500 Unemployment",0.21385970409055
"beta451",0.001823,0.21314,0.008552,0.993177,"SP1500 Unemployment",0.0401228082700577
"m451",11.34254,0.335409,33.817071,0,"SP1500 Unemployment",60034.697918
"theta451",2.736098,0.162369,16.85108,0,"SP1500 Unemployment",60072.877973
"w2451",1.001,0.139678,7.166475,0,"SP1500 Unemployment",-30011.3489592303
"alpha452",0.004427,0.000653,6.775536,0,"SP1500 CFNAI",18.986229531998
"gamma452",0.076192,0.011824,6.443804,0,"SP1500 CFNAI",0.222136760378009
"beta452",0.952333,0.006886,138.295564,0,"SP1500 CFNAI",0.0421753952003132
"m452",12.503449,0.19246,64.966391,0,"SP1500 CFNAI",59903.335366
"theta452",-0.651067,0.013829,-47.080667,0,"SP1500 CFNAI",59941.51542
"w2452",1.001,0.109954,9.103833,0,"SP1500 CFNAI",-29945.6676827621
"alpha453",0.002767,0.000259,10.67407,0,"SP1500 VIX",30.8053072948658
"gamma453",0.05266,0.004699,11.206967,0,"SP1500 VIX",0.324459980250264
"beta453",0.969643,0.002624,369.578189,0,"SP1500 VIX",0.0999508939649548
"m453",11.503715,0.121905,94.366419,0,"SP1500 VIX",59727.361994
"theta453",0.102026,0.002252,45.303157,0,"SP1500 VIX",59765.542049
"w2453",1.090032,0.065445,16.655724,0,"SP1500 VIX",-29857.680997132
"alpha454",0.005066,0.000847,5.983472,0,"SP1500 VXN",26.5381836852095
"gamma454",0.105947,0.017469,6.064903,0,"SP1500 VXN",0.326436158147147
"beta454",0.938352,0.010013,93.716465,0,"SP1500 VXN",0.0866302272640309
"m454",11.160301,0.181826,61.379048,0,"SP1500 VXN",59765.307982
"theta454",0.096587,0.002054,47.034139,0,"SP1500 VXN",59803.488037
"w2454",1.001,0.067204,14.894867,0,"SP1500 VXN",-29876.653991116
"alpha455",0.000279,6e-06,45.993444,0,"SP1500 TermSpread",3.63806685624415
"gamma455",0.002088,4.5e-05,46.484703,0,"SP1500 TermSpread",0.145098889772868
"beta455",0.997677,3.9e-05,25727.756067,0,"SP1500 TermSpread",0.00527879461760493
"m455",11.311306,0.011483,985.007394,0,"SP1500 TermSpread",60022.082459
"theta455",2.585501,0.206152,12.541719,0,"SP1500 TermSpread",60060.262513
"w2455",1.213316,0.114627,10.584929,0,"SP1500 TermSpread",-30005.0412293032
"alpha456",0.082034,0.054613,1.502102,0.133071,"SP1500 NewOrders",1.86920098869627
"gamma456",0.734371,0.352414,2.083832,0.037175,"SP1500 NewOrders",0.13745543155568
"beta456",0.005282,0.662056,0.007978,0.993635,"SP1500 NewOrders",0.0025693182856555
"m456",11.307672,0.21829,51.801251,0,"SP1500 NewOrders",60166.283373
"theta456",-0.036018,0.0045,-8.00324,0,"SP1500 NewOrders",60204.463428
"w2456",1.251583,0.442438,2.82883,0.004672,"SP1500 NewOrders",-30077.1416863715
"alpha457",0.002582,0.000356,7.245645,0,"SP1500 DefaultSpread",25.0105516606569
"gamma457",0.041681,0.005826,7.154003,0,"SP1500 DefaultSpread",0.24774560362129
"beta457",0.9746,0.003428,284.2929,0,"SP1500 DefaultSpread",0.061962542180709
"m457",11.715946,0.119354,98.161452,0,"SP1500 DefaultSpread",59842.552988
"theta457",0.196343,0.004011,48.948533,0,"SP1500 DefaultSpread",59880.733043
"w2457",1.24583,0.075176,16.57222,0,"SP1500 DefaultSpread",-29915.2764940751
"alpha458",0.042413,0.002356,18.002167,0,"SP1500 EquityVolMeasure",172.030284780493
"gamma458",-0.409343,0.084485,-4.845146,1e-06,"SP1500 EquityVolMeasure",0.418697073526272
"beta458",0.00102,0.015657,0.065173,0.948036,"SP1500 EquityVolMeasure",0.720285767954835
"m458",12.668812,0.152887,82.86396,0,"SP1500 EquityVolMeasure",59446.590404
"theta458",-4.064383,0.239099,-16.998769,0,"SP1500 EquityVolMeasure",59484.770459
"w2458",1.191795,0.071037,16.777183,0,"SP1500 EquityVolMeasure",-29717.295202175
"alpha459",0.000279,8e-06,36.432657,0,"SP1500 RecessionSpread",8.51038472990594
"gamma459",0.00248,4.8e-05,52.202347,0,"SP1500 RecessionSpread",0.157546841728928
"beta459",0.997481,3.8e-05,26086.79988,0,"SP1500 RecessionSpread",0.0134078423609478
"m459",11.134008,0.01405,792.476599,0,"SP1500 RecessionSpread",59976.839027
"theta459",5.789974,0.157904,36.667774,0,"SP1500 RecessionSpread",60015.019082
"w2459",1.184351,0.082819,14.300443,0,"SP1500 RecessionSpread",-29982.4195134811
"alpha460",0.002216,0.000254,8.726415,0,"SP1500 CitiSurprise",7.08008611589523
"gamma460",0.027434,0.003535,7.761566,0,"SP1500 CitiSurprise",0.143100374050525
"beta460",0.975189,0.00285,342.167118,0,"SP1500 CitiSurprise",0.0101316297149454
"m460",11.704522,0.033351,350.948471,0,"SP1500 CitiSurprise",60167.655468
"theta460",-0.008222,0.001023,-8.036481,0,"SP1500 CitiSurprise",60205.835523
"w2460",1.442448,0.191112,7.547664,0,"SP1500 CitiSurprise",-30077.8277339059
"alpha461",0.001588,0.000148,10.751543,0,"SP1500 MOVE",34.8526385414167
"gamma461",0.039701,0.002868,13.842511,0,"SP1500 MOVE",0.427589843756082
"beta461",0.97681,0.001677,582.434081,0,"SP1500 MOVE",0.149026342684115
"m461",10.808778,0.087028,124.198309,0,"SP1500 MOVE",59536.329429
"theta461",0.02358,0.000565,41.705477,0,"SP1500 MOVE",59574.509484
"w2461",1.001001,0.104049,9.620457,0,"SP1500 MOVE",-29762.1647146233
"alpha126",0.09684,0.009809,9.872885,0,"SP100 HousingStart",11.7564285103209
"gamma126",0.69172,0.213614,3.238181,0.001203,"SP100 HousingStart",0.228483257510659
"beta126",0.001239,0.098826,0.01254,0.989994,"SP100 HousingStart",0.026861470827293
"m126",12.438928,0.129622,95.963121,0,"SP100 HousingStart",63176.993172
"theta126",-0.06588,0.002466,-26.711363,0,"SP100 HousingStart",63214.926078
"w2126",1.001,0.090353,11.078734,0,"SP100 HousingStart",-31582.4965857566
"alpha127",0.096986,0.233338,0.415647,0.677668,"SP100 IndProd",3.76566441049513
"gamma127",0.778038,3.099225,0.251043,0.801781,"SP100 IndProd",0.202646240502077
"beta127",0.001341,2.403879,0.000558,0.999555,"SP100 IndProd",0.00763097735779309
"m127",12.626166,1.224046,10.315111,0,"SP100 IndProd",63290.037949
"theta127",-0.147151,0.016666,-8.829562,0,"SP100 IndProd",63327.970856
"w2127",1.001,0.819334,1.221724,0.221812,"SP100 IndProd",-31639.0189746343
"alpha128",0.094237,0.031082,3.031859,0.002431,"SP100 CoreInflation",2.25896498965498
"gamma128",0.766022,0.098898,7.745597,0,"SP100 CoreInflation",0.182615857750684
"beta128",0.001351,0.327926,0.004119,0.996713,"SP100 CoreInflation",0.00412522829214608
"m128",12.652612,0.168322,75.16925,0,"SP100 CoreInflation",63328.047222
"theta128",-0.012378,0.001414,-8.756323,0,"SP100 CoreInflation",63365.980128
"w2128",2.38851,0.370433,6.447886,0,"SP100 CoreInflation",-31658.0236109586
"alpha129",0.093418,0.036384,2.567539,0.010242,"SP100 PPI",0.380700548033686
"gamma129",0.669328,0.022178,30.179828,0,"SP100 PPI",0.176992210550482
"beta129",0.001318,0.389651,0.003382,0.997302,"SP100 PPI",0.00067381031554262
"m129",12.574637,0.221103,56.872327,0,"SP100 PPI",63344.416782
"theta129",-0.021262,0.006606,-3.218499,0.001289,"SP100 PPI",63382.349688
"w2129",4.970369,0.589754,8.427871,0,"SP100 PPI",-31666.2083910384
"alpha130",0.080468,0.076211,1.055865,0.29103,"SP100 GDP",20.4348841761686
"gamma130",0.998517,1.106458,0.902444,0.366821,"SP100 GDP",0.237209761209098
"beta130",0.274818,0.687807,0.399557,0.689483,"SP100 GDP",0.0484735399576455
"m130",13.946412,0.560087,24.900423,0,"SP100 GDP",63276.551557
"theta130",-0.527649,0.051263,-10.292947,0,"SP100 GDP",63314.484464
"w2130",1.001,0.131945,7.586514,0,"SP100 GDP",-31632.2757785598
"alpha131",0.091698,0.019724,4.648969,3e-06,"SP100 UMich",0.883754151829466
"gamma131",0.550218,0.098338,5.595192,0,"SP100 UMich",0.179227935012313
"beta131",0.001279,0.213768,0.005982,0.995227,"SP100 UMich",0.00158393431690953
"m131",12.469512,0.053477,233.177285,0,"SP100 UMich",63341.547104
"theta131",-0.089564,0.026382,-3.394865,0.000687,"SP100 UMich",63379.48001
"w2131",1.001,0.341423,2.931849,0.00337,"SP100 UMich",-31664.7735519711
