"","Estimate","Std..Error","t.value","Pr...t.."
"gamma148",0.394588,0.452785,0.87147,0.383498
"beta148",0.742533,0.208903,3.554444,0.000379
"m148",13.007494,3.619398,3.593829,0.000326
"theta148",-0.452941,0.08097,-5.59391,0
"w2148",1.031599,0.232496,4.437067,0.000009
"alpha147",0.079627,0.016446,4.841639,0.000001
"gamma147",0.668215,0.211195,3.163974,0.001556
"beta147",0.002055,0.204296,0.01006,0.991973
"m147",11.273161,0.065653,171.708312,0
"theta147",-0.01906,0.005825,-3.271959,0.001068
"w2147",6.07363,0.029389,206.662006,0
"alpha146",0.080289,0.032096,2.501564,0.012365
"gamma146",0.781953,0.064262,12.168211,0
"beta146",0.008852,0.396249,0.02234,0.982177
"m146",11.368549,0.357449,31.804661,0
"theta146",-0.01012,0.00115,-8.802996,0
"w2146",5.512919,0.361946,15.23134,0
"alpha145",0.083672,0.025938,3.225885,0.001256
"gamma145",0.778254,0.227941,3.414281,0.00064
"beta145",0.002025,0.309513,0.006543,0.99478
"m145",11.324056,0.015502,730.509345,0
"theta145",-0.144069,0.01082,-13.315146,0
"w2145",1.001,0.236141,4.238993,0.000022
"alpha144",0.083798,0.02224,3.767837,0.000165
"gamma144",0.696219,0.113616,6.127799,0
"beta144",0.001316,0.264215,0.004979,0.996027
"m144",11.137097,0.063208,176.198368,0
"theta144",-0.068545,0.002362,-29.018475,0
"w2144",1.001,0.102086,9.805488,0
"alpha143",0.001894,0.00012,15.834615,0
"gamma143",0.01808,0.00123,14.694675,0
"beta143",0.988066,0.00072,1372.302054,0
"m143",16.979687,0.079448,213.720499,0
"theta143",0.017262,0.000425,40.585566,0
"w2143",1.04984,0.144015,7.289821,0
"alpha142",0.000648,0.000013,51.82422,0
"gamma142",0.001934,0.000051,38.197797,0
"beta142",0.997385,0.000038,26426.604728,0
"m142",17.126438,0.00821,2086.109666,0
"theta142",-0.001601,0.000266,-6.020592,0
"w2142",5.849445,0.012324,474.641519,0
"alpha141",0.000653,0.000014,46.705096,0
"gamma141",0.00246,0.000061,40.376613,0
"beta141",0.997117,0.000045,22294.718477,0
"m141",16.996188,0.012569,1352.257088,0
"theta141",5.006092,0.145234,34.469138,0
"w2141",1.098458,0.075148,14.617253,0
"alpha140",0.087648,0.004761,18.411297,0
"gamma140",-0.16991,0.083843,-2.026526,0.042711
"beta140",0.006216,0.021121,0.294312,0.76852
"m140",18.341864,0.094559,193.972015,0
"theta140",-3.686678,0.117027,-31.502797,0
"w2140",1.390463,0.071239,19.518286,0
"alpha139",0.000916,0.000023,39.207816,0
"gamma139",0.003932,0.000209,18.843648,0
"beta139",0.996118,0.000128,7777.330594,0
"m139",16.741274,0.017852,937.755608,0
"theta139",0.112433,0.003148,35.719287,0
"w2139",1.00237,0.108372,9.249367,0
"alpha138",0.000648,0.000013,49.769871,0
"gamma138",0.001965,0.000049,40.16715,0
"beta138",0.997369,0.000036,27551.103418,0
"m138",17.135403,0.008539,2006.811811,0
"theta138",0.003861,0.002102,1.836596,0.066269
"w2138",17.152524,0.00019,90335.888906,0
"alpha137",0.000638,0.000011,57.176788,0
"gamma137",0.001983,0.000056,35.478473,0
"beta137",0.997371,0.000043,23003.585122,0
"m137",17.118126,0.008436,2029.178227,0
"theta137",2.738609,0.158927,17.231856,0
"w2137",1.183735,0.082165,14.406735,0
"alpha136",0.002236,0.000224,9.975753,0
"gamma136",0.018451,0.002161,8.540111,0
"beta136",0.987403,0.001339,737.280091,0
"m136",17.126757,0.094959,180.358825,0
"theta136",0.065794,0.001745,37.696315,0
"w2136",1.001,0.095024,10.534169,0
"alpha135",0.001851,0.000146,12.708882,0
"gamma135",0.013756,0.001106,12.438677,0
"beta135",0.990271,0.000818,1210.572567,0
"m135",17.001607,0.057134,297.575797,0
"theta135",0.06987,0.002348,29.757874,0
"w2135",1.002941,0.135816,7.38454,0
"alpha134",0.001241,0.00003,41.784135,0
"gamma134",0.007478,0.000328,22.775958,0
"beta134",0.99402,0.000162,6146.609133,0
"m134",17.767916,0.048693,364.895286,0
"theta134",-0.44222,0.01313,-33.678997,0
"w2134",1.001,0.114556,8.738066,0
"alpha133",0.130237,0.015974,8.153205,0
"gamma133",0.762991,0.125152,6.096536,0
"beta133",0.172848,0.097113,1.779859,0.075099
"m133",17.346447,0.072112,240.549112,0
"theta133",0.484742,0.086025,5.634928,0
"w2133",29.744353,0.132708,224.13378,0
"alpha132",0.000617,0.000014,45.040056,0
"gamma132",0.001908,0.000051,37.149491,0
"beta132",0.997429,0.000037,26850.606564,0
"m132",17.143312,0.009952,1722.677719,0
"theta132",0.070293,0.009815,7.161975,0
"w2132",1.001001,0.554662,1.804702,0.071121
"alpha131",0.144735,0.195829,0.739088,0.459853
"gamma131",0.54342,2.242809,0.242295,0.808552
"beta131",0.002435,1.351817,0.001801,0.998563
"m131",17.132294,1.303358,13.144735,0
"theta131",0.118141,0.007621,15.502995,0
"w2131",1.11719,0.051043,21.887172,0
"alpha130",0.000639,0.000012,52.352995,0
"gamma130",0.001975,0.000049,40.097874,0
"beta130",0.997374,0.000038,26495.188627,0
"m130",17.143662,0.008877,1931.294526,0
"theta130",0.007882,0.001492,5.282105,0
"w2130",12.209979,0.002935,4159.719393,0
"alpha129",0.000779,0.000017,46.160141,0
"gamma129",0.002805,0.000118,23.850822,0
"beta129",0.996818,0.000071,14027.935827,0
"m129",17.226764,0.01208,1426.114729,0
"theta129",0.203798,0.005793,35.180667,0
"w2129",1.001,0.086513,11.570519,0
"alpha128",0.113645,0.104225,1.090375,0.275548
"gamma128",0.595204,0.658122,0.904397,0.365785
"beta128",0.260635,0.676736,0.385135,0.700138
"m128",17.208048,0.178877,96.20045,0
"theta128",-0.129718,0.01221,-10.624192,0
"w2128",1.056358,0.460067,2.296095,0.02167
"alpha127",0.001043,0.000035,29.904596,0
"gamma127",0.005358,0.000289,18.569972,0
"beta127",0.995278,0.000152,6541.699693,0
"m127",17.924422,0.070747,253.359639,0
"theta127",-0.178811,0.028115,-6.359998,0
"w2127",1.004097,0.12237,8.205442,0
"alpha126",0.000641,0.000013,48.021739,0
"gamma126",0.001945,0.000046,42.169715,0
"beta126",0.997386,0.000035,28583.114689,0
"m126",17.112039,0.008784,1948.178467,0
"theta126",0.038686,0.005421,7.136388,0
"w2126",1.237557,0.117184,10.560823,0
"alpha125",0.000647,0.000013,48.874863,0
"gamma125",0.002005,0.000053,37.614151,0
"beta125",0.997351,0.000041,24384.179964,0
"m125",17.146042,0.008907,1924.937372,0
"theta125",-0.009203,0.000973,-9.461066,0
"w2125",1.001982,0.500453,2.00215,0.045269
"alpha124",0.000655,0.000013,49.747089,0
"gamma124",0.001988,0.000053,37.528638,0
"beta124",0.997351,0.000038,26112.723122,0
"m124",17.138112,0.00858,1997.369298,0
"theta124",-0.029292,0.006742,-4.34468,0.000014
"w2124",1.001013,0.062016,16.141085,0
"alpha123",0.09582,0.077101,1.242784,0.213948
"gamma123",0.642805,0.437824,1.468182,0.142055
"beta123",0.398688,0.485516,0.821164,0.411553
"m123",17.471659,0.239792,72.861853,0
"theta123",-0.058586,0.001513,-38.721249,0
"w2123",1.001,0.094241,10.621658,0
"alpha122",0.001904,0.000138,13.784484,0
"gamma122",0.024044,0.001768,13.596471,0
"beta122",0.985034,0.001001,984.21993,0
"m122",16.895004,0.11077,152.523705,0
"theta122",0.01831,0.000439,41.701953,0
"w2122",1.257663,0.282876,4.445985,0.000009
"alpha121",0.002928,0.000455,6.436513,0
"gamma121",0.024506,0.004374,5.602221,0
"beta121",0.979207,0.003339,293.264638,0
"m121",17.495163,0.079956,218.811116,0
"theta121",-0.004094,0.000854,-4.79191,0.000002
"w2121",1.960602,0.581433,3.372014,0.000746
"alpha120",0.069573,0.004248,16.377031,0
"gamma120",-0.217264,0.113978,-1.906195,0.056625
"beta120",0.007692,0.026204,0.293525,0.769121
"m120",18.146799,0.124407,145.865879,0
"theta120",-3.718083,0.134168,-27.712154,0
