"","Estimate","Std..Error","t.value","Pr...t.."
"gamma64",0.781953,0.064262,12.168211,0
"beta64",0.008852,0.396249,0.02234,0.982177
"m64",11.368549,0.357449,31.804661,0
"theta64",-0.01012,0.00115,-8.802996,0
"w264",5.512919,0.361946,15.23134,0
"alpha63",0.083672,0.025938,3.225885,0.001256
"gamma63",0.778254,0.227941,3.414281,0.00064
"beta63",0.002025,0.309513,0.006543,0.99478
"m63",11.324056,0.015502,730.509345,0
"theta63",-0.144069,0.01082,-13.315146,0
"w263",1.001,0.236141,4.238993,0.000022
"alpha62",0.083798,0.02224,3.767837,0.000165
"gamma62",0.696219,0.113616,6.127799,0
"beta62",0.001316,0.264215,0.004979,0.996027
"m62",11.137097,0.063208,176.198368,0
"theta62",-0.068545,0.002362,-29.018475,0
"w262",1.001,0.102086,9.805488,0
"alpha61",0.001894,0.00012,15.834615,0
"gamma61",0.01808,0.00123,14.694675,0
"beta61",0.988066,0.00072,1372.302054,0
"m61",16.979687,0.079448,213.720499,0
"theta61",0.017262,0.000425,40.585566,0
"w261",1.04984,0.144015,7.289821,0
"alpha60",0.000648,0.000013,51.82422,0
"gamma60",0.001934,0.000051,38.197797,0
"beta60",0.997385,0.000038,26426.604728,0
"m60",17.126438,0.00821,2086.109666,0
"theta60",-0.001601,0.000266,-6.020592,0
"w260",5.849445,0.012324,474.641519,0
"alpha59",0.000653,0.000014,46.705096,0
"gamma59",0.00246,0.000061,40.376613,0
"beta59",0.997117,0.000045,22294.718477,0
"m59",16.996188,0.012569,1352.257088,0
"theta59",5.006092,0.145234,34.469138,0
"w259",1.098458,0.075148,14.617253,0
"alpha58",0.087648,0.004761,18.411297,0
"gamma58",-0.16991,0.083843,-2.026526,0.042711
"beta58",0.006216,0.021121,0.294312,0.76852
"m58",18.341864,0.094559,193.972015,0
"theta58",-3.686678,0.117027,-31.502797,0
"w258",1.390463,0.071239,19.518286,0
"alpha57",0.000916,0.000023,39.207816,0
"gamma57",0.003932,0.000209,18.843648,0
"beta57",0.996118,0.000128,7777.330594,0
"m57",16.741274,0.017852,937.755608,0
"theta57",0.112433,0.003148,35.719287,0
"w257",1.00237,0.108372,9.249367,0
"alpha56",0.000648,0.000013,49.769871,0
"gamma56",0.001965,0.000049,40.16715,0
"beta56",0.997369,0.000036,27551.103418,0
"m56",17.135403,0.008539,2006.811811,0
"theta56",0.003861,0.002102,1.836596,0.066269
"w256",17.152524,0.00019,90335.888906,0
"alpha55",0.000638,0.000011,57.176788,0
"gamma55",0.001983,0.000056,35.478473,0
"beta55",0.997371,0.000043,23003.585122,0
"m55",17.118126,0.008436,2029.178227,0
"theta55",2.738609,0.158927,17.231856,0
"w255",1.183735,0.082165,14.406735,0
"alpha54",0.002236,0.000224,9.975753,0
"gamma54",0.018451,0.002161,8.540111,0
"beta54",0.987403,0.001339,737.280091,0
"m54",17.126757,0.094959,180.358825,0
"theta54",0.065794,0.001745,37.696315,0
"w254",1.001,0.095024,10.534169,0
"alpha53",0.001851,0.000146,12.708882,0
"gamma53",0.013756,0.001106,12.438677,0
"beta53",0.990271,0.000818,1210.572567,0
"m53",17.001607,0.057134,297.575797,0
"theta53",0.06987,0.002348,29.757874,0
"w253",1.002941,0.135816,7.38454,0
"alpha52",0.001241,0.00003,41.784135,0
"gamma52",0.007478,0.000328,22.775958,0
"beta52",0.99402,0.000162,6146.609133,0
"m52",17.767916,0.048693,364.895286,0
"theta52",-0.44222,0.01313,-33.678997,0
"w252",1.001,0.114556,8.738066,0
"alpha51",0.130237,0.015974,8.153205,0
"gamma51",0.762991,0.125152,6.096536,0
"beta51",0.172848,0.097113,1.779859,0.075099
"m51",17.346447,0.072112,240.549112,0
"theta51",0.484742,0.086025,5.634928,0
"w251",29.744353,0.132708,224.13378,0
"alpha50",0.000617,0.000014,45.040056,0
"gamma50",0.001908,0.000051,37.149491,0
"beta50",0.997429,0.000037,26850.606564,0
"m50",17.143312,0.009952,1722.677719,0
"theta50",0.070293,0.009815,7.161975,0
"w250",1.001001,0.554662,1.804702,0.071121
"alpha49",0.144735,0.195829,0.739088,0.459853
"gamma49",0.54342,2.242809,0.242295,0.808552
"beta49",0.002435,1.351817,0.001801,0.998563
"m49",17.132294,1.303358,13.144735,0
"theta49",0.118141,0.007621,15.502995,0
"w249",1.11719,0.051043,21.887172,0
"alpha48",0.000639,0.000012,52.352995,0
"gamma48",0.001975,0.000049,40.097874,0
"beta48",0.997374,0.000038,26495.188627,0
"m48",17.143662,0.008877,1931.294526,0
"theta48",0.007882,0.001492,5.282105,0
"w248",12.209979,0.002935,4159.719393,0
"alpha47",0.000779,0.000017,46.160141,0
"gamma47",0.002805,0.000118,23.850822,0
"beta47",0.996818,0.000071,14027.935827,0
"m47",17.226764,0.01208,1426.114729,0
"theta47",0.203798,0.005793,35.180667,0
"w247",1.001,0.086513,11.570519,0
"alpha46",0.113645,0.104225,1.090375,0.275548
"gamma46",0.595204,0.658122,0.904397,0.365785
"beta46",0.260635,0.676736,0.385135,0.700138
"m46",17.208048,0.178877,96.20045,0
"theta46",-0.129718,0.01221,-10.624192,0
"w246",1.056358,0.460067,2.296095,0.02167
"alpha45",0.001043,0.000035,29.904596,0
"gamma45",0.005358,0.000289,18.569972,0
"beta45",0.995278,0.000152,6541.699693,0
"m45",17.924422,0.070747,253.359639,0
"theta45",-0.178811,0.028115,-6.359998,0
"w245",1.004097,0.12237,8.205442,0
"alpha44",0.000641,0.000013,48.021739,0
"gamma44",0.001945,0.000046,42.169715,0
"beta44",0.997386,0.000035,28583.114689,0
"m44",17.112039,0.008784,1948.178467,0
"theta44",0.038686,0.005421,7.136388,0
"w244",1.237557,0.117184,10.560823,0
"alpha43",0.000647,0.000013,48.874863,0
"gamma43",0.002005,0.000053,37.614151,0
"beta43",0.997351,0.000041,24384.179964,0
"m43",17.146042,0.008907,1924.937372,0
"theta43",-0.009203,0.000973,-9.461066,0
"w243",1.001982,0.500453,2.00215,0.045269
"alpha42",0.000655,0.000013,49.747089,0
"gamma42",0.001988,0.000053,37.528638,0
"beta42",0.997351,0.000038,26112.723122,0
"m42",17.138112,0.00858,1997.369298,0
"theta42",-0.029292,0.006742,-4.34468,0.000014
"w242",1.001013,0.062016,16.141085,0
"alpha41",0.09582,0.077101,1.242784,0.213948
"gamma41",0.642805,0.437824,1.468182,0.142055
"beta41",0.398688,0.485516,0.821164,0.411553
"m41",17.471659,0.239792,72.861853,0
"theta41",-0.058586,0.001513,-38.721249,0
"w241",1.001,0.094241,10.621658,0
"alpha40",0.001904,0.000138,13.784484,0
"gamma40",0.024044,0.001768,13.596471,0
"beta40",0.985034,0.001001,984.21993,0
"m40",16.895004,0.11077,152.523705,0
"theta40",0.01831,0.000439,41.701953,0
"w240",1.257663,0.282876,4.445985,0.000009
"alpha39",0.002928,0.000455,6.436513,0
"gamma39",0.024506,0.004374,5.602221,0
"beta39",0.979207,0.003339,293.264638,0
"m39",17.495163,0.079956,218.811116,0
"theta39",-0.004094,0.000854,-4.79191,0.000002
"w239",1.960602,0.581433,3.372014,0.000746
"alpha38",0.069573,0.004248,16.377031,0
"gamma38",-0.217264,0.113978,-1.906195,0.056625
"beta38",0.007692,0.026204,0.293525,0.769121
"m38",18.146799,0.124407,145.865879,0
"theta38",-3.718083,0.134168,-27.712154,0
"w238",1.413967,0.082477,17.143792,0
"alpha37",0.000986,0.000036,27.183876,0
"gamma37",0.006961,0.000459,15.178684,0
"beta37",0.994534,0.000263,3785.903807,0
"m37",16.786365,0.028461,589.799787,0
"theta37",0.131831,0.004073,32.369639,0
"w237",1.001872,0.122845,8.155611,0
"alpha36",0.000502,0.000011,43.972982,0
"gamma36",0.002092,0.000071,29.407791,0
"beta36",0.997452,0.000054,18333.296895,0
"m36",16.93825,0.002302,7357.362146,0
"theta36",0.004458,0.002234,1.995734,0.045963
"w236",19.277093,0.305088,63.185358,0
"alpha35",0.000496,0.000009,53.299989,0
"gamma35",0.002092,0.00005,41.639278,0
"beta35",0.997458,0.000041,24570.547329,0
"m35",16.918527,0.010623,1592.6043,0
"theta35",2.691081,0.085972,31.301839,0
"w235",1.168577,0.124867,9.358552,0
"alpha34",0.002843,0.000508,5.593305,0
"gamma34",0.033315,0.006686,4.982791,0.000001
"beta34",0.978809,0.003909,250.374523,0
"m34",16.907337,0.243013,69.573763,0
"theta34",0.075104,0.002264,33.177082,0
"w234",1.001,0.119929,8.346634,0
"alpha33",0.001861,0.000135,13.784971,0
"gamma33",0.019174,0.001356,14.143281,0
"beta33",0.987552,0.000886,1114.105004,0
"m33",16.86638,0.088549,190.475344,0
"theta33",0.08011,0.002652,30.208807,0
"w233",1.061237,0.070756,14.998576,0
"alpha32",0.002817,0.000405,6.949547,0
"gamma32",0.027901,0.004194,6.652824,0
"beta32",0.980911,0.002821,347.669324,0
"m32",17.9741,0.077342,232.398885,0
"theta32",-0.542067,0.015665,-34.604384,0
"w232",1.001,0.256277,3.905931,0.000094
"alpha31",0.133087,0.035547,3.743924,0.000181
"gamma31",0.801151,0.418647,1.913666,0.055663
"beta31",0.01515,0.258982,0.058499,0.953351
"m31",16.928837,0.331047,51.137338,0
"theta31",2.239961,0.057236,39.135384,0
"w231",1.001,0.148647,6.734063,0
"alpha30",0.091867,0.010085,9.109464,0
"gamma30",0.69869,0.161182,4.334797,0.000015
"beta30",0.270693,0.077016,3.514783,0.00044
"m30",17.168004,0.207494,82.739832,0
"theta30",0.001842,0.013755,0.133951,0.893441
"w230",30.394651,0.325345,93.422782,0
"alpha29",0.117903,0.00383,30.78447,0
"gamma29",0.543532,0.067269,8.079929,0
"beta29",0.001357,0.020515,0.066126,0.947278
"m29",16.921591,0.058039,291.554664,0
"theta29",0.117308,0.007,16.75876,0
"w229",1.118463,0.054026,20.702296,0
"alpha28",0.091841,0.010494,8.751744,0
"gamma28",0.696807,0.070806,9.841104,0
"beta28",0.271202,0.080555,3.366684,0.000761
"m28",17.165046,0.010494,1635.696101,0
"theta28",0.00004,0.001869,0.021408,0.98292
"w228",27.176618,0.053668,506.385618,0
"alpha27",0.000609,0.000025,23.95143,0
"gamma27",0.002878,0.000222,12.946624,0
"beta27",0.996952,0.000131,7625.556053,0
"m27",17.00003,0.0364,467.032154,0
"theta27",0.217843,0.018475,11.791052,0
"w227",1.001,1.010752,0.990352,0.322002
"alpha26",0.125608,0.009612,13.067371,0
"gamma26",0.518361,0.048776,10.627436,0
"beta26",0.001959,0.073804,0.026546,0.978822
"m26",16.714237,0.036181,461.963141,0
"theta26",-0.136763,0.012621,-10.836084,0
"w226",1.001003,0.154975,6.459145,0
"alpha25",0.008625,0.008477,1.017378,0.308974
"gamma25",0.084153,0.085456,0.984756,0.324744
"beta25",0.939865,0.060367,15.569136,0
"m25",18.26099,0.218265,83.664487,0
"theta25",-0.256764,0.037267,-6.889882,0
"w225",1.001001,0.230809,4.33692,0.000014
"alpha24",0.120753,0.078311,1.541961,0.123083
"gamma24",0.569926,0.225974,2.522086,0.011666
"beta24",0.006303,0.640087,0.009847,0.992143
"m24",16.74102,0.102478,163.362531,0
"theta24",0.060795,0.026768,2.271209,0.023134
"w224",1.001,1.020673,0.980725,0.326728
"alpha23",0.083275,0.004824,17.262434,0
"gamma23",0.695869,0.113654,6.122724,0
"beta23",0.346834,0.035738,9.704903,0
"m23",17.317369,0.177643,97.483864,0
"theta23",-0.00809,0.000949,-8.523018,0
"w223",2.411448,0.436481,5.524746,0
"alpha22",0.088708,0.043225,2.052269,0.040144
"gamma22",0.737611,0.08751,8.428906,0
"beta22",0.313619,0.333855,0.939386,0.347533
"m22",17.319029,0.893326,19.387138,0
"theta22",-0.093509,0.010694,-8.744186,0
"w222",1.001,0.399947,2.502831,0.01232
"alpha21",0.127404,0.365001,0.34905,0.727052
"gamma21",0.70057,1.439237,0.486765,0.626425
"beta21",0.038508,2.756509,0.01397,0.988854
"m21",16.797138,0.59483,28.238546,0
"theta21",-0.059246,0.002307,-25.680227,0
"w221",1.001,0.382769,2.615154,0.008919
"alpha20",0.000568,0.00007,8.121849,0
"gamma20",0.063954,0.005027,12.721794,0
"beta20",0.965916,0.00252,383.297899,0
"m20",15.374014,0.221087,69.538281,0
"theta20",0.030439,0.000531,57.359547,0
"w220",1.259598,0.299592,4.204382,0.000026
"alpha19",0.034745,0.001603,21.669514,0
"gamma19",1.803987,0.049475,36.462874,0
"beta19",0.016473,0.021173,0.778017,0.436559
"m19",17.378306,0.075212,231.058801,0
"theta19",-0.067727,0.008638,-7.840968,0
"w219",1.001,0.096788,10.342174,0
"alpha18",0.011596,0.015098,0.767996,0.442489
"gamma18",-0.172485,24.52782,-0.007032,0.994389
"beta18",0.001002,0.099636,0.010058,0.991975
"m18",18.112346,9.052274,2.000862,0.045407
"theta18",-5.256362,7.037174,-0.746942,0.455099
"w218",1.117138,1.422909,0.785108,0.43239
"alpha17",0.031647,0.004327,7.314301,0
"gamma17",1.868516,0.24297,7.690311,0
"beta17",0.001295,0.134732,0.009615,0.992329
"m17",14.882304,0.144594,102.925043,0
"theta17",0.404389,0.007818,51.725087,0
"w217",1.939188,0.061435,31.565012,0
"alpha16",0.036623,0.003101,11.811084,0
"gamma16",1.883307,0.158415,11.888447,0
"beta16",0.001057,0.078206,0.013517,0.989216
"m16",17.020222,0.140888,120.806895,0
"theta16",-0.480261,0.061156,-7.85311,0
"w216",1.083664,0.051524,21.032169,0
"alpha15",0.000142,0.000006,23.745334,0
"gamma15",0.005438,0.000375,14.506861,0
"beta15",0.996139,0.000147,6758.840059,0
"m15",15.977976,0.071245,224.267227,0
"theta15",3.93568,0.422206,9.321705,0
"w215",1.805329,0.159172,11.341974,0
"alpha14",0.028405,0.007915,3.588812,0.000332
"gamma14",1.839675,0.511312,3.597948,0.000321
"beta14",0.001157,0.270778,0.004274,0.99659
"m14",13.473862,0.142712,94.413093,0
"theta14",0.173969,0.004689,37.100099,0
"w214",1.444979,0.085715,16.857959,0
"alpha13",0.007,0.00055,12.731643,0
"gamma13",0.461312,0.02799,16.481367,0
"beta13",0.761344,0.014524,52.4182,0
"m13",16.226204,0.165377,98.116465,0
"theta13",0.173444,0.00596,29.099773,0
"w213",1.678887,0.067361,24.923713,0
"alpha12",0.006972,0.000636,10.963141,0
"gamma12",0.407671,0.032333,12.608565,0
"beta12",0.788192,0.016781,46.97065,0
"m12",18.642822,0.125445,148.613419,0
"theta12",-1.623725,0.068709,-23.632079,0
"w212",1.175985,0.081451,14.437973,0
"alpha11",0.003607,0.001513,2.383956,0.017128
"gamma11",0.230433,0.096155,2.396472,0.016554
"beta11",0.875636,0.05128,17.075509,0
"m11",17.916288,0.413479,43.3306,0
"theta11",5.546739,0.203722,27.227054,0
"w211",1.457191,0.216691,6.724733,0
"alpha10",0.032307,0.002141,15.087286,0
"gamma10",1.910773,0.127956,14.933095,0
"beta10",0.001075,0.066913,0.016068,0.98718
"m10",18.359972,0.242358,75.755729,0
"theta10",2.505597,0.279371,8.968708,0
"w210",1.001,0.131303,7.623602,0
"alpha9",0.018515,0.034457,0.537323,0.591044
"gamma9",0.71915,0.574593,1.251582,0.210722
"beta9",0.001139,1.848382,0.000616,0.999508
"m9",16.400699,0.617593,26.555845,0
"theta9",0.155161,0.016552,9.374001,0
"w29",1.001,0.136162,7.351564,0
"alpha8",0.021015,0.004558,4.610129,0.000004
"gamma8",0.887441,0.474411,1.870619,0.061398
"beta8",0.006461,0.182805,0.035343,0.971806
"m8",16.203824,0.586599,27.623318,0
"theta8",-0.052149,0.009595,-5.434905,0
"w28",1.001,0.458567,2.182889,0.029044
"alpha7",0.033902,0.002053,16.512361,0
"gamma7",1.891361,0.103354,18.299842,0
"beta7",0.001143,0.054219,0.021081,0.983181
"m7",17.291391,0.074624,231.712277,0
"theta7",1.124054,0.036897,30.464552,0
"w27",1.252965,0.044353,28.249803,0
"alpha6",0.000184,0.000006,29.719728,0
"gamma6",0.006743,0.000224,30.153544,0
"beta6",0.995445,0.000135,7382.305722,0
"m6",15.589243,0.061734,252.521643,0
"theta6",0.40538,0.027734,14.616526,0
"w26",1.297496,0.071065,18.257827,0
"alpha5",0.001597,0.001673,0.954376,0.339894
"gamma5",0.091151,0.100132,0.910304,0.362662
"beta5",0.950138,0.051665,18.390216,0
"m5",18.659411,1.260885,14.79866,0
"theta5",-0.952049,0.324953,-2.929802,0.003392
"w25",1.735029,0.173266,10.013685,0
"alpha4",0.033883,0.000944,35.902329,0
"gamma4",1.795563,0.029406,61.061411,0
"beta4",0.004652,0.010484,0.443699,0.65726
"m4",17.119593,0.080861,211.717241,0
"theta4",-0.663968,0.041191,-16.119189,0
"w24",2.374691,0.09303,25.526179,0
"alpha3",0.000159,0.000008,21.055628,0
"gamma3",0.006282,0.000395,15.920614,0
"beta3",0.9957,0.000207,4804.754108,0
"m3",16.032041,0.047478,337.670668,0
"theta3",-0.019395,0.002172,-8.928445,0
"w23",10.914087,0.042579,256.322767,0
"alpha2",0.0344,0.021327,1.613,0.106744
"gamma2",1.792214,1.152513,1.555049,0.119934
"beta2",0.002202,0.613861,0.003587,0.997138
"m2",16.736369,0.397314,42.123753,0
"theta2",-0.839514,0.061158,-13.727056,0
"w22",1.139233,0.154722,7.363122,0
"alpha1",0.03424,0.006099,5.614448,0
"gamma1",1.73337,0.280886,6.171088,0
"beta1",0.033065,0.165703,0.199544,0.841837
"m1",15.865227,0.298522,53.145932,0
"theta1",-0.289687,0.02311,-12.535344,0
"w21",1.052172,0.087422,12.035538,0
