"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma111",0.105345,0.024685,4.26749,2e-05,"SP100 StLouisStress",0.268499239005645
"beta111",0.934466,0.015434,60.546693,0,"SP100 StLouisStress",0.0399066410802457
"m111",14.111563,0.104676,134.811402,0,"SP100 StLouisStress",63091.310329
"theta111",0.412868,0.007631,54.106444,0,"SP100 StLouisStress",63129.243235
"w2111",1.001,0.059022,16.959778,0,"SP100 StLouisStress",-31539.6551644252
"alpha112",0.091512,0.016022,5.711773,0,"SP100 GEPU",0.0874386178845275
"gamma112",0.637672,0.110027,5.795581,0,"SP100 GEPU",0.173358636914654
"beta112",0.001307,0.174376,0.007494,0.994021,"SP100 GEPU",0.00015158239610163
"m112",12.538197,0.040518,309.445929,0,"SP100 GEPU",63347.771043
"theta112",-0.009416,0.006808,-1.383097,0.166635,"SP100 GEPU",63385.703949
"w2112",1.001015,0.076304,13.118742,0,"SP100 GEPU",-31667.8855212945
"alpha113",0.086199,0.020999,4.104847,4e-05,"SP100 GPR",12.8478687450844
"gamma113",0.524897,0.156148,3.361548,0.000775,"SP100 GPR",0.18941780531862
"beta113",0.001147,0.240845,0.004764,0.996199,"SP100 GPR",0.0243361510071557
"m113",12.642602,0.037236,339.524488,0,"SP100 GPR",63293.217319
"theta113",0.121313,0.007721,15.712862,0,"SP100 GPR",63331.150225
"w2113",1.037951,0.070605,14.700805,0,"SP100 GPR",-31640.6086592594
"alpha114",0.089511,0.011775,7.601911,0,"SP100 BKK",1.03489071673706
"gamma114",0.691439,0.05857,11.8053,0,"SP100 BKK",0.175648099242108
"beta114",0.001401,0.127074,0.011027,0.991202,"SP100 BKK",0.00181776587318166
"m114",12.630306,0.108478,116.431442,0,"SP100 BKK",63339.678382
"theta114",0.100419,0.025003,4.016188,5.9e-05,"SP100 BKK",63377.611289
"w2114",1.001001,0.222569,4.497481,7e-06,"SP100 BKK",-31663.8391911219
"alpha115",0.101253,0.024781,4.085923,4.4e-05,"SP100 Unemployment",15.9716740776065
"gamma115",0.894466,0.074308,12.037239,0,"SP100 Unemployment",0.259890714833361
"beta115",0.001221,0.242666,0.00503,0.995987,"SP100 Unemployment",0.0415088979311461
"m115",12.646353,0.236956,53.370043,0,"SP100 Unemployment",63195.978672
"theta115",2.795119,0.154983,18.034978,0,"SP100 Unemployment",63233.911579
"w2115",1.001,0.156683,6.388703,0,"SP100 Unemployment",-31591.9893361847
"alpha116",0.011074,0.009079,1.219812,0.222536,"SP100 CFNAI",15.6827746995012
"gamma116",0.169988,0.140128,1.213089,0.225096,"SP100 CFNAI",0.263658656866309
"beta116",0.892967,0.088551,10.084203,0,"SP100 CFNAI",0.0413489931320742
"m116",13.857477,0.154141,89.901311,0,"SP100 CFNAI",63084.764003
"theta116",-0.642667,0.015224,-42.214412,0,"SP100 CFNAI",63122.696909
"w2116",1.001,0.071439,14.011909,0,"SP100 CFNAI",-31536.3820014161
"alpha117",0.005497,0.00069,7.965997,0,"SP100 VIX",27.2604294786127
"gamma117",0.092776,0.011352,8.172559,0,"SP100 VIX",0.361567773388936
"beta117",0.94601,0.006532,144.825587,0,"SP100 VIX",0.0985649278820811
"m117",12.898049,0.11373,113.409222,0,"SP100 VIX",62914.089036
"theta117",0.100946,0.002182,46.264497,0,"SP100 VIX",62952.021943
"w2117",1.034691,0.05886,17.578949,0,"SP100 VIX",-31451.0445182466
"alpha118",0.012704,0.00581,2.186715,0.028763,"SP100 VXN",24.0317039818512
"gamma118",0.231869,0.110696,2.094649,0.036202,"SP100 VXN",0.365167703512116
"beta118",0.864246,0.062246,13.884453,0,"SP100 VXN",0.0877560215453558
"m118",12.556842,0.614893,20.421168,0,"SP100 VXN",62948.574765
"theta118",0.097059,0.001994,48.680559,0,"SP100 VXN",62986.507672
"w2118",1.001,0.067026,14.934594,0,"SP100 VXN",-31468.2873827108
"alpha119",0.094333,0.018671,5.052446,0,"SP100 TermSpread",3.47360226162756
"gamma119",0.715402,0.340304,2.102245,0.035532,"SP100 TermSpread",0.183458367836558
"beta119",0.003384,0.199385,0.016974,0.986458,"SP100 TermSpread",0.00637261401431569
"m119",12.579524,0.266386,47.222866,0,"SP100 TermSpread",63310.115441
"theta119",2.81841,0.648386,4.346808,1.4e-05,"SP100 TermSpread",63348.048347
"w2119",1.394342,0.104487,13.344683,0,"SP100 TermSpread",-31649.0577202852
"alpha120",0.095817,0.013538,7.077814,0,"SP100 NewOrders",1.44180126464426
