,AAL,AAL,AAL,AAL,AAL,AAL,AAL,CAR,CAR,CAR,CAR,CAR,CAR,CAR,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,ALB,ALB,ALB,ALB,ALB,ALB,ALB,BA,BA,BA,BA,BA,BA,BA
,CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL)
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3114.0,42278.0,5253.0,7337.0,-2001.0,0.42442415156058333,0.28403979828267684,1642.0,16284.0,1031.0,1850.0,-28.0,0.8875675675675676,0.4427027027027027,30.77,1798.205,227.568,376.236,48.518,0.08178377401418259,0.39514560010206357,155.346,3584.797,358.463,639.635,155.933,0.2428666348777037,0.4395819490803348,2098.0,92663.0,19441.0,23785.0,1233.0,0.0882068530586504,0.1826361151986546
2014-03-31,1047.0,43737.0,7382.0,9995.0,480.0,0.10475237618809405,0.26143071535767887,841.0,17369.0,1037.0,1862.0,4.0,0.45166487647690656,0.4430719656283566,4.925,1812.569,219.264,342.008,34.701,0.014400247947416435,0.35889218965638225,23.667,3558.728,376.435,599.843,56.583,0.0394553241431508,0.3724441228788199,497.0,91575.0,16496.0,20465.0,965.0,0.024285365257757145,0.1939408746640606
2014-06-30,2678.0,44811.0,7652.0,11356.0,863.0,0.23582247270165552,0.3261711870376893,3912.0,19989.0,1144.0,2194.0,26.0,1.7830446672743847,0.4785779398359161,13.317,1829.168,231.315,362.609,54.025,0.036725508743577794,0.3620814706750246,46.67,3454.532,372.453,604.721,22.447,0.07717608616204828,0.3840911759307185,946.0,92737.0,18201.0,22045.0,1653.0,0.04291222499432978,0.1743706055794965
2014-09-30,4006.0,44173.0,7642.0,11139.0,942.0,0.3596373103510189,0.31394200556602925,3427.0,18296.0,1219.0,2542.0,192.0,1.3481510621557828,0.5204563335955941,22.722,1833.904,218.51,352.305,36.497,0.0644952526929791,0.37977036942422054,76.682,3393.466,411.342,642.418,72.794,0.11936465043009381,0.35969726875647945,1568.0,92653.0,19579.0,23784.0,1362.0,0.06592667339387824,0.17679952909519003
2014-12-31,5311.0,43771.0,6835.0,10160.0,597.0,0.522736220472441,0.32726377952755903,2391.0,16969.0,1014.0,1887.0,23.0,1.2670906200317964,0.4626391096979332,34.689,1882.542,261.905,403.997,49.39,0.08586449899380441,0.3517154830357652,110.576,5223.103,410.898,598.566,-18.508,0.18473484962393452,0.3135293351109151,2236.0,99198.0,20167.0,24468.0,1466.0,0.09138466568579369,0.1757806114108223
2015-03-31,1409.0,46754.0,6337.0,9827.0,932.0,0.1433804823445609,0.3551439910450799,792.0,17492.0,1018.0,1850.0,-9.0,0.4281081081081081,0.44972972972972974,6.528,1842.372,205.376,311.818,19.685,0.02093528917509573,0.3413593827168412,56.741,9794.759,413.61,692.313,43.115,0.08195859387300253,0.40256791364599537,574.0,97775.0,18021.0,22149.0,1336.0,0.025915391214050294,0.18637410266829202
2015-06-30,3139.0,47868.0,6698.0,10827.0,1704.0,0.28992333979865154,0.38136141128659834,3470.0,20399.0,1127.0,2173.0,143.0,1.5968706856879888,0.48136217211228716,14.258,1871.387,188.314,288.36,14.844,0.049445138021917044,0.34694825912054383,111.723,9770.809,414.575,718.29,52.147,0.1555402414066742,0.4228306115914185,1266.0,98102.0,20880.0,24543.0,1110.0,0.051582936071384915,0.14924825815914924
2015-09-30,4621.0,48715.0,6444.0,10706.0,1693.0,0.4316271249766486,0.39809452643377546,3132.0,18902.0,1254.0,2577.0,184.0,1.2153667054714785,0.5133876600698487,20.108,1837.579,224.653,359.291,34.036,0.05596577704423434,0.37473245920437753,164.568,9675.064,397.434,693.216,65.392,0.23739786733139456,0.4266808613765406,1827.0,98998.0,21147.0,25849.0,1704.0,0.07067971681689814,0.18190258810785717
2015-12-31,6151.0,48415.0,6070.0,9630.0,3281.0,0.6387331256490135,0.36967808930425755,2447.0,17634.0,1041.0,1902.0,-5.0,1.286540483701367,0.4526813880126183,30.651,1792.816,222.264,357.83,9.182,0.08565799401950647,0.3788558812844087,227.649,9615.014,424.595,722.61,174.252,0.31503715697264084,0.41241471886633174,2450.0,94408.0,20143.0,23573.0,1026.0,0.10393246510838672,0.1455054511517414
2016-03-31,1557.0,49909.0,5999.0,9435.0,700.0,0.16502384737678855,0.36417594064652886,1404.0,19308.0,1074.0,1881.0,-51.0,0.7464114832535885,0.42902711323763953,7.093,1933.497,180.779,286.535,10.208,0.024754393006090003,0.36908580103652266,58.12,9438.968,354.125,657.211,228.186,0.08843430800762617,0.46117000476254966,748.0,91547.0,18638.0,22632.0,1219.0,0.033050547896783314,0.1764757864969954
