"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha205",0.00027,7e-06,37.644202,0,"SmallCap DefaultSpread",22.2213970949895
"gamma205",0.003879,0.000136,28.569376,0,"SmallCap DefaultSpread",0.121841124681013
"beta205",0.996791,8.3e-05,11972.002635,0,"SmallCap DefaultSpread",0.0270748001403693
"m205",11.287221,0.025143,448.920095,0,"SmallCap DefaultSpread",59305.513655
"theta205",0.129475,0.003028,42.758205,0,"SmallCap DefaultSpread",59343.446561
"w2205",1.001127,0.174169,5.748011,0,"SmallCap DefaultSpread",-29646.756827327
"alpha206",0.03672,0.002821,13.018222,0,"SmallCap EquityVolMeasure",159.068636937438
"gamma206",-0.053462,0.040195,-1.330056,0.1835,"SmallCap EquityVolMeasure",0.341746088064621
"beta206",0.001006,0.066441,0.015137,0.987923,"SmallCap EquityVolMeasure",0.54361084407141
"m206",13.087794,0.082272,159.079057,0,"SmallCap EquityVolMeasure",58985.092222
"theta206",-3.589742,0.213467,-16.816382,0,"SmallCap EquityVolMeasure",59023.025129
"w2206",1.001,0.069503,14.402298,0,"SmallCap EquityVolMeasure",-29486.5461111371
"alpha207",0.037508,0.025576,1.466519,0.142507,"SmallCap RecessionSpread",14.1754807260148
"gamma207",0.856483,0.112524,7.611587,0,"SmallCap RecessionSpread",0.0589057660194956
"beta207",0.005965,0.742813,0.00803,0.993593,"SmallCap RecessionSpread",0.008350175508605
"m207",11.837516,0.635727,18.620448,0,"SmallCap RecessionSpread",59607.747461
"theta207",4.338607,1.78554,2.429857,0.015105,"SmallCap RecessionSpread",59645.680367
"w2207",1.603966,0.307642,5.213745,0,"SmallCap RecessionSpread",-29797.8737303528
"alpha208",0.046772,0.003133,14.926863,0,"SmallCap CitiSurprise",5.99197584761601
"gamma208",0.763265,0.020298,37.603232,0,"SmallCap CitiSurprise",0.0482548215461501
"beta208",0.008124,0.057125,0.142217,0.886908,"SmallCap CitiSurprise",0.00289141725235552
"m208",11.93471,0.022248,536.448042,0,"SmallCap CitiSurprise",59642.672568
"theta208",-0.003061,0.000473,-6.475113,0,"SmallCap CitiSurprise",59680.605474
"w2208",5.81844,0.114391,50.864407,0,"SmallCap CitiSurprise",-29815.3362838428
"alpha209",0.00086,5.5e-05,15.702517,0,"SmallCap MOVE",37.0958548014688
"gamma209",0.028754,0.001429,20.127049,0,"SmallCap MOVE",0.392939430763325
"beta209",0.983764,0.000727,1353.64864,0,"SmallCap MOVE",0.145764240693681
"m209",11.538968,0.116619,98.946277,0,"SmallCap MOVE",58993.58746
"theta209",0.022927,0.000522,43.924981,0,"SmallCap MOVE",59031.520366
"w2209",2.039455,0.185048,11.021249,0,"SmallCap MOVE",-29490.7937299454
