Date,GPR,GEPU_current, New Orders,UMich Sentiment,Unemployment Rate,Citi Suprise,MOVE,VIX,VXN NASDAQ,2-10 Spread,Term Spread,High Yield Spread,BKK Leading Index,National Activity Index,Equity Vol Measure,St Louis Stress Index
2005-01-01,-8.928389663946215,-12.36206907641122,0,-1.5999999999999943,-0.1000000000000005,-17.2,79.29,12.82,18.43,0.85,1.63,3.29,-1.1212277967843771,0.38,0.26127,-0.747075
2005-02-01,7.423865650701917,-6.421031399120143,0.7706609406096155,-1.4000000000000057,0.1000000000000005,-20.0,90.05,12.08,18.07,0.77,1.6,2.83,-1.0531867123371894,0.45,0.1106,-0.920875
2005-03-01,-20.53686819124912,-0.4735020448544824,-1.9319777280710653,-1.5,-0.2000000000000001,-7.8,87.7,14.02,17.65,0.7,1.71,3.52,-1.0585830032845052,-0.15,0.28851,-0.86265
2005-04-01,-3.881407609425053,21.296418157731697,2.8039953301336102,-4.899999999999992,0.0,6.3,82.53,15.31,18.54,0.55,1.31,4.15,-1.0118348064278213,0.5,0.51126,-0.70762
2005-05-01,11.3776808856894,0.932108627403745,2.6434900332393743,-0.7999999999999972,-0.1000000000000005,17.2,75.0,13.29,16.08,0.4,1.01,4.13,-0.8876139077669765,0.08,0.46083,-0.682725
2005-06-01,-21.05652805411633,0.9183071085711352,1.1460502464382556,9.099999999999994,-0.0999999999999996,-7.0,75.6,12.04,14.46,0.28,0.81,3.85,-0.808873523280914,0.44,0.36583,-0.7267
2005-07-01,51.10119541435917,-13.97937735934349,-3.5996792467472,0.5,0.0,25.0,74.8,11.57,13.87,0.26,0.86,3.25,-0.955821198701783,0.07,0.2365,-0.85006
2005-08-01,-42.73875503210147,0.1169563097847582,3.662466015594824,-7.400000000000006,-0.0999999999999996,7.4,72.22,12.6,14.71,0.18,0.5,3.66,-1.1524075199304744,0.17,0.34252,-0.867325
2005-09-01,-11.964432888994317,33.81055860121316,0.7093830569535375,-12.199999999999989,0.0999999999999996,2.3,76.71,11.92,13.31,0.16,0.79,3.54,-1.2317628012291575,-0.85,0.28744,-0.80108
2005-10-01,-19.234416066504924,-43.60424258016806,1.3023612471213983,-2.700000000000003,0.0,8.4,80.08,15.32,17.99,0.17,0.59,3.61,-0.936884108022494,0.91,0.27243,-0.757275
2005-11-01,-4.290524235135332,4.016106406741928,2.846832397754611,7.399999999999991,0.0,73.5,73.99,12.06,15.31,0.07,0.54,3.67,-0.7231561690872672,0.9,0.10356,-0.820025
2005-12-01,12.449002812346672,-11.13814306030858,0.3534437717060577,9.900000000000006,-0.0999999999999996,43.4,72.09,12.07,14.26,-0.02,0.31,3.65,-0.5843040445315971,0.42,0.2798,-0.7098
2006-01-01,-0.8890410480078766,11.764121546135236,-1.721160875755127,-0.2999999999999971,-0.2000000000000001,-20.3,75.65,12.95,18.58,-0.01,0.06,3.42,-0.5362958093599917,0.65,0.39768,-0.924425
2006-02-01,1.4064265290813622,-18.04372461017817,1.2468117243049917,-4.5,0.0999999999999996,-55.4,56.86,12.34,15.99,-0.14,-0.07,3.37,-0.6115241904873627,0.17,0.05057,-1.038875
2006-03-01,-3.298112251986941,0.245660427621887,2.1797763771991163,2.200000000000003,-0.0999999999999996,-25.9,68.6,11.39,16.31,0.04,0.23,3.13,-0.6733913168452643,0.37,0.13958,-1.03836
2006-04-01,-4.248484184115523,19.96950197594232,-2.8263959390862943,-1.5,0.0,37.2,63.0,11.59,15.51,0.2,0.3,3.0,-0.7930361946317619,0.03,0.24338,-1.03435
2006-05-01,-4.467875454907269,-15.499458036387656,1.1445857105074242,-8.300000000000011,-0.1000000000000005,46.6,68.7,16.44,21.46,0.08,0.26,3.12,-0.9131785754631352,-0.21,0.36913,-0.9795
2006-06-01,16.928460570029884,14.095250614927991,0.9283174246677895,5.800000000000011,0.0,43.8,67.2,13.08,17.89,-0.01,0.14,3.35,-0.8258643150288015,0.04,0.11395,-0.83178
2006-07-01,25.20297603231593,-8.020034000873169,-2.540728177349592,-0.2000000000000028,0.1000000000000005,-1.8,63.4,14.95,20.33,0.02,-0.11,3.45,-0.7726794641250232,-0.22,0.17287,-0.8774
2006-08-01,6.762451463351173,-18.6167711910418,0.4561096000324769,-2.700000000000003,0.0,-7.6,59.8,12.31,17.39,-0.05,-0.31,3.49,-0.5889960194868454,0.03,0.33504,-0.96005
