Date,Instrument,Close Price
2005-01-03,.5SP25,277.4602
2005-01-04,.5SP25,274.0071
2005-01-05,.5SP25,272.85
2005-01-06,.5SP25,271.707
2005-01-07,.5SP25,271.242
2005-01-10,.5SP25,272.3911
2005-01-11,.5SP25,270.6525
2005-01-12,.5SP25,272.3226
2005-01-13,.5SP25,270.143
2005-01-14,.5SP25,272.6199
2005-01-14,.5SP25,272.6199
2005-01-18,.5SP25,274.8363
2005-01-19,.5SP25,272.295
2005-01-20,.5SP25,267.4334
2005-01-21,.5SP25,266.1685
2005-01-24,.5SP25,263.9263
2005-01-25,.5SP25,264.6128
2005-01-26,.5SP25,265.9254
2005-01-27,.5SP25,265.3047
2005-01-28,.5SP25,264.304
2005-01-31,.5SP25,267.2353
2005-02-01,.5SP25,266.8776
2005-02-02,.5SP25,268.0993
2005-02-03,.5SP25,267.5669
2005-02-04,.5SP25,269.9474
2005-02-07,.5SP25,270.3167
2005-02-08,.5SP25,269.6371
2005-02-09,.5SP25,266.8853
2005-02-10,.5SP25,267.7557
2005-02-11,.5SP25,269.583
2005-02-14,.5SP25,269.0175
2005-02-15,.5SP25,271.173
2005-02-16,.5SP25,270.7062
2005-02-17,.5SP25,269.2073
2005-02-18,.5SP25,268.4834
2005-02-18,.5SP25,268.4834
2005-02-22,.5SP25,263.4092
2005-02-23,.5SP25,264.875
2005-02-24,.5SP25,265.4311
2005-02-25,.5SP25,266.6653
2005-02-28,.5SP25,265.8659
2005-03-01,.5SP25,268.4228
2005-03-02,.5SP25,268.376
2005-03-03,.5SP25,268.1785
2005-03-04,.5SP25,270.0847
2005-03-07,.5SP25,271.0225
2005-03-08,.5SP25,269.0452
2005-03-09,.5SP25,266.1195
2005-03-10,.5SP25,266.7823
2005-03-11,.5SP25,265.7565
2005-03-14,.5SP25,266.9331
2005-03-15,.5SP25,267.119
2005-03-16,.5SP25,265.1397
2005-03-17,.5SP25,265.1954
2005-03-18,.5SP25,264.287
2005-03-21,.5SP25,262.9942
2005-03-22,.5SP25,260.8088
2005-03-23,.5SP25,259.717
2005-03-24,.5SP25,259.7632
2005-03-24,.5SP25,259.7632
2005-03-28,.5SP25,261.3761
2005-03-29,.5SP25,258.9602
2005-03-30,.5SP25,262.3821
2005-03-31,.5SP25,262.4552
2005-04-01,.5SP25,259.9837
2005-04-04,.5SP25,260.7863
2005-04-05,.5SP25,262.5188
2005-04-06,.5SP25,261.3547
2005-04-07,.5SP25,262.5249
2005-04-08,.5SP25,260.2027
2005-04-11,.5SP25,259.1409
2005-04-12,.5SP25,261.1213
2005-04-13,.5SP25,257.3652
2005-04-14,.5SP25,253.8351
2005-04-15,.5SP25,248.4223
2005-04-18,.5SP25,249.1574
2005-04-19,.5SP25,249.3585
2005-04-20,.5SP25,245.6084
2005-04-21,.5SP25,251.3775
2005-04-22,.5SP25,247.6783
2005-04-25,.5SP25,249.839
2005-04-26,.5SP25,247.9041
2005-04-27,.5SP25,248.3989
2005-04-28,.5SP25,244.9574
2005-04-29,.5SP25,245.4175
2005-05-02,.5SP25,246.6873
2005-05-03,.5SP25,247.5313
2005-05-04,.5SP25,252.6569
2005-05-05,.5SP25,251.4359
2005-05-06,.5SP25,251.0365
2005-05-09,.5SP25,252.7487
2005-05-10,.5SP25,249.8458
2005-05-11,.5SP25,249.9331
2005-05-12,.5SP25,248.4715
2005-05-13,.5SP25,248.2388
2005-05-16,.5SP25,251.1233
2005-05-17,.5SP25,253.2778
2005-05-18,.5SP25,258.1337
2005-05-19,.5SP25,260.382
2005-05-20,.5SP25,259.6011
2005-05-23,.5SP25,260.9474
2005-05-24,.5SP25,260.7526
2005-05-25,.5SP25,259.6813
2005-05-26,.5SP25,261.1665
2005-05-27,.5SP25,261.4028
2005-05-27,.5SP25,261.4028
2005-05-31,.5SP25,259.658
2005-06-01,.5SP25,261.4359
2005-06-02,.5SP25,262.9353
2005-06-03,.5SP25,260.6013
2005-06-06,.5SP25,261.037
2005-06-07,.5SP25,261.4703
2005-06-08,.5SP25,260.3279
2005-06-09,.5SP25,261.4555
2005-06-10,.5SP25,261.3006
2005-06-13,.5SP25,262.1054
2005-06-14,.5SP25,264.74
2005-06-15,.5SP25,264.866
2005-06-16,.5SP25,265.6471
2005-06-17,.5SP25,266.3324
2005-06-20,.5SP25,266.3973
2005-06-21,.5SP25,266.3492
2005-06-22,.5SP25,266.3968
2005-06-23,.5SP25,262.0391
2005-06-24,.5SP25,259.8881
2005-06-27,.5SP25,258.663
2005-06-28,.5SP25,262.0987
2005-06-29,.5SP25,260.5077
2005-06-30,.5SP25,259.294
2005-07-01,.5SP25,259.5858
2005-07-01,.5SP25,259.5858
2005-07-05,.5SP25,262.2031
2005-07-06,.5SP25,260.0381
2005-07-07,.5SP25,260.5449
2005-07-08,.5SP25,264.2298
2005-07-11,.5SP25,266.2257
2005-07-12,.5SP25,267.6049
2005-07-13,.5SP25,267.1475
2005-07-14,.5SP25,268.1886
2005-07-15,.5SP25,269.7705
2005-07-18,.5SP25,269.6715
2005-07-19,.5SP25,271.2694
2005-07-20,.5SP25,272.5222
2005-07-21,.5SP25,271.7332
2005-07-22,.5SP25,273.388
2005-07-25,.5SP25,271.337
2005-07-26,.5SP25,272.9987
2005-07-27,.5SP25,273.8454
2005-07-28,.5SP25,276.4402
2005-07-29,.5SP25,273.7606
2005-08-01,.5SP25,273.8915
2005-08-02,.5SP25,275.0279
2005-08-03,.5SP25,274.1313
2005-08-04,.5SP25,271.5062
2005-08-05,.5SP25,269.3701
2005-08-08,.5SP25,268.7898
2005-08-09,.5SP25,271.6355
2005-08-10,.5SP25,271.2839
2005-08-11,.5SP25,272.7211
2005-08-12,.5SP25,272.0682
2005-08-15,.5SP25,273.6011
2005-08-16,.5SP25,268.7013
2005-08-17,.5SP25,269.7745
2005-08-18,.5SP25,269.0015
2005-08-19,.5SP25,267.6187
2005-08-22,.5SP25,267.1981
