,Instrument,Price Close,Date
0,CHRW.OQ,82.98,2019-01-02T00:00:00Z
1,CHRW.OQ,79.92,2019-01-03T00:00:00Z
2,CHRW.OQ,82.69,2019-01-04T00:00:00Z
3,CHRW.OQ,83.09,2019-01-07T00:00:00Z
4,CHRW.OQ,83.76,2019-01-08T00:00:00Z
5,CHRW.OQ,84.72,2019-01-09T00:00:00Z
6,CHRW.OQ,85.44,2019-01-10T00:00:00Z
7,CHRW.OQ,85.63,2019-01-11T00:00:00Z
8,CHRW.OQ,85.85,2019-01-14T00:00:00Z
9,CHRW.OQ,85.23,2019-01-15T00:00:00Z
10,CHRW.OQ,85.02,2019-01-16T00:00:00Z
11,CHRW.OQ,86.04,2019-01-17T00:00:00Z
12,CHRW.OQ,88.67,2019-01-18T00:00:00Z
13,CHRW.OQ,86.95,2019-01-22T00:00:00Z
14,CHRW.OQ,86.98,2019-01-23T00:00:00Z
15,CHRW.OQ,86.54,2019-01-24T00:00:00Z
16,CHRW.OQ,87.05,2019-01-25T00:00:00Z
17,CHRW.OQ,86.77,2019-01-28T00:00:00Z
18,CHRW.OQ,86.61,2019-01-29T00:00:00Z
19,CHRW.OQ,86.73,2019-01-30T00:00:00Z
20,CHRW.OQ,86.77,2019-01-31T00:00:00Z
21,CHRW.OQ,87.72,2019-02-01T00:00:00Z
22,CHRW.OQ,88.62,2019-02-04T00:00:00Z
23,CHRW.OQ,89.72,2019-02-05T00:00:00Z
24,CHRW.OQ,90.79,2019-02-06T00:00:00Z
25,CHRW.OQ,90.36,2019-02-07T00:00:00Z
26,CHRW.OQ,90.36,2019-02-08T00:00:00Z
27,CHRW.OQ,90.09,2019-02-11T00:00:00Z
28,CHRW.OQ,91.01,2019-02-12T00:00:00Z
29,CHRW.OQ,90.9,2019-02-13T00:00:00Z
30,CHRW.OQ,90.7,2019-02-14T00:00:00Z
31,CHRW.OQ,91.45,2019-02-15T00:00:00Z
32,CHRW.OQ,91.95,2019-02-19T00:00:00Z
33,CHRW.OQ,92.02,2019-02-20T00:00:00Z
34,CHRW.OQ,92.18,2019-02-21T00:00:00Z
35,CHRW.OQ,91.94,2019-02-22T00:00:00Z
36,CHRW.OQ,91.03,2019-02-25T00:00:00Z
37,CHRW.OQ,91.11,2019-02-26T00:00:00Z
38,CHRW.OQ,90.07,2019-02-27T00:00:00Z
39,CHRW.OQ,90.38,2019-02-28T00:00:00Z
40,CHRW.OQ,90.2,2019-03-01T00:00:00Z
41,CHRW.OQ,88.74,2019-03-04T00:00:00Z
42,CHRW.OQ,88.83,2019-03-05T00:00:00Z
43,CHRW.OQ,87.99,2019-03-06T00:00:00Z
44,CHRW.OQ,87.47,2019-03-07T00:00:00Z
45,CHRW.OQ,87.44,2019-03-08T00:00:00Z
46,CHRW.OQ,88.87,2019-03-11T00:00:00Z
47,CHRW.OQ,88.75,2019-03-12T00:00:00Z
48,CHRW.OQ,89.08,2019-03-13T00:00:00Z
49,CHRW.OQ,89.34,2019-03-14T00:00:00Z
50,CHRW.OQ,89.0,2019-03-15T00:00:00Z
51,CHRW.OQ,90.09,2019-03-18T00:00:00Z
52,CHRW.OQ,88.31,2019-03-19T00:00:00Z
53,CHRW.OQ,86.64,2019-03-20T00:00:00Z
54,CHRW.OQ,87.28,2019-03-21T00:00:00Z
55,CHRW.OQ,84.68,2019-03-22T00:00:00Z
56,CHRW.OQ,83.43,2019-03-25T00:00:00Z
