Date,0780.HK,0992.HK,0772.HK,0981.HK,1347.HK,1810.HK,0268.HK,3888.HK,0285.HK,0241.HK,600690.SS,0522.HK,2382.HK,3690.HK,000333.SZ,0700.HK,TCOM.O,BILI.O,JD.O,NTES.O,BIDU.O
2019-01-03,-3.9431631704349885,-0.19512201312616936,-4.516426705412943,-2.306020708769789,-3.8695303759718067,-3.6732009268730006,-4.348511193973889,0.08798944694395178,-3.9050514871873254,-2.2876814653754756,-0.593033613484851,-4.54778060475143,-6.996959303619316,0.12128564252092296,-0.6607953560032018,-0.5232189831988809,-2.309910218508835,-9.776416876589158,-4.421671732354164,-3.923812429118673,-4.758595885322205
2019-01-04,4.294040723402898,1.5504186535965254,8.015734056183774,-1.883886169640624,2.694773840976774,1.6863806052004944,-3.2260862218221433,0.08791209357400927,1.31870042819539,0.8230499136515443,1.0355122115204352,-1.117330060285298,0.16273396593754075,6.453852113757116,2.1588487012637136,1.81941341077636,5.730265005791286,5.630004468853258,9.015956938067228,3.9281650809724935,3.954136101383967
2019-01-07,4.954044556013611,-2.927038230011334,-4.35768171990998,0.3164559602963162,-2.2405716975266667,0.33389012655146305,10.273411887560714,1.5693434546046547,0.3269757681556707,0.8163310639161055,-1.2588096619516635,2.084856612164115,2.25089888939226,3.242318670522668,-0.17587774269192757,2.2286818658246466,2.182660699262043,4.076359865466576,2.1764127988853983,4.1519901090020825,1.0199439368893048
2019-01-08,-0.6688988150796652,2.927038230011302,2.272825107755631,-0.1581027997318707,2.535557162168798,-7.796154146971193,1.1764841579586431,4.730611739693705,-2.5345709380756443,5.226842854575687,-1.1994146785819277,-0.48259314666560144,-1.6834064867897913,-3.469850054236222,-0.1761876175766245,-0.631714040072897,1.0228524226496334,3.511548403131056,0.8313327248424013,1.211884514382663,0.49079853121924466
2019-01-09,-0.6734032181344068,2.8437935320533625,1.8093743442698862,3.2687735129573596,0.5873732012093915,-7.092523923800534,-1.3245226750020567,3.087166366708693,1.1098893068048765,-1.7121040780111425,5.430534485754219,0.8943988075592417,2.7114898796966034,3.7993396439214804,5.643469388796932,3.7317763007409197,2.346738601856704,6.356544975158632,3.173508166413975,6.403305122032088,1.9634614526813834
2019-01-10,1.1754963231443685,0.5591813265777934,2.721256352488479,0.4583659667657893,5.691436258797462,-3.6439285106536072,1.616493685335536,3.922071315328133,5.057559761122272,6.532314259798894,-0.28612322810321233,1.157656782449265,5.211907450171864,-1.4356955602711077,0.7408387440721986,0.42643987857670235,-0.33189542580638065,3.186773884802248,-1.231699580703835,-1.2811951179984253,1.0209348654367083
2019-01-11,-2.1941808538436756,1.1090686694158356,-0.5383593083472754,0.15232295405216378,1.7820896570111489,0.2504383978616461,-1.3206354813610341,1.2232568435634452,-0.31529190596155304,-0.8862687257845318,0.7848773792071204,1.745010723071116,2.65306644094991,1.2161565039275435,1.3901399146029205,0.6664671747467037,-0.8681189745046703,-5.694137640013857,-2.2472855852058515,-4.706326106356963,-1.3394926104097877
2019-01-14,-3.649405843057165,5.1936469858796865,-4.980282248381814,-3.091436291244716,-5.301101596650371,0.24981277043552877,-1.9389123435841153,2.9204621428538693,-5.963826631973122,-3.1652981635875994,-0.8565362858923158,-2.7657749452460694,-1.612938192988353,-1.9418085857101628,-0.9837385424514246,-2.879218795334914,-0.5717183892857919,-1.9724505347778476,-3.7404182226883362,-1.381614531429909,-1.8715986551422592
2019-01-15,2.4476746426554166,-0.34965070587294256,1.9663554908778063,3.3953878930343877,1.1396134730869583,-0.6006024060211699,5.991565333583489,2.837585800666797,3.080551622799697,3.461594676653288,4.9643188191130765,2.8987536877988758,2.69793979539494,-1.9802627296179753,3.8538019412424482,2.5162419902424915,2.9247681303052073,2.944275481669991,0.9483024327535392,2.8497103877756493,2.9612992955353707
2019-01-16,2.389192142473022,-3.3841163378914954,-0.6978395381462258,-0.6088298867255293,3.0685810703443885,-2.645118608716983,0.42462908814512246,0.4294924282880871,0.5402498283348341,1.9048194970694412,-0.20484814264724363,0.1991371384934311,-2.1819047394639726,1.9242246222394872,0.48661896511729064,0.302572091464016,1.8176417323875866,3.2976989433014134,0.3589057239817262,2.873072885665454,1.0779540531889014
2019-01-17,0.504626806762444,-1.828204483744907,3.846628082779593,-0.6125593426682732,-2.6445521664558487,0.41152321451065793,0.14114328384078084,4.4700178917906985,-0.10781672203454436,-1.6093983073262954,-0.06837607104006424,2.1971698760584415,-2.15541603349861,-0.9009069942365857,-0.7063724414173606,0.9022617600510932,1.6587302156863863,3.0714945211471325,-0.8545138571575749,-0.8056915621442624,-0.9708239393838142
2019-01-18,4.7510982671051805,3.4454904083050186,3.5741726338263655,4.2111485350126845,10.817741892893972,4.221732449589203,3.8732365657209047,2.5625137802823157,0.323102058144654,2.188271124950759,3.494979368767046,2.1499303935712066,7.383960943306043,3.008583462231478,2.8198036488147222,0.8941937376519039,2.4684896570757253,1.083043077436959,4.934921981002746,0.19807477854194674,1.9148079654471388
