Date, New Orders
2005-01-01,378937.0
2005-02-01,381880.0
2005-03-01,374642.0
2005-04-01,385450.0
2005-05-01,395916.0
2005-06-01,400506.0
2005-07-01,386590.0
2005-08-01,401287.0
2005-09-01,404154.0
2005-10-01,409487.0
2005-11-01,421486.0
2005-12-01,422981.0
2006-01-01,415824.0
2006-02-01,421074.0
2006-03-01,430457.0
2006-04-01,418625.0
2006-05-01,423472.0
2006-06-01,427440.0
2006-07-01,416849.0
2006-08-01,418759.0
2006-09-01,435776.0
2006-10-01,415798.0
2006-11-01,426451.0
2006-12-01,437894.0
2007-01-01,427905.0
2007-02-01,430410.0
2007-03-01,442158.0
2007-04-01,446596.0
2007-05-01,445891.0
2007-06-01,446539.0
2007-07-01,450464.0
2007-08-01,452598.0
2007-09-01,448633.0
2007-10-01,458907.0
2007-11-01,464910.0
2007-12-01,481274.0
2008-01-01,478676.0
2008-02-01,473714.0
2008-03-01,473829.0
2008-04-01,477888.0
2008-05-01,477706.0
2008-06-01,485010.0
2008-07-01,477725.0
2008-08-01,463929.0
2008-09-01,452545.0
2008-10-01,419715.0
2008-11-01,386733.0
2008-12-01,365490.0
2009-01-01,343559.0
2009-02-01,343150.0
2009-03-01,333431.0
2009-04-01,334449.0
2009-05-01,339817.0
2009-06-01,345129.0
2009-07-01,348909.0
2009-08-01,355776.0
2009-09-01,359189.0
2009-10-01,366143.0
2009-11-01,369445.0
2009-12-01,371392.0
2010-01-01,393694.0
2010-02-01,394215.0
2010-03-01,400659.0
2010-04-01,400842.0
2010-05-01,404370.0
2010-06-01,400624.0
2010-07-01,402326.0
2010-08-01,408354.0
2010-09-01,422049.0
2010-10-01,417830.0
2010-11-01,426427.0
2010-12-01,429764.0
2011-01-01,445734.0
2011-02-01,438975.0
2011-03-01,463133.0
2011-04-01,454441.0
2011-05-01,458536.0
2011-06-01,454746.0
2011-07-01,459477.0
2011-08-01,468947.0
2011-09-01,457843.0
2011-10-01,463126.0
2011-11-01,471598.0
2011-12-01,478391.0
2012-01-01,481515.0
2012-02-01,486936.0
2012-03-01,480147.0
2012-04-01,474178.0
2012-05-01,473108.0
2012-06-01,462435.0
2012-07-01,472663.0
2012-08-01,455821.0
2012-09-01,475369.0
2012-10-01,478507.0
2012-11-01,475932.0
2012-12-01,488496.0
2013-01-01,485261.0
2013-02-01,501221.0
2013-03-01,475224.0
2013-04-01,481657.0
2013-05-01,494363.0
2013-06-01,501703.0
2013-07-01,481319.0
2013-08-01,484962.0
2013-09-01,496806.0
2013-10-01,491978.0
2013-11-01,503515.0
2013-12-01,500487.0
2014-01-01,486935.0
2014-02-01,496729.0
2014-03-01,497989.0
2014-04-01,501596.0
2014-05-01,495265.0
2014-06-01,499173.0
2014-07-01,559295.0
2014-08-01,495344.0
2014-09-01,492913.0
2014-10-01,485343.0
2014-11-01,475804.0
2014-12-01,464933.0
2015-01-01,457925.0
2015-02-01,452584.0
2015-03-01,463252.0
2015-04-01,460289.0
2015-05-01,450983.0
2015-06-01,463819.0
2015-07-01,459623.0
2015-08-01,450872.0
2015-09-01,443626.0
2015-10-01,450910.0
2015-11-01,443949.0
2015-12-01,436169.0
2016-01-01,443032.0
2016-02-01,431196.0
2016-03-01,436598.0
2016-04-01,448453.0
2016-05-01,442183.0
2016-06-01,430261.0
2016-07-01,435507.0
2016-08-01,438959.0
2016-09-01,438760.0
2016-10-01,456552.0
2016-11-01,437433.0
2016-12-01,447970.0
2017-01-01,448947.0
2017-02-01,452625.0
2017-03-01,452140.0
2017-04-01,454258.0
2017-05-01,450239.0
2017-06-01,464508.0
2017-07-01,446837.0
2017-08-01,453565.0
2017-09-01,461137.0
2017-10-01,463860.0
2017-11-01,470852.0
2017-12-01,481816.0
2018-01-01,470594.0
2018-02-01,479219.0
2018-03-01,486534.0
2018-04-01,486161.0
2018-05-01,490164.0
2018-06-01,489657.0
2018-07-01,482617.0
2018-08-01,494392.0
2018-09-01,496543.0
2018-10-01,487659.0
2018-11-01,477751.0
2018-12-01,480710.0
2019-01-01,474710.0
2019-02-01,471512.0
2019-03-01,480547.0
2019-04-01,473631.0
2019-05-01,464322.0
2019-06-01,458788.0
2019-07-01,464634.0
2019-08-01,464972.0
2019-09-01,458357.0
2019-10-01,456077.0
2019-11-01,447621.0
2019-12-01,450912.0
2020-01-01,459296.0
2020-02-01,461771.0
2020-03-01,414724.0
2020-04-01,355712.0
2020-05-01,376125.0
2020-06-01,403154.0
2020-07-01,430698.0
2020-08-01,437213.0
2020-09-01,440175.0
2020-10-01,449054.0
2020-11-01,454377.0
2020-12-01,464003.0
2021-01-01,483223.0
2021-02-01,487080.0
2021-03-01,492629.0
2021-04-01,495617.0
2021-05-01,502655.0
2021-06-01,510229.0
2021-07-01,517777.0
2021-08-01,526528.0
2021-09-01,521202.0
2021-10-01,535260.0
2021-11-01,544773.0
2021-12-01,549680.0
2022-01-01,561562.0
2022-02-01,562290.0
2022-03-01,574092.0
2022-04-01,577383.0
2022-05-01,583421.0
2022-06-01,589969.0
2022-07-01,584463.0
2022-08-01,582320.0
2022-09-01,577769.0
2022-10-01,590415.0
2022-11-01,577841.0
2022-12-01,576183.0
2023-01-01,585407.0
2023-02-01,575072.0
2023-03-01,575589.0
2023-04-01,580722.0
2023-05-01,577769.0
2023-06-01,585469.0
2023-07-01,579559.0
2023-08-01,585331.0
2023-09-01,593919.0
2023-10-01,576365.0
2023-11-01,597695.0
2023-12-01,585235.0
2024-01-01,571657.0
2024-02-01,579666.0
2024-03-01,583953.0
2024-04-01,586114.0
2024-05-01,583300.0
2024-06-01,563972.0
2024-07-01,591644.0
2024-08-01,587023.0
2024-09-01,585571.0
2024-10-01,588231.0
2024-11-01,583689.0
2024-12-01,580160.0
2025-01-01,590391.0
2025-02-01,593159.0
2025-03-01,618833.0
