"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m61",6.561921,0.104565,62.754533,0,"RealEstate CitiSurprise",44613.960638
"theta61",-0.010572,0.001277,-8.281209,0,"RealEstate CitiSurprise",44651.893545
"w261",1.816198,0.187967,9.662309,0,"RealEstate CitiSurprise",-22300.9803192489
"alpha62",0.001175,0.000131,8.975525,0,"RealEstate MOVE",56.2013543457907
"gamma62",0.066621,0.007782,8.56046,0,"RealEstate MOVE",0.590188003509163
"beta62",0.952894,0.004441,214.573793,0,"RealEstate MOVE",0.331693651158532
"m62",4.923002,0.08287,59.406444,0,"RealEstate MOVE",43348.084899
"theta62",0.0351,0.000524,66.928297,0,"RealEstate MOVE",43386.017805
"w262",1.001,0.100439,9.96623,0,"RealEstate MOVE",-21668.0424493035
"alpha63",0.006091,0.002901,2.099237,0.035796,"Healthcare HousingStart",19.8274858580763
"gamma63",0.116253,0.057104,2.035808,0.04177,"Healthcare HousingStart",0.134823089732995
"beta63",0.909353,0.042985,21.154941,0,"Healthcare HousingStart",0.0267320290502311
"m63",12.914937,0.081191,159.069029,0,"Healthcare HousingStart",61461.943681
"theta63",-0.065721,0.002076,-31.654591,0,"Healthcare HousingStart",61499.876587
"w263",1.001,0.079117,12.652148,0,"Healthcare HousingStart",-30724.9718403118
"alpha64",0.000235,1e-05,23.073719,0,"Healthcare IndProd",0.272579845803129
"gamma64",0.002381,0.000276,8.616768,0,"Healthcare IndProd",0.0868006515890272
"beta64",0.997574,0.000181,5502.716013,0,"Healthcare IndProd",0.000236601082257482
"m64",12.45357,0.063369,196.523445,0,"Healthcare IndProd",61463.41605
"theta64",-0.025911,0.011586,-2.23638,0.025327,"Healthcare IndProd",61501.348956
"w264",1.001003,5.188989,0.192909,0.84703,"Healthcare IndProd",-30725.7080250359
"alpha65",0.000235,5e-06,44.259417,0,"Healthcare CoreInflation",0.133535493891742
"gamma65",0.002393,4.2e-05,57.390339,0,"Healthcare CoreInflation",0.0857379820379104
"beta65",0.997568,3.7e-05,27015.84829,0,"Healthcare CoreInflation",0.000114490637767137
"m65",12.458739,0.011287,1103.82695,0,"Healthcare CoreInflation",61464.698544
"theta65",-0.002189,0.000661,-3.311767,0.000927,"Healthcare CoreInflation",61502.631451
"w265",1.017238,1.201176,0.846868,0.397069,"Healthcare CoreInflation",-30726.3492721667
"alpha66",0.045057,0.040436,1.114295,0.265152,"Healthcare PPI",8.87121516714468
"gamma66",0.603908,0.60335,1.000924,0.316863,"Healthcare PPI",0.0788888043813457
"beta66",0.183829,0.722873,0.254304,0.799261,"Healthcare PPI",0.00699839557945704
