"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma3",0.198505,0.041823,4.746317,0.000002,"NASDAQ NewOrders",1.19047249402583
"beta3",0.867005,0.022828,37.979528,0,"NASDAQ NewOrders",2107.26869033492
"m3",0.507917,0.127717,3.976897,0.00007,"NASDAQ NewOrders",10736.215437
"theta3",-18.711464,0.279106,-67.040666,0,"NASDAQ NewOrders",10773.253505
"w23",1.001,1.237551,0.808856,0.418598,"NASDAQ NewOrders",-5362.10771845865
"alpha2",0.0001,0.014504,0.0069,0.994495,"NASDAQ IndProd",1.62015499400825
"gamma2",0.220411,0.034094,6.464838,0,"NASDAQ IndProd",1.18676088521398
"beta2",0.850753,0.017291,49.201508,0,"NASDAQ IndProd",2106.28118486635
"m2",0.512923,0.128387,3.995121,0.000065,"NASDAQ IndProd",10723.136405
"theta2",-0.620154,0.287988,-2.153406,0.031287,"NASDAQ IndProd",10760.174473
"w22",1.265857,0.390837,3.238832,0.0012,"NASDAQ IndProd",-5355.56820269624
"alpha1",0.0001,0.021341,0.004688,0.996259,"NASDAQ GSCPI",5.32061275163219
"gamma1",0.21136,0.038038,5.556613,0,"NASDAQ GSCPI",1.18316324918375
"beta1",0.846841,0.020918,40.484698,0,"NASDAQ GSCPI",2084.47892351444
"m1",0.314207,0.1202,2.614027,0.008948,"NASDAQ GSCPI",10709.796358
"theta1",0.327285,0.069532,4.707005,0.000003,"NASDAQ GSCPI",10746.834426
"w21",1.442786,0.995958,1.448642,0.147438,"NASDAQ GSCPI",-5348.89817921326
