"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m28",0.707401,0.34154,2.071209,0.038339,"Financial UMich",10747.861126
"theta28",-0.190495,0.155186,-1.227526,0.219625,"Financial UMich",10784.586442
"w228",1.44312,0.497549,2.900455,0.003726,"Financial UMich",-5367.93056292408
"alpha27",0.028027,0.013917,2.013818,0.044029,"Financial Credit",212.866971588486
"gamma27",0.258904,0.049865,5.192087,0,"Financial Credit",1.35136753300855
"beta27",0.786821,0.034745,22.645604,0,"Financial Credit",5041.61344925343
"m27",0.769355,0.146511,5.251162,0,"Financial Credit",10736.672456
"theta27",1.273416,0.126833,10.040114,0,"Financial Credit",10773.397772
"w227",2.41143,0.203286,11.862257,0,"Financial Credit",-5362.33622803371
"alpha26",0.032158,0.01533,2.097752,0.035927,"Financial Risk",189.649291600859
"gamma26",0.266582,0.050093,5.321697,0,"Financial Risk",1.34894556660795
"beta26",0.766049,0.032757,23.385522,0,"Financial Risk",4998.64279176922
"m26",1.432746,0.15986,8.962488,0,"Financial Risk",10727.690852
"theta26",1.513322,0.112077,13.502486,0,"Financial Risk",10764.416168
"w226",9.810916,0.118687,82.661827,0,"Financial Risk",-5357.84542588956
"alpha25",0.032658,0.018203,1.794074,0.072801,"Financial Leverage",198.556413024599
"gamma25",0.254386,0.062545,4.06723,0.000048,"Financial Leverage",1.3543033013095
"beta25",0.783266,0.035072,22.332846,0,"Financial Leverage",5027.11944855585
"m25",0.807065,0.344773,2.340863,0.019239,"Financial Leverage",10745.779728
"theta25",0.564506,1.187693,0.475296,0.634576,"Financial Leverage",10782.505045
"w225",4.553175,1.354715,3.360982,0.000777,"Financial Leverage",-5366.88986422452
"alpha24",0.024194,0.019227,1.258316,0.208278,"Financial NFCI",184.370294707597
"gamma24",0.273727,0.171215,1.598733,0.10988,"Financial NFCI",1.3484586095222
"beta24",0.767737,0.054175,14.171333,0,"Financial NFCI",4997.33156868611
"m24",1.428162,1.676528,0.851857,0.394293,"Financial NFCI",10726.403104
"theta24",1.636857,2.451511,0.667693,0.50433,"Financial NFCI",10763.12842
"w224",7.155463,5.058439,1.414559,0.157198,"Financial NFCI",-5357.20155190355
"alpha23",0.053632,0.014884,3.603381,0.000314,"Consumer CESIGL",56.4308768451115
"gamma23",0.142466,0.033768,4.21892,0.000025,"Consumer CESIGL",1.23279265502108
"beta23",0.851401,0.022365,38.067814,0,"Consumer CESIGL",2630.97287332264
"m23",0.600634,0.155685,3.858015,0.000114,"Consumer CESIGL",10332.595489
"theta23",0.004621,0.004612,1.001924,0.31638,"Consumer CESIGL",10369.320805
"w223",1.001001,0.120206,8.32737,0,"Consumer CESIGL",-5160.29774448871
"alpha22",0.053632,0.014884,3.603381,0.000314,"Consumer CESIGL",56.4308768451115
"gamma22",0.142466,0.033768,4.21892,0.000025,"Consumer CESIGL",1.23279265502108
"beta22",0.851401,0.022365,38.067814,0,"Consumer CESIGL",2630.97287332264
"m22",0.600634,0.155685,3.858015,0.000114,"Consumer CESIGL",10332.595489
"theta22",0.004621,0.004612,1.001924,0.31638,"Consumer CESIGL",10369.320805
"w222",1.001001,0.120206,8.32737,0,"Consumer CESIGL",-5160.29774448871
"alpha21",0.05363,0.482295,0.111197,0.91146,"Consumer CESIEUR",56.4266053742934
"gamma21",0.142461,0.72866,0.195511,0.844993,"Consumer CESIEUR",1.23279267156342
"beta21",0.851403,0.298204,2.855101,0.004302,"Consumer CESIEUR",2630.9639087327
"m21",0.600535,22.014493,0.027279,0.978237,"Consumer CESIEUR",10332.595489
"theta21",0.004621,0.080452,0.057443,0.954193,"Consumer CESIEUR",10369.320805
"w221",1.001001,13.564186,0.073797,0.941172,"Consumer CESIEUR",-5160.29774467893
"alpha20",0.055328,0.067169,0.823716,0.410101,"Consumer CESICNY",57.8467105135154
"gamma20",0.142624,0.181629,0.78525,0.432307,"Consumer CESICNY",1.23339027731178
"beta20",0.849681,0.059485,14.283987,0,"Consumer CESICNY",2634.39018004135
"m20",0.630734,4.007824,0.157376,0.874949,"Consumer CESICNY",10334.151639
"theta20",-0.002137,0.005744,-0.372019,0.709879,"Consumer CESICNY",10370.876955
"w220",2.401062,3.069665,0.78219,0.434103,"Consumer CESICNY",-5161.07581965272
"alpha19",0.053,0.014957,3.543373,0.000395,"Consumer China_Sust",56.6527957483638
"gamma19",0.140518,0.033807,4.156514,0.000032,"Consumer China_Sust",1.23323144967423
"beta19",0.852786,0.022488,37.921127,0,"Consumer China_Sust",2628.61505524028
"m19",0.594384,0.164355,3.616476,0.000299,"Consumer China_Sust",10333.767935
"theta19",0.939604,0.231953,4.050839,0.000051,"Consumer China_Sust",10370.493252
"w219",1.991577,0.198713,10.022354,0,"Consumer China_Sust",-5160.88396773971
"alpha18",0.053825,0.016877,3.189209,0.001427,"Consumer GER_Sust",59.7527128312231
"gamma18",0.144343,0.035517,4.064081,0.000048,"Consumer GER_Sust",1.2323022728376
"beta18",0.850133,0.02284,37.221741,0,"Consumer GER_Sust",2632.10822714896
"m18",0.59471,0.363188,1.63747,0.101532,"Consumer GER_Sust",10330.685137
"theta18",2.373441,0.362678,6.544212,0,"Consumer GER_Sust",10367.410454
"w218",2.130629,0.807079,2.639925,0.008292,"Consumer GER_Sust",-5159.34256873384
"alpha17",0.053261,0.015304,3.480116,0.000501,"Consumer US_Sust",54.4718353427026
"gamma17",0.14246,0.037042,3.845852,0.00012,"Consumer US_Sust",1.23285808624438
"beta17",0.852134,0.023135,36.832994,0,"Consumer US_Sust",2632.22144922724
"m17",0.695094,0.297055,2.339946,0.019287,"Consumer US_Sust",10332.079074
"theta17",-1.542909,0.355596,-4.338937,0.000014,"Consumer US_Sust",10368.80439
"w217",1.516419,0.166432,9.111335,0,"Consumer US_Sust",-5160.03953695948
"alpha16",0.053169,0.015633,3.401007,0.000671,"Consumer Global_Sust",48.6744687347897
"gamma16",0.143709,0.033344,4.309922,0.000016,"Consumer Global_Sust",1.23154780126493
"beta16",0.851556,0.023095,36.871566,0,"Consumer Global_Sust",2634.35674435171
"m16",0.693187,0.207809,3.335693,0.000851,"Consumer Global_Sust",10327.637553
"theta16",-7.346245,0.473395,-15.518203,0,"Consumer Global_Sust",10364.362869
"w216",1.001,0.501838,1.99467,0.046079,"Consumer Global_Sust",-5157.81877633873
"alpha15",0.052889,0.014894,3.550969,0.000384,"Consumer Saudi_GPR",58.8716289021575
"gamma15",0.143637,0.034594,4.152027,0.000033,"Consumer Saudi_GPR",1.23303166579855
"beta15",0.85145,0.022452,37.922727,0,"Consumer Saudi_GPR",2627.78980078513
"m15",0.632517,0.200366,3.156809,0.001595,"Consumer Saudi_GPR",10332.722995
"theta15",-2.718653,0.314527,-8.643618,0,"Consumer Saudi_GPR",10369.448311
"w215",1.583361,0.189649,8.348904,0,"Consumer Saudi_GPR",-5160.36149728582
"alpha14",0.054371,0.014659,3.708937,0.000208,"Consumer GER_GPR",57.8724735520635
"gamma14",0.141472,0.034953,4.047445,0.000052,"Consumer GER_GPR",1.23347557613042
"beta14",0.851295,0.022598,37.67054,0,"Consumer GER_GPR",2631.3514885485
"m14",0.632395,0.18055,3.502602,0.000461,"Consumer GER_GPR",10334.539135
"theta14",-0.438801,0.166463,-2.636023,0.008388,"Consumer GER_GPR",10371.264451
"w214",1.449407,0.064346,22.525206,0,"Consumer GER_GPR",-5161.26956753365
"alpha13",0.050524,0.014824,3.408168,0.000654,"Consumer USA_GPR",62.9794481626457
"gamma13",0.148217,0.032936,4.500079,0.000007,"Consumer USA_GPR",1.2317217135732
"beta13",0.850155,0.02191,38.80223,0,"Consumer USA_GPR",2633.71376326377
"m13",0.618286,0.150241,4.1153,0.000039,"Consumer USA_GPR",10328.237372
"theta13",-1.682449,0.106538,-15.791954,0,"Consumer USA_GPR",10364.962688
"w213",1.397878,0.187349,7.461358,0,"Consumer USA_GPR",-5158.11868600198
"alpha12",0.054341,0.091635,0.593015,0.553171,"Consumer China_GPR",58.3908820673341
"gamma12",0.143789,0.281187,0.511364,0.609096,"Consumer China_GPR",1.23244384735017
"beta12",0.849075,0.10996,7.721701,0,"Consumer China_GPR",2635.67118369899
"m12",0.630047,5.147,0.122411,0.902574,"Consumer China_GPR",10330.391132
"theta12",-3.19412,11.07967,-0.288287,0.773127,"Consumer China_GPR",10367.116448
"w212",1.283594,2.604124,0.492908,0.622077,"Consumer China_GPR",-5159.19556604262
"alpha11",0.051572,0.014759,3.494301,0.000475,"Consumer Global_GPR",63.0049324953643
"gamma11",0.147898,0.035099,4.213707,0.000025,"Consumer Global_GPR",1.23205364976014
"beta11",0.849921,0.022638,37.54389,0,"Consumer Global_GPR",2640.08849309017
"m11",0.628079,0.172676,3.637332,0.000275,"Consumer Global_GPR",10329.447308
"theta11",-0.033985,0.017981,-1.890008,0.058757,"Consumer Global_GPR",10366.172624
"w211",1.570227,0.079557,19.737012,0,"Consumer Global_GPR",-5158.72365401729
"alpha10",0.044924,0.015318,2.932807,0.003359,"Consumer China_EPU",55.5622157215607
"gamma10",0.157672,0.035832,4.400266,0.000011,"Consumer China_EPU",1.22987430337667
"beta10",0.846131,0.02268,37.307485,0,"Consumer China_EPU",2623.02395283624
