permno,adate,qdate,public_date,bm,invt_act,sale_invcap,rd_sale,staff_sale,PEG_trailing,TICKER
14702,2021-10-31,2022-01-31,2022-03-31,0.097,0.274,1.365,0.105,0.000,0.589,AMAT
14702,2021-10-31,2022-01-31,2022-04-30,0.097,0.274,1.365,0.105,0.000,0.493,AMAT
14702,2021-10-31,2022-01-31,2022-05-31,0.097,0.274,1.365,0.105,0.000,0.524,AMAT
14702,2021-10-31,2022-04-30,2022-06-30,0.121,0.288,1.408,0.105,0.000,0.347,AMAT
14702,2021-10-31,2022-04-30,2022-07-31,0.121,0.288,1.408,0.105,0.000,0.404,AMAT
14702,2021-10-31,2022-04-30,2022-08-31,0.121,0.288,1.408,0.105,0.000,0.359,AMAT
14702,2021-10-31,2022-07-31,2022-09-30,0.132,0.310,1.424,0.106,0.000,0.282,AMAT
14702,2021-10-31,2022-07-31,2022-10-31,0.132,0.310,1.424,0.106,0.000,0.303,AMAT
14702,2021-10-31,2022-07-31,2022-11-30,0.132,0.310,1.424,0.106,0.000,0.377,AMAT
14702,2022-10-31,2022-10-31,2022-12-31,0.164,0.372,1.437,0.107,0.000,0.337,AMAT
14702,2022-10-31,2022-10-31,2023-01-31,0.164,0.372,1.437,0.107,0.000,0.386,AMAT
14702,2022-10-31,2022-10-31,2023-02-28,0.164,0.372,1.437,0.107,0.000,0.402,AMAT
14702,2022-10-31,2023-01-31,2023-03-31,0.142,0.355,1.451,0.110,0.000,0.433,AMAT
14702,2022-10-31,2023-01-31,2023-04-30,0.142,0.355,1.451,0.110,0.000,0.398,AMAT
14702,2022-10-31,2023-01-31,2023-05-31,0.142,0.355,1.451,0.110,0.000,0.470,AMAT
14702,2022-10-31,2023-04-30,2023-06-30,0.149,0.356,1.421,0.112,0.000,0.519,AMAT
14702,2022-10-31,2023-04-30,2023-07-31,0.149,0.356,1.421,0.112,0.000,0.545,AMAT
14702,2022-10-31,2023-04-30,2023-08-31,0.149,0.356,1.421,0.112,0.000,0.549,AMAT
14702,2022-10-31,2023-07-31,2023-09-30,0.119,0.343,1.361,0.114,0.000,0.556,AMAT
14702,2022-10-31,2023-07-31,2023-10-31,0.119,0.343,1.361,0.114,0.000,0.531,AMAT
14702,2022-10-31,2023-07-31,2023-11-30,0.119,0.343,1.361,0.114,0.000,0.601,AMAT
14702,2023-10-31,2023-10-31,2023-12-31,0.148,0.299,1.202,0.117,0.000,0.677,AMAT
14702,2023-10-31,2023-10-31,2024-01-31,0.148,0.299,1.202,0.117,0.000,0.687,AMAT
14702,2023-10-31,2023-10-31,2024-02-29,0.148,0.299,1.202,0.117,0.000,0.843,AMAT
14702,2023-10-31,2024-01-31,2024-03-31,0.128,0.308,1.231,0.116,0.000,0.811,AMAT
14702,2023-10-31,2024-01-31,2024-04-30,0.128,0.308,1.231,0.116,0.000,0.782,AMAT
14702,2023-10-31,2024-01-31,2024-05-31,0.128,0.308,1.231,0.116,0.000,0.846,AMAT
14702,2023-10-31,2024-04-30,2024-06-30,0.111,0.299,1.178,0.117,0.000,1.129,AMAT
14702,2023-10-31,2024-04-30,2024-07-31,0.111,0.299,1.178,0.117,0.000,1.015,AMAT
14702,2023-10-31,2024-04-30,2024-08-31,0.111,0.299,1.178,0.117,0.000,0.944,AMAT
14702,2023-10-31,2024-07-31,2024-09-30,0.108,0.289,1.138,0.118,0.000,1.395,AMAT
14702,2023-10-31,2024-07-31,2024-10-31,0.108,0.289,1.138,0.118,0.000,1.253,AMAT
14702,2023-10-31,2024-07-31,2024-11-30,0.108,0.289,1.138,0.118,0.000,1.206,AMAT
15579,2016-12-31,2017-09-30,2018-01-31,0.125,0.250,1.065,0.100,0.000,1.083,TXN
15579,2017-12-31,2017-12-31,2018-02-28,0.101,0.224,1.075,0.101,0.000,2.442,TXN
15579,2017-12-31,2017-12-31,2018-03-31,0.101,0.224,1.075,0.101,0.000,2.342,TXN
15579,2017-12-31,2017-12-31,2018-04-30,0.101,0.224,1.075,0.101,0.000,2.286,TXN
15579,2017-12-31,2018-03-31,2018-05-31,0.105,0.239,1.096,0.099,0.000,2.056,TXN
15579,2017-12-31,2018-03-31,2018-06-30,0.105,0.239,1.096,0.099,0.000,2.026,TXN
15579,2017-12-31,2018-03-31,2018-07-31,0.105,0.239,1.096,0.099,0.000,2.045,TXN
15579,2017-12-31,2018-06-30,2018-08-31,0.099,0.229,1.083,0.098,0.000,1.558,TXN
15579,2017-12-31,2018-06-30,2018-09-30,0.099,0.229,1.083,0.098,0.000,1.488,TXN
15579,2017-12-31,2018-06-30,2018-10-31,0.099,0.229,1.083,0.098,0.000,1.287,TXN
15579,2017-12-31,2018-09-30,2018-11-30,0.102,0.225,1.078,0.098,0.000,1.120,TXN
15579,2017-12-31,2018-09-30,2018-12-31,0.102,0.225,1.078,0.098,0.000,1.060,TXN
15579,2017-12-31,2018-09-30,2019-01-31,0.102,0.225,1.078,0.098,0.000,1.129,TXN
15579,2018-12-31,2018-12-31,2019-02-28,0.101,0.274,1.186,0.099,0.000,0.692,TXN
15579,2018-12-31,2018-12-31,2019-03-31,0.101,0.274,1.186,0.099,0.000,0.694,TXN
15579,2018-12-31,2018-12-31,2019-04-30,0.101,0.274,1.186,0.099,0.000,0.771,TXN
15579,2018-12-31,2019-03-31,2019-05-31,0.086,0.244,1.081,0.100,0.000,0.767,TXN
15579,2018-12-31,2019-03-31,2019-06-30,0.086,0.244,1.081,0.100,0.000,0.844,TXN
15579,2018-12-31,2019-03-31,2019-07-31,0.086,0.244,1.081,0.100,0.000,0.920,TXN
15579,2018-12-31,2019-06-30,2019-08-31,0.080,0.255,1.102,0.103,0.000,1.021,TXN
15579,2018-12-31,2019-06-30,2019-09-30,0.080,0.255,1.102,0.103,0.000,1.066,TXN
15579,2018-12-31,2019-06-30,2019-10-31,0.080,0.255,1.102,0.103,0.000,0.973,TXN
15579,2018-12-31,2019-09-30,2019-11-30,0.075,0.259,1.072,0.106,0.000,1.207,TXN
15579,2018-12-31,2019-09-30,2019-12-31,0.075,0.259,1.072,0.106,0.000,1.288,TXN
15579,2018-12-31,2019-09-30,2020-01-31,0.075,0.259,1.072,0.106,0.000,1.211,TXN
15579,2019-12-31,2019-12-31,2020-02-29,0.075,0.228,0.994,0.107,0.000,1.249,TXN
15579,2019-12-31,2019-12-31,2020-03-31,0.075,0.228,0.994,0.107,0.000,1.093,TXN
15579,2019-12-31,2019-12-31,2020-04-30,0.075,0.228,0.994,0.107,0.000,1.270,TXN
15579,2019-12-31,2020-03-31,2020-05-31,0.085,0.241,1.016,0.109,0.000,1.773,TXN
15579,2019-12-31,2020-03-31,2020-06-30,0.085,0.241,1.016,0.109,0.000,1.896,TXN
15579,2019-12-31,2020-03-31,2020-07-31,0.085,0.241,1.016,0.109,0.000,1.904,TXN
15579,2019-12-31,2020-06-30,2020-08-31,0.066,0.239,0.975,0.111,0.000,2.522,TXN
15579,2019-12-31,2020-06-30,2020-09-30,0.066,0.239,0.975,0.111,0.000,2.534,TXN
15579,2019-12-31,2020-06-30,2020-10-31,0.066,0.239,0.975,0.111,0.000,2.566,TXN
15579,2019-12-31,2020-09-30,2020-11-30,0.064,0.236,0.978,0.111,0.000,4.031,TXN
15579,2019-12-31,2020-09-30,2020-12-31,0.064,0.236,0.978,0.111,0.000,4.103,TXN
15579,2019-12-31,2020-09-30,2021-01-31,0.064,0.236,0.978,0.111,0.000,4.141,TXN
15579,2020-12-31,2020-12-31,2021-02-28,0.061,0.191,0.922,0.106,0.000,1.385,TXN
15579,2020-12-31,2020-12-31,2021-03-31,0.061,0.191,0.922,0.106,0.000,1.519,TXN
15579,2020-12-31,2020-12-31,2021-04-30,0.061,0.191,0.922,0.106,0.000,1.451,TXN
15579,2020-12-31,2021-03-31,2021-05-31,0.059,0.210,1.019,0.100,0.000,1.446,TXN
15579,2020-12-31,2021-03-31,2021-06-30,0.059,0.210,1.019,0.100,0.000,1.465,TXN
15579,2020-12-31,2021-03-31,2021-07-31,0.059,0.210,1.019,0.100,0.000,1.452,TXN
15579,2020-12-31,2021-06-30,2021-08-31,0.063,0.189,1.055,0.093,0.000,1.383,TXN
15579,2020-12-31,2021-06-30,2021-09-30,0.063,0.189,1.055,0.093,0.000,1.392,TXN
15579,2020-12-31,2021-06-30,2021-10-31,0.063,0.189,1.055,0.093,0.000,1.358,TXN
15579,2020-12-31,2021-09-30,2021-11-30,0.069,0.167,1.029,0.088,0.000,1.213,TXN
15579,2020-12-31,2021-09-30,2021-12-31,0.069,0.167,1.029,0.088,0.000,1.189,TXN
15579,2020-12-31,2021-09-30,2022-01-31,0.069,0.167,1.029,0.088,0.000,1.132,TXN
15579,2021-12-31,2021-12-31,2022-02-28,0.077,0.140,0.875,0.085,0.000,1.341,TXN
15579,2021-12-31,2021-12-31,2022-03-31,0.077,0.140,0.875,0.085,0.000,1.448,TXN
15579,2021-12-31,2021-12-31,2022-04-30,0.077,0.140,0.875,0.085,0.000,1.343,TXN
15579,2021-12-31,2022-03-31,2022-05-31,0.083,0.147,0.966,0.082,0.000,1.131,TXN
15579,2021-12-31,2022-03-31,2022-06-30,0.083,0.147,0.966,0.082,0.000,0.983,TXN
15579,2021-12-31,2022-03-31,2022-07-31,0.083,0.147,0.966,0.082,0.000,1.144,TXN
15579,2021-12-31,2022-06-30,2022-08-31,0.101,0.148,0.951,0.081,0.000,0.915,TXN
15579,2021-12-31,2022-06-30,2022-09-30,0.101,0.148,0.951,0.081,0.000,0.857,TXN
15579,2021-12-31,2022-06-30,2022-10-31,0.101,0.148,0.951,0.081,0.000,0.890,TXN
15579,2021-12-31,2022-09-30,2022-11-30,0.104,0.157,0.950,0.080,0.000,0.836,TXN
15579,2021-12-31,2022-09-30,2022-12-31,0.104,0.157,0.950,0.080,0.000,0.766,TXN
15579,2021-12-31,2022-09-30,2023-01-31,0.104,0.157,0.950,0.080,0.000,0.821,TXN
15579,2022-12-31,2022-12-31,2023-02-28,0.098,0.197,0.865,0.083,0.000,0.826,TXN
15579,2022-12-31,2022-12-31,2023-03-31,0.098,0.197,0.865,0.083,0.000,0.896,TXN
15579,2022-12-31,2022-12-31,2023-04-30,0.098,0.197,0.865,0.083,0.000,0.805,TXN
15579,2022-12-31,2023-03-31,2023-05-31,0.091,0.191,0.859,0.089,0.000,0.962,TXN
15579,2022-12-31,2023-03-31,2023-06-30,0.091,0.191,0.859,0.089,0.000,0.996,TXN
15579,2022-12-31,2023-03-31,2023-07-31,0.091,0.191,0.859,0.089,0.000,0.996,TXN
15579,2022-12-31,2023-06-30,2023-08-31,0.098,0.209,0.777,0.095,0.000,1.143,TXN
15579,2022-12-31,2023-06-30,2023-09-30,0.098,0.209,0.777,0.095,0.000,1.081,TXN
15579,2022-12-31,2023-06-30,2023-10-31,0.098,0.209,0.777,0.095,0.000,0.966,TXN
15579,2022-12-31,2023-09-30,2023-11-30,0.116,0.229,0.707,0.101,0.000,1.176,TXN
15579,2022-12-31,2023-09-30,2023-12-31,0.116,0.229,0.707,0.101,0.000,1.312,TXN
15579,2022-12-31,2023-09-30,2024-01-31,0.116,0.229,0.707,0.101,0.000,1.233,TXN
15579,2023-12-31,2023-12-31,2024-02-29,0.109,0.264,0.626,0.106,0.000,2.590,TXN
15579,2023-12-31,2023-12-31,2024-03-31,0.109,0.264,0.626,0.106,0.000,2.697,TXN
15579,2023-12-31,2023-12-31,2024-04-30,0.109,0.264,0.626,0.106,0.000,2.731,TXN
15579,2023-12-31,2024-03-31,2024-05-31,0.107,0.249,0.599,0.112,0.000,14.539,TXN
15579,2023-12-31,2024-03-31,2024-06-30,0.107,0.249,0.599,0.112,0.000,14.503,TXN
15579,2023-12-31,2024-03-31,2024-07-31,0.107,0.249,0.599,0.112,0.000,15.195,TXN
15579,2023-12-31,2024-06-30,2024-08-31,0.097,0.250,0.558,0.119,0.000,,TXN
15579,2023-12-31,2024-06-30,2024-09-30,0.097,0.250,0.558,0.119,0.000,,TXN
15579,2023-12-31,2024-06-30,2024-10-31,0.097,0.250,0.558,0.119,0.000,,TXN
15579,2023-12-31,2024-09-30,2024-11-30,0.092,0.253,0.530,0.123,0.000,,TXN
46886,2017-06-30,2017-09-30,2018-01-31,0.088,0.166,0.952,0.147,0.000,0.466,KLAC
46886,2017-06-30,2017-12-31,2018-02-28,0.074,0.170,0.976,0.150,0.000,1.138,KLAC
46886,2017-06-30,2017-12-31,2018-03-31,0.074,0.170,0.976,0.150,0.000,1.095,KLAC
46886,2017-06-30,2017-12-31,2018-04-30,0.074,0.170,0.976,0.150,0.000,1.022,KLAC
46886,2017-06-30,2018-03-31,2018-05-31,0.081,0.176,1.005,0.152,0.000,0.683,KLAC
46886,2017-06-30,2018-03-31,2018-06-30,0.081,0.176,1.005,0.152,0.000,0.618,KLAC
46886,2017-06-30,2018-03-31,2018-07-31,0.081,0.176,1.005,0.152,0.000,0.708,KLAC
46886,2018-06-30,2018-06-30,2018-08-31,0.101,0.205,1.046,0.151,0.000,0.579,KLAC
46886,2018-06-30,2018-06-30,2018-09-30,0.101,0.205,1.046,0.151,0.000,0.506,KLAC
46886,2018-06-30,2018-06-30,2018-10-31,0.101,0.205,1.046,0.151,0.000,0.456,KLAC
46886,2018-06-30,2018-09-30,2018-11-30,0.101,0.199,1.094,0.148,0.000,0.417,KLAC
46886,2018-06-30,2018-09-30,2018-12-31,0.101,0.199,1.094,0.148,0.000,0.379,KLAC
46886,2018-06-30,2018-09-30,2019-01-31,0.101,0.199,1.094,0.148,0.000,0.451,KLAC
46886,2018-06-30,2018-12-31,2019-02-28,0.118,0.209,1.142,0.145,0.000,0.238,KLAC
46886,2018-06-30,2018-12-31,2019-03-31,0.118,0.209,1.142,0.145,0.000,0.246,KLAC
46886,2018-06-30,2018-12-31,2019-04-30,0.118,0.209,1.142,0.145,0.000,0.262,KLAC
46886,2018-06-30,2019-03-31,2019-05-31,0.187,0.236,1.012,0.150,0.000,0.293,KLAC
46886,2018-06-30,2019-03-31,2019-06-30,0.187,0.236,1.012,0.150,0.000,0.336,KLAC
46886,2018-06-30,2019-03-31,2019-07-31,0.187,0.236,1.012,0.150,0.000,0.388,KLAC
46886,2019-06-30,2019-06-30,2019-08-31,0.178,0.293,0.781,0.156,0.000,0.918,KLAC
46886,2019-06-30,2019-06-30,2019-09-30,0.178,0.293,0.781,0.156,0.000,0.989,KLAC
46886,2019-06-30,2019-06-30,2019-10-31,0.178,0.293,0.781,0.156,0.000,1.049,KLAC
46886,2019-06-30,2019-09-30,2019-11-30,0.133,0.275,0.913,0.157,0.000,1.574,KLAC
46886,2019-06-30,2019-09-30,2019-12-31,0.133,0.275,0.913,0.157,0.000,1.711,KLAC
46886,2019-06-30,2019-09-30,2020-01-31,0.133,0.275,0.913,0.157,0.000,1.592,KLAC
46886,2019-06-30,2019-12-31,2020-02-29,0.120,0.291,0.880,0.156,0.000,0.881,KLAC
46886,2019-06-30,2019-12-31,2020-03-31,0.120,0.291,0.880,0.156,0.000,0.824,KLAC
46886,2019-06-30,2019-12-31,2020-04-30,0.120,0.291,0.880,0.156,0.000,0.940,KLAC
46886,2019-06-30,2020-03-31,2020-05-31,0.133,0.290,0.943,0.152,0.000,2.149,KLAC
46886,2019-06-30,2020-03-31,2020-06-30,0.133,0.290,0.943,0.152,0.000,2.375,KLAC
46886,2019-06-30,2020-03-31,2020-07-31,0.133,0.290,0.943,0.152,0.000,2.440,KLAC
46886,2020-06-30,2020-06-30,2020-08-31,0.110,0.278,0.933,0.149,0.000,2.196,KLAC
46886,2020-06-30,2020-06-30,2020-09-30,0.110,0.278,0.933,0.149,0.000,2.074,KLAC
46886,2020-06-30,2020-06-30,2020-10-31,0.110,0.278,0.933,0.149,0.000,2.110,KLAC
46886,2020-06-30,2020-09-30,2020-11-30,0.114,0.287,0.970,0.147,0.000,3.433,KLAC
46886,2020-06-30,2020-09-30,2020-12-31,0.114,0.287,0.970,0.147,0.000,3.528,KLAC
46886,2020-06-30,2020-09-30,2021-01-31,0.114,0.287,0.970,0.147,0.000,3.816,KLAC
46886,2020-06-30,2020-12-31,2021-02-28,0.090,0.283,0.980,0.145,0.000,0.888,KLAC
46886,2020-06-30,2020-12-31,2021-03-31,0.090,0.283,0.980,0.145,0.000,0.942,KLAC
46886,2020-06-30,2020-12-31,2021-04-30,0.090,0.283,0.980,0.145,0.000,0.899,KLAC
46886,2020-06-30,2021-03-31,2021-05-31,0.074,0.277,1.010,0.140,0.000,0.538,KLAC
46886,2020-06-30,2021-03-31,2021-06-30,0.074,0.277,1.010,0.140,0.000,0.551,KLAC
46886,2020-06-30,2021-03-31,2021-07-31,0.074,0.277,1.010,0.140,0.000,0.591,KLAC
46886,2021-06-30,2021-06-30,2021-08-31,0.081,0.277,1.007,0.134,0.000,0.619,KLAC
46886,2021-06-30,2021-06-30,2021-09-30,0.081,0.277,1.007,0.134,0.000,0.609,KLAC
46886,2021-06-30,2021-06-30,2021-10-31,0.081,0.277,1.007,0.134,0.000,0.678,KLAC
46886,2021-06-30,2021-09-30,2021-11-30,0.088,0.274,1.094,0.130,0.000,0.456,KLAC
46886,2021-06-30,2021-09-30,2021-12-31,0.088,0.274,1.094,0.130,0.000,0.481,KLAC
46886,2021-06-30,2021-09-30,2022-01-31,0.088,0.274,1.094,0.130,0.000,0.435,KLAC
46886,2021-06-30,2021-12-31,2022-02-28,0.073,0.274,1.152,0.123,0.000,0.438,KLAC
46886,2021-06-30,2021-12-31,2022-03-31,0.073,0.274,1.152,0.123,0.000,0.460,KLAC
46886,2021-06-30,2021-12-31,2022-04-30,0.073,0.274,1.152,0.123,0.000,0.401,KLAC
46886,2021-06-30,2022-03-31,2022-05-31,0.087,0.283,1.169,0.121,0.000,0.393,KLAC
46886,2021-06-30,2022-03-31,2022-06-30,0.087,0.283,1.169,0.121,0.000,0.344,KLAC
46886,2021-06-30,2022-03-31,2022-07-31,0.087,0.283,1.169,0.121,0.000,0.413,KLAC
46886,2022-06-30,2022-06-30,2022-08-31,0.046,0.299,1.132,0.120,0.000,0.335,KLAC
46886,2022-06-30,2022-06-30,2022-09-30,0.046,0.299,1.132,0.120,0.000,0.295,KLAC
46886,2022-06-30,2022-06-30,2022-10-31,0.046,0.299,1.132,0.120,0.000,0.308,KLAC
46886,2022-06-30,2022-09-30,2022-11-30,0.062,0.298,1.231,0.118,0.000,0.344,KLAC
46886,2022-06-30,2022-09-30,2022-12-31,0.062,0.298,1.231,0.118,0.000,0.330,KLAC
46886,2022-06-30,2022-09-30,2023-01-31,0.062,0.298,1.231,0.118,0.000,0.343,KLAC
46886,2022-06-30,2022-12-31,2023-02-28,0.061,0.307,1.260,0.118,0.000,0.276,KLAC
46886,2022-06-30,2022-12-31,2023-03-31,0.061,0.307,1.260,0.118,0.000,0.290,KLAC
46886,2022-06-30,2022-12-31,2023-04-30,0.061,0.307,1.260,0.118,0.000,0.281,KLAC
46886,2022-06-30,2023-03-31,2023-05-31,0.058,0.318,1.245,0.120,0.000,0.305,KLAC
46886,2022-06-30,2023-03-31,2023-06-30,0.058,0.318,1.245,0.120,0.000,0.334,KLAC
46886,2022-06-30,2023-03-31,2023-07-31,0.058,0.318,1.245,0.120,0.000,0.354,KLAC
46886,2023-06-30,2023-06-30,2023-08-31,0.052,0.344,1.173,0.124,0.000,0.422,KLAC
46886,2023-06-30,2023-06-30,2023-09-30,0.052,0.344,1.173,0.124,0.000,0.386,KLAC
46886,2023-06-30,2023-06-30,2023-10-31,0.052,0.344,1.173,0.124,0.000,0.395,KLAC
46886,2023-06-30,2023-09-30,2023-11-30,0.056,0.339,1.146,0.127,0.000,0.520,KLAC
46886,2023-06-30,2023-09-30,2023-12-31,0.056,0.339,1.146,0.127,0.000,0.555,KLAC
46886,2023-06-30,2023-09-30,2024-01-31,0.056,0.339,1.146,0.127,0.000,0.567,KLAC
46886,2023-06-30,2023-12-31,2024-02-29,0.045,0.348,1.105,0.132,0.000,0.811,KLAC
46886,2023-06-30,2023-12-31,2024-03-31,0.045,0.348,1.105,0.132,0.000,0.830,KLAC
46886,2023-06-30,2023-12-31,2024-04-30,0.045,0.348,1.105,0.132,0.000,0.819,KLAC
46886,2023-06-30,2024-03-31,2024-05-31,0.038,0.340,1.083,0.132,0.000,1.708,KLAC
46886,2023-06-30,2024-03-31,2024-06-30,0.038,0.340,1.083,0.132,0.000,1.854,KLAC
46886,2023-06-30,2024-03-31,2024-07-31,0.038,0.340,1.083,0.132,0.000,1.851,KLAC
46886,2024-06-30,2024-06-30,2024-08-31,0.035,0.303,1.044,0.130,0.000,2.086,KLAC
46886,2024-06-30,2024-06-30,2024-09-30,0.035,0.303,1.044,0.130,0.000,1.972,KLAC
46886,2024-06-30,2024-06-30,2024-10-31,0.035,0.303,1.044,0.130,0.000,1.696,KLAC
46886,2024-06-30,2024-09-30,2024-11-30,0.039,0.316,1.125,0.126,0.000,3.648,KLAC
60871,2017-10-31,2017-10-31,2018-01-31,0.352,0.234,0.288,0.190,0.000,11.513,ADI
60871,2017-10-31,2017-10-31,2018-02-28,0.352,0.234,0.288,0.190,0.000,11.297,ADI
60871,2017-10-31,2018-01-31,2018-03-31,0.333,0.160,0.316,0.189,0.000,9.129,ADI
60871,2017-10-31,2018-01-31,2018-04-30,0.333,0.160,0.316,0.189,0.000,8.751,ADI
60871,2017-10-31,2018-01-31,2018-05-31,0.333,0.160,0.316,0.189,0.000,9.735,ADI
60871,2017-10-31,2018-04-30,2018-06-30,0.356,0.245,0.344,0.185,0.000,2.625,ADI
60871,2017-10-31,2018-04-30,2018-07-31,0.356,0.245,0.344,0.185,0.000,2.631,ADI
60871,2017-10-31,2018-04-30,2018-08-31,0.356,0.245,0.344,0.185,0.000,2.705,ADI
60871,2017-10-31,2018-07-31,2018-09-30,0.330,0.252,0.354,0.184,0.000,0.897,ADI
60871,2017-10-31,2018-07-31,2018-10-31,0.330,0.252,0.354,0.184,0.000,0.813,ADI
60871,2017-10-31,2018-07-31,2018-11-30,0.330,0.252,0.354,0.184,0.000,0.892,ADI
60871,2018-10-31,2018-10-31,2018-12-31,0.385,0.278,0.359,0.188,0.000,0.703,ADI
60871,2018-10-31,2018-10-31,2019-01-31,0.385,0.278,0.359,0.188,0.000,0.810,ADI
60871,2018-10-31,2018-10-31,2019-02-28,0.385,0.278,0.359,0.188,0.000,0.876,ADI
60871,2018-10-31,2019-01-31,2019-03-31,0.381,0.273,0.354,0.188,0.000,0.735,ADI
