"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"theta26",0.015582,0.001584,9.837651,0,"MidCap Skew",10138.526725
"w226",1.001002,0.042757,23.411406,0,"MidCap Skew",-5044.90070428498
"alpha25",0.011804,0.012757,0.925285,0.354818,"MidCap VIX",8.10489123280789
"gamma25",0.258007,0.038892,6.633857,0,"MidCap VIX",1.14796631884486
"beta25",0.76313,0.026903,28.366046,0,"MidCap VIX",3438.30020940463
"m25",-1.111478,0.277177,-4.009993,6.1e-05,"MidCap VIX",10054.786555
"theta25",0.078698,0.011473,6.859167,0,"MidCap VIX",10091.511871
"w225",10.002344,0.266939,37.470529,0,"MidCap VIX",-5021.39327732056
"alpha24",0.000101,0.013018,0.007738,0.993826,"Materials EqVol",0.279595095019114
"gamma24",0.140905,0.024163,5.831466,0,"Materials EqVol",1.31821345374257
"beta24",0.914011,0.030317,30.14837,0,"Materials EqVol",3027.24902096669
"m24",0.685379,0.263907,2.597043,0.009403,"Materials EqVol",10631.519155
"theta24",-0.262674,0.240957,-1.090128,0.275657,"Materials EqVol",10668.244471
"w224",1.001001,0.137393,7.285671,0,"Materials EqVol",-5309.75957749377
"alpha23",1e-04,0.019447,0.005155,0.995887,"Materials VVIX",3.8191308934754
"gamma23",0.162722,0.040611,4.006796,6.2e-05,"Materials VVIX",1.31280240233084
"beta23",0.890263,0.053053,16.780612,0,"Materials VVIX",2985.35594016908
"m23",-1.957095,3.249321,-0.602309,0.546968,"Materials VVIX",10612.842155
"theta23",0.026117,0.03233,0.807824,0.419192,"Materials VVIX",10649.567471
"w223",1.364407,2.735114,0.498848,0.617886,"Materials VVIX",-5300.42107761033
"alpha22",1e-04,0.016717,0.005985,0.995225,"Materials OilVol",5.7056202657984
"gamma22",0.184653,0.0278,6.642202,0,"Materials OilVol",1.30683421207674
"beta22",0.868975,0.031275,27.785142,0,"Materials OilVol",2968.05903654276
"m22",-0.791544,0.25046,-3.16036,0.001576,"Materials OilVol",10592.458024
"theta22",0.034173,0.006616,5.164991,0,"Materials OilVol",10629.18334
"w222",2.497699,0.335684,7.440629,0,"Materials OilVol",-5290.2290117634
"alpha21",0.001832,0.017656,0.103734,0.91738,"Materials MOVE",0.389689641400163
"gamma21",0.144184,0.038526,3.742545,0.000182,"Materials MOVE",1.31796367077775
"beta21",0.907683,0.04394,20.657307,0,"Materials MOVE",3015.52231160678
"m21",0.253187,0.146871,1.723869,0.084732,"Materials MOVE",10630.438471
"theta21",0.003852,0.002265,1.70026,0.089082,"Materials MOVE",10667.163787
"w221",1.054568,0.076466,13.7914,0,"Materials MOVE",-5309.21923541611
"alpha20",0.002308,0.019057,0.121128,0.90359,"Materials Skew",0.350565087907559
"gamma20",0.145144,0.037188,3.902993,9.5e-05,"Materials Skew",1.31776358495611
"beta20",0.906462,0.045759,19.80951,0,"Materials Skew",3015.65045951413
"m20",1.692192,0.101324,16.700791,0,"Materials Skew",10629.894204
"theta20",-0.008643,0.001639,-5.274715,0,"Materials Skew",10666.61952
"w220",14.762269,0.083606,176.568637,0,"Materials Skew",-5308.94710180562
"alpha19",1e-04,0.024665,0.004055,0.996764,"Materials VIX",9.54314740215724
"gamma19",0.227182,0.033088,6.866043,0,"Materials VIX",1.29894087207865
"beta19",0.793602,0.044623,17.784628,0,"Materials VIX",3062.39250558563
"m19",-1.094466,0.150304,-7.281685,0,"Materials VIX",10564.920653
"theta19",0.082824,0.008239,10.052852,0,"Materials VIX",10601.645969
"w219",8.875427,0.183196,48.447675,0,"Materials VIX",-5276.46032629503
"alpha18",0.010442,0.013844,0.754225,0.450714,"Healthcare EqVol",0.285379535419381
"gamma18",0.17102,0.031923,5.357256,0,"Healthcare EqVol",0.839094228947631
"beta18",0.856285,0.024467,34.99802,0,"Healthcare EqVol",1015.73159947109
"m18",-0.056275,0.112724,-0.49923,0.617617,"Healthcare EqVol",9011.971018
"theta18",0.227717,0.216941,1.049672,0.293869,"Healthcare EqVol",9048.696335
"w218",1.001003,0.083471,11.992196,0,"Healthcare EqVol",-4499.98550918785
"alpha17",0.008102,0.013749,0.58932,0.555647,"Healthcare VVIX",1.50560563716864
"gamma17",0.187634,0.034549,5.43087,0,"Healthcare VVIX",0.836631930051996
"beta17",0.839125,0.025972,32.30915,0,"Healthcare VVIX",1014.74984344228
"m17",-1.183039,0.547193,-2.162014,0.030617,"Healthcare VVIX",9003.41095
"theta17",0.012661,0.005888,2.150463,0.031519,"Healthcare VVIX",9040.136266
"w217",5.994913,0.161087,37.215322,0,"Healthcare VVIX",-4495.7054750112
"alpha16",0.006109,0.013861,0.440741,0.659401,"Healthcare OilVol",2.22309151407453
"gamma16",0.188332,0.044517,4.230583,2.3e-05,"Healthcare OilVol",0.83360750235139
"beta16",0.838904,0.022372,37.498441,0,"Healthcare OilVol",1016.31684218658
"m16",-0.538597,0.820922,-0.656088,0.511768,"Healthcare OilVol",8992.483003
"theta16",0.014601,0.016052,0.909634,0.363015,"Healthcare OilVol",9029.208319
"w216",10.932743,1.215072,8.997608,0,"Healthcare OilVol",-4490.24150134538
"alpha15",0.010015,0.013955,0.717649,0.472974,"Healthcare MOVE",0.231185191372659
"gamma15",0.168805,0.034609,4.877493,1e-06,"Healthcare MOVE",0.839012325794829
"beta15",0.85992,0.026817,32.066472,0,"Healthcare MOVE",1017.39336071556
"m15",0.239544,0.436661,0.548581,0.583293,"Healthcare MOVE",9011.910902
"theta15",-0.002561,0.004102,-0.624211,0.532489,"Healthcare MOVE",9048.636218
"w215",1.001003,0.264268,3.787839,0.000152,"Healthcare MOVE",-4499.95545096503
"alpha14",0.010397,0.014132,0.735689,0.46192,"Healthcare Skew",0.166981408073268
"gamma14",0.169965,0.030746,5.527994,0,"Healthcare Skew",0.83921844413426
"beta14",0.856527,0.023816,35.964032,0,"Healthcare Skew",1017.02775505864
"m14",0.671928,0.117273,5.729604,0,"Healthcare Skew",9012.165376
"theta14",-0.004946,0.001108,-4.463088,8e-06,"Healthcare Skew",9048.890692
"w214",33.788332,0.331533,101.915502,0,"Healthcare Skew",-4500.08268792983
"alpha13",0.003984,0.021356,0.186566,0.852001,"Healthcare VIX",3.41090876038171
