"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w24",3.542358,0.134012,26.433165,0,"NASDAQ OilVol",-5338.42229705768
"alpha3",0.0001,0.021976,0.004552,0.996368,"NASDAQ MOVE",56.5467123282237
"gamma3",0.188294,0.048286,3.899553,0.000096,"NASDAQ MOVE",1.18809289435467
"beta3",0.868897,0.033638,25.830911,0,"NASDAQ MOVE",2096.32601208986
"m3",-0.236715,0.505926,-0.467885,0.639867,"NASDAQ MOVE",10728.731004
"theta3",0.007899,0.004527,1.744913,0.081,"NASDAQ MOVE",10765.769072
"w23",1.179167,0.430763,2.737393,0.006193,"NASDAQ MOVE",-5358.36550215047
"alpha2",0.000101,0.014089,0.007152,0.994293,"NASDAQ Skew",69.5041298340601
"gamma2",0.183564,0.043477,4.222097,0.000024,"NASDAQ Skew",1.19061127959342
"beta2",0.879112,0.030758,28.581677,0,"NASDAQ Skew",2106.35944383377
"m2",-0.94657,0.169558,-5.582585,0,"NASDAQ Skew",10737.174738
"theta2",0.01078,0.001682,6.407493,0,"NASDAQ Skew",10774.212806
"w22",74.889246,0.400609,186.938677,0,"NASDAQ Skew",-5362.58736890329
"alpha1",0.0001,0.030767,0.003251,0.997406,"NASDAQ VIX",37.2167963516325
"gamma1",0.2454,0.034789,7.053957,0,"NASDAQ VIX",1.17182516122495
"beta1",0.813835,0.021582,37.709527,0,"NASDAQ VIX",2102.51102733235
"m1",-0.982721,0.157269,-6.248644,0,"NASDAQ VIX",10671.046733
"theta1",0.074564,0.009076,8.215183,0,"NASDAQ VIX",10708.084801
"w21",4.718173,0.447656,10.539719,0,"NASDAQ VIX",-5329.52336637455
