"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m80",0.588318,0.165856,3.547153,0.000389,"Materials Global_GPR",10630.621365
"theta80",-0.010403,0.012182,-0.853938,0.393139,"Materials Global_GPR",10667.346682
"w280",2.133661,0.190146,11.221182,0,"Materials Global_GPR",-5309.31068269196
"alpha79",0.001067,0.017119,0.062309,0.950317,"Materials China_EPU",1.4367878238622
"gamma79",0.151178,0.03997,3.78233,0.000155,"Materials China_EPU",1.3167305177229
"beta79",0.903712,0.04461,20.258019,0,"Materials China_EPU",3003.7789333305
"m79",0.21859,0.117933,1.853503,0.06381,"Materials China_EPU",10626.299832
"theta79",0.001713,0.000706,2.427076,0.015221,"Materials China_EPU",10663.025149
"w279",1.001002,0.104478,9.581001,0,"Materials China_EPU",-5307.14991623861
"alpha78",1e-04,0.019609,0.005103,0.995929,"Materials US_EPU",5.72294375749254
"gamma78",0.185463,0.022378,8.287859,0,"Materials US_EPU",1.30611756200791
"beta78",0.863701,0.030292,28.512859,0,"Materials US_EPU",2956.71520322881
"m78",-0.776933,0.170447,-4.558218,5e-06,"Materials US_EPU",10589.982308
"theta78",0.009063,0.001387,6.532141,0,"Materials US_EPU",10626.707624
"w278",6.044116,1.360679,4.441986,9e-06,"Materials US_EPU",-5288.9911540215
"alpha77",1e-04,0.01462,0.006866,0.994522,"Materials STLStress",3.71574629568751
"gamma77",0.183465,0.033985,5.398342,0,"Materials STLStress",1.3135059494024
"beta77",0.870365,0.034398,25.302414,0,"Materials STLStress",2978.61418421863
"m77",0.644527,0.112452,5.731602,0,"Materials STLStress",10614.919991
"theta77",0.729018,0.113605,6.417154,0,"Materials STLStress",10651.645307
"w277",2.310919,0.194616,11.87422,0,"Materials STLStress",-5301.4599956304
"alpha76",0.001687,0.01306,0.129212,0.89719,"Materials CFNAI",1.86689513421444
"gamma76",0.171038,0.043924,3.893915,9.9e-05,"Materials CFNAI",1.31629738943115
"beta76",0.883777,0.038901,22.718919,0,"Materials CFNAI",3014.2592903255
"m76",0.482776,0.155893,3.096837,0.001956,"Materials CFNAI",10624.444931
"theta76",-0.504834,0.324731,-1.554622,0.120036,"Materials CFNAI",10661.170248
"w276",1.460428,0.258843,5.642139,0,"Materials CFNAI",-5306.22246572388
"alpha75",1e-04,0.017001,0.00591,0.995285,"Materials BKKIndex",2.10849758398866
"gamma75",0.147914,0.037684,3.925098,8.7e-05,"Materials BKKIndex",1.31609011172783
"beta75",0.903673,0.044242,20.425885,0,"Materials BKKIndex",3002.7672727377
"m75",0.467256,0.148936,3.137287,0.001705,"Materials BKKIndex",10624.123902
"theta75",-0.241038,0.101618,-2.372013,0.017691,"Materials BKKIndex",10660.849218
"w275",1.001002,0.418421,2.392333,0.016742,"Materials BKKIndex",-5306.06195111255
"alpha74",0.002199,0.01724,0.127529,0.898521,"Materials UMich",0.28973155605797
"gamma74",0.1518,0.048596,3.123704,0.001786,"Materials UMich",1.31815512061653
"beta74",0.900724,0.054816,16.431863,0,"Materials UMich",3009.75789844503
"m74",0.567056,0.116602,4.863173,1e-06,"Materials UMich",10631.080667
"theta74",-0.086628,0.160287,-0.540457,0.588882,"Materials UMich",10667.805983
"w274",1.350451,0.210977,6.400943,0,"Materials UMich",-5309.54033354554
"alpha73",0.003609,0.014142,0.255222,0.798552,"Materials Credit",3.21012611624041
"gamma73",0.184892,0.037288,4.95842,1e-06,"Materials Credit",1.31440200911532
"beta73",0.869237,0.037253,23.333227,0,"Materials Credit",2968.64562573767
"m73",0.603393,0.104873,5.75353,0,"Materials Credit",10618.076982
"theta73",1.49094,0.29437,5.064844,0,"Materials Credit",10654.802298
"w273",7.84742,0.325042,24.142824,0,"Materials Credit",-5303.03849116158
"alpha72",0.012021,0.023844,0.504149,0.614157,"Materials Risk",4.02895517234633
"gamma72",0.179358,0.066382,2.701885,0.006895,"Materials Risk",1.31494280332107
"beta72",0.856184,0.065631,13.04548,0,"Materials Risk",2960.78609919688
"m72",1.236696,0.21821,5.667447,0,"Materials Risk",10619.283268
"theta72",1.48255,0.170976,8.671109,0,"Materials Risk",10656.008584
"w272",8.131886,0.941628,8.635988,0,"Materials Risk",-5303.64163400896
"alpha71",0.003674,0.014979,0.245313,0.806214,"Materials Leverage",5.87894859416877
"gamma71",0.188912,0.03619,5.219979,0,"Materials Leverage",1.31118301554049
"beta71",0.853943,0.036251,23.556522,0,"Materials Leverage",2936.46101802244
"m71",0.62703,0.101602,6.171407,0,"Materials Leverage",10606.32381
"theta71",1.064998,0.044861,23.739827,0,"Materials Leverage",10643.049127
"w271",8.147495,0.358073,22.753696,0,"Materials Leverage",-5297.16190520284
"alpha70",0.003341,0.015292,0.218512,0.82703,"Materials NFCI",5.44641768525125
"gamma70",0.208127,0.032854,6.33488,0,"Materials NFCI",1.31145514823898
"beta70",0.839705,0.032077,26.177812,0,"Materials NFCI",2953.75574072041
"m70",1.348193,0.091016,14.812699,0,"Materials NFCI",10607.505706
"theta70",1.836747,0.089563,20.507876,0,"Materials NFCI",10644.231022
"w270",9.954111,0.328515,30.300318,0,"Materials NFCI",-5297.7528531602
"alpha69",0.010848,0.014073,0.770825,0.440811,"Healthcare CESIGL",0.0780895504275001
"gamma69",0.167783,0.034179,4.908894,1e-06,"Healthcare CESIGL",0.839454481305293
"beta69",0.858645,0.026278,32.675909,0,"Healthcare CESIGL",1017.78266297487
"m69",0.043771,0.13524,0.323653,0.7462,"Healthcare CESIGL",9012.957955
"theta69",-0.001765,0.003207,-0.550437,0.58202,"Healthcare CESIGL",9049.683271
"w269",1.721742,0.142524,12.080406,0,"Healthcare CESIGL",-4500.47897766721
"alpha68",0.010848,0.014073,0.770825,0.440811,"Healthcare CESIGL",0.0780895504275001
"gamma68",0.167783,0.034179,4.908894,1e-06,"Healthcare CESIGL",0.839454481305293
"beta68",0.858645,0.026278,32.675909,0,"Healthcare CESIGL",1017.78266297487
"m68",0.043771,0.13524,0.323653,0.7462,"Healthcare CESIGL",9012.957955
"theta68",-0.001765,0.003207,-0.550437,0.58202,"Healthcare CESIGL",9049.683271
