"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w29",6.065738,191.862144,0.031615,0.974779,"SP1500 T10_2YC",-4617.5542260455
"alpha8",0.005657,0.016131,0.350668,0.725838,"NASDAQ100 EU_HY_OAS",0.639831709519972
"gamma8",0.195054,0.038097,5.119872,0,"NASDAQ100 EU_HY_OAS",1.24179677895132
"beta8",0.862419,0.024964,34.54589,0,"NASDAQ100 EU_HY_OAS",2116.89802575999
"m8",0.171179,0.268614,0.637266,0.523952,"NASDAQ100 EU_HY_OAS",10916.51002
"theta8",0.078232,0.040302,1.941139,0.052241,"NASDAQ100 EU_HY_OAS",10953.548088
"w28",6.891906,32.456535,0.212343,0.83184,"NASDAQ100 EU_HY_OAS",-5452.25500990027
"alpha7",0.009623,0.016032,0.600233,0.548351,"NASDAQ100 HY_OAS",0.0760817350359019
"gamma7",0.185923,0.040017,4.646067,0.000003,"NASDAQ100 HY_OAS",1.24336715275462
"beta7",0.867618,0.021034,41.247828,0,"NASDAQ100 HY_OAS",2119.86407285779
"m7",0.713796,0.167369,4.264799,0.00002,"NASDAQ100 HY_OAS",10921.513516
"theta7",-0.028389,0.013765,-2.062377,0.039172,"NASDAQ100 HY_OAS",10958.551584
"w27",1.001001,0.613106,1.632671,0.102538,"NASDAQ100 HY_OAS",-5454.75675789206
"alpha6",0.007675,0.072174,0.106333,0.915318,"NASDAQ100 T10_3YC",0.107279988024781
"gamma6",0.18582,0.112473,1.652131,0.098508,"NASDAQ100 T10_3YC",1.24321597589697
"beta6",0.868946,0.122743,7.079385,0,"NASDAQ100 T10_3YC",2118.19270813405
"m6",0.551971,0.30816,1.791183,0.073264,"NASDAQ100 T10_3YC",10921.288802
"theta6",-12.359922,813.098433,-0.015201,0.987872,"NASDAQ100 T10_3YC",10958.32687
"w26",1.762289,57.711569,0.030536,0.975639,"NASDAQ100 T10_3YC",-5454.64440103413
"alpha5",0.008281,0.01674,0.494701,0.620811,"NASDAQ100 T10_2YC",0.113329484220671
"gamma5",0.18547,0.040235,4.609666,0.000004,"NASDAQ100 T10_2YC",1.243274786436
"beta5",0.868194,0.021465,40.44773,0,"NASDAQ100 T10_2YC",2118.63029943994
"m5",0.547397,0.136667,4.005328,0.000062,"NASDAQ100 T10_2YC",10921.352758
"theta5",-18.254363,0.945895,-19.298503,0,"NASDAQ100 T10_2YC",10958.390826
"w25",1.092254,0.16014,6.820623,0,"NASDAQ100 T10_2YC",-5454.67637909744
"alpha4",0.0001,0.017152,0.005841,0.99534,"NASDAQ EU_HY_OAS",1.17124456048593
"gamma4",0.199863,0.041456,4.821049,0.000001,"NASDAQ EU_HY_OAS",1.18901750242829
"beta4",0.86114,0.022807,37.75796,0,"NASDAQ EU_HY_OAS",2096.63983805027
"m4",-0.076612,0.223297,-0.343095,0.731527,"NASDAQ EU_HY_OAS",10732.064195
"theta4",0.106692,0.039217,2.720546,0.006517,"NASDAQ EU_HY_OAS",10769.102263
"w24",7.68876,0.318807,24.117273,0,"NASDAQ EU_HY_OAS",-5360.03209753773
"alpha3",0.0001,0.015871,0.006315,0.994961,"NASDAQ HY_OAS",0.859446378113319
"gamma3",0.203407,0.03895,5.222301,0,"NASDAQ HY_OAS",1.18996292579061
"beta3",0.860636,0.021359,40.29326,0,"NASDAQ HY_OAS",2099.97596920357
"m3",-0.105098,0.333866,-0.314792,0.75292,"NASDAQ HY_OAS",10735.341951
"theta3",0.114488,0.066247,1.728209,0.083951,"NASDAQ HY_OAS",10772.380019
"w23",6.826072,0.28813,23.690958,0,"NASDAQ HY_OAS",-5361.6709755081
"alpha2",0.002304,0.038335,0.06011,0.952068,"NASDAQ T10_3YC",0.0024569229288209
"gamma2",0.185201,0.23166,0.799453,0.424028,"NASDAQ T10_3YC",1.19215193533341
"beta2",0.873479,0.059839,14.597113,0,"NASDAQ T10_3YC",2103.83338950276
"m2",0.448865,1.133276,0.396077,0.692048,"NASDAQ T10_3YC",10742.831079
"theta2",2.088253,1348.397771,0.001549,0.998764,"NASDAQ T10_3YC",10779.869146
"w22",1.001004,1.394738,0.7177,0.472942,"NASDAQ T10_3YC",-5365.41553928867
"alpha1",0.00198,0.03881,0.051007,0.95932,"NASDAQ T10_2YC",0.00361116597208266
"gamma1",0.184879,0.065436,2.825337,0.004723,"NASDAQ T10_2YC",1.19214602612033
"beta1",0.873812,0.033671,25.951325,0,"NASDAQ T10_2YC",2103.23930368259
"m1",0.443863,0.885417,0.501304,0.616157,"NASDAQ T10_2YC",10742.826163
"theta1",-3.272532,530.867554,-0.006164,0.995081,"NASDAQ T10_2YC",10779.864231
"w21",1.001042,531.798352,0.001882,0.998498,"NASDAQ T10_2YC",-5365.41308151099
