"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"beta4",0.870252,0.02473,35.189901,0,"NASDAQ PPI",2102.36042515619
"m4",0.485639,0.074497,6.518938,0,"NASDAQ PPI",10738.589787
"theta4",-0.0948,0.044998,-2.106764,0.035138,"NASDAQ PPI",10775.627854
"w24",2.253751,0.351822,6.405934,0,"NASDAQ PPI",-5363.29489330576
"alpha3",0.0001,0.015503,0.00648,0.99483,"NASDAQ NewOrders",48.9390185147121
"gamma3",0.198511,0.03908,5.079558,0,"NASDAQ NewOrders",1.19047261385583
"beta3",0.867001,0.022618,38.332343,0,"NASDAQ NewOrders",2107.27424811761
"m3",0.507962,0.118816,4.275193,0.000019,"NASDAQ NewOrders",10736.215466
"theta3",-18.722505,0.286316,-65.391016,0,"NASDAQ NewOrders",10773.253534
"w23",1.001001,0.149396,6.700307,0,"NASDAQ NewOrders",-5362.10773311467
"alpha2",0.0001,0.014848,0.006739,0.994623,"NASDAQ IndProd",45.6351815026482
"gamma2",0.220411,0.034432,6.401377,0,"NASDAQ IndProd",1.18676089357082
"beta2",0.850753,0.01749,48.642236,0,"NASDAQ IndProd",2106.2815068252
"m2",0.512923,0.144029,3.561244,0.000369,"NASDAQ IndProd",10723.136433
"theta2",-0.620154,0.365052,-1.698811,0.089355,"NASDAQ IndProd",10760.174501
"w22",1.265857,0.307584,4.11548,0.000039,"NASDAQ IndProd",-5355.56821655591
"alpha1",0.0001,0.021287,0.0047,0.99625,"NASDAQ GSCPI",39.1111812044803
"gamma1",0.21136,0.03994,5.291878,0,"NASDAQ GSCPI",1.18316325746659
"beta1",0.846841,0.020386,41.541256,0,"NASDAQ GSCPI",2084.47929342907
"m1",0.314207,0.100897,3.114151,0.001845,"NASDAQ GSCPI",10709.796387
"theta1",0.327285,0.070449,4.645718,0.000003,"NASDAQ GSCPI",10746.834455
"w21",1.44279,0.16979,8.497519,0,"NASDAQ GSCPI",-5348.89819367533
