Date,.OEX,.5SP25,.5SP40,.5SP35,.5SP55,.5SP60,.5SP15,.TRCCRBTR,.MID,.SPCY,.SPCDNX
2010-01,1.493638468057163,0.8534754056577226,2.7943584218384188,1.2510722139577937,1.1298193148520483,2.1865750331695217,4.36269937642588,1.8212107848437982,1.487211440608117,1.6796556826247337,1.6544346926365956
2010-02,1.4274118444535142,1.5283887554673776,2.5308014246118407,0.9424817427254844,1.5129001490417862,3.051525871078055,3.7062412993413907,2.2104675316030327,1.777211136187598,1.622513589826186,2.085875261810796
2010-03,0.25661942468243676,0.5306194230019387,0.6070593053707753,0.3126430571973832,0.5289789211831406,1.3257996969123982,1.1751755866174713,0.7073173743887291,0.72499991320369,0.9195137728582635,0.40124146333236793
2010-04,0.7495828685964293,1.3945745901933286,2.8670392381984255,0.6802878031076878,0.6866649231355312,5.044604050833435,1.2846249588535152,0.6326627189353737,1.2057587295684176,1.494705189247911,0.7640987409233134
2010-05,3.8849305835575585,5.145687192573602,8.067383086894793,1.9798415858224327,2.4877950004198666,9.359157831746,6.102717079781051,2.317833682449726,5.043977616951432,5.714731872761666,4.407722055706953
2010-06,2.4034789644016663,3.7878370151153113,4.374821703580115,1.6165463448419783,2.7708113578736033,6.504837999354915,4.669885815332865,1.7692343762342648,4.202735048696104,4.895999419734943,0.9386773974058747
2010-07,1.5766950968049516,2.6440902663200903,3.9930169788037717,0.8801263585959149,1.4887039807686004,5.1756431080297585,3.2760434596686037,1.3525462894204976,3.067976363305835,4.530423936835866,2.289078517457129
2010-08,1.5049998036237846,2.0515195152942995,2.5089660540894174,1.6752935179855775,0.8112072127089671,2.748701305348667,3.0577319124097713,0.8784866878704709,2.3445182210605746,3.6479962143960005,0.7168301245791181
2010-09,1.8742468297244996,3.6895434815356474,4.817138474610597,1.185930544363296,0.7906483323988879,3.932687152831371,2.349291848405148,0.7065068518570654,3.0319851255154275,3.878401358930963,2.010012905693832
2010-10,0.49590382845021913,0.888266548320938,1.4547484598887384,0.501275689311201,0.3883085869123665,1.146067436862301,1.4601670268916833,1.5226618611495955,0.6465255707789554,0.9805922764556757,1.7234575701828978
2010-11,0.6827866445211107,0.606442647997428,1.9005233183219292,0.44281921135349833,0.4049222213197831,2.5624560314092064,1.632990985140645,2.3317781177125956,0.9205450873226705,1.4497764856947295,2.0184348123836733
