"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"beta2",0.859886,0.019155,44.890279,0,"NASDAQ UnempRate",2102.29253485484
"m2",-0.027088,0.277368,-0.097662,0.9222,"NASDAQ UnempRate",10728.481133
"theta2",0.08388,0.04492,1.867328,0.061856,"NASDAQ UnempRate",10765.519201
"w22",9.841503,0.301607,32.63017,0,"NASDAQ UnempRate",-5358.24056633858
"alpha1",0.0001,0.019452,0.00515,0.995891,"NASDAQ EconValue",0.504581990579632
"gamma1",0.200483,0.045474,4.408752,0.00001,"NASDAQ EconValue",1.19031143466888
"beta1",0.863716,0.025279,34.167572,0,"NASDAQ EconValue",2107.27822372982
"m1",0.480735,0.124639,3.85702,0.000115,"NASDAQ EconValue",10735.699518
"theta1",-0.007581,0.004609,-1.644737,0.100024,"NASDAQ EconValue",10772.737586
"w21",1.025196,0.423532,2.420586,0.015495,"NASDAQ EconValue",-5361.84975902043
