"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m5",0.467475,0.115458,4.048874,0.000051,"NASDAQ UMich",10711.449631
"theta5",-0.299032,0.102363,-2.921294,0.003486,"NASDAQ UMich",10748.487698
"w25",1.461101,0.18401,7.94034,0,"NASDAQ UMich",-5349.72481528805
"alpha4",0.0001,0.020322,0.004923,0.996072,"NASDAQ Credit",2.34736401459245
"gamma4",0.222835,0.044953,4.957093,0.000001,"NASDAQ Credit",1.18563618220582
"beta4",0.84365,0.027363,30.832174,0,"NASDAQ Credit",2091.70457088655
"m4",0.48955,0.131945,3.710256,0.000207,"NASDAQ Credit",10720.332916
"theta4",1.342704,0.492475,2.726441,0.006402,"NASDAQ Credit",10757.370984
"w24",5.347245,8.016255,0.66705,0.50474,"NASDAQ Credit",-5354.16645820124
"alpha3",0.0001,0.02057,0.004867,0.996116,"NASDAQ Risk",1.56031937674217
"gamma3",0.204688,0.040958,4.997498,0.000001,"NASDAQ Risk",1.18831906715283
"beta3",0.856351,0.027999,30.584693,0,"NASDAQ Risk",2092.97540284973
"m3",0.873082,0.194246,4.494712,0.000007,"NASDAQ Risk",10729.931307
"theta3",0.95232,0.296005,3.217242,0.001294,"NASDAQ Risk",10766.969374
"w23",4.51474,4.750642,0.950343,0.341938,"NASDAQ Risk",-5358.96565328124
"alpha2",0.0001,0.023044,0.004342,0.996536,"NASDAQ Leverage",3.28431598807081
"gamma2",0.214822,0.0421,5.102712,0,"NASDAQ Leverage",1.18385587464992
"beta2",0.846018,0.039834,21.238701,0,"NASDAQ Leverage",2084.71849984633
"m2",0.511555,0.152692,3.350244,0.000807,"NASDAQ Leverage",10713.375037
"theta2",0.867372,0.272896,3.1784,0.001481,"NASDAQ Leverage",10750.413105
"w22",3.986128,12.678143,0.314409,0.75321,"NASDAQ Leverage",-5350.68751858563
"alpha1",0.0001,0.028641,0.003493,0.997213,"NASDAQ Overall_NFCI",3.02206960223126
"gamma1",0.225532,0.04266,5.286702,0,"NASDAQ Overall_NFCI",1.18407936672147
"beta1",0.838422,0.019638,42.693893,0,"NASDAQ Overall_NFCI",2089.99694203598
"m1",1.079173,0.288002,3.747106,0.000179,"NASDAQ Overall_NFCI",10715.144705
"theta1",1.45561,0.597707,2.435323,0.014878,"NASDAQ Overall_NFCI",10752.182773
"w21",5.333088,1.562853,3.412405,0.000644,"NASDAQ Overall_NFCI",-5351.57235256911
