"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha2",0.002302,0.015416,0.149301,0.881316,"NASDAQ T10_3YC",50.793922685395
"gamma2",0.185194,0.044388,4.172184,0.00003,"NASDAQ T10_3YC",1.19215185223872
"beta2",0.873486,0.027907,31.29955,0,"NASDAQ T10_3YC",2103.83159513411
"m2",0.448844,0.103056,4.355335,0.000013,"NASDAQ T10_3YC",10742.831109
"theta2",2.059979,0.036305,56.740281,0,"NASDAQ T10_3YC",10779.869177
"w22",1.001008,0.05401,18.533694,0,"NASDAQ T10_3YC",-5365.41555436154
"alpha1",0.001979,0.016055,0.123246,0.901912,"NASDAQ T10_2YC",49.6928831261008
"gamma1",0.184878,0.046211,4.000772,0.000063,"NASDAQ T10_2YC",1.19214604062458
"beta1",0.873813,0.029397,29.724064,0,"NASDAQ T10_2YC",2103.23805767724
"m1",0.443842,0.153646,2.888742,0.003868,"NASDAQ T10_2YC",10742.826194
"theta1",-3.292202,0.046494,-70.809039,0,"NASDAQ T10_2YC",10779.864262
"w21",1.001036,0.05769,17.352046,0,"NASDAQ T10_2YC",-5365.4130968692
