"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma3",0.146233,0.03442,4.24851,0.000022,"Consumer InflRate",1.2329374675582
"beta3",0.848652,0.022382,37.916447,0,"Consumer InflRate",2633.67173125072
"m3",0.633757,0.180923,3.502914,0.00046,"Consumer InflRate",10332.495038
"theta3",-0.83504,0.117399,-7.112812,0,"Consumer InflRate",10369.220355
"w23",9.645271,0.089759,107.457958,0,"Consumer InflRate",-5160.24751921722
"alpha2",0.055589,0.014565,3.816655,0.000135,"Consumer UnempRate",50.209858878122
"gamma2",0.149212,0.033241,4.488792,0.000007,"Consumer UnempRate",1.23166497822058
"beta2",0.845033,0.021278,39.714505,0,"Consumer UnempRate",2635.64435131038
"m2",0.190863,0.113589,1.680306,0.092898,"Consumer UnempRate",10328.680465
"theta2",0.075501,0.038726,1.949613,0.051222,"Consumer UnempRate",10365.405781
"w22",12.186334,0.170403,71.514595,0,"Consumer UnempRate",-5158.34023267341
"alpha1",0.053029,0.014137,3.75098,0.000176,"Consumer EconValue",57.2819194900053
"gamma1",0.147088,0.03475,4.232738,0.000023,"Consumer EconValue",1.23308535112194
"beta1",0.847987,0.02248,37.721427,0,"Consumer EconValue",2635.76161247003
"m1",0.64099,0.114326,5.606684,0,"Consumer EconValue",10332.582353
"theta1",-0.004671,0.004892,-0.954791,0.339684,"Consumer EconValue",10369.307669
"w21",1.384319,0.635276,2.179084,0.029325,"Consumer EconValue",-5160.29117646475
