,Overall NFCI,Leverage,Risk,Credit,UMich,BKK Leading Index,CFNAI,St Louis Stress Index,China EPU,US EPU,Global GPR,China GPR,USA GPR,GER GPR,Saudi GPR,Global Sustainability Index,US Sustainability Index,GER Sustainability Index,China Sustainability Index,.CESICNY,.CESIEUR,.CESIGL
2008-01,0.4884275,1.8035475,0.4294425,0.6726125,78.4,-0.0899536671144616,-0.5,1.35625,82.04292545,144.98473,-13.467666625976562,-0.1406805217266082,-0.3079791069030759,-0.1506826877593994,-0.0091880112886428,0.0872169165015666,0.2597199193182611,-0.0353447788135741,0.5662813517424765,38.9,34.7,8.0
2008-02,0.61936,1.42257,0.49487,0.870688,70.8,0.1406575580347316,-1.15,1.2449,54.38575826,108.10469,-0.7483596801757812,-0.065813958644867,-0.0668162107467653,0.0168443769216536,-0.0827874094247818,-0.0496725592733021,-0.1379164760122443,-0.0062320008992665,-0.2188402198089541,38.5,29.5,1.0
2008-03,0.9586175,1.390245,0.8836075,1.0537375,69.5,0.3393369105066547,-1.14,2.10475,135.9465055,111.71236,-3.115325927734375,0.057648628950119,-0.1354672908782959,-0.0706027448177337,0.0355188474059104,-0.2670701227766355,-0.5915299136512044,-0.0362524662772999,-0.4711301688601125,-6.6,69.6,10.7
2008-04,0.750285,1.4427775,0.71876,0.879865,62.6,0.4599865808838127,-1.28,1.778625,91.60267924,102.1969,-5.731330871582031,-0.0491895973682404,-0.0039930343627927,-0.0093584954738616,-0.0230825245380402,0.0887644689835251,0.0515011431222707,-0.2188155989350214,1.1296719908217776,75.0,-18.8,1.5
2008-05,0.4700459999999999,1.584044,0.36349,0.69427,59.8,0.5631959618246065,-1.35,1.09378,67.59962873,94.28405,0.6689910888671875,0.1023584604263306,-0.015964984893799,0.0500517338514328,0.1285418346524239,0.0794640152834398,0.1120629476697696,0.6960828783708028,-0.2567949538025383,55.0,-27.1,-4.8
2008-06,0.5971525,1.78495,0.4459475,0.7776350000000001,56.4,0.7136146497203921,-1.28,1.3704,62.94436205,94.55676,14.974624633789062,-0.0250174999237061,0.2410597801208496,0.1530173420906067,-0.1001647934317589,0.0560429655426018,0.6966774534755538,0.1529220674394045,-0.2284207214834375,72.7,-93.9,-9.5
2008-07,0.7039150000000001,1.695345,0.541615,0.8709425,61.2,0.9441848200320696,-1.74,1.6225,126.0443442,109.78898,2.191146850585937,0.0805903375148773,0.1816354990005493,0.1132103502750396,-0.0383317545056342,-0.1008608169742391,-0.0964733772865508,-0.3053272197538446,0.0733121824655729,59.4,-155.2,-25.8
2008-08,0.681996,1.642936,0.564248,0.913796,63.0,1.3074360778651175,-2.27,1.59266,128.4167412,95.87075,-1.1854629516601562,-0.0787392854690551,-0.0823620557785034,-0.0820760726928711,-0.0026535317301751,-0.0165255659603692,-0.2606778374590065,-0.2663320079714737,0.0799067770801151,98.2,-162.0,-8.0
2008-09,1.4130725,2.3096975,1.4902,1.31664,70.3,1.5655605466871216,-3.47,3.0935750000000004,103.9330504,187.7403,-0.0115509033203125,0.0103200674057006,0.0787540674209594,-0.0351617336273193,-0.0145802572369575,0.0688541558658299,0.7437246826304365,-0.1798763694822597,0.3032833197161333,54.6,-135.0,-15.1
2008-10,2.508274,3.447926,2.5520240000000003,2.077772,57.6,1.923855775253922,-1.85,8.40354,150.5302522,189.91729,-24.38275909423828,-0.0341489315032959,-0.6532894372940063,-0.1633996814489364,0.0449021235108374,-0.023744253255452,-0.1844340345668064,0.5988092706781905,-0.5118351015886822,-19.9,-80.2,-43.1
