"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w238",1.525983,0.191281,7.977706,0,"NASDAQ100 Saudi_GPR",-5451.68925597022
"alpha37",0.008609,0.015768,0.546022,0.585051,"NASDAQ100 GER_GPR",0.0257116272040146
"gamma37",0.186918,0.04103,4.555687,5e-06,"NASDAQ100 GER_GPR",1.24345655890108
"beta37",0.86744,0.021473,40.397255,0,"NASDAQ100 GER_GPR",2118.16522736271
"m37",0.561686,0.107018,5.248503,0,"NASDAQ100 GER_GPR",10921.94909
"theta37",-0.629845,0.160966,-3.912915,9.1e-05,"NASDAQ100 GER_GPR",10958.987158
"w237",1.419887,0.133132,10.665248,0,"NASDAQ100 GER_GPR",-5454.97454521533
"alpha36",0.001369,0.014688,0.093237,0.925715,"NASDAQ100 USA_GPR",1.06901570206359
"gamma36",0.199456,0.036843,5.413664,0,"NASDAQ100 USA_GPR",1.23997538987014
"beta36",0.866108,0.018505,46.80284,0,"NASDAQ100 USA_GPR",2104.44682578549
"m36",0.557243,0.123161,4.524503,6e-06,"NASDAQ100 USA_GPR",10908.947234
"theta36",-2.022146,0.45283,-4.465573,8e-06,"NASDAQ100 USA_GPR",10945.985302
"w236",1.265025,0.155816,8.118724,0,"NASDAQ100 USA_GPR",-5448.47361686698
"alpha35",0.006635,0.015639,0.42428,0.671361,"NASDAQ100 China_GPR",0.268601376590342
"gamma35",0.190192,0.038349,4.959526,1e-06,"NASDAQ100 China_GPR",1.24231739265988
"beta35",0.866892,0.01968,44.049895,0,"NASDAQ100 China_GPR",2116.56891999346
"m35",0.561748,0.122317,4.592571,4e-06,"NASDAQ100 China_GPR",10917.243714
"theta35",-2.853467,0.258189,-11.051842,0,"NASDAQ100 China_GPR",10954.281782
"w235",1.305658,0.295849,4.413264,1e-05,"NASDAQ100 China_GPR",-5452.62185719537
"alpha34",0.003088,0.014904,0.207162,0.835883,"NASDAQ100 Global_GPR",0.936647008795376
"gamma34",0.195836,0.038974,5.024763,1e-06,"NASDAQ100 Global_GPR",1.24064897145417
"beta34",0.867226,0.019605,44.235805,0,"NASDAQ100 Global_GPR",2113.46485498318
"m34",0.558801,0.147234,3.79533,0.000147,"NASDAQ100 Global_GPR",10911.415115
"theta34",-0.039838,0.01656,-2.405666,0.016143,"NASDAQ100 Global_GPR",10948.453183
"w234",1.51108,0.367122,4.116011,3.9e-05,"NASDAQ100 Global_GPR",-5449.70755757172
"alpha33",1e-04,0.015646,0.006394,0.994898,"NASDAQ100 China_EPU",2.85218461177939
"gamma33",0.214024,0.036953,5.791759,0,"NASDAQ100 China_EPU",1.2359605351919
"beta33",0.854071,0.018324,46.608515,0,"NASDAQ100 China_EPU",2115.80758648321
"m33",0.038001,0.214881,0.176847,0.859629,"NASDAQ100 China_EPU",10895.420014
"theta33",0.002389,0.000755,3.165769,0.001547,"NASDAQ100 China_EPU",10932.458082
"w233",5.865516,0.224858,26.085438,0,"NASDAQ100 China_EPU",-5441.71000709306
"alpha32",1e-04,0.014737,0.006787,0.994585,"NASDAQ100 US_EPU",3.9249723383672
"gamma32",0.235473,0.035788,6.579566,0,"NASDAQ100 US_EPU",1.22913728979004
"beta32",0.838684,0.015334,54.694238,0,"NASDAQ100 US_EPU",2113.97815238428
"m32",-0.582396,0.422777,-1.377548,0.168343,"NASDAQ100 US_EPU",10871.881662
"theta32",0.008144,0.002344,3.474698,0.000511,"NASDAQ100 US_EPU",10908.91973
"w232",4.490343,0.215821,20.805847,0,"NASDAQ100 US_EPU",-5429.94083115939
"alpha31",1e-04,0.014603,0.006859,0.994527,"NASDAQ100 STLStress",1.2007229036856
"gamma31",0.220963,0.039812,5.55016,0,"NASDAQ100 STLStress",1.240455795237
"beta31",0.850721,0.017935,47.432981,0,"NASDAQ100 STLStress",2122.14517457684
"m31",0.635122,0.164989,3.84947,0.000118,"NASDAQ100 STLStress",10912.138722
"theta31",0.418319,0.293588,1.424851,0.1542,"NASDAQ100 STLStress",10949.17679
"w231",3.033699,0.384639,7.887138,0,"NASDAQ100 STLStress",-5450.06936113574
"alpha30",1e-04,0.01319,0.007588,0.993946,"NASDAQ100 CFNAI",1.83226452169338
"gamma30",0.22644,0.05854,3.868129,0.00011,"NASDAQ100 CFNAI",1.23767252400087
"beta30",0.848321,0.020319,41.750591,0,"NASDAQ100 CFNAI",2126.8924268304
