"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","extra"
"gamma17",0.231832,0.032915,7.04337,0,"UMich NASDAQ100",1.23652664081815
"beta17",0.838661,0.016625,50.445111,0,"UMich NASDAQ100",2114.87884239001
"m17",0.552247,0.118006,4.679818,0.000003,"UMich NASDAQ100",10897.326584
"theta17",-0.284408,0.104653,-2.717617,0.006575,"UMich NASDAQ100",10934.364651
"w217",1.41011,0.191739,7.354325,0,"UMich NASDAQ100",-5442.66329177375
"alpha16",0.0001,0.018071,0.005537,0.995582,"Credit NASDAQ100",2.19186959999636
"gamma16",0.220337,0.053755,4.098916,0.000042,"Credit NASDAQ100",1.23765394334436
"beta16",0.84717,0.041679,20.326031,0,"Credit NASDAQ100",2109.999126809
"m16",0.573857,0.158629,3.617615,0.000297,"Credit NASDAQ100",10902.373052
"theta16",1.284737,0.487066,2.637704,0.008347,"Credit NASDAQ100",10939.41112
"w216",4.997151,20.993838,0.238029,0.811858,"Credit NASDAQ100",-5445.1865261968
"alpha15",0.002652,0.01867,0.142031,0.887055,"Risk NASDAQ100",1.04774946271726
"gamma15",0.200226,0.040333,4.964271,0.000001,"Risk NASDAQ100",1.24087517541796
"beta15",0.860859,0.01914,44.977253,0,"Risk NASDAQ100",2114.73435253422
"m15",0.891289,0.170286,5.23406,0,"Risk NASDAQ100",10913.693065
"theta15",0.770471,0.312108,2.468604,0.013564,"Risk NASDAQ100",10950.731133
"w215",3.792901,0.675721,5.613118,0,"Risk NASDAQ100",-5450.84653235763
"alpha14",0.0001,0.019932,0.005019,0.995995,"Leverage NASDAQ100",2.99695429885921
"gamma14",0.213247,0.034438,6.192182,0,"Leverage NASDAQ100",1.2364486889562
"beta14",0.850055,0.016858,50.424717,0,"Leverage NASDAQ100",2105.35856310151
"m14",0.597363,0.114342,5.224354,0,"Leverage NASDAQ100",10897.226731
"theta14",0.819873,0.252224,3.250574,0.001152,"Leverage NASDAQ100",10934.264799
"w214",3.947434,1.200525,3.288091,0.001009,"Leverage NASDAQ100",-5442.61336567781
"alpha13",0.0001,0.022574,0.004432,0.996463,"Overall_NFCI NASDAQ100",2.54180148009044
"gamma13",0.220359,0.03718,5.92688,0,"Overall_NFCI NASDAQ100",1.23697578468362
"beta13",0.84518,0.016607,50.893728,0,"Overall_NFCI NASDAQ100",2110.28720824941
"m13",1.10482,0.194756,5.672832,0,"Overall_NFCI NASDAQ100",10900.286972
"theta13",1.318217,0.390219,3.378142,0.00073,"Overall_NFCI NASDAQ100",10937.32504
"w213",4.799362,1.086492,4.417303,0.00001,"Overall_NFCI NASDAQ100",-5444.14348591859
"alpha12",0.000101,0.014167,0.007114,0.994324,"Saudi_GPR NASDAQ",0.555933361483171
"gamma12",0.199338,0.040379,4.936727,0.000001,"Saudi_GPR NASDAQ",1.1894764284811
"beta12",0.86613,0.022299,38.841049,0,"Saudi_GPR NASDAQ",2085.09284725507
"m12",0.464171,0.124511,3.727952,0.000193,"Saudi_GPR NASDAQ",10732.718853
"theta12",-5.75999,0.50378,-11.433547,0,"Saudi_GPR NASDAQ",10769.756921
"w212",1.490063,0.195694,7.614249,0,"Saudi_GPR NASDAQ",-5360.35942633597
"alpha11",0.0001,0.015335,0.006528,0.994791,"USA_GPR NASDAQ",1.02596378159208
"gamma11",0.196404,0.040179,4.888255,0.000001,"USA_GPR NASDAQ",1.18853986076365
"beta11",0.867408,0.023435,37.012778,0,"USA_GPR NASDAQ",2087.39135665036
"m11",0.4527,0.123104,3.677393,0.000236,"USA_GPR NASDAQ",10729.168167
"theta11",-1.932279,0.716596,-2.696468,0.007008,"USA_GPR NASDAQ",10766.206235
"w211",1.367622,0.260947,5.240994,0,"USA_GPR NASDAQ",-5358.58408367163
"alpha10",0.0001,0.015889,0.006305,0.99497,"Global_GPR NASDAQ",0.946647320046913
"gamma10",0.194041,0.041962,4.624234,0.000004,"Global_GPR NASDAQ",1.18905240645815
"beta10",0.869544,0.025056,34.703622,0,"Global_GPR NASDAQ",2096.11230368381
"m10",0.450825,0.12663,3.560182,0.000371,"Global_GPR NASDAQ",10731.139015
"theta10",-0.038329,0.016954,-2.260794,0.023772,"Global_GPR NASDAQ",10768.177083
"w210",1.64052,0.337927,4.854659,0.000001,"Global_GPR NASDAQ",-5359.56950758858
"alpha9",0.0001,0.016362,0.006114,0.995122,"US_EPU NASDAQ",3.81232372202204
"gamma9",0.235238,0.038081,6.177356,0,"US_EPU NASDAQ",1.17671595277646
"beta9",0.83806,0.018981,44.152485,0,"US_EPU NASDAQ",2100.02091838435
"m9",-0.648895,0.431781,-1.502832,0.132882,"US_EPU NASDAQ",10688.68148
"theta9",0.008008,0.002728,2.934981,0.003336,"US_EPU NASDAQ",10725.719547
"w29",5.253258,6.535347,0.803822,0.4215,"US_EPU NASDAQ",-5338.34073977449
"alpha8",0.0001,0.01613,0.006204,0.99505,"St_Louis_Stress_Index NASDAQ",1.55706481609566
"gamma8",0.225132,0.035955,6.26145,0,"St_Louis_Stress_Index NASDAQ",1.18766822000212
"beta8",0.845545,0.018053,46.837448,0,"St_Louis_Stress_Index NASDAQ",2106.87537007704
"m8",0.555401,0.133907,4.147668,0.000034,"St_Louis_Stress_Index NASDAQ",10727.410237
"theta8",0.480336,0.244759,1.962487,0.049706,"St_Louis_Stress_Index NASDAQ",10764.448305
"w28",3.24813,0.852448,3.810357,0.000139,"St_Louis_Stress_Index NASDAQ",-5357.70511842328
"alpha7",0.0001,0.014371,0.006962,0.994445,"CFNAI NASDAQ",2.21409550469314
"gamma7",0.230192,0.032036,7.185438,0,"CFNAI NASDAQ",1.18374271084819
"beta7",0.844193,0.016239,51.985719,0,"CFNAI NASDAQ",2111.30641350065
"m7",0.405778,0.12336,3.28939,0.001004,"CFNAI NASDAQ",10713.406157
"theta7",-0.580725,0.209981,-2.765602,0.005682,"CFNAI NASDAQ",10750.444224
"w27",1.584885,0.387274,4.092407,0.000043,"CFNAI NASDAQ",-5350.7030782809
"alpha6",0.000105,0.014702,0.007175,0.994275,"BKK_Leading_Index NASDAQ",0.859838393717889
"gamma6",0.196751,0.041514,4.739445,0.000002,"BKK_Leading_Index NASDAQ",1.19022441592278
"beta6",0.867418,0.023986,36.163676,0,"BKK_Leading_Index NASDAQ",2099.84278277498
"m6",0.414535,0.124575,3.327581,0.000876,"BKK_Leading_Index NASDAQ",10736.15097
"theta6",-0.158081,0.111013,-1.423984,0.154451,"BKK_Leading_Index NASDAQ",10773.189038
"w26",1.070657,1.117619,0.957981,0.338073,"BKK_Leading_Index NASDAQ",-5362.075484997
"alpha5",0.0001,0.016001,0.006253,0.995011,"UMich NASDAQ",3.16398917026755
"gamma5",0.234768,0.033198,7.071804,0,"UMich NASDAQ",1.18338023653128
"beta5",0.834755,0.017438,47.870656,0,"UMich NASDAQ",2097.72898071845
"m5",0.467475,0.115458,4.048874,0.000051,"UMich NASDAQ",10711.449631
"theta5",-0.299032,0.102363,-2.921294,0.003486,"UMich NASDAQ",10748.487698
"w25",1.461101,0.18401,7.94034,0,"UMich NASDAQ",-5349.72481528805
"alpha4",0.0001,0.020322,0.004923,0.996072,"Credit NASDAQ",2.34736401459245
"gamma4",0.222835,0.044953,4.957093,0.000001,"Credit NASDAQ",1.18563618220582
"beta4",0.84365,0.027363,30.832174,0,"Credit NASDAQ",2091.70457088655
"m4",0.48955,0.131945,3.710256,0.000207,"Credit NASDAQ",10720.332916
"theta4",1.342704,0.492475,2.726441,0.006402,"Credit NASDAQ",10757.370984
"w24",5.347245,8.016255,0.66705,0.50474,"Credit NASDAQ",-5354.16645820124
"alpha3",0.0001,0.02057,0.004867,0.996116,"Risk NASDAQ",1.56031937674217
"gamma3",0.204688,0.040958,4.997498,0.000001,"Risk NASDAQ",1.18831906715283
"beta3",0.856351,0.027999,30.584693,0,"Risk NASDAQ",2092.97540284973
"m3",0.873082,0.194246,4.494712,0.000007,"Risk NASDAQ",10729.931307
"theta3",0.95232,0.296005,3.217242,0.001294,"Risk NASDAQ",10766.969374
"w23",4.51474,4.750642,0.950343,0.341938,"Risk NASDAQ",-5358.96565328124
"alpha2",0.0001,0.023044,0.004342,0.996536,"Leverage NASDAQ",3.28431598807081
"gamma2",0.214822,0.0421,5.102712,0,"Leverage NASDAQ",1.18385587464992
"beta2",0.846018,0.039834,21.238701,0,"Leverage NASDAQ",2084.71849984633
"m2",0.511555,0.152692,3.350244,0.000807,"Leverage NASDAQ",10713.375037
"theta2",0.867372,0.272896,3.1784,0.001481,"Leverage NASDAQ",10750.413105
"w22",3.986128,12.678143,0.314409,0.75321,"Leverage NASDAQ",-5350.68751858563
"alpha1",0.0001,0.028641,0.003493,0.997213,"Overall_NFCI NASDAQ",3.02206960223126
"gamma1",0.225532,0.04266,5.286702,0,"Overall_NFCI NASDAQ",1.18407936672147
"beta1",0.838422,0.019638,42.693893,0,"Overall_NFCI NASDAQ",2089.99694203598
"m1",1.079173,0.288002,3.747106,0.000179,"Overall_NFCI NASDAQ",10715.144705
"theta1",1.45561,0.597707,2.435323,0.014878,"Overall_NFCI NASDAQ",10752.182773
"w21",5.333088,1.562853,3.412405,0.000644,"Overall_NFCI NASDAQ",-5351.57235256911
