"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w214",1.524785,0.853566,1.78637,0.074039,"Healthcare IndProd",-4496.24139913468
"alpha13",0.00546,0.013523,0.403764,0.686386,"Healthcare GSCPI",2.10843412357765
"gamma13",0.182843,0.036279,5.039978,0,"Healthcare GSCPI",0.835402942534582
"beta13",0.849923,0.025423,33.430889,0,"Healthcare GSCPI",1015.07088733454
"m13",-0.03196,0.141391,-0.226037,0.821172,"Healthcare GSCPI",8999.383713
"theta13",0.167606,0.054121,3.096881,0.001956,"Healthcare GSCPI",9036.109029
"w213",2.383298,0.046922,50.79273,0,"Healthcare GSCPI",-4493.69185646568
"alpha12",0.043088,0.017287,2.492467,0.012686,"Financial MatPrices",1.38022873182551
"gamma12",0.249039,0.052979,4.700687,3e-06,"Financial MatPrices",1.35406498818936
"beta12",0.782643,0.038784,20.179632,0,"Financial MatPrices",5063.22893344126
"m12",-0.073113,0.998452,-0.073226,0.941626,"Financial MatPrices",10745.222655
"theta12",0.005976,0.00564,1.059581,0.289335,"Financial MatPrices",10781.947972
"w212",77.525792,1.356946,57.132539,0,"Financial MatPrices",-5366.61132774346
"alpha11",0.022405,0.014308,1.565882,0.117376,"Financial IndProdMfg",4.65647947452597
"gamma11",0.273891,0.051209,5.348442,0,"Financial IndProdMfg",1.34536350997766
"beta11",0.772026,0.035082,22.006179,0,"Financial IndProdMfg",5026.48191678176
"m11",11.122665,0.046764,237.847005,0,"Financial IndProdMfg",10716.126629
"theta11",-0.106135,0.001901,-55.836648,0,"Financial IndProdMfg",10752.851945
"w211",16.624398,0.029323,566.945039,0,"Financial IndProdMfg",-5352.06331435081
"alpha10",0.041823,0.016936,2.469446,0.013532,"Financial PPI",1.63463377787052
"gamma10",0.250294,0.069111,3.621633,0.000293,"Financial PPI",1.3540430506999
"beta10",0.778772,0.040211,19.367209,0,"Financial PPI",5050.99587528845
"m10",0.695857,0.314336,2.213736,0.026847,"Financial PPI",10744.430266
"theta10",0.152752,0.052969,2.883826,0.003929,"Financial PPI",10781.155583
"w210",1.001001,0.171071,5.851359,0,"Financial PPI",-5366.21513319104
"alpha9",0.037262,0.015444,2.412804,0.01583,"Financial NewOrders",1.35921596622898
"gamma9",0.253213,0.049954,5.06897,0,"Financial NewOrders",1.35423000637799
"beta9",0.784367,0.035879,21.861689,0,"Financial NewOrders",5067.66622893081
"m9",0.696338,0.202466,3.439279,0.000583,"Financial NewOrders",10746.030105
"theta9",21.906784,0.320079,68.441852,0,"Financial NewOrders",10782.755421
"w29",2.0133,0.117624,17.116389,0,"Financial NewOrders",-5367.01505228637
"alpha8",0.038805,0.016498,2.352044,0.018671,"Financial IndProd",0.0886335585828135
"gamma8",0.240672,0.051168,4.703597,3e-06,"Financial IndProd",1.35714240302976
"beta8",0.793572,0.038374,20.679698,0,"Financial IndProd",5063.88033171777
"m8",0.794927,0.133308,5.963067,0,"Financial IndProd",10755.456945
"theta8",-0.142417,0.308597,-0.461498,0.644442,"Financial IndProd",10792.182261
"w28",1.001003,0.242632,4.125605,3.7e-05,"Financial IndProd",-5371.72847253744
"alpha7",0.039083,0.01611,2.425964,0.015268,"Financial GSCPI",2.89184962582916
"gamma7",0.253034,0.055836,4.531761,6e-06,"Financial GSCPI",1.350853114528
"beta7",0.769299,0.03749,20.520151,0,"Financial GSCPI",5019.87843723848
"m7",0.624787,0.178602,3.498214,0.000468,"Financial GSCPI",10733.205706
"theta7",0.2372,0.049445,4.797238,2e-06,"Financial GSCPI",10769.931022
"w27",1.652807,0.139149,11.877931,0,"Financial GSCPI",-5360.60285283756
"alpha6",0.04976,0.016736,2.973204,0.002947,"Consumer MatPrices",4.15462933002612
"gamma6",0.153575,0.03623,4.238882,2.2e-05,"Consumer MatPrices",1.22575697411468
"beta6",0.841803,0.024814,33.925154,0,"Consumer MatPrices",2619.5824567539
"m6",-1.184576,0.261315,-4.533135,6e-06,"Consumer MatPrices",10308.996638
"theta6",0.012208,0.00199,6.134114,0,"Consumer MatPrices",10345.721954
"w26",1.001001,0.208148,4.809095,2e-06,"Consumer MatPrices",-5148.49831892601
"alpha5",0.051367,0.01468,3.49921,0.000467,"Consumer IndProdMfg",1.62996679679938
"gamma5",0.161779,0.034764,4.653696,3e-06,"Consumer IndProdMfg",1.229981203048
"beta5",0.838038,0.020471,40.937345,0,"Consumer IndProdMfg",2635.50552918417
"m5",7.202885,0.312757,23.0303,0,"Consumer IndProdMfg",10323.280033
"theta5",-0.067275,0.003269,-20.576517,0,"Consumer IndProdMfg",10360.005349
"w25",12.920096,0.117196,110.243514,0,"Consumer IndProdMfg",-5155.64001661487
"alpha4",0.054366,0.017551,3.097537,0.001951,"Consumer PPI",0.00291751403738373
"gamma4",0.140705,0.044752,3.144079,0.001666,"Consumer PPI",1.23348290682449
"beta4",0.851933,0.022139,38.480682,0,"Consumer PPI",2631.63004094687
"m4",0.63151,0.755191,0.836226,0.403028,"Consumer PPI",10334.594393
"theta4",0.006916,0.162503,0.042559,0.966053,"Consumer PPI",10371.319709
"w24",1.001014,0.982794,1.018539,0.308422,"Consumer PPI",-5161.29719644337
"alpha3",0.055694,0.014052,3.963349,7.4e-05,"Consumer NewOrders",0.0680170750257299
"gamma3",0.142389,0.032811,4.339615,1.4e-05,"Consumer NewOrders",1.23344630592302
"beta3",0.849585,0.021267,39.94915,0,"Consumer NewOrders",2635.02033444212
"m3",0.656163,0.087484,7.500364,0,"Consumer NewOrders",10334.040604
"theta3",-4.401686,0.12952,-33.98451,0,"Consumer NewOrders",10370.76592
"w23",3.34081,0.034678,96.339317,0,"Consumer NewOrders",-5161.02030185777
"alpha2",0.053949,0.015132,3.565136,0.000364,"Consumer IndProd",0.855612321327187
"gamma2",0.157373,0.037106,4.241216,2.2e-05,"Consumer IndProd",1.23197824548367
"beta2",0.840175,0.021993,38.202759,0,"Consumer IndProd",2640.94223497609
"m2",0.65995,0.222594,2.964812,0.003029,"Consumer IndProd",10328.875351
"theta2",-0.430387,0.184659,-2.330716,0.019768,"Consumer IndProd",10365.600667
"w22",1.913798,0.261856,7.308596,0,"Consumer IndProd",-5158.43767557769
"alpha1",0.046414,0.017057,2.72113,0.006506,"Consumer GSCPI",6.18638202838596
"gamma1",0.16026,0.039656,4.041275,5.3e-05,"Consumer GSCPI",1.22676989192569
"beta1",0.836879,0.025308,33.068065,0,"Consumer GSCPI",2615.29712088194
"m1",0.423709,0.178548,2.373079,0.01764,"Consumer GSCPI",10312.238557
"theta1",0.382766,0.090349,4.236539,2.3e-05,"Consumer GSCPI",10348.963874
"w21",1.001001,0.681021,1.469854,0.141601,"Consumer GSCPI",-5150.11927873464
