"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha6",0.000106,0.014466,0.007331,0.994151,"NASDAQ BKKIndex",42.0986538180947
"gamma6",0.196751,0.041574,4.732488,0.000002,"NASDAQ BKKIndex",1.19022442932626
"beta6",0.867418,0.024125,35.955392,0,"NASDAQ BKKIndex",2099.8430520203
"m6",0.414535,0.100607,4.120353,0.000038,"NASDAQ BKKIndex",10736.151005
"theta6",-0.158081,0.102981,-1.535044,0.124773,"NASDAQ BKKIndex",10773.189072
"w26",1.070667,0.086755,12.341217,0,"NASDAQ BKKIndex",-5362.07550230006
"alpha5",0.0001,0.017002,0.005884,0.995306,"NASDAQ UMich",49.4664438218184
"gamma5",0.23477,0.044522,5.273097,0,"NASDAQ UMich",1.18338024271026
"beta5",0.834755,0.018058,46.225321,0,"NASDAQ UMich",2097.72953002211
"m5",0.467479,0.293431,1.593148,0.111127,"NASDAQ UMich",10711.449657
"theta5",-0.299033,0.146367,-2.043034,0.041049,"NASDAQ UMich",10748.487725
"w25",1.461084,0.612137,2.386858,0.016993,"NASDAQ UMich",-5349.72482840406
"alpha4",0.0001,0.030964,0.003231,0.997422,"NASDAQ Credit",42.3340436674947
"gamma4",0.222835,0.094403,2.360471,0.018252,"NASDAQ Credit",1.18563619214105
"beta4",0.84365,0.022469,37.547344,0,"NASDAQ Credit",2091.70491274257
"m4",0.489549,0.411495,1.189685,0.23417,"NASDAQ Credit",10720.332948
"theta4",1.342702,1.233923,1.088157,0.276526,"NASDAQ Credit",10757.371016
"w24",5.347241,0.630134,8.485877,0,"NASDAQ Credit",-5354.16647389224
"alpha3",0.0001,0.020988,0.004769,0.996195,"NASDAQ Risk",41.6743004635622
"gamma3",0.204687,0.041223,4.965367,0.000001,"NASDAQ Risk",1.18831907803389
"beta3",0.856353,0.022749,37.644101,0,"NASDAQ Risk",2092.97674805771
"m3",0.873072,0.134209,6.50531,0,"NASDAQ Risk",10729.93134
"theta3",0.95229,0.170737,5.577518,0,"NASDAQ Risk",10766.969408
"w23",4.514785,0.259404,17.40446,0,"NASDAQ Risk",-5358.96566983466
"alpha2",0.0001,0.02351,0.004254,0.996606,"NASDAQ Leverage",33.2221126756164
"gamma2",0.214824,0.037125,5.786522,0,"NASDAQ Leverage",1.18385588223048
"beta2",0.846017,0.020785,40.703835,0,"NASDAQ Leverage",2084.71871884205
"m2",0.511561,0.137041,3.732898,0.000189,"NASDAQ Leverage",10713.375063
"theta2",0.867375,0.211836,4.094566,0.000042,"NASDAQ Leverage",10750.413131
"w22",3.986193,0.035103,113.557247,0,"NASDAQ Leverage",-5350.68753132449
"alpha1",0.0001,0.027787,0.0036,0.997127,"NASDAQ NFCI",37.7961064502738
"gamma1",0.225535,0.098718,2.284641,0.022334,"NASDAQ NFCI",1.18407936853267
"beta1",0.838421,0.033296,25.180591,0,"NASDAQ NFCI",2089.99831108667
"m1",1.079197,1.139612,0.946986,0.343646,"NASDAQ NFCI",10715.144744
"theta1",1.455639,1.729985,0.841417,0.400114,"NASDAQ NFCI",10752.182812
"w21",5.333413,3.136328,1.700528,0.089032,"NASDAQ NFCI",-5351.572372248
