"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"theta18",-0.300167,0.122438,-2.451581,0.014223,"SP1500 EqVol",9278.13669
"w218",19.928184,0.097225,204.969938,0,"SP1500 EqVol",-4614.54931095638
"alpha17",0.000101,0.018138,0.005551,0.995571,"SP1500 VVIX",2.42343113556424
"gamma17",0.283092,0.043391,6.524233,0,"SP1500 VVIX",0.762571652516925
"beta17",0.815868,0.024289,33.590468,0,"SP1500 VVIX",1703.69104616738
"m17",-2.02022,0.62237,-3.246009,0.00117,"SP1500 VVIX",9223.387654
"theta17",0.023349,0.006575,3.551338,0.000383,"SP1500 VVIX",9260.425722
"w217",2.19854,1.095668,2.006575,0.044795,"SP1500 VVIX",-4605.69382695464
"alpha16",0.0001,0.023793,0.004204,0.996646,"SP1500 OilVol",4.07685930326318
"gamma16",0.291845,0.038159,7.648205,0,"SP1500 OilVol",0.751228331971311
"beta16",0.807111,0.023429,34.449228,0,"SP1500 OilVol",1701.85919919857
"m16",-1.012274,0.422809,-2.394165,0.016658,"SP1500 OilVol",9183.369684
"theta16",0.03105,0.009165,3.387987,0.000704,"SP1500 OilVol",9220.407752
"w216",4.12481,3.095608,1.332472,0.182705,"SP1500 OilVol",-4585.68484184866
"alpha15",0.019901,0.025887,0.768788,0.442019,"SP1500 MOVE",0.951530245563229
"gamma15",0.260675,0.043046,6.055754,0,"SP1500 MOVE",0.766957368366943
"beta15",0.811479,0.029866,27.171077,0,"SP1500 MOVE",1702.11652914682
"m15",-0.339352,0.328326,-1.033582,0.301332,"SP1500 MOVE",9239.477979
"theta15",0.006995,0.002875,2.432498,0.014995,"SP1500 MOVE",9276.516047
"w215",1.404431,1.083107,1.296668,0.194745,"SP1500 MOVE",-4613.7389895311
"alpha14",0.020342,0.02508,0.811095,0.417311,"SP1500 Skew",0.0128218474849474
"gamma14",0.252911,0.043182,5.856836,0,"SP1500 Skew",0.769858701294635
"beta14",0.819216,0.028722,28.522049,0,"SP1500 Skew",1706.30889484149
"m14",0.57837,1.283624,0.450576,0.652295,"SP1500 Skew",9249.679627
"theta14",-0.002477,0.009987,-0.248062,0.804086,"SP1500 Skew",9286.717695
