time,path,S,delta,cash,portfolio_value
0,0,100.0,-381.7238087517757,0.0,-38172.38087517757
0,1,100.0,-381.7238087517757,0.0,-38172.38087517757
0,2,100.0,-381.7238087517757,0.0,-38172.38087517757
2190,0,113.70936081244231,-12531.689481249097,-100.0,-1425070.4008128417
2190,1,90.35856022489175,-0.31791518268437746,150.3819763797098,121.65561819871603
2190,2,104.57878666994198,-0.31791518268437746,0.08709748594881006,-33.160086583136334
4380,0,105.99995269703328,-0.31791518268437746,-99.91171890892421,-133.61071323513693
4380,1,92.98479100478357,-0.31791518268437746,150.4594179124133,120.89814109325887
4380,2,104.25711445721326,-0.31791518268437746,0.17392707013742026,-32.97099251867358
6570,0,95.13262449409608,-0.31791518268437746,836.8398815894709,806.5957758941861
6570,1,104.02516250946859,-4637.285616478523,-100.0,-482494.3898569995
6570,2,95.09554173138869,-0.31791518268437746,0.25312652227759713,-29.979189999726678
8760,0,97.97449144455344,-0.31791518268437746,836.9214787485474,805.7739004025433
8760,1,113.05131116980392,-0.31791518268437746,-99.90584624951538,-135.846574492772
8760,2,94.89931459487555,-0.31791518268437746,0.3321625484419215,-29.837770387610146
